element_index,R_equivariance_relerr,R_cos2_after_action,builder_rank,jabber_rank
131,1.5958325996818206,0.03358788697389142,2,3
132,1.5958325996817173,0.033587886973932564,2,3
133,1.5958325996817164,0.03358788697393233,2,3
134,17.193611596634785,0.001454686286732694,3,3
135,256.39255157956865,0.0006240701813525139,5,5
136,164.62561584164334,0.0012769501371016749,5,5
137,164.62561584164325,0.0012769501371016749,5,5
138,141.35977562200637,0.0013692212904512478,5,5
139,147.78253074732035,0.0008533808900887215,5,5
140,141.35977562200947,0.0013692212904512344,5,5
141,147.7825307473175,0.0008533808900887263,5,5
142,129.12647730494754,0.0009791542451896378,5,5
143,129.1264773049476,0.0009791542451896389,5,5
144,129.1264773049476,0.0009791542451896389,5,5
145,129.12647730494754,0.0009791542451896378,5,5
146,147.7825307473175,0.0008533808900887263,5,5
147,141.35977562200947,0.0013692212904512344,5,5
148,147.78253074732035,0.0008533808900887215,5,5
149,141.35977562200637,0.0013692212904512478,5,5
150,164.62561584164325,0.0012769501371016749,5,5
151,164.62561584164334,0.0012769501371016749,5,5
152,256.39255157956865,0.0006240701813525139,5,5
153,17.193611596634785,0.001454686286732694,3,3
154,1.5958325996817164,0.03358788697393233,2,3
155,1.5958325996817173,0.033587886973932564,2,3
156,1.5958325996818206,0.03358788697389142,2,3
157,1.5958325996818217,0.03358788697389168,2,3
158,17.193611596631683,0.0014546862867328625,3,3
159,365.01155133228815,0.0005876803546475629,5,5
160,365.01155133228804,0.000587680354647563,5,5
161,17.193611596631733,0.00145468628673286,3,3
162,1.5958325996817182,0.033587886973931745,2,3
163,1.5958325996817198,0.03358788697393214,2,3
164,1.595832599681822,0.03358788697389052,2,3
165,1.5958325996818234,0.033587886973890924,2,3
166,17.193611596634835,0.0014546862867326916,3,3
167,256.39255157956865,0.0006240701813525142,5,5
168,141.35977562200634,0.0013692212904512467,5,5
169,141.35977562200634,0.0013692212904512456,5,5
170,164.62561584164652,0.001276950137101665,5,5
171,129.12647730494763,0.0009791542451896395,5,5
172,164.62561584164334,0.0012769501371016768,5,5
173,129.12647730495047,0.0009791542451896313,5,5
174,147.78253074731745,0.0008533808900887267,5,5
175,147.78253074731742,0.000853380890088726,5,5
176,147.78253074731742,0.000853380890088726,5,5
177,147.78253074731745,0.0008533808900887267,5,5
178,129.12647730495047,0.0009791542451896313,5,5
179,164.62561584164334,0.0012769501371016768,5,5
180,129.12647730494763,0.0009791542451896395,5,5
181,164.62561584164652,0.001276950137101665,5,5
182,141.35977562200634,0.0013692212904512456,5,5
183,141.35977562200634,0.0013692212904512467,5,5
184,256.39255157956865,0.0006240701813525142,5,5
185,17.193611596634835,0.0014546862867326916,3,3
186,1.5958325996818234,0.033587886973890924,2,3
187,1.595832599681822,0.03358788697389052,2,3
188,1.5958325996817198,0.03358788697393214,2,3
189,1.5958325996817182,0.033587886973931745,2,3
190,17.193611596631733,0.00145468628673286,3,3
191,365.01155133228804,0.000587680354647563,5,5
192,301.71503882141747,0.0006040996580916727,5,5
193,16.952318026887248,0.0002650241291866582,3,3
194,1.5958325996817182,0.03358788697393173,2,3
195,1.5958325996818226,0.03358788697389077,2,3
196,1.595832599681719,0.0335878869739319,2,3
197,1.5958325996818234,0.033587886973890924,2,3
198,16.95231802689028,0.00026502412918672234,3,3
199,319.6517916148569,0.0004565269638124285,5,5
200,164.62561584164652,0.0012769501371016664,5,5
201,164.62561584164334,0.0012769501371016757,5,5
202,141.3597756220063,0.0013692212904512458,5,5
203,147.78253074731745,0.000853380890088727,5,5
204,141.35977562200634,0.001369221290451245,5,5
205,147.78253074731742,0.000853380890088726,5,5
206,129.12647730494763,0.000979154245189639,5,5
207,129.12647730495047,0.0009791542451896308,5,5
208,129.12647730495047,0.0009791542451896308,5,5
209,129.12647730494763,0.000979154245189639,5,5
210,147.78253074731742,0.000853380890088726,5,5
211,141.35977562200634,0.001369221290451245,5,5
212,147.78253074731745,0.000853380890088727,5,5
213,141.3597756220063,0.0013692212904512458,5,5
214,164.62561584164334,0.0012769501371016757,5,5
215,164.62561584164652,0.0012769501371016664,5,5
216,319.6517916148569,0.0004565269638124285,5,5
217,16.95231802689028,0.00026502412918672234,3,3
218,1.5958325996818234,0.033587886973890924,2,3
219,1.595832599681719,0.0335878869739319,2,3
220,1.5958325996818226,0.03358788697389077,2,3
221,1.5958325996817182,0.03358788697393173,2,3
222,16.952318026887248,0.0002650241291866582,3,3
223,301.71503882141747,0.0006040996580916727,5,5
224,301.7150388214176,0.0006040996580916713,5,5
225,16.9523180268873,0.00026502412918665924,3,3
226,1.5958325996818215,0.03358788697389166,2,3
227,1.5958325996817178,0.03358788697393282,2,3
228,1.5958325996818201,0.03358788697389115,2,3
229,1.5958325996817164,0.03358788697393235,2,3
230,16.952318026890328,0.0002650241291867234,3,3
231,319.6517916148568,0.0004565269638124289,5,5
232,141.35977562200637,0.0013692212904512484,5,5
233,141.35977562200947,0.0013692212904512344,5,5
234,164.62561584164334,0.0012769501371016744,5,5
235,129.12647730494754,0.0009791542451896386,5,5
236,164.62561584164325,0.0012769501371016738,5,5
237,129.1264773049476,0.0009791542451896378,5,5
238,147.78253074732035,0.0008533808900887207,5,5
239,147.7825307473175,0.0008533808900887265,5,5
240,147.7825307473175,0.0008533808900887265,5,5
241,147.78253074732035,0.0008533808900887207,5,5
242,129.1264773049476,0.0009791542451896378,5,5
243,164.62561584164325,0.0012769501371016738,5,5
244,129.12647730494754,0.0009791542451896386,5,5
245,164.62561584164334,0.0012769501371016744,5,5
246,141.35977562200947,0.0013692212904512344,5,5
247,141.35977562200637,0.0013692212904512484,5,5
248,319.6517916148568,0.0004565269638124289,5,5
249,16.952318026890328,0.0002650241291867234,3,3
250,1.5958325996817164,0.03358788697393235,2,3
251,1.5958325996818201,0.03358788697389115,2,3
252,1.5958325996817178,0.03358788697393282,2,3
253,1.5958325996818215,0.03358788697389166,2,3
254,16.9523180268873,0.00026502412918665924,3,3
255,301.7150388214176,0.0006040996580916713,5,5
256,1484.098063962953,0.0004355809169149691,4,4
257,1081.7711767809026,8.345769316943046e-05,4,4
258,1493.3174335199947,0.000510352645569704,4,4
259,1493.3174335199951,0.0005103526455697042,4,4
260,788.2841077803495,3.486431978910663e-05,4,4
261,788.2841077803496,3.486431978910672e-05,4,4
262,2269.059841808019,0.0003920214606523218,4,4
263,367.6836425274933,0.0001576748779058231,4,4
264,661.7693405471618,3.0007611893833903e-05,4,4
265,661.7693405471616,3.0007611893834195e-05,4,4
266,559.4883087598515,0.0006082909265040501,4,4
267,347.19285507047226,0.0005393015987077654,4,4
268,282.7062763743586,0.0007339436569368833,4,4
269,1694.3775346748873,1.4376064026831933e-05,4,4
270,337.688400420504,0.00045624282606715846,4,4
271,337.6884004205043,0.0004562428260671569,4,4
272,337.6884004205043,0.0004562428260671569,4,4
273,337.688400420504,0.00045624282606715846,4,4
274,1694.3775346748873,1.4376064026831933e-05,4,4
275,282.7062763743586,0.0007339436569368833,4,4
276,347.19285507047226,0.0005393015987077654,4,4
277,559.4883087598515,0.0006082909265040501,4,4
278,661.7693405471616,3.0007611893834195e-05,4,4
279,661.7693405471618,3.0007611893833903e-05,4,4
280,367.6836425274933,0.0001576748779058231,4,4
281,2269.059841808019,0.0003920214606523218,4,4
282,788.2841077803496,3.486431978910672e-05,4,4
283,788.2841077803495,3.486431978910663e-05,4,4
284,1493.3174335199951,0.0005103526455697042,4,4
285,1493.3174335199947,0.000510352645569704,4,4
286,1081.7711767809026,8.345769316943046e-05,4,4
287,1484.098063962953,0.0004355809169149691,4,4
288,1379.1820323659695,0.00045433789197143196,4,4
289,1157.4287683433888,9.177026484650489e-05,4,4
290,707.1616822543418,2.2033182788301314e-05,4,4
291,707.1616822543416,2.2033182788301324e-05,4,4
292,1593.5739200672422,0.0004889135899118058,4,4
293,1593.573920067242,0.0004889135899118056,4,4
294,2158.3319874714107,0.00040245311259989934,4,4
295,437.59394703752935,5.8774794724395935e-05,4,4
296,574.0890667673701,6.347651922919574e-05,4,4
297,574.08906676737,6.347651922919565e-05,4,4
298,336.60091380802436,0.0004053130866037643,4,4
299,1798.2822690556611,1.7343310169531115e-05,4,4
300,481.9119873120074,0.0007255059442940436,4,4
301,421.8810148397388,0.000281518073614884,4,4
302,276.6645146008735,0.0008655058370884294,4,4
303,276.6645146008733,0.0008655058370884307,4,4
304,276.6645146008733,0.0008655058370884307,4,4
305,276.6645146008735,0.0008655058370884294,4,4
306,421.8810148397388,0.000281518073614884,4,4
307,481.9119873120074,0.0007255059442940436,4,4
308,1798.2822690556611,1.7343310169531115e-05,4,4
309,336.60091380802436,0.0004053130866037643,4,4
310,574.08906676737,6.347651922919565e-05,4,4
311,574.0890667673701,6.347651922919574e-05,4,4
312,437.59394703752935,5.8774794724395935e-05,4,4
313,2158.3319874714107,0.00040245311259989934,4,4
314,1593.573920067242,0.0004889135899118056,4,4
315,1593.5739200672422,0.0004889135899118058,4,4
316,707.1616822543416,2.2033182788301324e-05,4,4
317,707.1616822543418,2.2033182788301314e-05,4,4
318,1157.4287683433888,9.177026484650489e-05,4,4
319,1379.1820323659695,0.00045433789197143196,4,4
320,1371.0524030206843,0.0004494923665234123,4,4
321,2387.269588778369,0.00038522710997426014,4,4
322,1493.3174335199951,0.0005103526455697044,4,4
323,788.2841077803497,3.4864319789106576e-05,4,4
324,1493.317433519995,0.0005103526455697041,4,4
325,788.2841077803496,3.486431978910664e-05,4,4
326,992.5016866223918,6.986501483351907e-05,4,4
327,446.32401099087934,4.5398234933297285e-05,4,4
328,818.9693744688591,0.0004111009077821226,4,4
329,492.2428841011617,9.210581278978273e-05,4,4
330,661.7693405471616,3.0007611893834025e-05,4,4
331,337.6884004205043,0.00045624282606715716,4,4
332,661.7693405471618,3.0007611893833914e-05,4,4
333,337.688400420504,0.000456242826067158,4,4
334,603.1604766489402,6.315771504304565e-05,4,4
335,1377.1896972108257,4.833415228059427e-06,4,4
336,1377.1896972108257,4.833415228059427e-06,4,4
337,603.1604766489402,6.315771504304565e-05,4,4
338,337.688400420504,0.000456242826067158,4,4
339,661.7693405471618,3.0007611893833914e-05,4,4
340,337.6884004205043,0.00045624282606715716,4,4
341,661.7693405471616,3.0007611893834025e-05,4,4
342,492.2428841011617,9.210581278978273e-05,4,4
343,818.9693744688591,0.0004111009077821226,4,4
344,446.32401099087934,4.5398234933297285e-05,4,4
345,992.5016866223918,6.986501483351907e-05,4,4
346,788.2841077803496,3.486431978910664e-05,4,4
347,1493.317433519995,0.0005103526455697041,4,4
348,788.2841077803497,3.4864319789106576e-05,4,4
349,1493.3174335199951,0.0005103526455697044,4,4
350,2387.269588778369,0.00038522710997426014,4,4
351,1371.0524030206843,0.0004494923665234123,4,4
352,1266.7667723872712,0.00047108457236920697,4,4
353,2276.213941875716,0.0003947572789959759,4,4
354,707.1616822543417,2.2033182788301253e-05,4,4
355,1593.573920067242,0.0004889135899118061,4,4
356,707.161682254342,2.2033182788301487e-05,4,4
357,1593.5739200672422,0.0004889135899118054,4,4
358,1068.1625614050774,7.916695689859119e-05,4,4
359,520.2230849207681,1.1290114751770928e-05,4,4
360,572.8788404335239,4.4776733522814605e-05,4,4
361,738.029065259021,0.0004580365816337877,4,4
362,574.0890667673701,6.347651922919562e-05,4,4
363,276.66451460087336,0.0008655058370884309,4,4
364,574.0890667673699,6.34765192291957e-05,4,4
365,276.6645146008735,0.0008655058370884296,4,4
366,1479.7421016058156,7.616239969427097e-06,4,4
367,694.7367848642828,2.992878372377348e-05,4,4
368,694.7367848642828,2.992878372377348e-05,4,4
369,1479.7421016058156,7.616239969427097e-06,4,4
370,276.6645146008735,0.0008655058370884296,4,4
371,574.0890667673699,6.34765192291957e-05,4,4
372,276.66451460087336,0.0008655058370884309,4,4
373,574.0890667673701,6.347651922919562e-05,4,4
374,738.029065259021,0.0004580365816337877,4,4
375,572.8788404335239,4.4776733522814605e-05,4,4
376,520.2230849207681,1.1290114751770928e-05,4,4
377,1068.1625614050774,7.916695689859119e-05,4,4
378,1593.5739200672422,0.0004889135899118054,4,4
379,707.161682254342,2.2033182788301487e-05,4,4
380,1593.573920067242,0.0004889135899118061,4,4
381,707.1616822543417,2.2033182788301253e-05,4,4
382,2276.213941875716,0.0003947572789959759,4,4
383,1266.7667723872712,0.00047108457236920697,4,4
384,451.82604245665635,0.0006910900265304832,4,4
385,2400.6244784975333,2.9693616833756336e-05,4,4
386,773.6997497071299,0.0004745093877613234,4,4
387,773.6997497071297,0.00047450938776132334,4,4
388,1507.6405610582842,1.0437421242086236e-05,4,4
389,1507.6405610582838,1.043742124208615e-05,4,4
390,984.8435510944581,0.0003052616275400897,4,4
391,1380.216871024156,3.51572347262397e-06,4,4
392,340.1546340407425,0.0012900336573305805,4,4
393,340.1546340407422,0.001290033657330583,4,4
394,1363.6441776597105,0.0005137638299601656,4,4
395,476.65746534482713,0.0011698589201725679,4,4
396,601.8590607121079,0.0007912335065646525,4,4
397,828.6391726199794,3.8035307517984057e-05,4,4
398,649.5356892553518,0.0008527862899445297,4,4
399,649.5356892553518,0.0008527862899445301,4,4
400,649.5356892553518,0.0008527862899445301,4,4
401,649.5356892553518,0.0008527862899445297,4,4
402,828.6391726199794,3.8035307517984057e-05,4,4
403,601.8590607121079,0.0007912335065646525,4,4
404,476.65746534482713,0.0011698589201725679,4,4
405,1363.6441776597105,0.0005137638299601656,4,4
406,340.1546340407422,0.001290033657330583,4,4
407,340.1546340407425,0.0012900336573305805,4,4
408,1380.216871024156,3.51572347262397e-06,4,4
409,984.8435510944581,0.0003052616275400897,4,4
410,1507.6405610582838,1.043742124208615e-05,4,4
411,1507.6405610582842,1.0437421242086236e-05,4,4
412,773.6997497071297,0.00047450938776132334,4,4
413,773.6997497071299,0.0004745093877613234,4,4
414,2400.6244784975333,2.9693616833756336e-05,4,4
415,451.82604245665635,0.0006910900265304832,4,4
416,524.2210562888279,0.0005830080090853014,4,4
417,2289.7601921343853,2.7162540348955273e-05,4,4
418,1607.5542080486975,1.3423813532144679e-05,4,4
419,1607.5542080486978,1.342381353214457e-05,4,4
420,691.0261351794403,0.0005359857293674009,4,4
421,691.0261351794404,0.0005359857293673999,4,4
422,1061.3632744402382,0.00028560055858845837,4,4
423,1275.5057905784342,1.3757323497949984e-06,4,4
424,282.5949520807659,0.001463545877072761,4,4
425,282.5949520807661,0.0014635458770727596,4,4
426,692.0375982366816,0.0007071771012597913,4,4
427,748.6460345590876,2.6053688778785593e-05,4,4
428,1466.372250214578,0.0004896136318054469,4,4
429,558.1092865450589,0.001002869561686806,4,4
430,561.5729246982884,0.0009753648045418983,4,4
431,561.5729246982885,0.0009753648045419003,4,4
432,561.5729246982885,0.0009753648045419003,4,4
433,561.5729246982884,0.0009753648045418983,4,4
434,558.1092865450589,0.001002869561686806,4,4
435,1466.372250214578,0.0004896136318054469,4,4
436,748.6460345590876,2.6053688778785593e-05,4,4
437,692.0375982366816,0.0007071771012597913,4,4
438,282.5949520807661,0.0014635458770727596,4,4
439,282.5949520807659,0.001463545877072761,4,4
440,1275.5057905784342,1.3757323497949984e-06,4,4
441,1061.3632744402382,0.00028560055858845837,4,4
442,691.0261351794404,0.0005359857293673999,4,4
443,691.0261351794403,0.0005359857293674009,4,4
444,1607.5542080486978,1.342381353214457e-05,4,4
445,1607.5542080486975,1.3423813532144679e-05,4,4
446,2289.7601921343853,2.7162540348955273e-05,4,4
447,524.2210562888279,0.0005830080090853014,4,4
448,443.66940153940106,0.0006967324895045416,4,4
449,1151.1287099733672,0.00026844311713647277,4,4
450,1607.5542080486978,1.3423813532144677e-05,4,4
451,691.0261351794405,0.0005359857293674009,4,4
452,1607.5542080486975,1.3423813532144664e-05,4,4
453,691.0261351794404,0.0005359857293674002,4,4
454,2172.3322296925176,2.41148471693264e-05,4,4
455,1388.0977566706483,3.8934973457883396e-06,4,4
456,424.67924875814936,0.0010011449348150336,4,4
457,1785.5078753250323,0.00044204898440661087,4,4
458,282.5949520807661,0.00146354587707276,4,4
459,561.5729246982885,0.0009753648045419012,4,4
460,282.5949520807659,0.0014635458770727607,4,4
461,561.5729246982885,0.0009753648045418993,4,4
462,495.76589205861023,1.8919424810635337e-06,4,4
463,317.99432617871855,0.0016822736284541825,4,4
464,317.99432617871855,0.0016822736284541825,4,4
465,495.76589205861023,1.8919424810635337e-06,4,4
466,561.5729246982885,0.0009753648045418993,4,4
467,282.5949520807659,0.0014635458770727607,4,4
468,561.5729246982885,0.0009753648045419012,4,4
469,282.5949520807661,0.00146354587707276,4,4
470,1785.5078753250323,0.00044204898440661087,4,4
471,424.67924875814936,0.0010011449348150336,4,4
472,1388.0977566706483,3.8934973457883396e-06,4,4
473,2172.3322296925176,2.41148471693264e-05,4,4
474,691.0261351794404,0.0005359857293674002,4,4
475,1607.5542080486975,1.3423813532144664e-05,4,4
476,691.0261351794405,0.0005359857293674009,4,4
477,1607.5542080486978,1.3423813532144677e-05,4,4
478,1151.1287099733672,0.00026844311713647277,4,4
479,443.66940153940106,0.0006967324895045416,4,4
480,376.0178157328121,0.0008446788067160404,4,4
481,1074.6381627717433,0.0002847325614678693,4,4
482,773.6997497071299,0.0004745093877613232,4,4
483,1507.6405610582838,1.0437421242086199e-05,4,4
484,773.6997497071299,0.00047450938776132253,4,4
485,1507.640561058284,1.0437421242086228e-05,4,4
486,2282.8565627320677,2.6774656024048108e-05,4,4
487,1493.3961429949748,6.5903221466706035e-06,4,4
488,1681.4823806325553,0.0004582125630573282,4,4
489,353.3422741986814,0.0011480539832042869,4,4
490,340.1546340407422,0.0012900336573305842,4,4
491,649.5356892553518,0.0008527862899445293,4,4
492,340.15463404074256,0.0012900336573305824,4,4
493,649.5356892553517,0.0008527862899445297,4,4
494,263.07300824536964,0.001971295015832506,4,4
495,571.9237684887502,1.1598203024008849e-06,4,4
496,571.9237684887502,1.1598203024008849e-06,4,4
497,263.07300824536964,0.001971295015832506,4,4
498,649.5356892553517,0.0008527862899445297,4,4
499,340.15463404074256,0.0012900336573305824,4,4
500,649.5356892553518,0.0008527862899445293,4,4
501,340.1546340407422,0.0012900336573305842,4,4
502,353.3422741986814,0.0011480539832042869,4,4
503,1681.4823806325553,0.0004582125630573282,4,4
504,1493.3961429949748,6.5903221466706035e-06,4,4
505,2282.8565627320677,2.6774656024048108e-05,4,4
506,1507.640561058284,1.0437421242086228e-05,4,4
507,773.6997497071299,0.00047450938776132253,4,4
508,1507.6405610582838,1.0437421242086199e-05,4,4
509,773.6997497071299,0.0004745093877613232,4,4
510,1074.6381627717433,0.0002847325614678693,4,4
511,376.0178157328121,0.0008446788067160404,4,4
512,992.5016866223568,6.986501483351538e-05,4,4
513,1371.0524030207227,0.00044949236652340273,4,4
514,1493.3174335200365,0.000510352645569694,4,4
515,1493.3174335200301,0.0005103526455696957,4,4
516,788.2841077803918,3.486431978911389e-05,4,4
517,788.2841077803857,3.486431978911319e-05,4,4
518,446.3240109909167,4.539823493326845e-05,4,4
519,2387.269588778327,0.00038522710997426383,4,4
520,661.769340547119,3.0007611893844627e-05,4,4
521,661.7693405471251,3.0007611893842943e-05,4,4
522,603.1604766488966,6.315771504306636e-05,4,4
523,818.9693744688947,0.00041110090778210287,4,4
524,1377.1896972108682,4.8334152280608914e-06,4,4
525,492.24288410118845,9.210581278975882e-05,4,4
526,337.68840042053324,0.00045624282606702033,4,4
527,337.68840042052847,0.0004562428260670423,4,4
528,337.68840042052847,0.0004562428260670423,4,4
529,337.68840042053324,0.00045624282606702033,4,4
530,492.24288410118845,9.210581278975882e-05,4,4
531,1377.1896972108682,4.8334152280608914e-06,4,4
532,818.9693744688947,0.00041110090778210287,4,4
533,603.1604766488966,6.315771504306636e-05,4,4
534,661.7693405471251,3.0007611893842943e-05,4,4
535,661.769340547119,3.0007611893844627e-05,4,4
536,2387.269588778327,0.00038522710997426383,4,4
537,446.3240109909167,4.539823493326845e-05,4,4
538,788.2841077803857,3.486431978911319e-05,4,4
539,788.2841077803918,3.486431978911389e-05,4,4
540,1493.3174335200301,0.0005103526455696957,4,4
541,1493.3174335200365,0.000510352645569694,4,4
542,1371.0524030207227,0.00044949236652340273,4,4
543,992.5016866223568,6.986501483351538e-05,4,4
544,1068.162561405043,7.916695689858794e-05,4,4
545,1266.7667723873087,0.0004710845723691971,4,4
546,707.1616822543767,2.203318278830753e-05,4,4
547,707.1616822543828,2.2033182788308314e-05,4,4
548,1593.573920067278,0.0004889135899117981,4,4
549,1593.573920067285,0.0004889135899117961,4,4
550,520.2230849208074,1.1290114751760223e-05,4,4
551,2276.2139418756738,0.0003947572789959802,4,4
552,574.0890667673342,6.347651922921298e-05,4,4
553,574.0890667673283,6.347651922921587e-05,4,4
554,1479.7421016058595,7.616239969428675e-06,4,4
555,572.8788404335526,4.477673352280153e-05,4,4
556,694.7367848642389,2.992878372378432e-05,4,4
557,738.0290652590558,0.00045803658163376333,4,4
558,276.6645146008909,0.0008655058370882391,4,4
559,276.6645146008946,0.000865505837088201,4,4
560,276.6645146008946,0.000865505837088201,4,4
561,276.6645146008909,0.0008655058370882391,4,4
562,738.0290652590558,0.00045803658163376333,4,4
563,694.7367848642389,2.992878372378432e-05,4,4
564,572.8788404335526,4.477673352280153e-05,4,4
565,1479.7421016058595,7.616239969428675e-06,4,4
566,574.0890667673283,6.347651922921587e-05,4,4
567,574.0890667673342,6.347651922921298e-05,4,4
568,2276.2139418756738,0.0003947572789959802,4,4
