shell,label,F,grad_norm,z_std,exceeds_zero
12,random_scale0.5_9,-2.536264468625511,2.167667620479068,0.5337772565444328,False
12,random_scale0.5_10,-1.391890152952998,1.4495959617209562,0.4174454577749745,False
12,random_scale0.5_11,-1.71994949061903,1.5023893837770665,0.5411804412794149,False
12,random_scale0.5_12,-1.6996189313843186,1.6147794733710552,0.45012139609896856,False
12,random_scale0.5_13,-1.6568284810900389,1.8447367645628816,0.4264901566635726,False
12,random_scale0.5_14,-2.2155435657876104,2.047835037325123,0.562677664769795,False
12,random_scale0.5_15,-1.6870678101528558,1.5334316161867494,0.5107435857219175,False
12,random_scale0.5_16,-2.1785816126135478,2.1148569351969244,0.5007337080963461,False
12,random_scale0.5_17,-3.1011366005450194,3.836925087357374,0.5189650454581055,False
12,random_scale0.5_18,-1.455013326804747,1.5660350494396749,0.43462123609594727,False
12,random_scale0.5_19,-2.0946921543833383,1.8117452314826576,0.5526661316132779,False
12,random_scale1_0,-6.104402584805672,3.6948082333633496,0.8474157941033649,False
12,random_scale1_1,-5.161942683738998,2.7952023432002586,0.898821711154895,False
12,random_scale1_2,-3.1639012776243165,2.736633168356335,0.6486648303572574,False
12,random_scale1_3,-7.386166406422796,5.177249038350445,0.9115514740376337,False
12,random_scale1_4,-3.3112754843662993,2.132368635967346,0.7634985731263617,False
12,random_scale1_5,-9.510182956933154,5.137196745368506,1.168336168660334,False
12,random_scale1_6,-4.948733793046193,4.358085574630895,0.7865511708107003,False
12,random_scale1_7,-7.920594827850823,5.291033850435312,1.0856621326507478,False
12,random_scale1_8,-7.8517481977177015,5.5716413305835,0.9364915315170979,False
12,random_scale1_9,-10.81313134356768,8.000713652634031,1.0641518706477187,False
12,random_scale1_10,-7.943402775671514,4.89714012427385,1.0405338130878867,False
12,random_scale1_11,-5.918512091903034,5.388766070333623,0.8010250443201219,False
12,random_scale1_12,-4.206367307209509,2.593040592488598,1.0042738860154314,False
12,random_scale1_13,-2.7463814375554545,1.904080588140419,0.6087581856169259,False
12,random_scale1_14,-4.362667473830537,2.489922827456424,0.8345861606513767,False
12,random_scale1_15,-8.509704401442207,5.67692805093419,1.0820038374056304,False
12,random_scale1_16,-12.664558133855667,7.789701677850046,1.149411122018588,False
12,random_scale1_17,-14.770971023420291,9.648577111862771,1.0309649280788342,False
12,random_scale1_18,-6.070451083663035,3.0768352727267905,1.1674154651962148,False
12,random_scale1_19,-8.8510914125917,5.889496611319543,1.0575428020875959,False
12,random_scale2_0,-28.7643830807582,10.775956461492049,2.16619480277778,False
12,random_scale2_1,-19.880982174399314,7.453881200392947,1.9769368776136955,False
12,random_scale2_2,-47.30317442926277,10.744568624161635,2.290513936124351,False
12,random_scale2_3,-20.26085403671751,8.495413009174543,1.6769555674148497,False
12,random_scale2_4,-29.996072588455473,10.384978066810614,1.8315823665834043,False
12,random_scale2_5,-30.817948377816457,10.806241875270176,1.9054374956172617,False
12,random_scale2_6,-46.02337052840764,11.309588826422502,2.1299565073490094,False
12,random_scale2_7,-22.365106999069877,9.072675430649563,1.7649077287124038,False
12,random_scale2_8,-29.10089855912637,9.700071687675786,2.0529793888251375,False
12,random_scale2_9,-44.03133340523034,10.852163207032156,2.387295518037667,False
12,random_scale2_10,-23.18718736409711,6.491922026911849,1.7427026932721867,False
12,random_scale2_11,-27.578307437155797,10.656229889786797,1.7717981347134193,False
12,random_scale2_12,-19.842707028160454,9.866865336007027,1.7332325432439593,False
12,random_scale2_13,-16.04103346595785,5.968425100560077,1.9266503874377796,False
12,random_scale2_14,-19.3095115795861,8.789661361638789,1.9965935714591205,False
12,random_scale2_15,-10.478684538094434,5.444399442391293,2.094878216400207,False
12,random_scale2_16,-45.11595709748103,11.258848838723244,2.325452492394589,False
12,random_scale2_17,-9.552082442020126,3.3459469752081055,1.501693291736466,False
12,random_scale2_18,-21.249404748077602,6.3623118325920505,2.0077746135370544,False
12,random_scale2_19,-33.58324994774378,8.577007351183983,2.504514792253962,False
12,random_scale4_0,-30.42921478483053,6.2999748775351785,3.1712971934630714,False
12,random_scale4_1,-75.67041205896625,11.413556480097744,4.016188196486248,False
12,random_scale4_2,-22.92300834782887,9.169189718955412,3.123473393982229,False
12,random_scale4_3,-70.45150059713441,11.4660034952186,2.9707457610397126,False
12,random_scale4_4,-44.12828149915362,9.690807283473344,3.2472171425640717,False
12,random_scale4_5,-50.903106156599094,11.252550941789682,3.609362551223799,False
12,random_scale4_6,-111.13582451671812,11.437400368592934,4.807144569561849,False
12,random_scale4_7,-78.58745688651767,9.384836454863217,4.688418511733304,False
12,random_scale4_8,-111.27829580739092,11.367253525830913,4.678674251523111,False
12,random_scale4_9,-33.95567574150991,6.949792484581302,3.482937366763693,False
12,random_scale4_10,-24.75022795191799,8.511534133761522,4.31709438186335,False
12,random_scale4_11,-25.378578786963097,8.537776318247825,2.949474026302955,False
12,random_scale4_12,-73.02353390556982,11.37854079586684,3.680512687438485,False
12,random_scale4_13,-38.644494386371996,7.289164561833483,3.501865857730359,False
12,random_scale4_14,-34.824360579398984,10.465024858014841,4.3569901161139155,False
12,random_scale4_15,-55.70561561223265,9.648011792435724,5.109311259104497,False
12,random_scale4_16,-63.749133937728516,11.3398333195841,3.3976176988462004,False
12,random_scale4_17,-52.89188100724288,9.906014856563468,3.622521284914838,False
12,random_scale4_18,-51.344494058691225,8.994828574754992,3.9732755285633865,False
12,random_scale4_19,-33.782301500596176,10.75052820773083,3.6110752723647574,False
12,random_scale8_0,-67.51080834520243,8.649447297974437,7.372631800395989,False
12,random_scale8_1,-48.797304474774975,8.401105863164736,8.225412853337653,False
12,random_scale8_2,-122.07235987273828,11.35426683465558,8.782465260415,False
12,random_scale8_3,-110.99573682017447,11.231023813284308,8.451758871792691,False
12,random_scale8_4,-101.46052976384766,11.401392847457393,8.240932425276815,False
12,random_scale8_5,-72.97425002714144,8.526948441432765,6.971991137691396,False
12,random_scale8_6,-231.07582675571,11.452747673575155,10.88161101239924,False
12,random_scale8_7,-192.43592603699602,11.475602082543707,7.7562016331799155,False
12,random_scale8_8,-169.55683316238589,11.487992790232362,9.480188354010982,False
12,random_scale8_9,-188.54423827556116,8.842353503320412,8.140341077386681,False
12,random_scale8_10,-92.43262256622101,9.193564157609416,6.766870677364256,False
12,random_scale8_11,-109.0719161993037,7.743944533467395,8.847898001229101,False
12,random_scale8_12,-197.26077314116242,11.463917564641422,8.528576647809516,False
12,random_scale8_13,-151.48234700939028,10.969672954631251,9.028485413046011,False
12,random_scale8_14,-136.794408010024,11.486401507440796,8.32955603385649,False
12,random_scale8_15,-83.21344062585322,8.273265985760306,7.190039511085064,False
12,random_scale8_16,-62.078980208574166,6.153199365248989,6.843513625665279,False
12,random_scale8_17,-138.0068744112483,11.43978454866141,8.556882714136279,False
12,random_scale8_18,-82.97986512183806,11.464025527377395,8.602813950121977,False
12,random_scale8_19,-110.18712177049579,9.61450437326813,8.40740270347242,False
16,equal,0.0,2.4273040365536066e-15,0.0,False
16,one_hot_scale_0.5,-0.1937783115451266,0.9436782264183643,0.09991315673568167,False
16,one_hot_scale_1,-1.1248472166430101,3.111247096220117,0.19982631347136334,False
16,one_hot_scale_2,-7.72790666721249,10.542980178069826,0.3996526269427267,False
16,one_hot_scale_4,-35.03340654136036,15.206747585309971,0.7993052538854534,False
16,one_hot_scale_8,-94.98088745452134,15.322746560237448,1.5986105077709067,False
16,two_level_k1_scale0.5,-0.1937783115451266,0.9436782264183643,0.09991315673568167,False
16,two_level_k1_scale1,-1.1248472166430101,3.111247096220117,0.19982631347136334,False
16,two_level_k1_scale2,-7.72790666721249,10.542980178069826,0.3996526269427267,False
16,two_level_k1_scale4,-35.03340654136036,15.206747585309971,0.7993052538854534,False
16,two_level_k2_scale0.5,-0.3537497544658086,1.2133201265251001,0.13819269959814165,False
16,two_level_k2_scale1,-1.8942437544412778,3.50737666206183,0.2763853991962833,False
16,two_level_k2_scale2,-10.283464837164791,8.456471660906349,0.5527707983925666,False
16,two_level_k2_scale4,-36.963697240481956,10.310505191567874,1.1055415967851332,False
16,two_level_k3_scale0.5,-0.4843046110510443,1.3546504491647076,0.16535945694153692,False
16,two_level_k3_scale1,-2.4249828135491525,3.524703502274147,0.33071891388307384,False
16,two_level_k3_scale2,-11.393753156863022,7.03124921948416,0.6614378277661477,False
16,two_level_k3_scale4,-36.636949641621555,8.019745474137057,1.3228756555322954,False
16,two_level_k4_scale0.5,-0.5890852521239109,1.4289979638662749,0.1863389981249825,False
16,two_level_k4_scale1,-2.7852930970053222,3.408000361388209,0.372677996249965,False
16,two_level_k4_scale2,-11.817906671541225,5.999372043922301,0.74535599249993,False
16,two_level_k4_scale4,-35.39910563099106,6.582264133439501,1.49071198499986,False
16,two_level_k6_scale0.5,-0.7330754545285254,1.4671438173453146,0.21650635094610965,False
16,two_level_k6_scale1,-3.1538724089581667,3.0466839902445546,0.4330127018922193,False
16,two_level_k6_scale2,-11.614198446108517,4.5528368070897605,0.8660254037844386,False
16,two_level_k6_scale4,-31.645335610609063,4.74340628271569,1.7320508075688772,False
16,two_level_k8_scale0.5,-0.8048157781609975,1.4229584926513696,0.23570226039551587,False
16,two_level_k8_scale1,-3.1976278018706017,2.629397936257429,0.47140452079103173,False
16,two_level_k8_scale2,-10.485481310195844,3.409069483135158,0.9428090415820635,False
16,two_level_k8_scale4,-26.442273574513944,3.4637750249469694,1.885618083164127,False
16,two_level_k10_scale0.5,-0.8195139782775542,1.3379440127343158,0.24650332429581728,False
16,two_level_k10_scale1,-3.0582053105013483,2.2678846486107487,0.49300664859163457,False
16,two_level_k10_scale2,-9.265739467914607,2.6551399257811266,0.9860132971832691,False
16,two_level_k10_scale4,-21.636878521656335,2.5045841548623033,1.9720265943665383,False
16,two_level_k12_scale0.5,-0.7874332302129354,1.2263644248352363,0.25,False
16,two_level_k12_scale1,-2.773713541734355,1.910886640597912,0.5,False
16,two_level_k12_scale2,-7.647025060120144,1.884773099542691,1.0,False
16,two_level_k12_scale4,-15.982477915362747,1.637812766469788,2.0,False
16,two_level_k16_scale0.5,-0.6160010413186885,0.955856801761952,0.23570226039551584,False
16,two_level_k16_scale1,-1.9312398649049016,1.1890828892485505,0.4714045207910317,False
16,two_level_k16_scale2,-3.3689175730225536,0.09200785042210916,0.9428090415820634,False
