pair_id,p5_a,p5_b,f4_a,f4_b,face_a,face_b,mask_a,mask_b,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_single_floor_flag,support_equal_flag,joint_mult_value,eta6_preserved_flag
65,0,66,0,33,12,22,30,45,0,0,80146816,79358720,106467840,122778624,112072640,79358720,122778624,43419904,0,0,1189085184,1
66,0,67,0,33,12,22,30,45,0,0,236110208,274815744,378575360,585543680,558113280,236110208,585543680,349433472,0,0,1868562432,1
67,0,68,0,34,12,22,30,45,0,0,64976256,69352192,90188800,144171008,74539840,64976256,144171008,79194752,0,0,1189085184,1
68,0,69,0,34,12,22,30,45,0,0,153276800,216210176,298630144,584597504,428341248,153276800,584597504,431320704,0,0,1868562432,1
69,0,70,0,35,12,22,30,45,0,0,55439744,112020224,90190336,128652416,120699136,55439744,128652416,73212672,0,0,1189085184,1
70,0,71,0,35,12,22,30,45,0,0,125206912,423058176,260938752,644240896,599636480,125206912,644240896,519033984,0,0,1868562432,1
71,0,72,0,36,12,22,30,45,0,0,90294656,270627584,71651328,112766464,53312512,53312512,270627584,217315072,0,0,1019215872,1
72,0,73,0,36,12,22,30,45,0,0,192037248,728419072,175973376,526547968,281592832,175973376,728419072,552445696,0,0,1868562432,1
73,0,74,0,37,12,22,30,45,0,0,82289024,52039424,174873600,59486208,74539840,52039424,174873600,122834176,0,0,1019215872,1
74,0,75,0,37,12,22,30,45,0,0,229147008,140339968,615300096,267927552,428341248,140339968,615300096,474960128,0,0,1868562432,1
75,0,76,0,38,12,22,30,45,0,0,195487104,142293760,111861216,60187648,49129600,49129600,195487104,146357504,0,0,1019215872,1
76,0,77,0,38,12,22,30,45,0,0,491188608,364055296,380319872,290082816,264023808,264023808,491188608,227164800,0,0,1868562432,1
77,0,78,0,39,12,22,30,45,0,0,184748416,115529984,172576000,52606976,64583680,52606976,184748416,132141440,0,0,1019215872,1
78,0,79,0,39,12,22,30,45,0,0,586944896,368362240,577233920,284975104,435539456,284975104,586944896,301969792,0,0,1868562432,1
79,0,80,0,40,12,22,30,45,0,0,78055808,55149312,106914816,105264128,73360768,55149312,106914816,51765504,0,0,1019215872,1
80,0,81,0,40,12,22,30,45,0,0,205136256,158153472,404737024,401229824,359443456,158153472,404737024,246583552,0,0,1868562432,1
81,0,82,0,41,12,22,30,45,0,0,82924416,231071488,69594112,189807360,70127616,69594112,231071488,161477376,0,0,1019215872,1
82,0,83,0,41,12,22,30,45,0,0,213082496,792374016,191536128,745744384,408918016,191536128,792374016,600837888,0,0,1868562432,1
83,0,84,0,42,12,22,30,45,0,0,155230592,182550272,90890240,81158624,49129600,49129600,182550272,133420672,0,0,1146617856,1
84,0,85,0,42,12,22,30,45,0,0,376992128,478251776,320785408,349617280,264023808,264023808,478251776,214227968,0,0,1911029760,1
85,0,86,0,43,12,22,30,45,0,0,117133696,73819392,174640128,47507648,73819744,47507648,174640128,127132480,0,0,1146617856,1
86,0,87,0,43,12,22,30,45,0,0,337346944,205148928,569302016,180959872,398530816,180959872,569302016,388342144,0,0,1911029760,1
87,0,88,0,44,12,22,30,45,0,0,283564416,77357824,143469056,40948736,53312512,40948736,283564416,242615680,0,0,1146617856,1
88,0,89,0,44,12,22,30,45,0,0,741355904,179100416,557250560,145270784,281592832,145270784,741355904,596085120,0,0,1911029760,1
89,0,90,0,45,12,22,30,45,0,0,190909056,119574144,184956928,47461376,71314688,47461376,190909056,143447680,0,0,1146617856,1
90,0,91,0,45,12,22,30,45,0,0,598396032,374829952,572410368,204234752,432550912,204234752,598396032,394161280,0,0,1911029760,1
91,0,92,0,46,12,22,30,45,0,0,150308224,48478464,109121152,62175232,77790208,48478464,150308224,101829760,0,0,1146617856,1
92,0,93,0,46,12,22,30,45,0,0,443986304,119632640,411496192,181964800,357065728,119632640,443986304,324353664,0,0,1911029760,1
93,0,94,0,47,12,22,30,45,0,0,144142720,162561088,81503232,142210432,69265408,69265408,162561088,93295680,0,0,1146617856,1
94,0,95,0,47,12,22,30,45,0,0,429892480,529801408,268016640,487290368,378099712,268016640,529801408,261784768,0,0,1911029760,1
95,0,96,0,48,12,26,30,51,0,0,149574720,131271616,111735552,48440576,47220736,47220736,149574720,102353984,0,0,1113587712,1
96,0,97,0,48,12,26,30,51,0,0,548505280,511681344,517150976,429300160,484089856,429300160,548505280,119205120,0,0,2321547264,1
97,0,98,0,49,12,26,30,51,0,0,108861632,71096000,138709504,36442624,52387840,36442624,138709504,102266880,0,0,1113587712,1
98,0,99,0,49,12,26,30,51,0,0,501245248,325867328,708556032,316527360,574732800,316527360,708556032,392028672,0,0,2321547264,1
99,0,100,0,50,12,26,30,51,0,0,111338080,189859776,73077888,110440448,51386368,51386368,189859776,138473408,0,0,1113587712,1
100,0,101,0,50,12,26,30,51,0,0,377412320,773984064,343504384,704553216,628565248,343504384,773984064,430479680,0,0,2321547264,1
101,0,102,0,51,12,26,30,51,0,0,75938656,49545376,140423808,51439616,76085248,49545376,140423808,90878432,0,0,1113587712,1
102,0,103,0,51,12,26,30,51,0,0,333785200,221910752,885987200,428689536,789317376,221910752,885987200,664076448,0,0,2321547264,1
103,0,104,0,52,12,26,30,51,0,0,69175872,98264448,63495936,110491136,51134464,51134464,110491136,59356672,0,0,1113587712,1
104,0,105,0,52,12,26,30,51,0,0,246423712,503170048,262702464,695955456,609261568,246423712,695955456,449531744,0,0,2321547264,1
105,0,106,0,53,12,26,30,51,0,0,63749024,49555904,84047744,76110080,65564672,49555904,84047744,34491840,0,0,1113587712,1
106,0,107,0,53,12,26,30,51,0,0,243691680,222690768,494411968,570923008,648673280,222690768,648673280,425982512,0,0,2321547264,1
107,0,108,0,54,12,26,30,51,0,0,87901600,100550016,86575872,90794752,66058240,66058240,100550016,34491776,0,0,1113587712,1
108,0,109,0,54,12,26,30,51,0,0,408834624,578910848,460073472,722915136,667702784,408834624,722915136,314080512,0,0,2321547264,1
109,0,110,0,55,12,26,30,51,0,0,62676352,50897472,94417152,53748992,66390016,50897472,94417152,43519680,0,0,1113587712,1
110,0,111,0,55,12,26,30,51,0,0,302353408,300690048,545121024,470946304,660228096,300690048,660228096,359538048,0,0,2321547264,1
111,0,112,0,56,12,26,30,51,0,0,71848240,103140576,85163776,75283200,64911360,64911360,103140576,38229216,0,0,1113587712,1
112,0,113,0,56,12,26,30,51,0,0,296481184,595672000,382703360,654538240,705364992,296481184,705364992,408883808,0,0,2321547264,1
113,0,114,0,57,12,26,30,51,0,0,62492736,50812192,106812672,53345152,65564672,50812192,106812672,56000480,0,0,1113587712,1
114,0,115,0,57,12,26,30,51,0,0,235627600,230754848,601625600,463709376,648673280,230754848,648673280,417918432,0,0,2321547264,1
115,0,116,0,58,12,26,30,51,0,0,54201312,64549632,74476032,91264640,75433984,54201312,91264640,37063328,0,0,1113587712,1
116,0,117,0,58,12,26,30,51,0,0,220673792,432486272,347232000,788623872,846147584,220673792,846147584,625473792,0,0,2321547264,1
117,0,118,0,59,12,26,30,51,0,0,62482208,63001824,82142208,109721216,76085248,62482208,109721216,47239008,0,0,1113587712,1
118,0,119,0,59,12,26,30,51,0,0,234847584,320848368,459392128,855284608,789317376,234847584,855284608,620437024,0,0,2321547264,1
119,0,120,0,60,12,26,30,51,0,0,121417728,150427776,73102080,106392576,51607552,51607552,150427776,98820224,0,0,962592768,1
120,0,121,0,60,12,26,30,51,0,0,485409920,691459840,441393664,736847872,635475968,441393664,736847872,295454208,0,0,2321547264,1
121,0,122,0,61,12,26,30,51,0,0,77486464,41264480,121967232,43773440,75433984,41264480,121967232,80702752,0,0,962592768,1
122,0,123,0,61,12,26,30,51,0,0,445423104,207736960,819326464,316529408,846147584,207736960,846147584,638410624,0,0,2321547264,1
123,0,124,0,62,12,26,30,51,0,0,125409920,108476672,110528000,41454848,46569472,41454848,125409920,83955072,0,0,962592768,1
124,0,125,0,62,12,26,30,51,0,0,506490752,472416000,552518656,410203392,519612416,410203392,552518656,142315264,0,0,2321547264,1
125,0,126,0,63,12,26,30,51,0,0,111201280,56239040,141193728,32793344,51134464,32793344,141193728,108400384,0,0,962592768,1
126,0,127,0,63,12,26,30,51,0,0,516106880,233486880,726658048,231999872,609261568,231999872,726658048,494658176,0,0,2321547264,1
127,0,128,0,64,12,26,30,51,0,0,63834304,49739520,84451584,63714560,66390016,49739520,84451584,34712064,0,0,962592768,1
128,0,129,0,64,12,26,30,51,0,0,313626880,289416576,501648896,514418432,660228096,289416576,660228096,370811520,0,0,2321547264,1
129,0,130,0,65,12,26,30,51,0,0,84032832,95924800,67145216,108006912,52387840,52387840,108006912,55619072,0,0,962592768,1
130,0,131,0,65,12,26,30,51,0,0,338804160,488308416,347229952,677853440,574732800,338804160,677853440,339049280,0,0,2321547264,1
131,0,132,0,66,12,26,30,51,0,0,121413504,112473088,72157440,79825408,46569472,46569472,121413504,74844032,0,0,1264582656,1
132,0,133,0,66,12,26,30,51,0,0,485352832,493553920,440905984,521816064,519612416,440905984,521816064,80910080,0,0,2925527040,1
133,0,134,0,67,12,26,30,51,0,0,116077408,58911408,105985792,54461184,64911360,54461184,116077408,61616224,0,0,1264582656,1
134,0,135,0,67,12,26,30,51,0,0,608608832,283544352,685240832,352000768,705364992,283544352,705364992,421820640,0,0,2925527040,1
135,0,136,0,68,12,26,30,51,0,0,163364608,108480896,137095168,42399488,51607552,42399488,163364608,120965120,0,0,1264582656,1
136,0,137,0,68,12,26,30,51,0,0,704396672,472473088,767550464,410691072,635475968,410691072,767550464,356859392,0,0,2925527040,1
137,0,138,0,69,12,26,30,51,0,0,202796608,98401248,141143040,42375296,51386368,42375296,202796608,160421312,0,0,1264582656,1
138,0,139,0,69,12,26,30,51,0,0,786920896,364475488,735255808,312801792,628565248,312801792,786920896,474119104,0,0,2925527040,1
139,0,140,0,70,12,26,30,51,0,0,113486848,74964768,121497344,55873280,66058240,55873280,121497344,65624064,0,0,1264582656,1
140,0,141,0,70,12,26,30,51,0,0,591847680,395897792,753617728,429370880,667702784,395897792,753617728,357719936,0,0,2925527040,1
141,0,142,0,71,12,26,30,51,0,0,144208448,136637888,79143168,81032960,47220736,47220736,144208448,96987712,0,0,1264582656,1
142,0,143,0,71,12,26,30,51,0,0,524618176,535568448,460002752,486448384,484089856,460002752,535568448,75565696,0,0,2925527040,1
143,1,2,0,1,12,12,30,30,1,1,99705728,68691712,170677760,90668032,125324288,68691712,170677760,101986048,0,0,1358954496,1
144,1,3,0,1,12,12,30,30,1,1,140731648,107088128,220064768,121027584,216445440,107088128,220064768,112976640,0,0,1698693120,1
145,1,4,0,2,12,12,30,30,1,1,89948928,103063040,161395200,163370496,140623360,89948928,163370496,73421568,0,0,1358954496,1
146,1,5,0,2,12,12,30,30,1,1,103722752,170248704,188622336,305383936,236758016,103722752,305383936,201661184,0,0,1698693120,1
147,1,6,0,3,12,12,30,30,1,1,87787264,57872640,182406016,105121792,155239936,57872640,182406016,124533376,0,0,1358954496,1
148,1,7,0,3,12,12,30,30,1,1,107950336,75591936,280017920,165680128,348783616,75591936,348783616,273191680,0,0,1698693120,1
149,1,8,0,4,12,12,30,30,1,1,91412224,109193856,156924416,140628224,129744256,91412224,156924416,65512192,0,0,1358954496,1
