trim_candidate_id,edit_radius,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,closure_excess_abs_from_24,normalized_tail_template_count,template_excess_abs_from_6,template_lift_count_min,template_lift_count_max,four_lift_template_count,all_four_lift_flag,exact24_flag,six_template_flag,exact24_six_template_flag,exact24_six_all_four_flag,all_four_ge24_flag,best_all_four_ge24_flag,best_six_template_gap_flag,tail_entry_3_path_count,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,has_chord_31_28_flag,has_chord_50_34_flag
13,3,13,2,1,4,3,1,2,5,4,1,2,1,4,5,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,24,0,2,4,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,3,14,2,1,4,3,1,2,5,4,1,5,2,1,4,5,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,24,0,2,4,12,12,0,0,1,0,0,0,0,0,0,0,0,0,24,0,1,0
15,3,14,2,1,4,3,1,2,5,4,4,5,2,1,4,5,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,144,120,3,3,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1,0
16,3,15,2,1,4,3,1,2,5,4,1,5,5,2,1,4,5,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,84,60,7,1,12,12,0,0,0,0,0,0,0,0,0,0,36,12,0,36,1,0
17,3,15,2,1,4,3,1,2,5,4,4,5,5,2,1,4,5,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,288,264,6,0,48,48,0,0,0,1,0,0,0,0,0,0,144,48,96,0,1,0
18,3,16,2,1,4,3,1,2,5,4,1,2,5,5,2,1,4,5,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,276,252,9,3,12,36,0,0,0,0,0,0,0,0,0,0,108,12,48,108,1,0
19,1,10,2,1,4,3,1,5,2,1,4,5,-1,-1,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0
20,1,13,2,1,4,3,1,5,2,1,5,2,1,4,5,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0
21,2,11,2,1,4,3,1,5,2,1,4,5,2,-1,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,16,8,4,2,4,4,4,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0
22,2,14,2,1,4,3,1,5,2,1,4,5,2,1,4,5,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,24,0,3,3,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0
23,2,14,2,1,4,3,1,5,2,1,5,2,1,4,5,2,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,16,8,4,2,4,4,4,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0
24,3,12,2,1,4,3,1,5,2,1,4,5,2,2,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,12,6,4,4,12,1,0,0,0,0,1,0,0,24,0,0,24,0,1,0
25,3,12,2,1,4,3,1,5,2,1,4,5,2,5,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,16,8,4,2,4,4,4,1,0,0,0,0,0,0,0,8,0,0,8,0,1,0
26,3,13,2,1,4,3,1,5,2,1,4,5,1,4,5,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,16,1,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,3,13,2,1,4,3,1,5,2,1,4,5,2,1,5,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,16,8,2,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,3,14,2,1,4,3,1,5,2,1,4,5,2,1,1,5,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,56,32,7,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0
29,3,14,2,1,4,3,1,5,2,1,4,5,2,1,2,5,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,32,8,4,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
30,3,14,2,1,4,3,1,5,2,1,4,5,2,1,4,3,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,6,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0
31,3,14,2,1,4,3,1,5,2,1,4,5,2,1,5,5,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,6,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0
32,3,15,2,1,4,3,1,5,2,1,4,5,2,1,1,4,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,6,0,8,8,0,0,0,1,0,0,0,0,0,0,0,32,16,0,1,0
33,3,15,2,1,4,3,1,5,2,1,4,5,2,1,3,4,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,6,0,8,8,0,0,0,1,0,0,0,0,0,0,0,32,16,0,1,0
34,3,15,2,1,4,3,1,5,2,1,4,5,2,1,4,4,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,72,48,9,3,8,8,0,0,0,0,0,0,0,0,0,0,0,48,24,0,1,0
35,3,15,2,1,4,3,1,5,2,1,4,5,2,1,4,5,2,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,6,0,8,8,0,0,0,1,0,0,0,0,0,0,0,32,16,0,1,0
36,3,15,2,1,4,3,1,5,2,1,4,5,2,1,4,5,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,72,48,9,3,8,8,0,0,0,0,0,0,0,0,0,0,0,48,24,0,1,0
37,3,15,2,1,4,3,1,5,2,1,4,5,2,2,1,4,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,72,48,9,3,8,8,0,0,0,0,0,0,0,0,0,0,0,32,40,0,1,0
38,3,15,2,1,4,3,1,5,2,1,4,5,2,5,1,4,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,16,1,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0
39,3,15,2,1,4,3,1,5,2,1,5,2,1,4,5,2,2,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,48,24,12,6,4,4,12,1,0,0,0,0,1,0,0,24,0,0,24,0,1,0
40,3,15,2,1,4,3,1,5,2,1,5,2,1,4,5,2,5,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,16,8,4,2,4,4,4,1,0,0,0,0,0,0,0,8,0,0,8,0,1,0
41,3,16,2,1,4,3,1,5,2,1,4,5,2,5,2,1,4,5,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,24,0,3,3,8,8,0,0,1,0,0,0,0,0,0,0,0,8,16,0,1,0
42,3,16,2,1,4,3,1,5,2,1,5,2,1,5,2,1,4,5,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0
43,2,13,2,1,4,3,1,5,4,1,5,2,1,4,5,-1,-1,-1,11,48,42,27,28,31,32,34,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,179,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0
44,3,13,2,1,4,3,1,5,4,1,2,5,1,4,5,-1,-1,-1,11,48,42,27,28,31,32,34,28,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,179,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,4,0,0,4,0,1,0
45,3,14,2,1,4,3,1,5,4,1,5,2,1,4,5,2,-1,-1,11,48,42,27,28,31,32,34,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,179,16,8,4,2,4,4,4,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0
46,3,16,2,1,4,3,1,5,2,1,5,4,1,5,2,1,4,5,12,48,42,27,28,31,32,29,34,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,191,8,16,2,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0
47,3,12,2,1,3,4,5,1,2,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,12,12,3,3,4,4,3,1,0,0,0,0,0,0,0,0,0,4,8,0,0,1
48,3,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,60,36,9,3,4,8,3,0,0,0,0,0,0,0,0,0,24,4,8,24,0,1
49,3,15,2,1,3,4,5,1,2,5,2,5,5,2,1,4,5,-1,13,48,42,27,31,50,34,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,195,60,36,9,3,4,8,3,0,0,0,0,0,0,0,0,0,24,4,8,24,0,1
50,3,12,2,1,3,4,5,1,1,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,31,50,34,25,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,24,0,2,4,12,12,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,1
51,3,13,2,1,3,4,5,1,1,5,5,2,1,4,5,-1,-1,-1,13,48,42,27,31,50,34,25,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,197,84,60,7,1,12,12,0,0,0,0,0,0,0,0,0,0,36,12,0,36,0,1
52,3,11,2,1,5,4,3,1,2,5,1,4,5,-1,-1,-1,-1,-1,11,48,42,27,29,34,50,31,27,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,199,4,20,2,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1
53,2,11,2,1,5,4,3,1,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,29,34,50,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,201,4,20,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
54,2,14,2,1,5,4,3,1,5,2,1,5,2,1,4,5,-1,-1,12,48,42,27,29,34,50,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,201,4,20,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
55,3,12,2,1,5,4,3,1,5,2,1,4,5,2,-1,-1,-1,-1,12,48,42,27,29,34,50,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,201,8,16,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
56,3,15,2,1,5,4,3,1,5,2,1,4,5,2,1,4,5,-1,12,48,42,27,29,34,50,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,201,12,12,3,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1
57,3,15,2,1,5,4,3,1,5,2,1,5,2,1,4,5,2,-1,12,48,42,27,29,34,50,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,201,8,16,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1
58,3,14,2,1,5,4,3,1,5,4,1,5,2,1,4,5,-1,-1,13,48,42,27,29,34,50,31,32,34,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,205,4,20,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
59,1,11,2,1,4,3,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,16,8,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0
60,1,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,9,3,4,12,1,0,0,0,0,0,0,0,0,0,36,4,16,36,1,0
61,1,14,2,1,4,3,1,2,5,2,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,27,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,9,3,4,12,1,0,0,0,0,0,0,0,0,0,36,4,16,36,1,0
62,2,12,2,1,4,3,1,2,5,2,1,4,5,2,-1,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,32,8,6,0,4,8,4,0,0,1,0,0,0,0,1,0,0,16,16,0,1,0
63,2,13,2,1,4,3,1,2,5,2,5,2,1,4,5,-1,-1,-1,14,48,42,27,28,31,27,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,215,16,8,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0
64,2,13,2,1,4,3,1,2,5,5,2,1,4,5,2,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,184,160,6,0,28,32,0,0,0,1,0,0,0,0,0,0,0,128,56,0,1,0
65,2,14,2,1,4,3,1,2,5,2,1,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,24,0,2,4,12,12,0,0,1,0,0,0,0,0,0,0,0,0,24,0,1,0
66,2,14,2,1,4,3,1,2,5,2,2,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,3,3,28,32,0,0,0,0,0,0,0,0,0,0,0,28,64,0,1,0
67,2,15,2,1,4,3,1,2,5,1,2,5,5,2,1,4,5,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,120,96,9,3,8,16,0,0,0,0,0,0,0,0,0,0,48,8,16,48,1,0
68,2,15,2,1,4,3,1,2,5,2,2,5,5,2,1,4,5,-1,13,48,42,27,28,31,27,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,448,424,9,3,28,60,0,0,0,0,0,0,0,0,0,0,180,32,56,180,1,0
69,2,15,2,1,4,3,1,2,5,2,5,2,5,2,1,4,5,-1,16,48,42,27,28,31,27,29,39,45,39,45,39,29,28,34,44,-1,-1,-1,-1,2,215,16,8,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0
70,2,15,2,1,4,3,1,2,5,2,5,5,2,1,4,5,2,-1,13,48,42,27,28,31,27,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,184,160,6,0,28,32,0,0,0,1,0,0,0,0,0,0,0,128,56,0,1,0
71,2,15,2,1,4,3,1,2,5,5,2,5,5,2,1,4,5,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,448,424,9,3,28,60,0,0,0,0,0,0,0,0,0,0,180,32,56,180,1,0
72,3,11,2,1,4,3,1,2,5,2,5,4,3,-1,-1,-1,-1,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,36,12,6,0,4,8,3,0,0,1,0,0,0,0,0,0,0,24,12,0,1,0
73,3,12,2,1,4,3,1,2,5,2,5,4,1,5,-1,-1,-1,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,12,12,2,4,4,8,1,0,0,0,0,0,0,0,0,0,0,4,8,0,1,0
74,3,12,2,1,4,3,1,2,5,2,5,4,4,5,-1,-1,-1,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,48,24,8,2,4,8,4,0,0,0,0,0,0,0,0,0,0,16,32,0,1,0
75,3,13,2,1,4,3,1,2,5,2,1,4,5,2,2,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,96,72,12,6,4,12,6,0,0,0,0,0,0,0,0,72,0,0,24,0,1,0
76,3,13,2,1,4,3,1,2,5,2,1,4,5,2,5,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,32,8,4,2,4,12,2,0,0,0,0,0,0,0,0,24,0,0,8,0,1,0
77,3,14,2,1,4,3,1,2,5,1,2,5,2,1,4,5,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,24,0,3,3,8,8,0,0,1,0,0,0,0,0,0,0,0,8,16,0,1,0
78,3,14,2,1,4,3,1,2,5,2,5,2,1,4,5,2,-1,-1,14,48,42,27,28,31,27,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,215,32,8,6,0,4,8,4,0,0,1,0,0,0,0,1,0,0,16,16,0,1,0
79,3,14,2,1,4,3,1,2,5,2,5,4,1,1,4,5,-1,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,36,12,3,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
80,3,14,2,1,4,3,1,2,5,2,5,5,2,5,4,3,-1,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,180,156,18,12,4,12,3,0,0,0,0,0,0,0,0,0,72,12,24,72,1,0
81,3,14,2,1,4,3,1,2,5,5,2,1,4,5,2,2,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,552,528,12,6,32,60,0,0,0,0,0,0,0,0,0,360,0,0,192,0,1,0
82,3,14,2,1,4,3,1,2,5,5,2,1,4,5,2,5,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,184,160,4,2,32,60,0,0,0,0,0,0,0,0,0,120,0,0,64,0,1,0
83,3,14,2,1,4,3,1,2,5,5,2,5,2,1,4,5,-1,-1,13,48,42,27,28,31,27,29,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,3,3,28,32,0,0,0,0,0,0,0,0,0,0,0,28,64,0,1,0
84,3,15,2,1,4,3,1,2,5,2,1,4,5,2,1,4,5,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,48,24,3,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
85,3,15,2,1,4,3,1,2,5,2,1,5,2,1,4,5,2,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,48,24,4,2,12,12,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,0
86,3,15,2,1,4,3,1,2,5,2,2,5,2,1,4,5,2,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,184,160,6,0,28,32,0,0,0,1,0,0,0,0,0,0,0,128,56,0,1,0
87,3,15,2,1,4,3,1,2,5,2,5,4,1,2,1,4,5,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,24,0,2,4,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
88,3,15,2,1,4,3,1,2,5,2,5,5,2,5,4,1,5,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,60,36,2,4,28,32,0,0,0,0,0,0,0,0,0,0,0,32,28,0,1,0
89,3,15,2,1,4,3,1,2,5,2,5,5,2,5,4,4,5,-1,10,48,42,27,28,31,27,29,39,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,215,240,216,8,2,28,32,0,0,0,0,0,0,0,0,0,0,0,128,112,0,1,0
90,3,15,2,1,4,3,1,2,5,5,2,1,5,2,1,4,5,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,120,96,2,4,60,60,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,0
