contact_id,edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,source0_sample_x,source0_sample_y,source0_sample_owner_a,source0_sample_owner_b,source1_sample_x,source1_sample_y,source1_sample_owner_a,source1_sample_owner_b,left_endpoint_raw_flag,right_endpoint_raw_flag,source0_count_verified_flag,source1_count_verified_flag,boundary_count_verified_flag,contact_lift_flag
94,94,35,44,2,0,2,138,878,35,44,-1,-1,-1,-1,1,1,1,1,1,1
95,95,36,37,0,1,1,-1,-1,-1,-1,138,880,36,37,1,1,1,1,1,1
96,96,36,44,1,0,1,138,880,36,44,-1,-1,-1,-1,1,1,1,1,1,1
97,97,37,38,0,1,1,-1,-1,-1,-1,138,969,37,38,1,1,1,1,1,1
98,98,37,42,89,0,89,138,881,37,42,-1,-1,-1,-1,1,1,1,1,1,1
99,99,38,39,0,1,1,-1,-1,-1,-1,138,972,38,39,1,1,1,1,1,1
100,100,38,42,3,0,3,138,970,38,42,-1,-1,-1,-1,1,1,1,1,1,1
101,101,39,40,0,1,1,-1,-1,-1,-1,138,981,39,40,1,1,1,1,1,1
102,102,39,42,9,0,9,138,973,39,42,-1,-1,-1,-1,1,1,1,1,1,1
103,103,40,41,0,1,1,-1,-1,-1,-1,138,982,40,41,1,1,1,1,1,1
104,104,40,42,1,0,1,138,982,40,42,-1,-1,-1,-1,1,1,1,1,1,1
105,105,41,42,2,0,2,138,983,41,42,-1,-1,-1,-1,1,1,1,1,1,1
106,106,42,43,2,0,2,196,983,42,43,-1,-1,-1,-1,1,1,1,1,1,1
107,107,42,44,0,58,58,-1,-1,-1,-1,139,880,44,42,1,1,1,1,1,1
108,108,42,55,102,0,102,196,881,42,55,-1,-1,-1,-1,1,1,1,1,1,1
109,109,43,45,1,0,1,201,983,43,45,-1,-1,-1,-1,1,1,1,1,1,1
110,110,43,46,1,0,1,201,984,43,46,-1,-1,-1,-1,1,1,1,1,1,1
111,111,43,55,0,5,5,-1,-1,-1,-1,197,982,55,43,1,1,1,1,1,1
112,112,44,47,1,0,1,203,880,44,47,-1,-1,-1,-1,1,1,1,1,1,1
113,113,44,50,43,0,43,203,837,44,50,-1,-1,-1,-1,1,1,1,1,1,1
114,114,44,55,0,7,7,-1,-1,-1,-1,197,880,44,55,1,1,1,1,1,1
115,115,44,57,0,65,65,-1,-1,-1,-1,139,836,57,44,1,1,1,1,1,1
116,116,45,46,0,2,2,-1,-1,-1,-1,202,983,45,46,1,1,1,1,1,1
117,117,45,48,1,0,1,203,983,45,48,-1,-1,-1,-1,1,1,1,1,1,1
118,118,45,55,0,2,2,-1,-1,-1,-1,202,982,55,45,1,1,1,1,1,1
119,119,46,48,1,0,1,203,984,46,48,-1,-1,-1,-1,1,1,1,1,1,1
120,120,47,50,0,1,1,-1,-1,-1,-1,204,879,50,47,1,1,1,1,1,1
121,121,47,54,1,0,1,204,880,47,54,-1,-1,-1,-1,1,1,1,1,1,1
122,122,47,55,0,1,1,-1,-1,-1,-1,204,880,47,55,1,1,1,1,1,1
123,123,48,49,2,0,2,204,983,48,49,-1,-1,-1,-1,1,1,1,1,1,1
124,124,48,55,0,1,1,-1,-1,-1,-1,204,982,55,48,1,1,1,1,1,1
125,125,49,51,1,0,1,207,983,49,51,-1,-1,-1,-1,1,1,1,1,1,1
126,126,49,52,1,0,1,207,984,49,52,-1,-1,-1,-1,1,1,1,1,1,1
127,127,49,55,0,3,3,-1,-1,-1,-1,205,982,55,49,1,1,1,1,1,1
128,128,50,54,0,5,5,-1,-1,-1,-1,205,879,50,54,1,1,1,1,1,1
129,129,50,57,0,6,6,-1,-1,-1,-1,204,836,57,50,1,1,1,1,1,1
130,130,50,60,42,0,42,209,837,50,60,-1,-1,-1,-1,1,1,1,1,1,1
131,131,50,72,1,0,1,209,879,50,72,-1,-1,-1,-1,1,1,1,1,1,1
132,132,51,52,0,2,2,-1,-1,-1,-1,208,983,51,52,1,1,1,1,1,1
133,133,51,55,0,2,2,-1,-1,-1,-1,208,982,55,51,1,1,1,1,1,1
134,134,51,56,1,0,1,209,983,51,56,-1,-1,-1,-1,1,1,1,1,1,1
135,135,52,56,1,0,1,209,984,52,56,-1,-1,-1,-1,1,1,1,1,1,1
136,136,53,59,0,72,72,-1,-1,-1,-1,139,752,53,59,1,1,1,1,1,1
137,137,53,63,0,72,72,-1,-1,-1,-1,139,732,63,53,1,1,1,1,1,1
138,138,53,64,18,0,18,210,733,53,64,-1,-1,-1,-1,1,1,1,1,1,1
139,139,53,65,2,0,2,210,751,53,65,-1,-1,-1,-1,1,1,1,1,1,1
140,140,54,55,0,6,6,-1,-1,-1,-1,205,880,54,55,1,1,1,1,1,1
141,141,54,61,1,0,1,210,880,54,61,-1,-1,-1,-1,1,1,1,1,1,1
142,142,54,72,0,1,1,-1,-1,-1,-1,210,879,72,54,1,1,1,1,1,1
143,143,55,56,0,1,1,-1,-1,-1,-1,210,982,55,56,1,1,1,1,1,1
144,144,55,74,92,0,92,210,881,55,74,-1,-1,-1,-1,1,1,1,1,1,1
145,145,55,75,10,0,10,210,973,55,75,-1,-1,-1,-1,1,1,1,1,1,1
146,146,56,58,2,0,2,210,983,56,58,-1,-1,-1,-1,1,1,1,1,1,1
147,147,57,59,0,73,73,-1,-1,-1,-1,139,772,59,57,1,1,1,1,1,1
148,148,57,60,0,2,2,-1,-1,-1,-1,210,836,57,60,1,1,1,1,1,1
149,149,57,68,62,0,62,211,773,57,68,-1,-1,-1,-1,1,1,1,1,1,1
150,150,57,69,2,0,2,211,835,57,69,-1,-1,-1,-1,1,1,1,1,1,1
151,151,58,62,2,0,2,212,983,58,62,-1,-1,-1,-1,1,1,1,1,1,1
152,152,58,75,0,2,2,-1,-1,-1,-1,211,982,75,58,1,1,1,1,1,1
153,153,59,65,0,3,3,-1,-1,-1,-1,211,752,65,59,1,1,1,1,1,1
154,154,59,66,18,0,18,213,753,59,66,-1,-1,-1,-1,1,1,1,1,1,1
155,155,59,67,2,0,2,213,771,59,67,-1,-1,-1,-1,1,1,1,1,1,1
156,156,59,68,0,2,2,-1,-1,-1,-1,212,772,59,68,1,1,1,1,1,1
157,157,60,69,0,2,2,-1,-1,-1,-1,212,836,69,60,1,1,1,1,1,1
158,158,60,70,41,0,41,213,837,60,70,-1,-1,-1,-1,1,1,1,1,1,1
159,159,60,71,1,0,1,213,878,60,71,-1,-1,-1,-1,1,1,1,1,1,1
160,160,60,72,0,4,4,-1,-1,-1,-1,210,878,60,72,1,1,1,1,1,1
161,161,61,72,0,3,3,-1,-1,-1,-1,211,879,72,61,1,1,1,1,1,1
162,162,61,73,1,0,1,213,880,61,73,-1,-1,-1,-1,1,1,1,1,1,1
163,163,61,74,0,3,3,-1,-1,-1,-1,211,880,61,74,1,1,1,1,1,1
164,164,62,75,0,1,1,-1,-1,-1,-1,213,982,75,62,1,1,1,1,1,1
165,165,62,76,2,0,2,213,983,62,76,-1,-1,-1,-1,1,1,1,1,1,1
166,166,63,64,0,4,4,-1,-1,-1,-1,211,732,63,64,1,1,1,1,1,1
167,167,63,83,733,0,733,214,0,63,83,-1,-1,-1,-1,1,1,1,1,1,1
168,168,64,65,0,4,4,-1,-1,-1,-1,211,750,64,65,1,1,1,1,1,1
169,169,64,84,18,0,18,214,733,64,84,-1,-1,-1,-1,1,1,1,1,1,1
170,170,65,66,0,1,1,-1,-1,-1,-1,214,752,65,66,1,1,1,1,1,1
171,171,65,84,2,0,2,214,751,65,84,-1,-1,-1,-1,1,1,1,1,1,1
172,172,66,67,0,1,1,-1,-1,-1,-1,214,770,66,67,1,1,1,1,1,1
173,173,66,77,18,0,18,214,753,66,77,-1,-1,-1,-1,1,1,1,1,1,1
174,174,67,68,0,1,1,-1,-1,-1,-1,214,772,67,68,1,1,1,1,1,1
175,175,67,77,2,0,2,214,771,67,77,-1,-1,-1,-1,1,1,1,1,1,1
176,176,68,69,0,3,3,-1,-1,-1,-1,212,834,68,69,1,1,1,1,1,1
177,177,68,88,62,0,62,214,773,68,88,-1,-1,-1,-1,1,1,1,1,1,1
178,178,69,70,0,1,1,-1,-1,-1,-1,214,836,69,70,1,1,1,1,1,1
179,179,69,88,2,0,2,214,835,69,88,-1,-1,-1,-1,1,1,1,1,1,1
180,180,70,71,0,1,1,-1,-1,-1,-1,214,877,70,71,1,1,1,1,1,1
181,181,70,89,41,0,41,214,837,70,89,-1,-1,-1,-1,1,1,1,1,1,1
182,182,71,72,0,1,1,-1,-1,-1,-1,214,878,71,72,1,1,1,1,1,1
183,183,71,89,1,0,1,214,878,71,89,-1,-1,-1,-1,1,1,1,1,1,1
184,184,72,73,0,1,1,-1,-1,-1,-1,214,879,72,73,1,1,1,1,1,1
185,185,72,89,1,0,1,214,879,72,89,-1,-1,-1,-1,1,1,1,1,1,1
186,186,73,74,0,1,1,-1,-1,-1,-1,214,880,73,74,1,1,1,1,1,1
187,187,73,89,1,0,1,214,880,73,89,-1,-1,-1,-1,1,1,1,1,1,1
188,188,74,75,0,4,4,-1,-1,-1,-1,211,972,74,75,1,1,1,1,1,1
189,189,74,79,92,0,92,214,881,74,79,-1,-1,-1,-1,1,1,1,1,1,1
190,190,75,76,0,1,1,-1,-1,-1,-1,214,982,75,76,1,1,1,1,1,1
191,191,75,79,10,0,10,214,973,75,79,-1,-1,-1,-1,1,1,1,1,1,1
192,192,76,79,2,0,2,214,983,76,79,-1,-1,-1,-1,1,1,1,1,1,1
193,193,77,78,1,0,1,284,772,77,78,-1,-1,-1,-1,1,1,1,1,1,1
194,194,77,80,19,0,19,284,753,77,80,-1,-1,-1,-1,1,1,1,1,1,1
195,195,77,84,0,70,70,-1,-1,-1,-1,215,752,84,77,1,1,1,1,1,1
196,196,77,88,0,70,70,-1,-1,-1,-1,215,772,77,88,1,1,1,1,1,1
197,197,78,80,0,3,3,-1,-1,-1,-1,285,771,80,78,1,1,1,1,1,1
198,198,78,81,1,0,1,287,772,78,81,-1,-1,-1,-1,1,1,1,1,1,1
199,199,78,88,0,3,3,-1,-1,-1,-1,285,772,78,88,1,1,1,1,1,1
200,200,79,82,5,0,5,288,980,79,82,-1,-1,-1,-1,1,1,1,1,1,1
201,201,79,89,0,74,74,-1,-1,-1,-1,215,880,89,79,1,1,1,1,1,1
202,202,79,90,95,0,95,288,881,79,90,-1,-1,-1,-1,1,1,1,1,1,1
203,203,79,91,4,0,4,288,976,79,91,-1,-1,-1,-1,1,1,1,1,1,1
204,204,80,81,0,2,2,-1,-1,-1,-1,288,771,80,81,1,1,1,1,1,1
205,205,80,84,0,5,5,-1,-1,-1,-1,285,752,84,80,1,1,1,1,1,1
206,206,80,85,10,0,10,289,753,80,85,-1,-1,-1,-1,1,1,1,1,1,1
207,207,80,86,8,0,8,289,763,80,86,-1,-1,-1,-1,1,1,1,1,1,1
208,208,80,87,1,0,1,289,771,80,87,-1,-1,-1,-1,1,1,1,1,1,1
209,209,81,87,1,0,1,289,772,81,87,-1,-1,-1,-1,1,1,1,1,1,1
210,210,81,88,0,2,2,-1,-1,-1,-1,288,772,81,88,1,1,1,1,1,1
211,211,82,91,0,1,1,-1,-1,-1,-1,289,979,91,82,1,1,1,1,1,1
212,212,82,92,2,0,2,289,980,82,92,-1,-1,-1,-1,1,1,1,1,1,1
213,213,82,93,2,0,2,289,982,82,93,-1,-1,-1,-1,1,1,1,1,1,1
214,214,82,94,1,0,1,289,984,82,94,-1,-1,-1,-1,1,1,1,1,1,1
215,215,83,84,0,76,76,-1,-1,-1,-1,215,732,83,84,1,1,1,1,1,1
216,216,83,126,733,0,733,290,0,83,126,-1,-1,-1,-1,1,1,1,1,1,1
217,217,84,85,0,1,1,-1,-1,-1,-1,290,752,84,85,1,1,1,1,1,1
218,218,84,102,20,0,20,290,733,84,102,-1,-1,-1,-1,1,1,1,1,1,1
219,219,85,86,0,1,1,-1,-1,-1,-1,290,762,85,86,1,1,1,1,1,1
220,220,85,107,10,0,10,290,753,85,107,-1,-1,-1,-1,1,1,1,1,1,1
221,221,86,87,0,1,1,-1,-1,-1,-1,290,770,86,87,1,1,1,1,1,1
222,222,86,107,8,0,8,290,763,86,107,-1,-1,-1,-1,1,1,1,1,1,1
223,223,87,88,0,1,1,-1,-1,-1,-1,290,772,87,88,1,1,1,1,1,1
224,224,87,107,2,0,2,290,771,87,107,-1,-1,-1,-1,1,1,1,1,1,1
225,225,88,89,0,76,76,-1,-1,-1,-1,215,836,88,89,1,1,1,1,1,1
226,226,88,108,64,0,64,290,773,88,108,-1,-1,-1,-1,1,1,1,1,1,1
227,227,89,90,0,2,2,-1,-1,-1,-1,289,880,89,90,1,1,1,1,1,1
228,228,89,103,44,0,44,290,837,89,103,-1,-1,-1,-1,1,1,1,1,1,1
229,229,90,91,0,2,2,-1,-1,-1,-1,289,975,90,91,1,1,1,1,1,1
230,230,90,95,95,0,95,290,881,90,95,-1,-1,-1,-1,1,1,1,1,1,1
231,231,91,92,0,1,1,-1,-1,-1,-1,290,979,91,92,1,1,1,1,1,1
232,232,91,95,4,0,4,290,976,91,95,-1,-1,-1,-1,1,1,1,1,1,1
233,233,92,93,0,1,1,-1,-1,-1,-1,290,981,92,93,1,1,1,1,1,1
234,234,92,95,2,0,2,290,980,92,95,-1,-1,-1,-1,1,1,1,1,1,1
235,235,93,94,0,1,1,-1,-1,-1,-1,290,983,93,94,1,1,1,1,1,1
236,236,93,95,2,0,2,290,982,93,95,-1,-1,-1,-1,1,1,1,1,1,1
237,237,94,95,1,0,1,290,984,94,95,-1,-1,-1,-1,1,1,1,1,1,1
238,238,95,96,103,0,103,490,881,95,96,-1,-1,-1,-1,1,1,1,1,1,1
239,239,95,98,1,0,1,490,984,95,98,-1,-1,-1,-1,1,1,1,1,1,1
240,240,95,103,0,200,200,-1,-1,-1,-1,291,880,103,95,1,1,1,1,1,1
241,241,96,97,102,0,102,492,881,96,97,-1,-1,-1,-1,1,1,1,1,1,1
242,242,96,98,1,2,3,492,983,96,98,491,983,96,98,1,1,1,1,1,1
243,243,96,103,0,2,2,-1,-1,-1,-1,491,880,103,96,1,1,1,1,1,1
244,244,97,98,1,1,2,493,982,97,98,493,982,97,98,1,1,1,1,1,1
245,245,97,103,0,1,1,-1,-1,-1,-1,493,880,103,97,1,1,1,1,1,1
246,246,97,123,101,0,101,493,881,97,123,-1,-1,-1,-1,1,1,1,1,1,1
247,247,98,99,2,0,2,498,983,98,99,-1,-1,-1,-1,1,1,1,1,1,1
248,248,98,105,1,0,1,498,982,98,105,-1,-1,-1,-1,1,1,1,1,1,1
249,249,98,123,0,5,5,-1,-1,-1,-1,494,981,123,98,1,1,1,1,1,1
250,250,99,100,2,0,2,501,983,99,100,-1,-1,-1,-1,1,1,1,1,1,1
251,251,99,105,0,3,3,-1,-1,-1,-1,499,982,105,99,1,1,1,1,1,1
252,252,100,101,1,0,1,505,983,100,101,-1,-1,-1,-1,1,1,1,1,1,1
253,253,100,104,1,0,1,505,984,100,104,-1,-1,-1,-1,1,1,1,1,1,1
254,254,100,105,0,4,4,-1,-1,-1,-1,502,982,105,100,1,1,1,1,1,1
255,255,101,104,1,1,2,506,983,101,104,506,983,101,104,1,1,1,1,1,1
256,256,101,105,0,1,1,-1,-1,-1,-1,506,982,105,101,1,1,1,1,1,1
257,257,102,107,0,220,220,-1,-1,-1,-1,291,752,102,107,1,1,1,1,1,1
258,258,102,116,19,0,19,510,733,102,116,-1,-1,-1,-1,1,1,1,1,1,1
259,259,102,117,1,0,1,510,752,102,117,-1,-1,-1,-1,1,1,1,1,1,1
260,260,102,126,0,220,220,-1,-1,-1,-1,291,732,126,102,1,1,1,1,1,1
261,261,103,108,0,220,220,-1,-1,-1,-1,291,836,108,103,1,1,1,1,1,1
262,262,103,121,43,0,43,510,837,103,121,-1,-1,-1,-1,1,1,1,1,1,1
263,263,103,122,1,0,1,510,880,103,122,-1,-1,-1,-1,1,1,1,1,1,1
264,264,103,123,0,17,17,-1,-1,-1,-1,494,880,103,123,1,1,1,1,1,1
265,265,104,105,0,4,4,-1,-1,-1,-1,507,982,105,104,1,1,1,1,1,1
266,266,104,106,2,0,2,510,983,104,106,-1,-1,-1,-1,1,1,1,1,1,1
267,267,105,106,0,1,1,-1,-1,-1,-1,511,982,105,106,1,1,1,1,1,1
268,268,105,109,1,0,1,511,982,105,109,-1,-1,-1,-1,1,1,1,1,1,1
269,269,105,123,0,13,13,-1,-1,-1,-1,499,981,123,105,1,1,1,1,1,1
270,270,106,109,0,7,7,-1,-1,-1,-1,512,982,109,106,1,1,1,1,1,1
271,271,106,110,2,0,2,518,983,106,110,-1,-1,-1,-1,1,1,1,1,1,1
272,272,107,108,0,233,233,-1,-1,-1,-1,291,772,107,108,1,1,1,1,1,1
273,273,107,113,2,0,2,523,771,107,113,-1,-1,-1,-1,1,1,1,1,1,1
274,274,107,117,0,13,13,-1,-1,-1,-1,511,752,117,107,1,1,1,1,1,1
275,275,107,131,18,0,18,523,753,107,131,-1,-1,-1,-1,1,1,1,1,1,1
276,276,108,111,60,0,60,525,773,108,111,-1,-1,-1,-1,1,1,1,1,1,1
277,277,108,113,0,2,2,-1,-1,-1,-1,524,772,113,108,1,1,1,1,1,1
278,278,108,121,0,15,15,-1,-1,-1,-1,511,836,108,121,1,1,1,1,1,1
279,279,108,135,4,0,4,525,833,108,135,-1,-1,-1,-1,1,1,1,1,1,1
280,280,109,110,0,7,7,-1,-1,-1,-1,519,982,109,110,1,1,1,1,1,1
281,281,109,112,1,0,1,525,982,109,112,-1,-1,-1,-1,1,1,1,1,1,1
282,282,109,123,0,14,14,-1,-1,-1,-1,512,981,123,109,1,1,1,1,1,1
283,283,110,112,0,1,1,-1,-1,-1,-1,526,982,112,110,1,1,1,1,1,1
284,284,110,115,2,0,2,526,983,110,115,-1,-1,-1,-1,1,1,1,1,1,1
285,285,111,113,0,2,2,-1,-1,-1,-1,526,772,113,111,1,1,1,1,1,1
286,286,111,119,51,0,51,527,773,111,119,-1,-1,-1,-1,1,1,1,1,1,1
287,287,111,120,3,0,3,527,824,111,120,-1,-1,-1,-1,1,1,1,1,1,1
288,288,111,135,6,2,8,527,827,111,135,526,832,111,135,1,1,1,1,1,1
289,289,112,114,1,0,1,527,982,112,114,-1,-1,-1,-1,1,1,1,1,1,1
290,290,112,115,0,1,1,-1,-1,-1,-1,527,982,112,115,1,1,1,1,1,1
291,291,112,123,0,2,2,-1,-1,-1,-1,526,981,123,112,1,1,1,1,1,1
292,292,113,118,2,0,2,528,771,113,118,-1,-1,-1,-1,1,1,1,1,1,1
293,293,113,119,0,1,1,-1,-1,-1,-1,528,772,113,119,1,1,1,1,1,1
294,294,113,131,0,5,5,-1,-1,-1,-1,524,770,131,113,1,1,1,1,1,1
295,295,114,115,0,1,1,-1,-1,-1,-1,528,982,114,115,1,1,1,1,1,1
