state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,drift_sign,conditional_variance_num_digits,conditional_variance_den_digits,conditional_variance_num_mod_1000000007,conditional_variance_den_mod_1000000007,conditional_variance_num_mod_1000000009,conditional_variance_den_mod_1000000009
39,6,4,2,2,3,10,10,600244777,538836230,600244773,538836226,9,10,907687295,538836230,907687295,538836226,1,16,18,416241937,532600223,410955849,690974691
40,6,5,1,5,6,1,1,8,7,8,7,2,2,13,42,13,42,1,1,1,0,1,0,1
41,6,6,2,1,1,10,10,132827487,712381514,132827473,712381504,10,10,420445980,712381514,420445978,712381504,1,16,18,821516713,733398378,816295191,401508481
42,6,7,2,7,6,10,10,523361307,904127176,523361303,904127174,9,10,603759215,808254345,603759215,808254339,1,17,19,640384994,659613368,610784078,408212825
43,6,8,2,4,3,9,9,916009910,634709061,916009910,634709061,8,9,69731162,634709061,69731162,634709061,1,15,17,102723803,470787517,102507941,355685921
44,6,9,2,3,2,9,9,333587971,211569687,333587971,211569687,8,9,32466881,423139374,32466881,423139374,1,14,17,687147289,143945845,687082023,54422381
45,6,10,2,5,3,9,8,121024124,70523229,121024124,70523229,7,8,1161803,23507743,1161803,23507743,1,13,16,935154072,793771766,935151544,783824716
46,6,11,2,11,6,8,8,43668797,23507743,43668797,23507743,7,9,3427609,141046458,3427609,141046458,1,11,15,687724574,977085758,687724498,975980532
47,6,12,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
48,7,0,3,0,1,8,9,30196695,214817752,30196695,214817752,8,9,30196695,214817752,30196695,214817752,1,14,16,926851288,640706682,926796374,634938350
49,7,1,3,1,7,9,9,171123787,429635504,171123787,429635504,9,10,768231005,7448507,768231005,7448501,1,16,18,206205090,5227361,203883528,636054040
50,7,2,2,2,7,9,10,748384517,288906505,748384517,288906503,10,10,660878581,22345521,660878577,22345503,1,16,19,833257819,47046249,821371815,724486315
51,7,3,3,3,7,10,10,694082058,733439023,694082048,733439009,11,11,658257323,134073126,658257291,134073018,1,18,20,285439963,693664957,16697739,81507106
52,7,4,2,4,7,9,9,214399813,239178528,214399813,239178528,9,10,544084579,674249689,544084579,674249687,1,15,17,354489891,855802215,354236227,741389481
53,7,5,2,5,7,11,11,949588138,600951165,949587996,600951027,12,12,642361120,206658127,642360810,206657153,1,20,22,235709813,186861125,401059343,602075532
54,7,6,1,6,7,1,1,9,8,9,8,2,2,15,56,15,56,1,1,1,0,1,0,1
55,7,7,2,1,1,12,12,566182426,602140116,566182044,602139804,11,12,964042317,602140116,964042249,602139804,1,19,22,729582855,594810559,623334483,537250924
56,7,8,2,8,7,9,9,346243001,269075844,346243001,269075844,9,10,271094255,883530901,271094255,883530899,1,15,17,197324070,658749840,197089124,586348032
57,7,9,2,9,7,11,11,164242601,400237793,164242553,400237759,11,12,547558091,801664537,547558067,801664295,1,17,20,979704108,353022355,864062126,660953721
58,7,10,2,10,7,10,10,182402871,450019819,182402867,450019817,9,11,776621935,150138712,776621935,150138692,1,16,19,388174992,150335818,383046842,740105975
59,7,11,2,11,7,8,8,32425487,19931544,32425487,19931544,7,9,7731425,139520808,7731425,139520808,1,11,14,269596488,305430386,269596466,305331070
60,7,12,2,12,7,9,9,564098603,322226628,564098603,322226628,8,10,81970685,255586382,81970685,255586378,1,13,17,788898820,532720199,788890726,428890201
61,7,13,2,13,7,9,9,402820013,214817752,402820013,214817752,8,10,27109315,503724257,27109315,503724255,1,12,16,109918320,281413357,109918074,269876691
62,7,14,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
63,8,0,3,0,1,8,9,80528087,644324691,80528087,644324691,8,9,80528087,644324691,80528087,644324691,1,16,19,158893674,578496052,140155030,87570244
64,8,1,3,1,8,10,10,369006042,865948125,369006040,865948119,10,11,543050102,463792479,543050096,463792449,1,17,19,271777255,313984194,222279559,350280976
65,8,2,2,1,4,10,11,986473452,597844361,986473442,597844339,10,11,174024713,195688715,174024701,195688669,1,18,21,643985875,477573182,884028232,457586271
66,8,3,3,3,8,11,11,553073228,587066145,553073138,587066007,11,12,915846849,174132283,915846773,174132005,1,19,22,127678232,192634433,871372112,473105612
67,8,4,2,1,2,12,12,358745061,761198428,358744729,761198012,11,12,978145854,761198428,978145732,761198012,1,20,23,756651867,733709890,528000796,257950472
68,8,5,2,5,8,12,12,535640856,283595270,535639706,283594018,12,13,216787621,567190540,216786885,567188036,1,21,24,521091483,603388968,428329187,321554230
69,8,6,2,3,4,13,13,112800052,850785810,112796154,850782054,12,12,987355356,425392905,987354818,425391027,1,22,25,857813009,430500677,394548411,893988052
70,8,7,1,7,8,2,1,10,9,10,9,2,2,17,72,17,72,1,1,1,0,1,0,1
71,8,8,2,1,1,13,13,437052510,414268062,437042350,414259608,12,13,22784448,414268062,22782742,414259608,1,23,26,937699200,991909669,954932222,275814475
72,8,9,2,9,8,13,13,162406693,138089354,162403153,138086536,13,14,56449358,104714825,56446400,104692279,1,22,25,140718242,554656633,593830015,252868277
73,8,10,2,5,4,12,12,258496468,712696456,258495204,712695518,12,13,470503613,850785810,470503253,850782054,1,21,24,19237676,839406298,754360149,805874260
74,8,11,2,11,8,12,12,901356359,570898821,901355907,570898509,11,13,930963841,567190540,930963657,567188036,1,20,23,366758780,537711814,606807285,645097145
75,8,12,2,3,2,11,11,276677339,190299607,276677177,190299503,10,12,982455864,380599214,982455854,380599006,1,18,22,853739090,170856869,806283879,516121909
76,8,13,2,13,8,11,11,5696052,396766538,5695994,396766504,10,12,887603464,174132283,887603454,174132005,1,17,21,953699965,574539656,911091075,279569103
77,8,14,2,7,4,11,10,310452066,798922184,310452046,798922174,9,11,649353011,195688715,649353011,195688669,1,15,20,426777171,619393299,425160397,364396570
78,8,15,2,15,8,10,9,217095836,644324691,217095834,644324691,8,10,71896379,154597493,71896379,154597483,1,13,19,138379681,578496052,138363327,87570244
79,8,16,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
80,9,0,3,0,1,10,11,932710792,180675271,932710790,180675237,10,11,932710792,180675271,932710790,180675237,1,18,20,681986639,580604646,782641154,992803584
81,9,1,3,1,9,11,11,952115549,361350542,952115529,361350474,11,12,207689343,252154857,207689215,252154239,1,18,21,830095409,257934856,929814963,976971449
82,9,2,2,2,9,11,12,889975012,84051619,889974918,84051413,11,12,947223945,252154857,947223797,252154239,1,19,22,546528119,321413690,822790429,792742969
83,9,3,3,1,3,12,12,426485921,504309714,426485193,504308478,12,12,258382683,504309714,258382367,504308478,1,21,24,848845417,854463801,22891222,693733142
84,9,4,2,4,9,13,13,823475951,512929135,823473291,512925425,12,13,151062999,512929135,151061987,512925425,1,21,24,441898936,138034832,715507794,848719652
85,9,5,2,5,9,13,13,101063311,538787398,101054103,538776266,13,13,579514762,538787398,579511740,538776266,1,23,25,188946788,242313481,940076475,638476805
86,9,6,2,2,3,13,13,443667927,923272443,443661691,923265765,12,13,828152972,923272443,828151190,923265765,1,24,26,243502466,180821315,510669805,746291200
87,9,7,2,7,9,14,14,446954457,849086554,446850445,848986358,14,14,675442699,849086554,675416619,848986358,1,25,27,536782652,627391828,83691136,716620746
88,9,8,1,8,9,2,2,11,10,11,10,2,2,19,90,19,90,1,1,1,0,1,0,1
89,9,9,2,1,1,15,15,213049745,410444736,212782913,410219292,14,15,802605016,410444736,802563630,410219292,1,25,28,959443135,32713884,633515278,503615622
90,9,10,2,10,9,14,14,185741423,68407456,185695157,68369882,13,14,665288698,68407456,665284182,68369882,1,24,27,428531802,3634876,254290877,722623964
91,9,11,2,11,9,14,14,205902876,712271642,205870018,712246594,13,14,224237542,712271642,224235300,712246594,1,22,25,525841755,822303003,436521003,104947200
92,9,12,2,4,3,13,13,609366350,452045276,609360488,452041102,12,13,339972651,452045276,339972355,452041102,1,22,25,661255057,123501666,975699642,58304000
93,9,13,2,13,9,12,12,947101690,326939372,947100856,326938816,11,12,919300378,326939372,919300348,326938816,1,20,23,828353551,269411150,572308604,556851205
94,9,14,2,14,9,12,12,243525175,939116148,243524433,939115686,11,12,449344512,939116148,449344492,939115686,1,19,23,791270458,260783973,293128752,753806229
95,9,15,2,5,3,12,12,898381737,626077432,898381213,626077124,10,12,188252686,626077432,188252676,626077124,1,18,22,44486936,28975997,781814949,417089584
96,9,16,2,16,9,11,11,389753907,771012910,389753815,771012860,10,11,723859560,313038716,723859558,313038562,1,15,21,20253966,645088360,18265238,987046444
97,9,17,2,17,9,11,11,643634049,180675271,643633985,180675237,10,12,721226820,626077432,721226818,626077124,1,15,20,364166105,580604646,363864619,992803584
98,9,18,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
99,10,0,3,0,1,11,12,461805636,185530770,461805606,185530468,11,12,461805636,185530770,461805606,185530468,1,21,23,933409200,375841238,711598406,246505038
100,10,1,3,1,10,11,12,617165960,371061540,617165786,371060936,12,12,450149508,927653850,450149222,927652340,1,21,23,266888519,503364945,229959267,986020152
101,10,2,2,1,5,12,12,114353166,113184613,114352400,113182799,13,13,458581217,565923065,458579201,565913995,1,22,24,232100075,530284477,93224102,874181296
102,10,3,3,3,10,13,13,418887178,679107678,418881348,679096794,13,14,75774366,395538369,75761540,395483943,1,23,26,273600469,90241039,292547801,470526377
103,10,4,2,2,5,14,14,448436941,37323020,448415649,37290364,14,14,167538651,186615100,167497499,186451820,1,24,27,954271668,812169351,928512907,234737357
104,10,5,2,1,2,14,14,254574137,111969060,254500473,111871092,14,14,198589607,111969060,198564927,111871092,1,25,28,677085121,309524110,718281319,112636195
105,10,6,2,3,5,15,15,683337150,335907180,683087680,335613276,15,15,408964196,679535893,408598554,678066371,1,26,29,326877385,785716976,947957187,13725746
106,10,7,2,7,10,15,15,192505205,7721533,191673117,6839819,15,16,435500656,38607665,434426214,34199095,1,27,30,145645864,71452735,685902875,123531714
107,10,8,2,4,5,16,16,772296019,23164599,769552251,20519457,16,16,768821678,115822995,765683400,102597285,1,28,31,753634885,643074615,113799671,111785417
108,10,9,1,9,10,2,2,12,11,12,11,2,3,21,110,21,110,1,1,1,0,1,0,1
109,10,10,2,1,1,16,16,142456003,802120353,135504069,796168785,15,16,340335657,802120353,339335293,796168785,1,27,30,131550213,290278658,347780723,500310338
110,10,11,2,11,10,16,15,286273740,267373451,283871774,265389595,16,16,921629446,673734496,919432204,653895932,1,28,30,420981939,799229474,496732339,500379301
111,10,12,2,6,5,15,15,228821871,755791155,227973061,755129871,15,16,609362453,778955754,609086115,775649328,1,25,28,742624935,361608381,617981096,722226060
112,10,13,2,13,10,15,15,266353755,251930385,266052275,251709957,14,16,388442552,519303836,388293318,517099552,1,25,29,252152129,441965799,309527080,882720740
113,10,14,2,7,5,14,14,128679605,83976795,128572619,83903319,14,15,55560460,419883975,55539862,419516595,1,23,27,472018695,4464301,675259699,897805268
114,10,15,2,3,2,14,14,636591765,27992265,636553901,27967773,13,14,189206728,55984530,189204474,55935546,1,22,27,741548383,894345263,500927658,319539765
115,10,16,2,8,5,13,13,510424582,9330755,510411222,9322591,12,14,477476856,46653775,477475364,46612955,1,20,25,566728045,271660055,757042877,245651919
116,10,17,2,17,10,13,13,351536057,669776923,351531357,669774203,12,14,129152935,697769188,129152191,697741976,1,20,25,839412165,443140068,196339100,966907907
117,10,18,2,9,5,12,12,660113932,556592310,660112284,556591404,11,13,291238884,782961536,291238802,782957002,1,17,23,186962032,398415559,98792704,928958674
118,10,19,2,19,10,12,12,627991861,185530770,627991285,185530468,11,13,754833966,855307693,754833940,855304671,1,17,23,162220394,375841238,132824518,246505038
119,10,20,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
120,11,0,3,0,1,11,12,231607182,807591339,231607100,807590461,11,12,231607182,807591339,231607100,807590461,1,21,23,656886913,361697482,699832084,842819645
121,11,1,3,1,11,12,13,938132375,845548006,938130975,845542730,13,14,473908056,301028003,473897914,300969949,1,22,25,888010004,148638687,861710429,940456803
122,11,2,2,2,11,13,13,898466253,536644004,898460125,536628172,14,14,809840719,903084009,809804959,902909847,1,23,26,133712142,13244521,389139506,392333456
123,11,3,3,3,11,14,14,374695808,219864003,374649162,219769005,15,15,462061858,418504019,461833740,417459037,1,25,28,479984997,476802756,681813579,124004290
124,11,4,2,4,11,14,15,169549520,659592009,169379178,659307015,15,16,226676691,255512050,225942907,252377102,1,26,29,473878153,291224776,440830256,116038601
125,11,5,2,5,11,15,15,371312395,978776020,370723083,977921036,16,16,190556252,766536150,188348742,757131306,1,27,30,922519929,621022970,635035126,44347400
126,11,6,2,6,11,15,16,254162852,936328046,252167094,933763090,16,17,177823117,299608436,171259521,271393900,1,28,31,484553418,589206695,79856022,399126600
127,11,7,2,7,11,16,16,287633902,808984124,280977240,801289252,16,17,501084075,898825308,481724903,814181700,1,29,32,396924042,302860220,342595134,592139373
128,11,8,2,8,11,17,17,647274413,426952358,625324413,403867738,17,18,704399658,696475910,647626612,442545082,1,30,33,566770753,725741966,573307048,329254312
129,11,9,2,9,11,17,17,712814677,280857067,641080929,211603205,17,18,313247809,89427716,147461329,327635237,1,31,34,182841317,531677652,85889487,963288790
130,11,10,1,10,11,2,2,13,12,13,12,2,3,23,132,23,132,1,1,1,0,1,0,1
131,11,11,2,1,1,17,17,67870142,381928399,887927385,226107209,17,17,685941750,381928399,661820176,226107209,1,30,33,668079997,742702267,757830413,562706187
132,11,12,2,12,11,17,17,352918168,230321401,321923598,204351203,17,18,118243029,533535397,88945133,247863215,1,30,32,225080250,193633586,417194071,395856246
133,11,13,2,13,11,17,16,780066561,820214272,758250745,802900808,16,17,917946656,22356929,903047718,831908816,1,28,31,325322160,910403738,58938806,710650700
134,11,14,2,14,11,15,15,61284567,401684525,59355413,400241737,15,16,50546922,418529747,49525270,402659071,1,27,31,559836902,990044866,165183707,190072301
135,11,15,2,15,11,16,15,913302586,202246031,910574604,200322313,15,17,12637932,224706327,11485886,203545425,1,26,30,997827635,221116097,863009831,465563593
136,11,16,2,16,11,15,15,530599850,867041011,530118752,866720393,14,16,963942237,537451058,963780065,533924242,1,24,29,819369498,246790679,235975334,940618185
137,11,17,2,17,11,15,15,54823398,244694005,54484924,244480259,14,16,443259321,691634041,443169797,689282831,1,23,28,702420631,582976746,635257804,437846468
138,11,18,2,18,11,14,13,156880003,103724501,156850315,103706689,13,14,858639022,140969504,858633072,140773570,1,21,27,886411624,64775194,927651452,493094056
139,11,19,2,19,11,14,14,223087676,804966006,223046114,804942258,13,15,159610413,854626010,159604469,854364766,1,20,26,523672661,784975027,769110867,610343789
140,11,20,2,20,11,13,13,430455147,134161001,430447891,134157043,12,14,51786583,475771004,51785923,475727464,1,19,25,232409611,531663895,292617418,512260425
141,11,21,2,21,11,12,12,965630465,807591339,965628781,807590461,11,13,662517045,883504673,662516973,883494999,1,17,23,726807001,723394964,697109797,685639281
142,11,22,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
143,12,0,3,0,1,12,14,559738634,949652519,559736656,949629651,12,14,559738634,949652519,559736656,949629651,1,24,27,901048180,530166061,35414089,942213616
144,12,1,3,1,12,13,14,507632864,899305031,507621650,899259293,14,15,96144651,395830151,96100231,395555713,1,25,27,308767987,120664230,358320141,768854437
145,12,2,2,1,6,14,14,138615886,697915079,138566848,697777861,13,14,698160567,949652519,698156207,949629651,1,25,28,196337976,85978063,711928252,919689879
146,12,3,3,1,4,15,15,73559482,187490446,73186308,186667130,14,15,263343437,93745223,263259765,93333565,1,27,30,831613347,95210247,462857148,108835347
147,12,4,2,1,3,14,14,930991543,43267026,930886719,43077030,14,14,916569201,43267026,916527709,43077030,1,25,28,671949307,525780431,634432878,496920230
148,12,5,2,5,12,16,16,967689782,687414007,962975292,680004161,15,16,882300310,843707007,881486784,840002085,1,29,32,558931119,712029958,978691142,815663035
149,12,6,2,1,2,16,17,350910110,62242007,334944080,40012465,16,17,819789110,62242007,814937852,40012465,1,30,33,317201548,408269580,733386206,340967252
150,12,7,2,7,12,17,17,337815120,186726021,284561954,120037395,16,16,494722905,296681507,491135039,280009351,1,31,34,146013277,674426199,701118689,68705241
151,12,8,2,2,3,15,15,501578597,942698844,501357161,942446556,14,15,873112708,942698844,873059466,942446556,1,26,29,448308488,258168608,424439118,922411618
152,12,9,2,3,4,18,18,236861561,680534182,662993170,80336546,17,18,113230464,340267091,51370378,40168273,1,33,35,375561218,628521741,621636420,565124476
153,12,10,2,5,6,18,18,187247222,41602532,325333450,241009638,18,18,485911781,41602532,124492085,241009638,1,34,36,641285977,656695634,426244314,86120239
154,12,11,1,11,12,2,2,14,13,14,13,2,3,25,156,25,156,1,1,1,0,1,0,1
155,12,12,2,1,1,18,18,132720308,468738903,776408361,157097823,17,18,663981412,468738903,619310538,157097823,1,32,35,586807048,647630310,981525141,769221804
156,12,13,2,13,12,18,18,224032627,31201899,632192637,680757233,18,19,760922279,124807596,245489211,723028914,1,33,36,958689880,494391295,794085643,110942635
157,12,14,2,7,6,18,18,646676104,10400633,88443336,560252414,17,18,602417393,20801266,536297721,120504819,1,32,35,115300684,166043478,305322135,567882520
158,12,15,2,5,4,17,17,409020071,670133549,212276139,520084141,17,18,285412553,680534182,248683869,80336546,1,31,34,30280488,351782611,427491422,285320282
159,12,16,2,4,3,17,17,895620994,890044521,826301754,840028053,16,17,708894973,890044521,706264359,840028053,1,29,33,220505463,816864740,430727569,476146702
160,12,17,2,17,12,17,16,638483219,296681507,614108019,280009351,16,17,539404334,186726021,536379084,120037395,1,28,32,271593955,979651644,230944188,941794086
161,12,18,2,3,2,16,16,753664859,765560507,745114013,760003123,15,16,210648204,531121007,210218666,520006237,1,27,31,866023731,775516854,686001524,771310460
162,12,19,2,19,12,16,15,859941015,921853507,856948451,920001047,15,16,268025201,687414007,267787197,680004161,1,25,30,942272802,419501875,599105957,863478947
163,12,20,2,5,3,15,15,98664067,640617838,97619073,640000352,13,15,364301013,640617838,364285165,640000352,1,24,29,573920603,491055767,813686889,873719890
164,12,21,2,7,4,15,15,532476983,546872615,532112823,546666787,13,15,301799641,187490446,301783801,186667130,1,22,29,828599016,943450647,423454560,319302212
165,12,22,2,11,6,14,14,136525444,848957543,136398780,848888935,12,14,826873256,697915079,826871498,697777861,1,21,28,68377494,771494521,788156379,479922472
166,12,23,2,23,12,14,14,297582455,949652519,297538475,949629651,12,15,728981656,395830151,728979898,395555713,1,19,27,530843654,530166061,309719811,942213616
167,12,24,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
168,13,0,3,0,1,13,14,481481675,334446558,481465843,334249526,13,14,481481675,334446558,481465843,334249526,1,25,28,995539773,843766473,516316451,156429995
169,13,1,3,1,13,14,15,69104111,668893116,69014391,668499052,15,16,229460327,695610452,228688031,690487604,1,26,29,682094486,500263477,509685298,502879902
170,13,2,2,2,13,15,15,961511093,6679334,961118789,5497138,16,16,486285457,86831342,483549873,71462794,1,26,29,978670343,643195899,909112472,646559874
171,13,3,3,3,13,15,15,403835805,434296575,403409321,433283265,16,16,946975719,645855440,944471351,632682400,1,28,32,778740270,85365414,437168892,933086790
172,13,4,2,4,13,16,16,212652965,824045608,210472589,819789704,16,17,468306120,712592834,456984850,657266062,1,28,31,786381823,310731551,343280460,735911248
173,13,5,2,5,13,17,17,719155523,360684036,681439619,296845452,17,18,545601570,688892440,374487724,858990849,1,30,33,217649889,559228359,230696966,368575619
174,13,6,2,6,13,17,17,334104654,416410423,308559028,378107273,17,18,844897957,413335464,742623717,915394513,1,30,33,64542086,169255456,266171766,608810557
175,13,7,2,7,13,18,18,400686908,246156303,974661987,671609050,18,19,485835662,200031918,969342418,730917578,1,32,35,434694907,82477334,49877818,982374101
176,13,8,2,8,13,18,18,413861231,747693786,132902243,402965430,18,19,398645722,720019155,504005737,238550545,1,32,35,416035572,709691845,606878474,313654676
177,13,9,2,9,13,19,19,209442766,215406713,618500405,44481396,19,20,784095541,800287255,640172638,578258148,1,34,37,588938230,680664012,908724827,572301470
178,13,10,2,10,13,19,19,886495498,729244032,907436691,626688843,19,20,232001126,480172353,529788508,146954887,1,34,37,735302151,485039046,377429796,406028531
179,13,11,2,11,13,20,20,309032148,938660410,270160690,400332564,20,21,692153463,202585246,108430775,204323287,1,35,38,531662090,876254947,546893183,193774095
180,13,12,1,12,13,2,2,15,14,15,14,2,3,27,182,27,182,1,1,1,0,1,0,1
181,13,13,2,1,1,20,20,992049951,611985912,314656913,900748269,19,20,380064039,611985912,413908653,900748269,1,36,39,649134025,466196120,923612798,951092366
182,13,14,2,14,13,20,19,957420621,101997652,607001103,650124716,20,21,18500868,325969469,789268333,451621236,1,34,37,697409273,631442626,800102445,970410649
183,13,15,2,15,13,19,19,869097704,734665106,640036876,100083141,19,20,278293562,550646315,819232219,301080824,1,34,37,407577713,548965388,719128051,505569046
184,13,16,2,16,13,18,18,570448395,91155504,70556567,703336111,18,19,957341036,185021545,663857694,143369362,1,31,35,223595788,851328741,603655002,584469201
185,13,17,2,17,13,18,17,450204480,900550246,199346686,715874342,17,19,543304128,707153121,421643194,306366365,1,31,36,546868695,698135380,221366495,290192213
186,13,18,2,18,13,18,18,171096593,717308618,863204484,501853396,17,19,312700662,325011971,188297146,524094094,1,30,35,822938237,855348381,301157190,810021364
187,13,19,2,19,13,18,17,404020234,811539081,188540292,667902267,17,18,833020580,550007983,760880822,682729399,1,29,34,44078692,95038709,462074133,312224598
188,13,20,2,20,13,17,17,134651945,635256517,97031237,611317049,16,18,45345022,258334665,35065200,947121574,1,26,31,63966449,419716644,873791990,714993713
189,13,21,2,21,13,15,15,607157239,945433464,606408103,944977476,14,16,38941447,290634948,38778451,284707080,1,25,30,492564610,278071626,307840509,853487526
