legacy_sector,block_dimension,matrix_units,expected_matrix_units,diagonal_units,expected_diagonal_units,off_diagonal_units,expected_off_diagonal_units,coefficient_source,canonical_gauge_status
12,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
13,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
14,5,25,25,5,5,20,20,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
15,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
16,3,9,9,3,3,6,6,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
17,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
18,6,36,36,6,6,30,30,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
19,1,1,1,1,1,0,0,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
20,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
21,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
22,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
23,3,9,9,3,3,6,6,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
24,1,1,1,1,1,0,0,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
25,1,1,1,1,1,0,0,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_CANONICAL_GAUGE
26,1,1,1,1,1,0,0,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_CANONICAL_GAUGE
27,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
28,5,25,25,5,5,20,20,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
29,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
30,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
31,10,100,100,10,10,90,90,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
32,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
33,2,4,4,2,2,2,2,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_CANONICAL_GAUGE
34,1,1,1,1,1,0,0,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
35,9,81,81,9,9,72,72,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
36,12,144,144,12,12,132,132,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
37,11,121,121,11,11,110,110,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
38,8,64,64,8,8,56,56,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
