left,right,left_raw_support,right_raw_support,intersection_raw_support,hom_rank,matrix_unit_count,public_collapse_residue_rank
Pi33,unit_top_all_39,{19},"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",{19},4,4,4
Pi33,zero,{19},{},{},0,0,0
Pi33,Pi33,{19},{19},{19},4,4,4
Pi33,pure_Sminus_doublet_25_26,{19},"{30,29}",{},0,0,0
Pi33,mixed_S_channel_6_26,{19},"{9,29}",{},0,0,0
Pi33,Pi33_plus_pure_Sminus_doublet,{19},"{30,29,19}",{19},4,4,4
Pi33,Pi33_plus_mixed_S_channel,{19},"{9,29,19}",{19},4,4,4
pure_Sminus_doublet_25_26,unit_top_all_39,"{30,29}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{29,30}",2,2,2
pure_Sminus_doublet_25_26,zero,"{30,29}",{},{},0,0,0
pure_Sminus_doublet_25_26,Pi33,"{30,29}",{19},{},0,0,0
pure_Sminus_doublet_25_26,pure_Sminus_doublet_25_26,"{30,29}","{30,29}","{29,30}",2,2,2
pure_Sminus_doublet_25_26,mixed_S_channel_6_26,"{30,29}","{9,29}",{29},1,1,1
pure_Sminus_doublet_25_26,Pi33_plus_pure_Sminus_doublet,"{30,29}","{30,29,19}","{29,30}",2,2,2
pure_Sminus_doublet_25_26,Pi33_plus_mixed_S_channel,"{30,29}","{9,29,19}",{29},1,1,1
mixed_S_channel_6_26,unit_top_all_39,"{9,29}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{9,29}",5,5,5
mixed_S_channel_6_26,zero,"{9,29}",{},{},0,0,0
mixed_S_channel_6_26,Pi33,"{9,29}",{19},{},0,0,0
mixed_S_channel_6_26,pure_Sminus_doublet_25_26,"{9,29}","{30,29}",{29},1,1,1
mixed_S_channel_6_26,mixed_S_channel_6_26,"{9,29}","{9,29}","{9,29}",5,5,5
mixed_S_channel_6_26,Pi33_plus_pure_Sminus_doublet,"{9,29}","{30,29,19}",{29},1,1,1
mixed_S_channel_6_26,Pi33_plus_mixed_S_channel,"{9,29}","{9,29,19}","{9,29}",5,5,5
Pi33_plus_pure_Sminus_doublet,unit_top_all_39,"{30,29,19}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{19,29,30}",6,6,6
Pi33_plus_pure_Sminus_doublet,zero,"{30,29,19}",{},{},0,0,0
Pi33_plus_pure_Sminus_doublet,Pi33,"{30,29,19}",{19},{19},4,4,4
Pi33_plus_pure_Sminus_doublet,pure_Sminus_doublet_25_26,"{30,29,19}","{30,29}","{29,30}",2,2,2
Pi33_plus_pure_Sminus_doublet,mixed_S_channel_6_26,"{30,29,19}","{9,29}",{29},1,1,1
Pi33_plus_pure_Sminus_doublet,Pi33_plus_pure_Sminus_doublet,"{30,29,19}","{30,29,19}","{19,29,30}",6,6,6
Pi33_plus_pure_Sminus_doublet,Pi33_plus_mixed_S_channel,"{30,29,19}","{9,29,19}","{19,29}",5,5,5
Pi33_plus_mixed_S_channel,unit_top_all_39,"{9,29,19}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{9,19,29}",9,9,9
Pi33_plus_mixed_S_channel,zero,"{9,29,19}",{},{},0,0,0
Pi33_plus_mixed_S_channel,Pi33,"{9,29,19}",{19},{19},4,4,4
Pi33_plus_mixed_S_channel,pure_Sminus_doublet_25_26,"{9,29,19}","{30,29}",{29},1,1,1
Pi33_plus_mixed_S_channel,mixed_S_channel_6_26,"{9,29,19}","{9,29}","{9,29}",5,5,5
Pi33_plus_mixed_S_channel,Pi33_plus_pure_Sminus_doublet,"{9,29,19}","{30,29,19}","{19,29}",5,5,5
Pi33_plus_mixed_S_channel,Pi33_plus_mixed_S_channel,"{9,29,19}","{9,29,19}","{9,19,29}",9,9,9
