basis_id,source0_addr,source1_addr,target_addr,coeff,weak_class_code,owner_cell_count,graph_degree,weighted_degree,owner_lln_var_num,owner_lln_var_den
162,699,876,613,1,11,40,6,82,38807400,941336550625
163,699,878,614,2,11,2,4,6,1940446,941336550625
164,699,879,616,2,11,1,3,4,970224,941336550625
165,699,970,657,1,11,90,5,182,87312150,941336550625
166,699,979,658,1,11,9,4,20,8731944,941336550625
167,699,981,661,1,11,2,4,6,1940446,941336550625
168,699,982,668,1,11,1,3,4,970224,941336550625
169,700,726,531,2,11,1454,3,1456,1408593034,941336550625
170,700,732,532,1,11,22,5,20,21344466,941336550625
171,700,751,561,2,11,133,8,52,129022236,941336550625
172,700,752,572,6,11,1,4,4,970224,941336550625
173,700,771,573,1,11,19,4,40,18433914,941336550625
174,700,772,575,1,11,1,4,4,970224,941336550625
175,700,825,581,1,11,53,4,108,51419116,941336550625
176,700,826,582,1,11,1,4,4,970224,941336550625
177,700,832,583,1,11,6,4,14,5821314,941336550625
178,700,835,588,1,11,3,5,8,2910666,941336550625
179,700,836,605,1,11,1,4,4,970224,941336550625
180,700,872,613,1,11,36,4,74,34926804,941336550625
181,700,875,614,2,11,3,4,8,2910666,941336550625
182,700,878,616,2,11,3,5,8,2910666,941336550625
183,700,880,618,6,11,3,6,8,2910666,941336550625
184,700,967,657,1,11,87,4,176,84402006,941336550625
185,700,970,661,1,11,3,4,8,2910666,941336550625
186,700,984,672,1,11,17,7,31,16493536,941336550625
187,958,836,773,1,12,16512,9,644,15747709056,941336550625
188,969,880,837,1,12,11836,10,626,11343492204,941336550625
189,969,984,881,1,11,27976,6,477,26360358024,941336550625
190,970,732,701,1,12,197910,5,1736,152848861650,941336550625
191,970,880,840,1,12,1,4,4,970224,941336550625
192,971,836,775,1,12,13,5,28,12612756,941336550625
193,972,752,733,1,12,5440,8,584,5248430400,941336550625
194,972,836,777,2,12,1,4,4,970224,941336550625
195,972,878,837,1,12,126,5,90,122232474,941336550625
196,972,982,881,1,11,306,6,210,296795214,941336550625
197,974,836,793,1,12,2,4,6,1940446,941336550625
198,977,835,773,1,12,1197,9,164,1159926516,941336550625
199,978,772,753,2,12,5560,9,596,5363537400,941336550625
200,978,831,773,1,12,59,4,120,57239794,941336550625
201,979,732,702,2,12,9,5,20,8731944,941336550625
202,979,750,733,1,12,126,4,50,122232474,941336550625
203,979,767,753,4,12,15,6,32,14553150,941336550625
204,979,772,754,1,12,5,4,12,4851100,941336550625
205,979,833,774,1,12,7,6,14,6791526,941336550625
206,979,835,775,2,12,4,4,8,3880884,941336550625
207,979,879,838,1,12,38,7,30,36867106,941336550625
208,980,982,882,1,11,184,4,62,178487544,941336550625
209,981,732,704,1,12,2,4,6,1940446,941336550625
210,981,830,774,1,12,4,4,8,3880884,941336550625
211,981,874,837,1,12,342,7,94,331699986,941336550625
212,982,731,701,1,12,8784,6,1476,8445297744,941336550625
213,982,745,733,1,12,39,6,32,37837254,941336550625
214,982,751,735,1,12,25,7,32,24255000,941336550625
215,982,752,738,1,12,10,6,22,9702150,941336550625
216,982,772,759,2,12,42,6,34,40747686,941336550625
217,982,828,773,1,12,224,8,120,217280224,941336550625
218,982,835,780,1,12,15,7,16,14553150,941336550625
219,982,836,794,1,12,8,7,18,7761736,941336550625
220,982,876,839,1,12,14,6,26,13582954,941336550625
221,982,959,881,1,12,790,9,178,765853650,941336550625
222,982,980,882,1,12,42,3,46,40747686,941336550625
223,983,730,703,1,12,16,6,34,15523344,941336550625
224,983,732,707,1,12,3,6,8,2910666,941336550625
225,983,757,753,1,12,20,5,18,19404100,941336550625
226,983,828,774,1,12,4,3,10,3880884,941336550625
227,983,836,810,1,12,2,6,6,1940446,941336550625
228,983,866,838,1,12,2,4,6,1940446,941336550625
229,984,714,701,1,12,1430,3,717,1385376850,941336550625
230,984,726,703,1,12,12,3,14,11642556,941336550625
231,984,729,707,1,12,3,3,5,2910666,941336550625
232,984,730,708,1,12,1,3,3,970224,941336550625
233,984,732,715,1,12,2,3,4,1940446,941336550625
234,984,742,733,1,12,20,4,14,19404100,941336550625
235,984,745,734,1,12,6,3,7,5821314,941336550625
236,984,748,735,2,12,6,3,7,5821314,941336550625
237,984,750,737,1,12,4,3,6,3880884,941336550625
238,984,751,738,2,12,2,3,5,1940446,941336550625
239,984,752,752,2,5,2,4,5,1940446,941336550625
240,984,756,753,2,12,4,3,6,3880884,941336550625
241,984,758,754,1,12,6,5,12,5821314,941336550625
242,984,770,759,1,12,24,3,16,23284824,941336550625
243,984,772,761,1,12,4,3,6,3880884,941336550625
244,984,824,773,1,12,104,4,56,100892584,941336550625
245,984,830,776,2,12,10,6,12,9702150,941336550625
246,984,834,809,1,12,8,4,8,7761736,941336550625
247,984,835,813,2,12,1,3,3,970224,941336550625
248,984,836,817,1,12,1,3,3,970224,941336550625
249,984,865,837,1,12,87,6,35,84402006,941336550625
250,984,875,839,1,12,19,4,14,18433914,941336550625
251,984,876,840,1,12,2,3,5,1940446,941336550625
252,984,878,842,1,12,10,4,12,9702150,941336550625
253,984,880,845,1,12,19,6,30,18433914,941336550625
254,984,924,881,1,12,88,3,48,85372056,941336550625
255,984,926,883,1,12,4,3,6,3880884,941336550625
256,984,948,886,1,12,44,3,26,42687964,941336550625
257,984,958,888,1,12,20,3,14,19404100,941336550625
258,984,984,893,2,2,82,6,41,79551726,941336550625
