sample,K,K2,lambda,support,a_sha256
15,0.9991737103190881,0.9983481033928129,0.04,8,fbe45a0a2025f3a87f258671e69900de76008337ad366bc59f53400ee26f590e
16,0.9998667131157889,0.9997334439969714,0.04,24,5c294db7e4cf859cf0501bace828ee6c401d43b82db4f88db1815213980405ff
17,0.9996933264849628,0.9993867470185703,0.04,24,29cdc4590dc9a375f6509b80315d6788295d7af5b08fa39ffebcab57633dc0ee
18,0.9995558302706301,0.9991118578280087,0.04,24,98eef85e6c9e8f9293bf30bf90048f61889de22960986cab9d238a519d7820a9
19,0.9997706967315518,0.9995414460430927,0.04,24,ac8f141b2a63aebe0d731e6c2c565d02d5dd84181f8d3f61879168cfb1d26d1b
20,0.9998030130633901,0.9996060649306335,0.04,18,330dccc1adaf21a41d958203baabe83ea8795d421a534512f1611da4252d3255
21,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,ea160cf27fa71e8819d0af52aa9b8bb7366498388a3b9047479bfba88c25171a
22,0.9997834398340195,0.9995669265663445,0.04,24,a8b2a569af5a09efb3fb2a303c8ecbe6842de2f111b032f54801c629c2fee1f5
23,0.9998557928186008,0.9997116064329129,0.04,24,7cf063a0693a75cd7d97cf155c4f8b6cf9eaf038465db9e282277992ba248e83
24,0.9996799482122606,0.9993599988576679,0.04,24,f5126ee36cfb107e4aa1b0b9df088922e9960c0155c501cdc272cd1cd9fd5ff4
25,0.999725197990421,0.9994504714969866,0.04,19,f7c4762363e15a9c452eaa4673f51db151ed7452efca7e74da64e9cbca0dfbd8
26,0.9998667131157831,0.9997334439969598,0.04,24,3c37588eccbfc5fa704fb1106c927c16aeb2638f2d111ff37c45258c24e2c10b
27,0.999688842231782,0.9993777812827207,0.04,24,b633883de1af2414b7486d3b7771928e04426995ea508f2da785673c8001da96
28,0.9996641162721523,0.9993283453621833,0.04,24,78b324d9edaef3a7176bb9e44c47ae51ff1342f035d81c547f07eb85e44a7d81
29,0.9995926936020287,0.9991855531025593,0.04,24,5c7d0b6c19c3fba9dd590a4a6b5e3b1613db6485906a872fd3c5ac3ea07dfed7
30,0.9991836035417894,0.9983678735867556,0.04,6,3d8b488fb160aa7ea882fabf53ca237caf6f5646b4861c088f6adf8acb873038
31,0.9998667131157889,0.9997334439969714,0.04,24,6d618231851ab39425177e15566d125612179520b38ec202858878fb505b3333
32,0.9996888612127015,0.9993778192327479,0.04,24,47c0c5a7ae2806c189ee5df1920defab64d0fdd68616718e851dd77c1a1f685c
33,0.9995469482324116,0.9990941017207274,0.04,24,0da0afa1aefdd63fe699e7ff2d32fe4da74e69e7d4c4323f9b046e77d0786eaf
34,0.9996348286630559,0.999269790676217,0.04,24,16dc11920acf40b66eec140519783da85d1b3aee61f51d82343fd7f90c0a68bf
35,0.9997168754173927,0.9994338309943147,0.04,23,202a5a518850c025b66bdc5774707350b9542a40d4488570cc50aa956ca67eff
36,0.9998667141355635,0.9997334460362487,0.04,24,f94659703182b4ee95fc9241daa011eace7fb70c881fce59f4352e5f77333644
37,0.9994308244280019,0.9988619728168355,0.04,24,ad85c885689e581a2ac9e84c19085e564b6e46c285b1022d6f4d8decfc133ce2
38,0.9993672509894762,0.9987349023502627,0.04,24,ae23017667829c9f89e05b6de77abb8620ddaa63a53506461274c152d010bce0
39,0.9998036727646489,0.9996073840736811,0.04,24,95fe72adc1640170f0cfdfa5a6767616c744387c8dbd7c2cff092c6c40f31783
40,0.9995987873975629,0.9991977357666783,0.04,13,7e940430379733e18762e6159c05af6b9df6e5f20f82d85cb742277778743d2b
41,0.9998667141355635,0.9997334460362487,0.04,24,92752e342cbdc9059e7d8508e34bed0b68a38d33355e27f919cbf6e09e22582f
42,0.9996554563760749,0.9993110314624586,0.04,24,598778720b897337bcd6833449ba2ee8a32589c2342edef665a9573687843b1e
43,0.999440633376034,0.9988815796430879,0.04,24,10237d383fe34480756638e4ae5e8ca140f9e9628e96f3c5d3ae2ae5fb2d598a
44,0.9996969599667925,0.9993940117668467,0.04,24,e5f954d8881b1f224e0cf0ccd756be863dff27df098104277605da6fe729dc87
45,0.9999745803756955,0.9999491613975484,0.04,3,ac9600f6a51484e4773bcc09a32956c5176745cda60cbead1fbaacb6c53d365e
46,0.9998667141355606,0.9997334460362429,0.04,24,a82233e5878d23639011f08a52853448d8f8811b5de16d029c168c526afae085
47,0.999671188328618,0.9993424847743512,0.04,24,7a6c46d8f21625df2fcd31b16d8b6ac1335b9630ab257ca4cc680c25aa98775d
48,0.9995958285229738,0.9991918204005305,0.04,24,6da068c18a73886dd011b32a3ef8cb05548cb0471c9eb5487944b8d2c617da68
49,0.9993397776525688,0.9986799911986857,0.04,24,45ca55911f6de507645def0fd64ae568cc6bc6026fef861ba4bc41d2d2f7fa2f
50,0.9997922287425819,0.9995845006540592,0.04,18,c18d1fc8012a28d96fc258b9f08b821b09da9d6ba9bc615bc10a2045711a812a
51,0.9998667141355606,0.9997334460362429,0.04,24,75de7b099699298fddd6fc06197fd81ba2c1433b1bc9f609284c3ffbd4c1e989
52,0.999268587206869,0.9985377093784119,0.04,24,217b6f02ffed11ffe47875c962129269093042f08ed2efde6abc653b5f77651c
53,0.9997305570887338,0.9994611867769502,0.04,24,13e95310b18aa887c8fa9a465daf69a0cc3636d77fee7f42011914d5f119fbf7
54,0.9996313546364016,0.9992628451722074,0.04,24,b8bfa54075dd29acbeca299aa0565afe189b1603e1bd72da4052028b677d91ae
55,0.9998360222699938,0.9996720714286835,0.04,5,1b479fdac5171dd74711dbf86c41a89c41e6b2e21853ef47691995cc246e8e7f
56,0.9998667131157889,0.9997334439969714,0.04,24,697e7e88e7595b6c14cc7f983c63ad6e6e97d32d253efdc0ee839ca7d5210e53
57,0.9996482498758771,0.9992966234799039,0.04,24,10509ff155eff6ff609c99a9b71e055ad25fc46af0adf2e7c54912ae4b71693b
58,0.9993950422344664,0.998790450442831,0.04,24,7e237c079f2faa7c0094b1fc1332ef2fc2ef556d840906a7b85fdc2aa329e5b2
59,0.999127663918335,0.9982560888069093,0.04,24,178e0b14ff4f47ee934719f17d7da14cdd186060baffd8afde3bd91563158c92
60,0.9990437462717001,0.9980884069645932,0.04,13,2bea9ca829e45da4a57890423d62839092eb2d4de762109593df9a1b201d7726
61,0.9998667141355606,0.9997334460362429,0.04,24,6e92b0662f60b4c29681fb82803f1769cd08e2e19c46e561efb78578f8752c1d
62,0.9998284199491677,0.9996568693380493,0.04,24,663412039315426c4b595c7c31b4ba244799086dc01f7494ee7a4174b31e6e0c
63,0.9995432336852824,0.9990866760060312,0.04,24,117936b12cd36545c6b444b067307ee7d86c68c9fadf081ef75c3d4d14afe456
64,0.9996647560317586,0.9993296244520355,0.04,24,46b832f9df1c760102bbb4cacc8eb10f364a89da58712ab5fa170b5faa4081f0
65,0.9998440450278671,0.9996881143776873,0.04,12,ab3f1139d724adc83869351984820f72a1729d98b06a2411c9aff9b6276d21f3
66,0.9998667131157831,0.9997334439969598,0.04,24,ba6c4c004957947e61732c655669e755a2dd4efae384e300e10e21d370b4d2fb
67,0.9998242107210105,0.9996484523438914,0.04,24,fddb259393d5890a6b61b7d4758ee4a99af581302a352ca93388060c5e39080c
68,0.9996378375002059,0.9992758061620879,0.04,24,5f036a7bc8b2ab77060a49e932e41e767b5777f467848781affe49dd7968d386
69,0.9997041998172665,0.9994084871322813,0.04,24,5c396d021bdb2ac1e20b606ce9007409167f0be77b9471b1e757357e08f25982
70,0.9995350187383174,0.9990702536842085,0.04,18,8e2b5623a7821ca69936ac63127f9ee64adfc5f4137b637831b20ce130ad12cb
71,0.9998667131157831,0.9997334439969598,0.04,24,1a6bf37cb990aab20710bcaa4a9531e1cab6f6ebe780926daf9788bde3b55b03
72,0.9993068967898867,0.9986142739718332,0.04,24,464c3b36b6dff7f9042e74d1c269b3ede64cd286538b22748546ba7875d77325
73,0.9994243946422076,0.998849120605943,0.04,24,a91132963050323967c60d129c4accc66c69ce366f2015a0ba049aa92ca637dd
74,0.9997008088254803,0.9994017071663195,0.04,24,2bc83c670fd1df7cb9ae56f1351ef226e43e22feb907342600600683839ec56d
75,0.9996708710520976,0.9993418504300595,0.04,9,9ff86a74366c3078641114a765fa075f05774ac0a281a4b91e224ffb8ecfa432
76,0.9998667131157831,0.9997334439969598,0.04,24,23a304dcda845bbf800aee4475da1193b5ef0fa1f05cec5764336e0e15c87ec9
77,0.999807053302431,0.9996141438332902,0.04,24,8029d4ff93e3c5091ac0acfff2aced187a4719cb37b4b872dfc134320e99f681
78,0.9996472041495236,0.9992945327639593,0.04,24,eae43c96b50f9fb2a57868d49a3cc30b812e4943edb7805bfd0b0599a508817e
79,0.9997640472796339,0.9995281502329539,0.04,24,e4d544729dccababd560ab1f49683ccaf4357c69f916a7cf57a1fec0578ef53e
80,0.9991944192810449,0.9983894875223845,0.04,6,506ef65937a0f5c8dab9c466ce72006ee46de096f2c38b94ebabcc3d9c87f865
81,0.9998667141355606,0.9997334460362429,0.04,24,e1b9cd39d16d1cce23406cf3d163b1a6de238e21b849608de24482c6993553af
82,0.9996456601648429,0.9992914458864046,0.04,24,15fb734024a03baf748e86218d39169df8daf6ad993e8671fce2eeec6d8dd955
83,0.9997123539995524,0.9994247907393264,0.04,24,724f59416d01ad8525022b00ef0520c1107f2d75a90cb70f1ddf6569cb806233
84,0.999765230248436,0.9995305156137083,0.04,24,d3856daf6810bb9ee8cc77a6e256c0289904657000a9fb9ed4345dd014a93c53
85,0.9996540989859877,0.9993083176194869,0.04,11,67553f4adb91f8d3292826855c6add1af7c98b172e192f96d2643865bdab0cb7
86,0.9998667131157889,0.9997334439969714,0.04,24,43d9088fa6e66cfc9b996997fc900174c5ed528f002dcb663592b8c5da36ee6c
87,0.999441766207542,0.9988838440400509,0.04,24,0cdaf8c526e12b5ce33fd71742809de7f9f9e58a5b5d8d41a7ba5e3522848302
88,0.9997837216007629,0.9995674899778717,0.04,24,bbf699ffda7fb15d1ff7c1832d22b4843191cd4fdbd99f33f3fed214dbfedf6a
89,0.9996147414822792,0.9992296313886839,0.04,24,ae2db157e92be0330f1012e7cd6fbd0929e5c0bd938f9e76d5d1f2a88365fe05
90,0.9997899021175528,0.9995798483762259,0.04,5,951a7b64a786110605ce7cbbb21805ff960c1eb809c02b69664f3b0ff384f919
91,0.9998667131157831,0.9997334439969598,0.04,24,76bdf1fb447e08954223767375cee9407c2973f4a99f1753db1dd3221a41f5ae
92,0.9996914676000662,0.9993830303923743,0.04,24,a67b559a1c3b67a343f5e03da4f44f2db3153a1b44b30572601e120c15c5e515
93,0.9995315650176999,0.9990633494667324,0.04,24,9f4c948ef09356eb5136a2007eca6e2a7d5f152fb4d0490f1afa3869c930f8dc
94,0.999824700724498,0.999649432178832,0.04,24,d8ae218d6243cfe6521a97871311f818d3597a651d3e9b457a2442249a0028e9
95,0.9995128673110472,0.9990259719203509,0.04,21,827a8d7c627c53ea0cfd193a37a71c8b1234ceb30a652dfb68a4d81983ec1c5c
96,0.9998667131157831,0.9997334439969598,0.04,24,c5c0d5a4643601f6424c7358b2c014d9b2371abf16a79dd723f35edac9cd4d1b
97,0.9993987172604278,0.9987977960617886,0.04,24,b61b818bbcccb238481575b5f210c4835eab1313f0eaf727ad6e9abe800c1fe5
98,0.9994796190430383,0.9989595088824169,0.04,24,576d8a2d24045c7724773e59b04d946896c328635aa650faec7ff3d23c018359
99,0.999619694252731,0.9992395331379234,0.04,24,8056c07c7e810e931c8187e9976d12cb13137f67978c8a7a5b55552a51856184
100,0.9999589030538321,0.9999178077966231,0.04,3,7e498d16922146bbf340811da5c34c6a007fb26426398284c7fd1bb6e322b6c8
101,0.9998667141355606,0.9997334460362429,0.04,24,7aa05765e7f685640d3073fc41f2b6ceb0ae9134b1736be9207ecde29eb2b303
102,0.9997363651668382,0.9994727998370017,0.04,24,64882b61727009f444df16c4e123c101d80fa077e826ac88ec68fb3d0713f004
103,0.9993732795548718,0.9987469518882599,0.04,24,e4c4e56987fb2d983eaee203aa9265ca397df22fe53ae555fa877cc717b40f76
104,0.9995865924476872,0.9991733558011787,0.04,24,07a46f23d228fba85e9e46fa8a8a31aca40fd832d3e0e87d17497e82b9b0aadd
105,0.999735103095776,0.9994702763619218,0.04,22,1f479b2261a156bac6fafcd18d89b90cf0bbf12fdac578cbffe55628f173f8f3
106,0.9998667141355606,0.9997334460362429,0.04,24,cae365aebfd5ec5b00011ae8b2e8fd72251713f12b01c459bcc6e4538198a2cc
107,0.999552076500056,0.9991043536355737,0.04,24,dca9c737a79189a1675de9c891829dddc0f2356a00280cdfb1aff51f8896e751
108,0.9996720354608387,0.9993441784824163,0.04,24,b3984e3f99751072fa49aa698810ef40300155ab00c8fadc046229b47889e0ac
109,0.9997217931284248,0.9994436636559131,0.04,24,a56a8c52c68d6350f8a44d5bb8aaede7184af0b839edbc256ce61af855d94946
110,0.9998893301116741,0.9997786724711724,0.04,4,65c1237050ee8ffe41c570f46be42bf993769adb104af81338334e6530173878
111,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,e94f8e1a3c4d36b20191e77808751e751caa5a0807b2354aa9e5c8e2c93795c3
112,0.9997852067314041,0.9995704595989565,0.04,24,16b4ff1a961136b2cce69719adcb4d2f48958cc2d677ce15d8011ca31bb01f6a
113,0.9990727522653093,0.9981463643189802,0.04,24,2ad59363c578c1bd841d23fda1a3408a2f2fe9b42d88ab7a259a0a58171fa8c2
114,0.9993742382445964,0.9987488680669673,0.04,24,4b6fa004800ceec942ad5b0316eaaea64bad359759305e80e1e27d1d24a2143d
115,0.999802626634703,0.9996052922256513,0.04,9,ce1ce7048928c6058f0fe3a1be1d82e84e0957c93300b11e19a0518e12e8921e
116,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,67d06661daaacd446686ae6efa74e9e9a8b8b34279089801ad24826ccf6e5ad5
117,0.9996751029228,0.9993503114037108,0.04,24,6620769de8b9d44cb7c454d1182555df234c71ccd3211e7ddefe06e443f424a6
118,0.9997374673271371,0.9994750035776785,0.04,24,f3a3f39593d96760ca426c69a30b69131cf329dd2d9f624ceec64fc42fc35ffb
119,0.9998043302455705,0.9996086987777937,0.04,24,223f03fb23b803fd87f51df86f056c8c17d534f6c23672d637a055767dadf2f7
120,0.9997709976480392,0.9995420477381557,0.04,22,7be2404f7084ccbb2e399399931234b5a4d061a4ce94602ddf6b2a529b730ba8
121,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,45bab4ed16c954deb67ef1925e463a5fc8a4954d6c6c693fe6c48822910f3fb7
122,0.9995405116429675,0.9990812344154854,0.04,24,8f7764bc613d06fedd974defbf37884f2761b1fa0ad1a27182eff38ed6346e41
123,0.9996132216544109,0.9992265929063104,0.04,24,11a479b05f43ffec7c7d568fcca2e00a60984b7d0afc61e6e02c558bc482969f
124,0.9998185373862547,0.9996371077011896,0.04,24,1aa597046a85da9d4ca3cc6b9338f24dbd58ace85a4ef9cf91e9cf1386be8636
125,0.9999644536720214,0.9999289086075842,0.04,6,6e8939bab761388d5d0fec99227fc0551fec5ec850df364dffed41c866bd8558
126,0.9998667131157831,0.9997334439969598,0.04,24,841de362d0b13e69a4696a8157ddde3dc44998a8c22b4e0e715036d6c0376737
127,0.9993417135177097,0.9986838603765121,0.04,24,7f488b0e02a5ad3b643767f14ec00f7ea61c5e2b1b83af4b902cc0577fb579c2
128,0.9997101339596207,0.9994203519415629,0.04,24,865952fd201299cbdd275b3e900b0792607f077f73ede5e48a8846ea1713bc7e
129,0.9996018644545216,0.9992038874209557,0.04,24,2e11b828e3322f40f81d4756604761dbda897253d6c59c8c4fbae673040d8ee4
130,0.9995823538304123,0.9991648820891476,0.04,16,36c5c21c0e0ddf67a1bd07a778293dbd8de67fcc1b05fd68881f9f020dc2144c
131,0.9998667131157831,0.9997334439969598,0.04,24,19ab0a6dcbae6cf4cea2fd565d84b479b9ce5aca2e87ae696bb1dba8cce7167f
132,0.999462739025015,0.9989257666993854,0.04,24,95e4d6849bf7c4509b1b83a92e86a1a931c31283137af50a618c2868c40a99be
133,0.9997978950415175,0.9995958309294493,0.04,24,54a5244507c66df86d7faaef2a61326e3331579e6a3effdf0965b2127e0ede3f
134,0.9995169819867982,0.9990341972799973,0.04,24,0da9b87c6328ab50c19ad9657a6eabc092962b8058e0e865f43ad604a89f080a
135,0.9997843783029713,0.9995688030986587,0.04,21,2752d10be52ffa68fdd8819480e58c35f3b089659d395d54c37ce5ab4d3c1118
136,0.9998667141355606,0.9997334460362429,0.04,24,d70b97aa0f5de215651c65e21c499d45363f737d520bb87e85bc3949c3f53d1a
137,0.9997188335256352,0.9994377461058566,0.04,24,b0458f154fcbc4cbb7ddb076fb4228e586f900f921f1e8794fb20a0b5074b97c
138,0.9994977152588925,0.9989956828077463,0.04,24,e5f5ac1db0b7d753cf5cc62cec63a5fe17643162569b9b5a62dbcde869cb7f1a
139,0.9997431114555813,0.9994862889028868,0.04,24,0313c363c12da6444b18f975efd4d3645cea95ed63c7c7b5c1487a344cc3c306
140,0.9998148701719642,0.9996297746169818,0.04,3,090c14ac1ba14c3f4dcfedda210a7d65e4e36bb7646402efbf1be15e45161929
141,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,f485f2763cb2efeafd78f75a6348b6acf561b1648236eba1a72af45e9ea438a5
142,0.9994564267975966,0.9989131490670196,0.04,24,3160634b0053885385c47dc000f1fb7288a27ec1f2f891c9b564dd8987c70703
143,0.99961663166406,0.999233410299401,0.04,24,c132e87e2ffb73347e64a394269cac38f91f99a393088e41715bbcdf42df9963
144,0.9997137244501183,0.9994275308539271,0.04,24,974ab4188b6a56e24ed7414b5ed9b7c8997713943c067a7a566c6681eac064b0
145,0.999664398953426,0.9993289105349143,0.04,22,6674395dc151d00cb7fc44661d666f7d4b480ad81eae2e10525a5f72589a570b
146,0.9998667131157889,0.9997334439969714,0.04,24,5eaf0b04cbe9d10deaa5da32beb9f5de0a0eb669587a4da1bbae7deac4f30112
147,0.9997627874326699,0.9995256311351419,0.04,24,7a985e58de6d4e24307dd490cc9f7111c8c5b73d24d920eb7f029f3a14b71ada
148,0.9997514652185674,0.9995029922066724,0.04,24,f9f00a4b03cb97cdad391c207ebeb5cd506fff248749d4815aef8a6a41c8edbb
149,0.9991492116762534,0.9982991471932786,0.04,24,0fd95679cc0e8cd0cd748fea555f517a44906273cd1c8583b944d07ed79048ca
150,0.9997239066957632,0.999447889619039,0.04,22,b4abd1caeccf640d80490bcf1a7d3cadfcd5bdf5dcd1073ea33a55912fa04c5d
151,0.9998667131157889,0.9997334439969714,0.04,24,107a80b268c9252e4d9fc16517379cb5b18570d363d306cbd4191a78d780fdda
152,0.9996479078526298,0.9992959396741399,0.04,24,ab1143037277fe7a1b6e376eefd027a8d519c0f405d160bd560ecbdacd1cfb84
153,0.9997443857041431,0.9994888367469545,0.04,24,522f5715002d12b2200a78fa78adccff7afbd6ced52d782ba7f21dd0bca41815
154,0.9996971110081146,0.9993943137579706,0.04,24,ad549045df3c6261bbdbeb81cc5a476b0201afa725d72bba8cbf76bb55d9db8f
155,0.999773803846996,0.9995476588586916,0.04,23,79f244636217e4953b28d8b67d194b487ada2d4a9cfbacceebf685cc74264980
156,0.9998667131157831,0.9997334439969598,0.04,24,48bf32650948c2d170c743f27255f5bdc5e789baa2b84b574163032be23b28cd
157,0.9993792212952265,0.9987588279566534,0.04,24,bcfead75e78e035ae59a34ebdfdfd7af01fb0a08ad328e4db3ae603bbe5d4746
158,0.9996436514225071,0.999287429829323,0.04,24,178b38808473455b475cf4ac9b59f312c0c72bd565c824519c18c29320157953
159,0.9995647532321751,0.9991296959040991,0.04,24,8f83a328f4a49065e2b9a289dc657224b0f3a8d7617f2e6bff780a111a406fb4
160,0.9998641876268003,0.9997283936986013,0.04,3,b0a85744bbb254f603b72f7ff9a7c5b3062086e275970288b0645e0841b54df0
161,0.9998667131157889,0.9997334439969714,0.04,24,ed900beb5c94cf80daab1361620b4bf0cb1196fe8f62ecb6ef47a39caea6bf9c
162,0.999430179387,0.9988606834695308,0.04,24,1e3c65445d39a8d268cd07941cd7a52e18b8b4d5713edca92b7a8ea00a6c2b13
163,0.9995152820257375,0.9990307990029894,0.04,24,bca9ef20523497a6667f460126fab25c7155f57c89ef1087ee8798bdd931d3f2
164,0.9996874397078711,0.9993749771096785,0.04,24,2b8f9ab22faf2a8710e35cc12060199b446fae06ea952b1738f87449cf2b84fb
165,0.999507735512731,0.9990157133497874,0.04,4,b0a4eebba13467b9c9c0f8a9b36499db5feb11434ca7fbed1b7a8795a3850011
166,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,ea6093d75f83f51a57301ff12227c0b03367f29a0cc96cdc7417e24af68a8342
167,0.99980813883762,0.9996163144859456,0.04,24,b05409cbdedb0103b87885c4afbacc6f5def9999068ec709edf5fb596c2c0678
168,0.999717166202548,0.999434412400053,0.04,24,f0f1a78926c31719bcd9be3bd9bf123deb838e07261e125fc08735a5f61d1364
169,0.9996179289874563,0.9992360039531712,0.04,24,e1d58a48d03fb7f45c03f25b749349839ae9bd6f6776f1a6a541485a9a19e33f
170,0.9999843029196066,0.9999686060856116,0.04,1,dade0da1be6feb7c16242fed3b9ed8d943d2632a26da8ebe1e0c05b1d681e0c4
171,0.9998667141355606,0.9997334460362429,0.04,24,380594bdb66796472a3e45a1ede5d33435ef2c431ddd7d4b6431d78690ecae41
172,0.9997915677541425,0.9995831789522861,0.04,24,17cc07c1698b69c41eeb3005905cd8ce12c29f6d6474f9e156a24afe94d36c88
173,0.9995504020738286,0.9991010062859526,0.04,24,d034f4dda47686d219085a3ddb476439032320bddb0c24b36241dda00034b427
174,0.9996728815557286,0.999345870117934,0.04,24,6a96b9012fda81de47dc2ea6a05e8f8dbe9ccdb69bc5865b8719bc384fecdd13
175,0.999760858696786,0.9995217745821349,0.04,2,77905c400fe7f2c569dc03132cf56ce44ff118e71c76e0bcee626a470fc53422
176,0.9998667131157831,0.9997334439969598,0.04,24,5e95f0079482a8ab1b35602439dd2635ca680b300184898e62b843d651ba4584
177,0.9997965915805118,0.9995932245360089,0.04,24,5448c639b2ca54ce6e565ed593e7d055231b044112414d09463deca795850581
178,0.9997832087977608,0.999566464593947,0.04,24,371a6106b18f35a77a48fd294e3e5e4fdc785e112fec7d07520fec85a279d009
179,0.9997508361986109,0.9995017344798217,0.04,24,aad8d3e0b61e2de42e969c3d4c4f7a2869295cdb0510d8839c15ae6f0d75c759
180,0.9998569276256721,0.9997138757210486,0.04,15,39258b1c4d41f9e81b4c76ef96302b63ec646d6fcad56206b7f87427fd8e5f12
181,0.9998667141355606,0.9997334460362429,0.04,24,9df890b106ebbe199fb8001fe6123749f3cae02b8bbb8617c8b3d4c08c192c0b
182,0.9996739175742869,0.9993479414783223,0.04,24,2d73bd987a211ef08584f5d60fe62d27d4ecb4740cb8ee98f52a9a39d3a838c9
183,0.9990721327284464,0.9981451263945665,0.04,24,741bcc48169520734fa43f018d91314bb496be2a7f1dc30738dfc3e9b0ee95c3
184,0.9997924337108667,0.9995849105054977,0.04,24,fe6dca6ef3a0e585630f5872c44193e71e23b8d00424e8bf6bba8eb685727ff9
185,0.9997344221470088,0.9994689148256135,0.04,12,a931d9f7a80b1c08232080207e80296089920aebdbc52185f21061325b1bb63c
186,0.9998667141355606,0.9997334460362429,0.04,24,73fb42be1acf147084994b6a46246c3e8a9993aa0f7a326a483936a2324426fd
187,0.9997263743577661,0.9994528235865243,0.04,24,71ae9169fe01565b56b6f5e12cd325afd44fd1c1a63175d2e2eca7a33c6d8495
188,0.9996902750351886,0.999380645999931,0.04,24,cc9939ad7f79ccb551a81990f67c3be2b2759a7f637442e0e9e8d84666126818
189,0.9993806432339379,0.9987616700706795,0.04,24,64e7818c09f560cfe35eb4cbd02233601d900a61ea3d62198c219b3a56ad3003
190,0.9997883478053705,0.9995767404073925,0.04,17,3bc546516498d221db02c4e84b638c719ac117d0ad9b7cb6d18ebb1112e657b6
191,0.9998667131157831,0.9997334439969598,0.04,24,0ad74c3b81f69ae58bf7ff5601229ca9fc90a63deb12fc798c15b22b08742c4d
192,0.9995560955575692,0.9991123881662924,0.04,24,97b0cbcc753be59824914789630e7758203519b4fd069bf1bec00afa3bfbe381
193,0.9996677667321756,0.9993356438432955,0.04,24,51717c862ed25d397621fa853e09db307041f28b5497746dcc666c0fe0fe9a44
194,0.9997916535557217,0.9995833505196843,0.04,24,faacb3f234ec5f5a8637b6b58c2b10a690db351d1b0965409907875cc1068550
195,0.9994808630103861,0.9989619955239862,0.04,17,3c17920e3aa47d588b175d5d1c7e714a824e04a02a6ecee84fd7d8ffc9be5950
196,0.9998667131157889,0.9997334439969714,0.04,24,937d2460340e441ef97c9fa453b1470a715a3194ef98593dc67c6b44923b1e1e
197,0.9994648132585892,0.9989299129420266,0.04,24,869f6fbbfed980afe15887a836d8e23d3a3557b5de4b6d456bc8007ff3c8ab02
198,0.9995598613670975,0.9991199164562112,0.04,24,6b40429c2e8ce935070f516b339dd41fe6faecc308ae0c07e7dfeb5f88c61fd3
199,0.9995454472356607,0.9990911010895371,0.04,24,a9ab62b821eca895e6a563669bde7764105fe440ade65ed40a5c5cf2c9d2f30d
200,0.9997769848162806,0.9995540193683334,0.04,10,d7ba1c158348711a89505b64b6437cc7762be16f6c0abc0d9b184c7fe1386424
201,1.0109254066835094,1.0219701778782186,0.7448101265822785,24,c923b334a971ab07731bf6bdd19342b7c5edf37e063b334b1e815168debdebb6
202,0.9996666886646421,0.9993334884257307,0.04,24,be1b9936e65a89fafa7d34f8cb76ef79b3c7d645c4ac74830b14b4f40aaa15fc
203,0.9997519657993703,0.9995039931197054,0.04,24,3c2ffc268a1e407d54d15ee59aacf36d5644f457a72c4576cd0c8dfc22962fc2
