source_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,first_source_matrix_unit_label,last_source_matrix_unit_label,first_raw_matrix_unit_label,last_raw_matrix_unit_label,active_objects,permutation_rank,permutation_multiplicity,regular_trace_block_square,q42_nonzero_count,q12_nonzero_count,source_identity_fingerprint,perennial_id,coordinate_fingerprint_id
22,36,2,4,4,"u_sector[22;0,0]","u_sector[22;1,1]","u[36;0,0]","u[36;1,1]","B+,V+",36,18,4,2,2,"[0, -31250, 0, -343751, 0, 0]",a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
23,0,3,9,9,"u_sector[23;0,0]","u_sector[23;2,2]","u[0;0,0]","u[0;2,2]","B-,V-,V+",6,2,9,6,4,"[-223959, 0, 402779, -149306, 0, 0]",a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
24,1,1,1,1,"u_sector[24;0,0]","u_sector[24;0,0]","u[1;0,0]","u[1;0,0]",V+,2,2,1,2,2,"[0, 0, 0, -149306, 0, 0]",a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e
25,30,1,1,1,"u_sector[25;0,0]","u_sector[25;0,0]","u[30;0,0]","u[30;0,0]",S-,1,1,1,2,2,"[0, 0, 0, 0, -208985, 0]",a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
26,29,1,1,1,"u_sector[26;0,0]","u_sector[26;0,0]","u[29;0,0]","u[29;0,0]",S-,3,3,1,2,2,"[0, 0, 0, 0, 373048, 0]",a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
27,26,4,16,16,"u_sector[27;0,0]","u_sector[27;3,3]","u[26;0,0]","u[26;3,3]","B-,B+,S-,S+",12,3,16,8,4,"[164063, 328126, 0, 0, 373048, -417970]",a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
28,13,5,25,25,"u_sector[28;0,0]","u_sector[28;4,4]","u[13;0,0]","u[13;4,4]","B-,V-,V+",30,6,25,6,4,"[328126, 0, 208334, -343751, 0, 0]",a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
29,2,4,16,16,"u_sector[29;0,0]","u_sector[29;3,3]","u[2;0,0]","u[2;3,3]","V+,S-,S+",72,18,16,4,4,"[0, 0, 0, -343751, 238282, -15625]",a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
30,8,4,16,16,"u_sector[30;0,0]","u_sector[30;3,3]","u[8;0,0]","u[8;3,3]","B+,V-,S+",24,6,16,6,6,"[0, -343751, 208334, 0, 0, 328126]",a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
31,16,10,100,100,"u_sector[31;0,0]","u_sector[31;9,9]","u[16;0,0]","u[16;9,9]","B-,B+,V+,S-,S+",180,18,100,7,6,"[-46875, -31250, 0, -343751, 476564, 476564]",a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
32,4,2,4,4,"u_sector[32;0,0]","u_sector[32;1,1]","u[4;0,0]","u[4;1,1]","V-,S+",6,3,4,4,4,"[0, 0, 104167, 0, 0, -417970]",a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
33,19,2,4,4,"u_sector[33;0,0]","u_sector[33;1,1]","u[19;0,0]","u[19;1,1]","B+,S+",36,18,4,0,0,"[0, -31250, 0, 0, 0, 492189]",a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
34,35,1,1,1,"u_sector[34;0,0]","u_sector[34;0,0]","u[35;0,0]","u[35;0,0]",V+,3,3,1,2,2,"[0, 0, 0, -223959, 0, 0]",a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d
35,38,9,81,81,"u_sector[35;0,0]","u_sector[35;8,8]","u[38;0,0]","u[38;8,8]","B-,B+,V+,S-,S+",216,24,81,8,6,"[-375001, 250001, 0, 208334, -31250, 312501]",a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
36,10,12,144,144,"u_sector[36;0,0]","u_sector[36;11,11]","u[10;0,0]","u[10;11,11]","B-,B+,V-,V+,S-,S+",216,18,144,9,6,"[-15625, -31250, -375001, -31250, 476564, -31250]",a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
37,15,11,121,121,"u_sector[37;0,0]","u_sector[37;10,10]","u[15;0,0]","u[15;10,10]","B-,B+,V+,S-,S+",528,48,121,7,5,"[250001, 250001, 0, -166667, -62500, 250001]",a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
38,34,8,64,64,"u_sector[38;0,0]","u_sector[38;7,7]","u[34;0,0]","u[34;7,7]","V-,V+,S+",144,18,64,5,3,"[0, 0, -375001, -31250, 0, -31250]",a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
