subform_id,a_restricted_index,b_restricted_index,c_restricted_index,a_source_atom,b_source_atom,c_source_atom,rank,inertia_positive,inertia_negative,inertia_zero,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,nondegenerate_flag,definite_spatial_flag,max_abs_det_flag
431,3,11,12,4,13,14,2,1,1,1,0,1,0,0,0,0,0
432,3,11,13,4,13,15,2,1,1,1,0,1,0,0,0,0,0
433,3,11,14,4,13,16,3,2,1,0,-1,27,382217447,233480623,1,0,0
434,3,11,15,4,13,17,2,1,1,1,0,1,0,0,0,0,0
435,3,11,16,4,13,18,2,1,1,1,0,1,0,0,0,0,0
436,3,11,17,4,13,19,2,1,1,1,0,1,0,0,0,0,0
437,3,12,13,4,14,15,2,1,1,1,0,1,0,0,0,0,0
438,3,12,14,4,14,16,2,1,1,1,0,1,0,0,0,0,0
439,3,12,15,4,14,17,2,1,1,1,0,1,0,0,0,0,0
440,3,12,16,4,14,18,0,0,0,3,0,1,0,0,0,0,0
441,3,12,17,4,14,19,2,1,1,1,0,1,0,0,0,0,0
442,3,13,14,4,15,16,2,1,1,1,0,1,0,0,0,0,0
443,3,13,15,4,15,17,2,1,1,1,0,1,0,0,0,0,0
444,3,13,16,4,15,18,2,1,1,1,0,1,0,0,0,0,0
445,3,13,17,4,15,19,2,1,1,1,0,1,0,0,0,0,0
446,3,14,15,4,16,17,2,1,1,1,0,1,0,0,0,0,0
447,3,14,16,4,16,18,2,1,1,1,0,1,0,0,0,0,0
448,3,14,17,4,16,19,2,1,1,1,0,1,0,0,0,0,0
449,3,15,16,4,17,18,0,0,0,3,0,1,0,0,0,0,0
450,3,15,17,4,17,19,0,0,0,3,0,1,0,0,0,0,0
451,3,16,17,4,18,19,0,0,0,3,0,1,0,0,0,0,0
452,4,5,6,5,7,8,0,0,0,3,0,1,0,0,0,0,0
453,4,5,7,5,7,9,2,1,1,1,0,1,0,0,0,0,0
454,4,5,8,5,7,10,0,0,0,3,0,1,0,0,0,0,0
455,4,5,9,5,7,11,0,0,0,3,0,1,0,0,0,0,0
456,4,5,10,5,7,12,2,1,1,1,0,1,0,0,0,0,0
457,4,5,11,5,7,13,0,0,0,3,0,1,0,0,0,0,0
458,4,5,12,5,7,14,2,1,1,1,0,1,0,0,0,0,0
459,4,5,13,5,7,15,2,1,1,1,0,1,0,0,0,0,0
460,4,5,14,5,7,16,0,0,0,3,0,1,0,0,0,0,0
461,4,5,15,5,7,17,2,1,1,1,0,1,0,0,0,0,0
462,4,5,16,5,7,18,0,0,0,3,0,1,0,0,0,0,0
463,4,5,17,5,7,19,0,0,0,3,0,1,0,0,0,0,0
464,4,6,7,5,8,9,2,1,1,1,0,1,0,0,0,0,0
465,4,6,8,5,8,10,0,0,0,3,0,1,0,0,0,0,0
466,4,6,9,5,8,11,0,0,0,3,0,1,0,0,0,0,0
467,4,6,10,5,8,12,2,1,1,1,0,1,0,0,0,0,0
468,4,6,11,5,8,13,0,0,0,3,0,1,0,0,0,0,0
469,4,6,12,5,8,14,2,1,1,1,0,1,0,0,0,0,0
470,4,6,13,5,8,15,0,0,0,3,0,1,0,0,0,0,0
471,4,6,14,5,8,16,0,0,0,3,0,1,0,0,0,0,0
472,4,6,15,5,8,17,2,1,1,1,0,1,0,0,0,0,0
473,4,6,16,5,8,18,0,0,0,3,0,1,0,0,0,0,0
474,4,6,17,5,8,19,2,1,1,1,0,1,0,0,0,0,0
475,4,7,8,5,9,10,2,1,1,1,0,1,0,0,0,0,0
476,4,7,9,5,9,11,0,0,0,3,0,1,0,0,0,0,0
477,4,7,10,5,9,12,2,1,1,1,0,1,0,0,0,0,0
