weight_type,series,total_dimension_n,q_exponent,coefficient
gauge,grade0,20,56,13860
gauge,grade0,20,64,31680
gauge,grade0,20,72,47124
gauge,grade0,20,80,56232
gauge,grade0,20,88,35244
gauge,grade0,20,96,51480
gauge,grade0,20,104,26730
gauge,grade0,20,112,19800
gauge,grade0,20,120,17424
gauge,grade0,20,128,15840
gauge,grade0,20,136,9570
gauge,grade0,20,144,6600
gauge,grade0,20,152,1320
gauge,grade0,20,160,3960
gauge,grade0,20,168,7260
gauge,grade0,20,176,660
gauge,grade0,20,184,1320
gauge,grade0,20,200,66
gauge,grade0,20,208,2112
gauge,grade0,20,216,1320
gauge,grade0,20,232,132
gauge,grade0,20,264,660
gauge,grade0,20,272,132
gauge,grade0,20,328,132
gauge,grade0,20,400,12
gauge,grade0,22,44,12
gauge,grade0,22,52,660
gauge,grade0,22,60,7920
gauge,grade0,22,68,29700
gauge,grade0,22,76,55440
gauge,grade0,22,84,88704
gauge,grade0,22,92,76032
gauge,grade0,22,100,92664
gauge,grade0,22,108,79200
gauge,grade0,22,116,51480
gauge,grade0,22,124,55044
gauge,grade0,22,132,33660
gauge,grade0,22,140,37620
gauge,grade0,22,148,23760
gauge,grade0,22,156,11880
gauge,grade0,22,164,6204
gauge,grade0,22,172,22440
gauge,grade0,22,180,7260
gauge,grade0,22,188,5940
gauge,grade0,22,196,1320
gauge,grade0,22,204,660
gauge,grade0,22,212,5280
gauge,grade0,22,220,5940
gauge,grade0,22,228,660
gauge,grade0,22,236,1320
gauge,grade0,22,244,132
gauge,grade0,22,260,132
gauge,grade0,22,268,1980
gauge,grade0,22,276,1320
gauge,grade0,22,292,132
gauge,grade0,22,332,660
gauge,grade0,22,340,132
gauge,grade0,22,404,132
gauge,grade0,22,484,12
gauge,grade0,24,48,1
gauge,grade0,24,56,132
gauge,grade0,24,64,2970
gauge,grade0,24,72,19140
gauge,grade0,24,80,50490
gauge,grade0,24,88,99792
gauge,grade0,24,96,127644
gauge,grade0,24,104,138600
gauge,grade0,24,112,166320
gauge,grade0,24,120,115104
gauge,grade0,24,128,134640
gauge,grade0,24,136,80784
gauge,grade0,24,144,93555
gauge,grade0,24,152,73260
gauge,grade0,24,160,50490
gauge,grade0,24,168,17424
gauge,grade0,24,176,49500
gauge,grade0,24,184,35640
gauge,grade0,24,192,18040
gauge,grade0,24,200,13200
gauge,grade0,24,208,2970
gauge,grade0,24,216,12804
gauge,grade0,24,224,17160
gauge,grade0,24,232,5940
gauge,grade0,24,240,5940
gauge,grade0,24,248,2640
gauge,grade0,24,264,1320
gauge,grade0,24,272,3960
gauge,grade0,24,280,5940
gauge,grade0,24,288,726
gauge,grade0,24,296,1452
gauge,grade0,24,320,132
gauge,grade0,24,336,1980
gauge,grade0,24,344,1320
gauge,grade0,24,360,132
gauge,grade0,24,408,660
gauge,grade0,24,416,132
gauge,grade0,24,488,132
gauge,grade0,26,60,12
gauge,grade0,26,68,660
gauge,grade0,26,76,8052
gauge,grade0,26,84,33660
gauge,grade0,26,92,83160
gauge,grade0,26,100,152724
gauge,grade0,26,108,182160
gauge,grade0,26,116,255024
gauge,grade0,26,124,221760
gauge,grade0,26,132,251460
gauge,grade0,26,140,201960
gauge,grade0,26,148,175032
gauge,grade0,26,156,191664
gauge,grade0,26,164,138600
gauge,grade0,26,172,77220
gauge,grade0,26,180,90684
gauge,grade0,26,188,108900
gauge,grade0,26,196,51480
gauge,grade0,26,204,59400
gauge,grade0,26,212,13860
gauge,grade0,26,220,33264
gauge,grade0,26,228,40260
gauge,grade0,26,236,24420
gauge,grade0,26,244,19140
gauge,grade0,26,252,17820
gauge,grade0,26,260,1320
gauge,grade0,26,268,6600
gauge,grade0,26,276,6864
gauge,grade0,26,284,15840
gauge,grade0,26,292,6600
gauge,grade0,26,300,7260
gauge,grade0,26,308,1320
gauge,grade0,26,324,1320
gauge,grade0,26,340,4092
gauge,grade0,26,348,5940
gauge,grade0,26,356,792
gauge,grade0,26,364,1320
gauge,grade0,26,388,132
gauge,grade0,26,412,1980
gauge,grade0,26,420,1320
gauge,grade0,26,436,132
gauge,grade0,26,492,660
gauge,grade0,26,500,132
gauge,grade0,28,72,66
gauge,grade0,28,80,1992
gauge,grade0,28,88,15180
gauge,grade0,28,96,51480
gauge,grade0,28,104,127842
gauge,grade0,28,112,200772
gauge,grade0,28,120,296604
gauge,grade0,28,128,348480
gauge,grade0,28,136,374880
gauge,grade0,28,144,409464
gauge,grade0,28,152,304920
gauge,grade0,28,160,392040
gauge,grade0,28,168,300960
gauge,grade0,28,176,247500
gauge,grade0,28,184,179784
gauge,grade0,28,192,241560
gauge,grade0,28,200,147114
gauge,grade0,28,208,166320
gauge,grade0,28,216,73260
gauge,grade0,28,224,79200
gauge,grade0,28,232,95634
gauge,grade0,28,240,67320
gauge,grade0,28,248,55440
gauge,grade0,28,256,63360
gauge,grade0,28,264,18480
gauge,grade0,28,272,22440
gauge,grade0,28,280,18744
gauge,grade0,28,288,27720
gauge,grade0,28,296,28050
gauge,grade0,28,304,24420
gauge,grade0,28,312,13200
gauge,grade0,28,328,6600
gauge,grade0,28,336,1320
gauge,grade0,28,344,6864
gauge,grade0,28,352,15840
gauge,grade0,28,360,7260
gauge,grade0,28,368,5940
gauge,grade0,28,376,1320
gauge,grade0,28,392,1386
gauge,grade0,28,400,132
gauge,grade0,28,416,3960
gauge,grade0,28,424,6072
gauge,grade0,28,432,660
gauge,grade0,28,440,1320
gauge,grade0,28,464,132
gauge,grade0,28,496,1980
gauge,grade0,28,504,1320
gauge,grade0,30,84,220
gauge,grade0,30,92,4092
gauge,grade0,30,100,22572
gauge,grade0,30,108,74592
gauge,grade0,30,116,167640
gauge,grade0,30,124,273240
gauge,grade0,30,132,418044
gauge,grade0,30,140,471372
gauge,grade0,30,148,621324
gauge,grade0,30,156,525360
gauge,grade0,30,164,625680
gauge,grade0,30,172,582120
gauge,grade0,30,180,533676
gauge,grade0,30,188,419760
gauge,grade0,30,196,439560
gauge,grade0,30,204,370920
gauge,grade0,30,212,352440
gauge,grade0,30,220,277992
gauge,grade0,30,228,163944
gauge,grade0,30,236,239580
gauge,grade0,30,244,160380
gauge,grade0,30,252,144144
gauge,grade0,30,260,154440
gauge,grade0,30,268,100980
gauge,grade0,30,276,63360
gauge,grade0,30,284,69300
gauge,grade0,30,292,39204
gauge,grade0,30,300,75460
gauge,grade0,30,308,66660
gauge,grade0,30,316,59400
gauge,grade0,30,324,7260
gauge,grade0,30,332,23100
gauge,grade0,30,340,11880
gauge,grade0,30,348,11484
gauge,grade0,30,356,30360
gauge,grade0,30,364,29700
gauge,grade0,30,372,19140
gauge,grade0,30,380,11880
gauge,grade0,30,396,7260
gauge,grade0,30,404,2640
gauge,grade0,30,420,5544
gauge,grade0,30,428,17160
gauge,grade0,30,436,5940
gauge,grade0,30,444,5940
gauge,grade0,30,452,1452
gauge,grade0,30,468,1452
gauge,grade0,30,500,4092
gauge,grade0,30,508,5940
gauge,grade0,32,96,495
gauge,grade0,32,104,6204
gauge,grade0,32,112,29766
gauge,grade0,32,120,97152
gauge,grade0,32,128,200475
gauge,grade0,32,136,369600
gauge,grade0,32,144,504912
gauge,grade0,32,152,710952
gauge,grade0,32,160,787644
gauge,grade0,32,168,837540
gauge,grade0,32,176,970200
gauge,grade0,32,184,870540
gauge,grade0,32,192,894960
gauge,grade0,32,200,748440
gauge,grade0,32,208,768240
gauge,grade0,32,216,661320
gauge,grade0,32,224,708444
gauge,grade0,32,232,368940
gauge,grade0,32,240,534600
gauge,grade0,32,248,384120
gauge,grade0,32,256,329175
gauge,grade0,32,264,328284
gauge,grade0,32,272,303930
gauge,grade0,32,280,187704
gauge,grade0,32,288,213840
gauge,grade0,32,296,87120
gauge,grade0,32,304,148500
gauge,grade0,32,312,163944
gauge,grade0,32,320,165330
gauge,grade0,32,328,65340
gauge,grade0,32,336,63360
gauge,grade0,32,344,54120
gauge,grade0,32,352,26400
gauge,grade0,32,360,58344
gauge,grade0,32,368,71280
gauge,grade0,32,376,56760
gauge,grade0,32,384,48180
gauge,grade0,32,392,7260
gauge,grade0,32,400,24750
gauge,grade0,32,408,18480
gauge,grade0,32,416,1320
gauge,grade0,32,424,6864
gauge,grade0,32,432,33660
gauge,grade0,32,440,25080
gauge,grade0,32,448,17820
gauge,grade0,32,456,13200
gauge,grade0,32,472,7920
gauge,grade0,32,480,1320
gauge,grade0,32,504,6864
gauge,grade0,32,512,15906
gauge,grade0,34,108,792
gauge,grade0,34,116,7524
gauge,grade0,34,124,36300
gauge,grade0,34,132,109560
gauge,grade0,34,140,239712
gauge,grade0,34,148,431640
gauge,grade0,34,156,637692
gauge,grade0,34,164,917400
gauge,grade0,34,172,995280
gauge,grade0,34,180,1300464
gauge,grade0,34,188,1236324
gauge,grade0,34,196,1459788
gauge,grade0,34,204,1271160
gauge,grade0,34,212,1308780
gauge,grade0,34,220,1191960
gauge,grade0,34,228,1316304
gauge,grade0,34,236,910932
gauge,grade0,34,244,968220
gauge,grade0,34,252,906840
gauge,grade0,34,260,681120
gauge,grade0,34,268,696960
gauge,grade0,34,276,631224
gauge,grade0,34,284,538560
gauge,grade0,34,292,509520
gauge,grade0,34,300,306900
gauge,grade0,34,308,256212
gauge,grade0,34,316,377784
gauge,grade0,34,324,340560
gauge,grade0,34,332,267300
gauge,grade0,34,340,163944
gauge,grade0,34,348,176220
gauge,grade0,34,356,83160
gauge,grade0,34,364,136620
gauge,grade0,34,372,128700
gauge,grade0,34,380,148104
gauge,grade0,34,388,127380
gauge,grade0,34,396,60060
gauge,grade0,34,404,60720
gauge,grade0,34,412,75240
gauge,grade0,34,420,19140
gauge,grade0,34,428,16500
gauge,grade0,34,436,50424
gauge,grade0,34,444,67320
gauge,grade0,34,452,44220
gauge,grade0,34,460,54780
gauge,grade0,34,468,7260
gauge,grade0,34,476,27720
gauge,grade0,34,484,13200
gauge,grade0,34,500,1320
gauge,grade0,34,508,11484
gauge,grade0,36,120,924
gauge,grade0,36,128,7920
gauge,grade0,36,136,39204
gauge,grade0,36,144,113300
gauge,grade0,36,152,268620
gauge,grade0,36,160,463320
gauge,grade0,36,168,792066
gauge,grade0,36,176,1023792
gauge,grade0,36,184,1384020
gauge,grade0,36,192,1576080
gauge,grade0,36,200,1818696
gauge,grade0,36,208,1982772
gauge,grade0,36,216,1897368
gauge,grade0,36,224,1987920
gauge,grade0,36,232,1998810
gauge,grade0,36,240,1914936
gauge,grade0,36,248,1567500
gauge,grade0,36,256,1853280
gauge,grade0,36,264,1316700
gauge,grade0,36,272,1421640
gauge,grade0,36,280,1161864
gauge,grade0,36,288,1207800
gauge,grade0,36,296,1057452
gauge,grade0,36,304,908820
gauge,grade0,36,312,515460
gauge,grade0,36,320,788040
gauge,grade0,36,328,644490
gauge,grade0,36,336,674784
gauge,grade0,36,344,455400
gauge,grade0,36,352,451440
gauge,grade0,36,360,262614
gauge,grade0,36,368,328680
gauge,grade0,36,376,270864
gauge,grade0,36,384,297000
gauge,grade0,36,392,289080
gauge,grade0,36,400,225720
gauge,grade0,36,408,142164
gauge,grade0,36,416,209880
gauge,grade0,36,424,109890
gauge,grade0,36,432,63580
gauge,grade0,36,440,80520
gauge,grade0,36,448,130680
gauge,grade0,36,456,101904
gauge,grade0,36,464,143880
gauge,grade0,36,472,59400
gauge,grade0,36,480,67320
gauge,grade0,36,488,67980
gauge,grade0,36,496,5940
gauge,grade0,36,504,13200
gauge,grade0,36,512,19800
gauge,grade0,38,132,792
gauge,grade0,38,140,7524
gauge,grade0,38,148,36300
gauge,grade0,38,156,112860
gauge,grade0,38,164,262944
gauge,grade0,38,172,503580
gauge,grade0,38,180,842160
gauge,grade0,38,188,1189320
gauge,grade0,38,196,1661220
gauge,grade0,38,204,1891032
gauge,grade0,38,212,2500212
gauge,grade0,38,220,2441076
gauge,grade0,38,228,2831400
gauge,grade0,38,236,2772660
gauge,grade0,38,244,3081408
gauge,grade0,38,252,2570172
gauge,grade0,38,260,3032964
gauge,grade0,38,268,2440680
gauge,grade0,38,276,2548260
gauge,grade0,38,284,2217600
gauge,grade0,38,292,2094444
gauge,grade0,38,300,2102772
gauge,grade0,38,308,1965480
gauge,grade0,38,316,1287000
gauge,grade0,38,324,1455300
gauge,grade0,38,332,1326600
gauge,grade0,38,340,1252944
gauge,grade0,38,348,1184040
gauge,grade0,38,356,962280
gauge,grade0,38,364,750552
gauge,grade0,38,372,716760
gauge,grade0,38,380,698940
gauge,grade0,38,388,502920
gauge,grade0,38,396,649440
gauge,grade0,38,404,542124
gauge,grade0,38,412,392832
gauge,grade0,38,420,439164
gauge,grade0,38,428,378180
gauge,grade0,38,436,228360
gauge,grade0,38,444,209484
gauge,grade0,38,452,205920
gauge,grade0,38,460,227700
gauge,grade0,38,468,287100
gauge,grade0,38,476,225720
gauge,grade0,38,484,138864
gauge,grade0,38,492,230340
gauge,grade0,38,500,54780
gauge,grade0,38,508,61380
gauge,grade0,40,144,495
gauge,grade0,40,152,6204
gauge,grade0,40,160,29766
gauge,grade0,40,168,102564
gauge,grade0,40,176,238095
gauge,grade0,40,184,508860
gauge,grade0,40,192,826650
gauge,grade0,40,200,1347456
gauge,grade0,40,208,1732170
gauge,grade0,40,216,2420880
gauge,grade0,40,224,2795760
gauge,grade0,40,232,3289704
gauge,grade0,40,240,3595746
gauge,grade0,40,248,3926076
gauge,grade0,40,256,4003560
gauge,grade0,40,264,4126980
gauge,grade0,40,272,4145262
gauge,grade0,40,280,3888456
gauge,grade0,40,288,4072464
gauge,grade0,40,296,3268320
gauge,grade0,40,304,3762000
gauge,grade0,40,312,3415236
gauge,grade0,40,320,3003462
gauge,grade0,40,328,2517900
gauge,grade0,40,336,2718540
gauge,grade0,40,344,2126520
gauge,grade0,40,352,2512224
gauge,grade0,40,360,1896840
gauge,grade0,40,368,1793892
gauge,grade0,40,376,1474440
gauge,grade0,40,384,1627560
gauge,grade0,40,392,1003860
gauge,grade0,40,400,1319175
gauge,grade0,40,408,1096524
gauge,grade0,40,416,1010790
gauge,grade0,40,424,839520
gauge,grade0,40,432,912780
gauge,grade0,40,440,677292
gauge,grade0,40,448,607860
gauge,grade0,40,456,388080
gauge,grade0,40,464,474210
gauge,grade0,40,472,522324
gauge,grade0,40,480,555984
gauge,grade0,40,488,314424
gauge,grade0,40,496,550440
gauge,grade0,40,504,273240
gauge,grade0,40,512,190080
gauge,grade1,3,3,20
gauge,grade1,5,7,180
gauge,grade1,5,11,60
gauge,grade1,7,11,720
gauge,grade1,7,15,540
gauge,grade1,7,19,240
gauge,grade1,7,27,60
gauge,grade1,9,15,1680
gauge,grade1,9,19,2160
gauge,grade1,9,23,1980
gauge,grade1,9,27,560
gauge,grade1,9,31,540
gauge,grade1,9,35,120
gauge,grade1,9,39,180
gauge,grade1,9,51,60
gauge,grade1,11,19,2520
gauge,grade1,11,23,5040
gauge,grade1,11,27,7200
gauge,grade1,11,31,4500
gauge,grade1,11,35,3420
gauge,grade1,11,39,1080
gauge,grade1,11,43,2040
gauge,grade1,11,47,540
gauge,grade1,11,51,60
gauge,grade1,11,55,540
gauge,grade1,11,59,120
gauge,grade1,11,67,180
gauge,grade1,11,83,60
gauge,grade1,13,23,2520
gauge,grade1,13,27,7560
gauge,grade1,13,31,15120
gauge,grade1,13,35,15840
gauge,grade1,13,39,14400
gauge,grade1,13,43,6660
gauge,grade1,13,47,9900
gauge,grade1,13,51,5400
gauge,grade1,13,55,2520
gauge,grade1,13,59,2220
gauge,grade1,13,63,1620
gauge,grade1,13,67,600
gauge,grade1,13,71,1440
gauge,grade1,13,75,660
gauge,grade1,13,87,540
gauge,grade1,13,91,120
gauge,grade1,13,103,180
gauge,grade1,13,123,60
gauge,grade1,15,27,1680
gauge,grade1,15,31,7560
gauge,grade1,15,35,20160
gauge,grade1,15,39,31920
gauge,grade1,15,43,37800
gauge,grade1,15,47,26640
gauge,grade1,15,51,31200
gauge,grade1,15,55,23760
gauge,grade1,15,59,19260
gauge,grade1,15,63,10080
gauge,grade1,15,67,9180
gauge,grade1,15,71,5940
gauge,grade1,15,75,6860
gauge,grade1,15,79,5400
gauge,grade1,15,83,2100
gauge,grade1,15,87,540
gauge,grade1,15,91,2700
gauge,grade1,15,95,1080
gauge,grade1,15,99,660
gauge,grade1,15,107,1560
gauge,grade1,15,111,540
gauge,grade1,15,127,540
gauge,grade1,15,131,120
gauge,grade1,15,147,180
gauge,grade1,15,171,60
gauge,grade1,17,31,720
gauge,grade1,17,35,5040
gauge,grade1,17,39,17640
gauge,grade1,17,43,40320
gauge,grade1,17,47,63000
gauge,grade1,17,51,65520
gauge,grade1,17,55,73080
gauge,grade1,17,59,66240
gauge,grade1,17,63,69840
gauge,grade1,17,67,45720
gauge,grade1,17,71,38880
gauge,grade1,17,75,26460
gauge,grade1,17,79,28800
gauge,grade1,17,83,24300
gauge,grade1,17,87,16020
gauge,grade1,17,91,9900
gauge,grade1,17,95,10440
gauge,grade1,17,99,5460
gauge,grade1,17,103,6840
gauge,grade1,17,107,1140
gauge,grade1,17,111,6120
gauge,grade1,17,115,4980
gauge,grade1,17,119,2520
gauge,grade1,17,127,540
gauge,grade1,17,131,2280
gauge,grade1,17,135,1080
gauge,grade1,17,139,600
gauge,grade1,17,147,120
gauge,grade1,17,151,1440
gauge,grade1,17,155,540
gauge,grade1,17,175,540
gauge,grade1,17,179,120
gauge,grade1,17,199,180
gauge,grade1,17,227,60
gauge,grade1,19,35,180
gauge,grade1,19,39,2160
gauge,grade1,19,43,10080
gauge,grade1,19,47,32760
gauge,grade1,19,51,68040
gauge,grade1,19,55,100800
gauge,grade1,19,59,126000
gauge,grade1,19,63,133560
gauge,grade1,19,67,156240
gauge,grade1,19,71,138600
gauge,grade1,19,75,128160
gauge,grade1,19,79,86400
gauge,grade1,19,83,95400
gauge,grade1,19,87,83520
gauge,grade1,19,91,65700
gauge,grade1,19,95,55980
gauge,grade1,19,99,43920
gauge,grade1,19,103,24120
gauge,grade1,19,107,34380
gauge,grade1,19,111,14580
gauge,grade1,19,115,18180
gauge,grade1,19,119,20520
gauge,grade1,19,123,20940
gauge,grade1,19,127,5580
gauge,grade1,19,131,5100
gauge,grade1,19,135,7200
gauge,grade1,19,139,5880
gauge,grade1,19,143,4860
gauge,grade1,19,147,1620
gauge,grade1,19,151,1620
gauge,grade1,19,155,5160
gauge,grade1,19,159,4860
gauge,grade1,19,163,2040
gauge,grade1,19,171,660
gauge,grade1,19,179,2160
gauge,grade1,19,183,1080
gauge,grade1,19,187,600
gauge,grade1,19,195,120
gauge,grade1,19,203,1440
gauge,grade1,19,207,540
gauge,grade1,19,231,540
gauge,grade1,19,235,120
gauge,grade1,19,259,180
gauge,grade1,19,291,60
gauge,grade1,21,39,20
gauge,grade1,21,43,540
gauge,grade1,21,47,3600
gauge,grade1,21,51,16800
gauge,grade1,21,55,47520
gauge,grade1,21,59,98280
gauge,grade1,21,63,152040
gauge,grade1,21,67,196560
gauge,grade1,21,71,244440
gauge,grade1,21,75,273840
gauge,grade1,21,79,294840
gauge,grade1,21,83,231840
gauge,grade1,21,87,243600
gauge,grade1,21,91,221400
gauge,grade1,21,95,202320
gauge,grade1,21,99,183600
gauge,grade1,21,103,156600
gauge,grade1,21,107,107280
gauge,grade1,21,111,115620
gauge,grade1,21,115,80460
gauge,grade1,21,119,66240
gauge,grade1,21,123,57240
gauge,grade1,21,127,82620
gauge,grade1,21,131,46260
gauge,grade1,21,135,35460
gauge,grade1,21,139,23760
gauge,grade1,21,143,27180
gauge,grade1,21,147,22700
gauge,grade1,21,151,13500
gauge,grade1,21,155,12540
gauge,grade1,21,159,12240
gauge,grade1,21,163,20520
gauge,grade1,21,167,17460
gauge,grade1,21,171,4620
gauge,grade1,21,175,5400
gauge,grade1,21,179,1200
gauge,grade1,21,183,7020
gauge,grade1,21,187,4860
gauge,grade1,21,191,4860
gauge,grade1,21,195,1620
gauge,grade1,21,199,1080
gauge,grade1,21,203,240
gauge,grade1,21,207,5580
gauge,grade1,21,211,4320
gauge,grade1,21,215,1980
gauge,grade1,21,219,120
gauge,grade1,21,223,540
gauge,grade1,21,235,2160
gauge,grade1,21,239,1080
gauge,grade1,21,243,600
gauge,grade1,21,251,120
gauge,grade1,21,263,1440
gauge,grade1,21,267,540
gauge,grade1,21,295,540
gauge,grade1,21,299,120
gauge,grade1,21,327,180
gauge,grade1,21,363,60
gauge,grade1,23,47,60
gauge,grade1,23,51,720
gauge,grade1,23,55,5040
gauge,grade1,23,59,20700
gauge,grade1,23,63,59760
gauge,grade1,23,67,122400
gauge,grade1,23,71,201600
gauge,grade1,23,75,279720
gauge,grade1,23,79,372600
gauge,grade1,23,83,461160
gauge,grade1,23,87,461160
gauge,grade1,23,91,488880
gauge,grade1,23,95,458640
gauge,grade1,23,99,476280
gauge,grade1,23,103,446040
gauge,grade1,23,107,416520
gauge,grade1,23,111,352080
gauge,grade1,23,115,327960
gauge,grade1,23,119,275760
gauge,grade1,23,123,236880
gauge,grade1,23,127,172440
gauge,grade1,23,131,221760
gauge,grade1,23,135,178380
gauge,grade1,23,139,165600
gauge,grade1,23,143,97380
gauge,grade1,23,147,101700
gauge,grade1,23,151,88380
gauge,grade1,23,155,69480
gauge,grade1,23,159,54900
gauge,grade1,23,163,39600
gauge,grade1,23,167,59940
gauge,grade1,23,171,68400
gauge,grade1,23,175,43020
gauge,grade1,23,179,29400
gauge,grade1,23,183,10800
gauge,grade1,23,187,27960
gauge,grade1,23,191,19800
gauge,grade1,23,195,19020
gauge,grade1,23,199,12960
gauge,grade1,23,203,8820
gauge,grade1,23,207,2160
gauge,grade1,23,211,17040
gauge,grade1,23,215,16200
gauge,grade1,23,219,14460
gauge,grade1,23,223,6120
gauge,grade1,23,227,4980
gauge,grade1,23,231,1080
gauge,grade1,23,235,1980
gauge,grade1,23,239,5040
gauge,grade1,23,243,4380
gauge,grade1,23,247,5400
gauge,grade1,23,251,1200
gauge,grade1,23,255,1080
gauge,grade1,23,259,120
gauge,grade1,23,263,540
gauge,grade1,23,267,5040
gauge,grade1,23,271,4320
gauge,grade1,23,275,2100
gauge,grade1,23,283,540
gauge,grade1,23,299,2160
gauge,grade1,23,303,1080
gauge,grade1,23,307,600
gauge,grade1,23,315,120
gauge,grade1,23,331,1440
gauge,grade1,23,335,540
gauge,grade1,23,367,540
gauge,grade1,23,371,120
gauge,grade1,23,403,180
gauge,grade1,23,443,60
gauge,grade1,25,55,60
gauge,grade1,25,59,720
gauge,grade1,25,63,5100
gauge,grade1,25,67,21240
gauge,grade1,25,71,62100
gauge,grade1,25,75,135360
gauge,grade1,25,79,228960
gauge,grade1,25,83,358380
gauge,grade1,25,87,500760
gauge,grade1,25,91,632520
gauge,grade1,25,95,739800
gauge,grade1,25,99,758520
gauge,grade1,25,103,841680
gauge,grade1,25,107,849240
gauge,grade1,25,111,864000
gauge,grade1,25,115,806400
gauge,grade1,25,119,781200
gauge,grade1,25,123,718200
gauge,grade1,25,127,641520
gauge,grade1,25,131,536040
gauge,grade1,25,135,537840
gauge,grade1,25,139,456480
gauge,grade1,25,143,516600
gauge,grade1,25,147,365040
gauge,grade1,25,151,323280
gauge,grade1,25,155,290880
gauge,grade1,25,159,272700
gauge,grade1,25,163,190080
gauge,grade1,25,167,159660
gauge,grade1,25,171,167580
gauge,grade1,25,175,178380
gauge,grade1,25,179,181080
gauge,grade1,25,183,134100
gauge,grade1,25,187,65160
gauge,grade1,25,191,102060
gauge,grade1,25,195,82080
gauge,grade1,25,199,69660
gauge,grade1,25,203,50760
gauge,grade1,25,207,49680
gauge,grade1,25,211,21120
gauge,grade1,25,215,47520
gauge,grade1,25,219,46500
gauge,grade1,25,223,50760
gauge,grade1,25,227,40440
gauge,grade1,25,231,32040
gauge,grade1,25,235,10800
gauge,grade1,25,239,19260
gauge,grade1,25,243,13080
gauge,grade1,25,247,12600
gauge,grade1,25,251,21660
gauge,grade1,25,255,10800
gauge,grade1,25,259,7140
gauge,grade1,25,263,2520
gauge,grade1,25,267,5940
gauge,grade1,25,271,11700
gauge,grade1,25,275,15180
gauge,grade1,25,279,16020
gauge,grade1,25,283,4620
gauge,grade1,25,287,4320
gauge,grade1,25,291,1740
gauge,grade1,25,295,1440
gauge,grade1,25,303,5040
gauge,grade1,25,307,4980
gauge,grade1,25,311,4860
gauge,grade1,25,315,1080
gauge,grade1,25,319,1080
gauge,grade1,25,323,120
gauge,grade1,25,327,540
gauge,grade1,25,335,5040
gauge,grade1,25,339,4440
gauge,grade1,25,343,1980
gauge,grade1,25,351,540
gauge,grade1,25,371,2160
gauge,grade1,25,375,1080
gauge,grade1,25,379,600
gauge,grade1,25,387,120
gauge,grade1,25,407,1440
gauge,grade1,25,411,540
gauge,grade1,25,447,540
gauge,grade1,25,451,120
gauge,grade1,25,487,180
gauge,grade1,27,63,20
gauge,grade1,27,67,540
gauge,grade1,27,71,3720
gauge,grade1,27,75,17880
gauge,grade1,27,79,54540
gauge,grade1,27,83,124740
gauge,grade1,27,87,237420
gauge,grade1,27,91,383400
gauge,grade1,27,95,588600
gauge,grade1,27,99,797340
gauge,grade1,27,103,961200
gauge,grade1,27,107,1126440
gauge,grade1,27,111,1249920
gauge,grade1,27,115,1399140
gauge,grade1,27,119,1392840
gauge,grade1,27,123,1459080
gauge,grade1,27,127,1459080
gauge,grade1,27,131,1362240
