shell,start_index,iterations,final_psi,final_ratio,final_cv_x,final_logx_std,monotone_psi,initial_psi,initial_cv_x,converged_equal
12,112,25,0.0,1.0,4.836729006078499e-14,4.838097497016792e-14,True,-13.62905273827851,1.6090218760827015,True
12,113,24,2.6645352591003757e-15,1.0000000000000027,3.754944721742586e-14,3.755874325356326e-14,True,-22.165448003282535,2.180365670486778,True
12,114,24,8.881784197001252e-16,1.0000000000000009,3.05996210432721e-14,3.060799087423331e-14,True,-17.501904995465885,1.6390749894623342,True
12,115,24,0.0,1.0,2.4692324754751448e-14,2.469478316624274e-14,True,-42.54695307014563,3.8563308328867154,True
12,116,24,2.6645352591003757e-15,1.0000000000000027,2.2867719762813477e-14,2.2877335600985047e-14,True,-22.60251448780391,2.069783067103896,True
12,117,24,8.881784197001252e-16,1.0000000000000009,3.5020849818029703e-14,3.504124284119417e-14,True,-21.767259495011174,2.213726412969636,True
12,118,24,1.7763568394002505e-15,1.0000000000000018,2.7820817059596352e-14,2.7826366910356918e-14,True,-25.690944828607847,2.6545251036213324,True
12,119,24,0.0,1.0,2.7640893199117302e-14,2.765515894640728e-14,True,-16.568757714104944,1.5641949915615143,True
12,120,24,1.7763568394002505e-15,1.0000000000000018,3.2086677902022103e-14,3.21018597271388e-14,True,-30.057465522805337,3.149828603668397,True
12,121,25,8.881784197001252e-16,1.0000000000000009,5.53866481279824e-14,5.539901178613431e-14,True,-37.938147739402844,2.848655402936639,True
12,122,28,8.881784197001252e-16,1.0000000000000009,2.074203958928264e-14,2.0758556328415343e-14,True,-80.43198211825296,4.665792790364803,True
12,123,25,3.552713678800501e-15,1.0000000000000036,2.2640464220944538e-14,2.2641001074503367e-14,True,-26.988315087421594,2.0276864315197103,True
12,124,24,2.6645352591003757e-15,1.0000000000000027,4.898545885835595e-14,4.899987186302662e-14,True,-80.68630672809614,4.632188572221885,True
12,125,25,1.7763568394002505e-15,1.0000000000000018,3.4333314207349035e-14,3.434907696766166e-14,True,-29.329787672404137,2.018795904364977,True
12,126,12,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-63.03605646696914,4.50372886149746,False
12,127,27,2.6645352591003757e-15,1.0000000000000027,3.277937788858486e-14,3.2794959012744043e-14,True,-46.44824819874182,3.3385822445361137,True
12,128,14,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-50.945781555483606,2.958747369242889,False
12,129,25,8.881784197001252e-16,1.0000000000000009,1.96802754731403e-14,1.9686116767516703e-14,True,-30.199391902391312,2.501717791876983,True
12,130,24,3.552713678800501e-15,1.0000000000000036,6.803325851995968e-14,6.80507194158362e-14,True,-46.19799958891461,2.678544970029918,True
12,131,25,3.552713678800501e-15,1.0000000000000036,3.026059613624609e-14,3.026408358257813e-14,True,-45.83528896901597,3.60706952618172,True
12,132,11,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-45.057649800631985,4.073940011741313,False
12,133,24,1.7763568394002505e-15,1.0000000000000018,5.694569360770442e-14,5.694471726822332e-14,True,-71.547152459204,4.495050043093057,True
12,134,25,2.6645352591003757e-15,1.0000000000000027,5.659465094050377e-14,5.6598396365148105e-14,True,-38.00754069962584,3.485934277554558,True
12,135,24,2.6645352591003757e-15,1.0000000000000027,7.008213407862015e-14,7.010209529556797e-14,True,-93.42530468300954,4.765034219255198,True
12,136,25,0.0,1.0,2.028654749595583e-14,2.0296053535674925e-14,True,-63.09880841061134,4.162154946624625,True
12,137,24,1.7763568394002505e-15,1.0000000000000018,6.610469953330323e-14,6.611996863845205e-14,True,-46.06636681347584,3.3922835162623493,True
12,138,28,8.881784197001252e-16,1.0000000000000009,2.311369063881078e-14,2.3129855321768124e-14,True,-65.96846905168957,3.629475938500372,True
12,139,24,0.0,1.0,7.182955999271052e-14,7.184493706472859e-14,True,-66.10814741492628,3.410065657069744,True
12,140,25,2.6645352591003757e-15,1.0000000000000027,2.1743914688963403e-14,2.1762382741201252e-14,True,-72.25154985876712,4.543305308524738,True
12,141,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-63.432125063919,4.079215696275978,False
12,142,26,8.881784197001252e-16,1.0000000000000009,2.000139267131347e-14,2.0017742281337516e-14,True,-37.402256097991575,2.561804527920559,True
12,143,24,1.7763568394002505e-15,1.0000000000000018,2.5178300264598484e-14,2.518152418160227e-14,True,-53.52233002022049,3.8881516438919648,True
12,144,24,8.881784197001252e-16,1.0000000000000009,5.1147614468972515e-14,5.114457107055939e-14,True,-71.2679364743836,4.117589332086157,True
12,145,24,8.881784197001252e-16,1.0000000000000009,6.250367877180752e-14,6.25057554951297e-14,True,-48.19879271162368,2.9317645487043373,True
12,146,25,8.881784197001252e-16,1.0000000000000009,2.6021351735217116e-14,2.6027444384590334e-14,True,-82.62403648725957,4.738351997795823,True
12,147,24,1.7763568394002505e-15,1.0000000000000018,6.078125900779804e-14,6.079501346325401e-14,True,-78.73832147715592,4.536127019950825,True
12,148,25,3.552713678800501e-15,1.0000000000000036,2.8806784404753894e-14,2.882623976181837e-14,True,-74.0374664247237,4.28531003403232,True
12,149,25,1.7763568394002505e-15,1.0000000000000018,2.2263420635519854e-14,2.2281687993620696e-14,True,-34.38922633622625,2.649626699901573,True
12,150,25,8.881784197001252e-16,1.0000000000000009,2.037654999702663e-14,2.0392049087741798e-14,True,-71.07201932185316,4.616258037859068,True
12,151,26,8.881784197001252e-16,1.0000000000000009,2.4846702823673473e-14,2.485435815643108e-14,True,-109.55908678005056,4.600633548207094,True
12,152,26,8.881784197001252e-16,1.0000000000000009,2.9699391080166246e-14,2.970201800647032e-14,True,-122.07967177101261,3.288427248031999,True
12,153,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-72.92310336431989,3.044087868322203,False
12,154,25,1.7763568394002505e-15,1.0000000000000018,6.232788335769935e-14,6.234422781566072e-14,True,-103.73514030022177,4.260920779387847,True
12,155,26,-8.881784197001252e-16,0.9999999999999991,1.9897605449424825e-14,1.989936698669055e-14,True,-168.75153437983815,4.795478988882017,True
12,156,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-108.08572080394363,4.365627684403757,False
12,157,26,0.0,1.0,2.8451112240461935e-14,2.846349127727579e-14,True,-130.47029399243036,4.717282574445717,True
12,158,13,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-104.44723200406824,3.4774122876506803,False
12,159,10,-3.6951100038645723,0.02484472049689441,1.0,172.86716876969342,True,-97.22394710445059,4.358673028457422,False
12,160,26,1.7763568394002505e-15,1.0000000000000018,2.2060904879657395e-14,2.207155576893669e-14,True,-80.80976830165363,2.9403480461458877,True
12,161,24,1.7763568394002505e-15,1.0000000000000018,5.683190708207598e-14,5.68389077607961e-14,True,-170.63092186813864,4.438193613003778,True
12,162,12,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-215.2456939308578,4.795817414768399,False
12,163,10,-3.6951100038645723,0.02484472049689441,1.0,172.86716876969342,True,-95.0693551047574,3.518587142866166,False
12,164,26,8.881784197001252e-16,1.0000000000000009,2.1515363627845393e-14,2.1517571406470538e-14,True,-132.53527397584241,4.7833465904360155,True
12,165,25,0.0,1.0,7.079734101749084e-14,7.080148473306365e-14,True,-62.352004024923076,2.7638546356413154,True
12,166,26,8.881784197001252e-16,1.0000000000000009,2.0306777829925612e-14,2.0318191459077313e-14,True,-100.25194805517283,4.093480217908473,True
12,167,26,1.7763568394002505e-15,1.0000000000000018,2.2086161032460163e-14,2.2089747114653787e-14,True,-64.55485331081866,2.290381491061175,True
12,168,26,1.7763568394002505e-15,1.0000000000000018,2.2022505763048503e-14,2.2032577901664343e-14,True,-75.52034055516945,3.6016380964472834,True
12,169,27,0.0,1.0,4.389025718924005e-14,4.390121913946916e-14,True,-97.8654354995602,4.631311504576918,True
12,170,26,2.6645352591003757e-15,1.0000000000000027,5.4542811136630967e-14,5.4559018568574795e-14,True,-99.45213498433404,3.4319173206226297,True
12,171,13,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-100.08959065114364,2.8950022007741896,False
12,172,26,2.6645352591003757e-15,1.0000000000000027,3.703620781314269e-14,3.705439620895401e-14,True,-49.627910150159074,2.5457225730499777,True
12,173,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-122.81144512169443,4.761859819567339,False
12,174,25,1.7763568394002505e-15,1.0000000000000018,3.095739333490334e-14,3.097460752475215e-14,True,-108.49998084142526,3.576220072533481,True
12,175,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-84.81050429837636,3.3379187198505043,False
12,176,12,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-115.55698384999155,4.768758946694167,False
12,177,25,1.7763568394002505e-15,1.0000000000000018,6.603223134731104e-14,6.603561356350734e-14,True,-149.99530987550355,4.7943334756487275,True
12,178,11,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-198.57026245613898,4.795806068750468,False
12,179,9,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-74.79246558865752,2.850101741891344,False
12,180,25,2.6645352591003757e-15,1.0000000000000027,5.785147121179682e-14,5.78440466704738e-14,True,-127.17371726391028,3.570075300930474,True
12,181,25,2.6645352591003757e-15,1.0000000000000027,5.968597168272527e-14,5.969590819153528e-14,True,-209.65993111685623,4.791326975524832,True
12,182,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-174.13818801715402,4.764074698402028,False
12,183,11,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-216.18953076841322,4.795605449366462,False
12,184,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-199.50650173350596,4.3962019442623985,False
12,185,10,-3.6951100038645723,0.02484472049689441,1.0,172.86716876969342,True,-176.6572868738307,4.792803939706815,False
12,186,14,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-113.60342700022483,3.4049405439840235,False
12,187,26,2.6645352591003757e-15,1.0000000000000027,2.582203497014906e-14,2.583634754576091e-14,True,-279.9876428924034,4.795829305335899,True
12,188,10,-3.6951100038645723,0.02484472049689441,1.0,172.86716876969342,True,-350.7698835214234,4.79583152303701,False
12,189,26,3.552713678800501e-15,1.0000000000000036,3.867040031987172e-14,3.868338584407502e-14,True,-199.435711129142,4.760913491185903,True
12,190,26,1.7763568394002505e-15,1.0000000000000018,3.6861327193425824e-14,3.686405262314713e-14,True,-129.92592710929011,4.723239466308559,True
12,191,9,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-290.4608559923236,4.795831508073825,False
12,192,26,4.440892098500626e-15,1.0000000000000044,2.8922579452455666e-14,2.893351576231588e-14,True,-193.58296873207468,4.794313746387642,True
12,193,26,8.881784197001252e-16,1.0000000000000009,2.965976446457243e-14,2.9656037013338013e-14,True,-179.85848439806787,4.795214632098464,True
12,194,10,-3.6951100038645723,0.02484472049689441,1.0,172.86716876969342,True,-160.61631143645792,3.3698214531358106,False
12,195,7,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-154.2897577195786,4.044796944355058,False
12,196,9,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-242.5468532334401,4.795818151436675,False
12,197,10,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-196.32743867761755,4.699482916170058,False
12,198,9,-3.6951100038645723,0.02484472049689441,1.0,172.8671687696934,True,-113.79166601100542,3.1523005789767105,False
