basis_id,source0_addr,source1_addr,target_addr,coeff,weak_class_code,source_pair_id,closure_volume,source0_margin,source1_margin
133,530,772,336,4,11,522822,266390487,237,13
134,530,815,349,8,11,522865,275576256,232,2
135,530,836,351,2,11,522886,281779398,230,84
136,530,872,435,2,11,522922,254959650,178,2
137,530,879,437,1,11,522929,256069440,176,23
138,530,880,460,1,11,522930,245600775,153,7
139,530,954,467,2,11,523004,262680390,190,2
140,530,958,469,2,11,523008,262762164,188,3
141,530,979,472,1,11,523029,266954940,185,2
142,530,981,474,1,11,523031,266456862,183,42
143,530,982,516,2,11,523032,244805337,141,3
144,530,983,519,1,11,523033,243486864,138,4
145,530,984,523,1,11,523034,241642170,134,462
146,693,752,561,4,11,683357,221574768,1,12
147,694,836,581,1,11,684426,235012860,2,32
148,696,732,531,2,11,686292,231949054,1,30
149,696,752,562,2,11,686312,222007743,1,11
150,697,836,583,1,11,687381,234858852,1,30
151,697,984,657,1,11,687529,225509840,15,328
152,698,727,531,2,11,688257,231027888,1,1
153,698,752,563,2,11,688282,222118434,3,10
154,698,836,584,2,11,688366,234610263,8,29
155,698,880,613,1,11,688410,229084668,5,44
156,698,983,657,1,11,688513,225603648,15,15
157,699,752,566,6,11,689267,220854900,6,7
158,699,772,573,1,11,689287,222933200,2,8
159,699,834,581,1,11,689349,236138000,7,1
160,699,835,582,1,11,689350,235835600,6,10
161,699,836,592,1,11,689351,230258700,13,21
162,699,876,613,1,11,689391,228370800,3,1
163,699,878,614,2,11,689393,228276300,2,2
164,699,879,616,2,11,689394,227304000,2,2
165,699,970,657,1,11,689485,222941600,4,1
166,699,979,658,1,11,689494,224322000,14,3
167,699,981,661,1,11,689496,222717600,11,7
168,699,982,668,1,11,689497,218127700,4,4
169,700,726,531,2,11,690226,231370658,170,1
170,700,732,532,1,11,690232,232766349,169,29
171,700,751,561,2,11,690251,223512448,172,11
172,700,752,572,6,11,690252,218003289,161,1
173,700,771,573,1,11,690271,222962864,180,2
174,700,772,575,1,11,690272,222167930,178,6
175,700,825,581,1,11,690325,233926504,192,1
176,700,826,582,1,11,690326,233629981,191,1
177,700,832,583,1,11,690332,234741066,190,5
178,700,835,588,1,11,690335,232656292,185,17
179,700,836,605,1,11,690336,222960060,168,8
180,700,872,613,1,11,690372,227653956,224,1
181,700,875,614,2,11,690375,227822196,223,2
182,700,878,616,2,11,690378,227370051,221,2
183,700,880,618,6,11,690380,226652227,219,39
184,700,967,657,1,11,690467,222570304,224,4
185,700,970,661,1,11,690470,220537404,220,11
186,700,984,672,1,11,690484,216121805,209,313
187,958,836,773,1,12,944466,170168796,2,64
188,969,880,837,1,12,955345,126476360,3,44
189,969,984,881,1,11,955449,99366800,12,104
190,970,732,701,1,12,956182,202135012,1,32
191,970,880,840,1,12,956330,124040395,5,41
192,971,836,775,1,12,957271,170848440,2,62
193,972,752,733,1,12,958172,184632588,5,20
194,972,836,777,2,12,958256,169395408,16,60
195,972,878,837,1,12,958298,126579516,1,1
196,972,982,881,1,11,958402,99471736,1,12
197,974,836,793,1,12,960226,156686400,1,44
198,977,835,773,1,12,963180,173332896,2,21
199,978,772,753,2,12,964102,175569944,1,20
200,978,831,773,1,12,964161,172679936,1,1
201,979,732,702,2,12,965047,203290220,2,31
202,979,750,733,1,12,965065,185466960,2,2
203,979,767,753,4,12,965082,174612480,6,1
204,979,772,754,1,12,965087,174991740,5,19
205,979,833,774,1,12,965148,172454520,6,1
206,979,835,775,2,12,965150,172048800,5,19
207,979,879,838,1,12,965194,126772800,7,7
208,980,982,882,1,11,966282,99325269,11,11
209,981,732,704,1,12,967017,202265486,3,29
210,981,830,774,1,12,967115,172184862,2,6
211,981,874,837,1,12,967159,127169000,2,2
212,982,731,701,1,12,968001,204353904,6,6
213,982,745,733,1,12,968015,184796136,1,2
214,982,751,735,1,12,968021,184804000,3,3
215,982,752,738,1,12,968022,182829153,14,15
216,982,772,759,2,12,968042,171728134,2,14
217,982,828,773,1,12,968098,172760284,1,3
218,982,835,780,1,12,968105,168466540,30,14
219,982,836,794,1,12,968106,157149261,16,43
220,982,876,839,1,12,968146,125865286,1,3
221,982,959,881,1,12,968229,98142720,12,1
222,982,980,882,1,12,968250,99325269,11,11
223,983,730,703,1,12,968985,202843728,5,4
224,983,732,707,1,12,968987,200513616,8,26
225,983,757,753,1,12,969012,173042304,1,1
226,983,828,774,1,12,969083,172120296,2,2
227,983,836,810,1,12,969091,144131400,7,27
228,983,866,838,1,12,969121,125409816,1,1
229,984,714,701,1,12,969954,200014100,284,2
230,984,726,703,1,12,969966,201938790,282,4
231,984,729,707,1,12,969969,199895900,278,1
232,984,730,708,1,12,969970,199449695,277,7
233,984,732,715,1,12,969972,194941350,270,18
234,984,742,733,1,12,969982,184427460,252,1
235,984,745,734,1,12,969985,184437310,251,1
236,984,748,735,2,12,969988,184441250,250,2
237,984,750,737,1,12,969990,183454280,248,1
238,984,751,738,2,12,969991,182957840,247,14
239,984,752,752,2,5,969992,172817265,233,1
240,984,756,753,2,12,969996,172989640,232,1
241,984,758,754,1,12,969998,172699065,231,5
242,984,770,759,1,12,970010,171632310,226,2
243,984,772,761,1,12,970012,170554720,224,12
244,984,824,773,1,12,970064,172276500,212,3
245,984,830,776,2,12,970070,171073815,209,33
246,984,834,809,1,12,970074,144755600,176,4
247,984,835,813,2,12,970075,141635120,172,4
248,984,836,817,1,12,970076,138506760,168,20
249,984,865,837,1,12,970105,126245480,148,2
250,984,875,839,1,12,970115,125977560,146,1
251,984,876,840,1,12,970116,125257525,145,2
252,984,878,842,1,12,970118,123811545,143,3
253,984,880,845,1,12,970120,121489900,140,36
254,984,924,881,1,12,970164,94757000,104,2
255,984,926,883,1,12,970166,93135690,102,3
256,984,948,886,1,12,970188,92541735,99,2
257,984,958,888,1,12,970198,91627655,97,5
258,984,984,893,2,2,970224,89260700,92,92
