poincare_point_id,automaton_state_id,repaired_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag
145,150,0,1,49814591000,14133901000,51780890000,13190846000,3742640000,0,0,0
146,151,0,1,58276938000,14096291000,59957543000,15431665000,3732682000,0,0,0
147,152,0,1,29474877000,6546944000,30193226000,7804913000,1733623000,0,0,0
148,154,0,1,57356852000,43290079000,71859860000,15188028000,11463162000,0,0,0
149,155,0,1,55339409000,35658585000,65833008000,14653811000,9442352000,0,0,0
150,156,0,1,52420711000,4600319000,52622180000,13880943000,1218159000,0,0,0
151,157,0,1,44440208000,-2694380000,44521813000,11767715000,-713469000,0,0,0
152,158,0,1,57204426000,18251176000,60045414000,15147665000,4832890000,0,0,0
153,159,0,1,54395898000,36824980000,65688606000,14403971000,9751212000,0,0,0
154,160,0,1,55294466000,35311747000,65607907000,14641910000,9350509000,0,0,0
155,161,0,1,62529026000,44957351000,77013262000,16557613000,11904654000,0,0,0
156,162,0,1,73321702000,47504551000,87365636000,19415501000,12579150000,0,0,0
157,163,0,1,50163906000,29913820000,58405942000,13283344000,7921145000,0,0,0
158,164,0,1,50163906000,29913820000,58405942000,13283344000,7921145000,0,0,0
159,165,0,1,63719829000,21035643000,67102272000,16872937000,5570214000,0,0,0
160,166,0,1,78143913000,30744165000,83974251000,20692417000,8141019000,0,0,0
161,167,0,1,53377332000,24954807000,58922678000,14134255000,6608004000,0,0,0
162,168,0,1,64004931000,19538416000,66920706000,16948431000,5173750000,0,0,0
163,169,0,1,63885995000,19589127000,66821810000,16916937000,5187178000,0,0,0
164,170,0,1,57962050000,16459381000,60253717000,15348283000,4358425000,0,0,0
165,171,0,1,107009002000,-6274593000,107192803000,28335859000,-1661505000,0,0,0
166,172,0,1,68456376000,974062000,68463306000,18127169000,257930000,0,0,0
167,173,0,1,61831303000,-393780000,61832557000,16372857000,-104273000,0,0,0
168,174,0,1,69189411000,144723000,69189562000,18321275000,38322000,0,0,0
169,175,0,1,29426807000,5983577000,30028988000,7792184000,1584444000,0,0,0
170,176,0,1,105896333000,21395135000,108036036000,28041226000,5665407000,0,0,0
171,177,0,1,69464177000,20225522000,72348764000,18394033000,5355695000,0,0,0
172,178,0,1,110781540000,11084068000,111334658000,29334823000,2935048000,0,0,0
173,179,0,1,77387719000,12852885000,78447790000,20492178000,3403429000,0,0,0
174,180,0,1,72888414000,10816752000,73686654000,19300767000,2864263000,0,0,0
