carrier_id,atom_id,step_atom_id,candidate_basis_id,incidence_value,selector_domain_count,counterterm_scaled,weight_num,weight_den,common_den_weight_num,row_integral_flag,exact_weight_flag,operation_backed_flag
46,11,11,11,4,4,-94652077480,-23663019370,1,-473260387400,1,1,0
47,11,23,23,-3,4,-94652077480,-23663019370,1,-473260387400,1,1,0
48,12,3,3,-1,5,-21092622474,-21092622474,5,-84370489896,0,1,0
49,12,5,5,-1,5,-21092622474,-21092622474,5,-84370489896,0,1,0
50,12,14,14,1,5,-21092622474,-21092622474,5,-84370489896,0,1,0
51,12,18,18,-1,5,-21092622474,-21092622474,5,-84370489896,0,1,0
52,12,20,20,2,5,-21092622474,-21092622474,5,-84370489896,0,1,0
53,13,4,4,-1,3,338229093,112743031,1,2254860620,1,1,0
54,13,16,16,-2,3,338229093,112743031,1,2254860620,1,1,0
55,13,23,23,3,3,338229093,112743031,1,2254860620,1,1,0
56,14,1,1,2,5,-17835443871,-17835443871,5,-71341775484,0,1,0
57,14,13,13,-1,5,-17835443871,-17835443871,5,-71341775484,0,1,0
58,14,15,15,-1,5,-17835443871,-17835443871,5,-71341775484,0,1,0
59,14,19,19,-2,5,-17835443871,-17835443871,5,-71341775484,0,1,0
60,14,22,22,2,5,-17835443871,-17835443871,5,-71341775484,0,1,0
61,16,0,0,-1,5,-338229093,-338229093,5,-1352916372,0,1,0
62,16,2,2,2,5,-338229093,-338229093,5,-1352916372,0,1,0
63,16,3,3,-1,5,-338229093,-338229093,5,-1352916372,0,1,0
64,16,21,21,1,5,-338229093,-338229093,5,-1352916372,0,1,0
65,16,24,24,-1,5,-338229093,-338229093,5,-1352916372,0,1,0
66,17,4,4,1,4,-2323258234,-1161629117,2,-11616291170,0,1,0
67,17,6,6,-1,4,-2323258234,-1161629117,2,-11616291170,0,1,0
68,17,21,21,-1,4,-2323258234,-1161629117,2,-11616291170,0,1,0
69,17,24,24,1,4,-2323258234,-1161629117,2,-11616291170,0,1,0
70,18,5,5,1,4,-2437238349,-2437238349,4,-12186191745,0,1,0
71,18,9,9,1,4,-2437238349,-2437238349,4,-12186191745,0,1,0
72,18,14,14,-1,4,-2437238349,-2437238349,4,-12186191745,0,1,0
73,18,19,19,-1,4,-2437238349,-2437238349,4,-12186191745,0,1,0
74,19,4,4,-1,3,-180000000000,-60000000000,1,-1200000000000,1,1,0
75,19,9,9,-1,3,-180000000000,-60000000000,1,-1200000000000,1,1,0
76,19,16,16,2,3,-180000000000,-60000000000,1,-1200000000000,1,1,0
