fiber_row_id,sample_count,sum_value,component_count,fiber_path_count,fiber_path_count_digits,fiber_path_count_mod_1000000007,fiber_path_count_mod_1000000009,long_obj_tensor_lookup_object_flag,long_obj_object_gap_flag,existing_prof_flag,formal_added_flag,full_support_flag,tensor_fiber_positive_flag,fiber_sum_state_flag
175,13,7,3,27742,5,27742,27742,0,1,0,1,1,1,1
176,13,8,3,52624,5,52624,52624,0,1,0,1,1,1,1
177,13,9,3,87802,5,87802,87802,0,1,0,1,1,1,1
178,13,10,3,129844,6,129844,129844,0,1,0,1,1,1,1
179,13,11,3,171106,6,171106,171106,0,1,0,1,1,1,1
180,13,12,3,201643,6,201643,201643,0,1,0,1,1,1,1
181,13,13,3,212941,6,212941,212941,0,1,0,1,1,1,1
182,13,14,3,201643,6,201643,201643,0,1,0,1,1,1,1
183,13,15,3,171106,6,171106,171106,0,1,0,1,1,1,1
184,13,16,3,129844,6,129844,129844,0,1,0,1,1,1,1
185,13,17,3,87802,5,87802,87802,0,1,0,1,1,1,1
186,13,18,3,52624,5,52624,52624,0,1,0,1,1,1,1
187,13,19,3,27742,5,27742,27742,0,1,0,1,1,1,1
188,13,20,3,12727,5,12727,12727,0,1,0,1,1,1,1
189,13,21,3,5005,4,5005,5005,0,1,0,1,1,1,1
190,13,22,3,1651,4,1651,1651,0,1,0,1,1,1,1
191,13,23,3,442,3,442,442,0,1,0,1,1,1,1
192,13,24,3,91,2,91,91,0,1,0,1,1,1,1
193,13,25,3,13,2,13,13,0,1,0,1,1,1,1
194,13,26,3,1,1,1,1,0,1,0,1,1,1,1
195,14,0,3,1,1,1,1,0,1,0,1,1,1,1
196,14,1,3,14,2,14,14,0,1,0,1,1,1,1
197,14,2,3,105,3,105,105,0,1,0,1,1,1,1
198,14,3,3,546,3,546,546,0,1,0,1,1,1,1
199,14,4,3,2184,4,2184,2184,0,1,0,1,1,1,1
200,14,5,3,7098,4,7098,7098,0,1,0,1,1,1,1
201,14,6,3,19383,5,19383,19383,0,1,0,1,1,1,1
202,14,7,3,45474,5,45474,45474,0,1,0,1,1,1,1
203,14,8,3,93093,5,93093,93093,0,1,0,1,1,1,1
204,14,9,3,168168,6,168168,168168,0,1,0,1,1,1,1
205,14,10,3,270270,6,270270,270270,0,1,0,1,1,1,1
206,14,11,3,388752,6,388752,388752,0,1,0,1,1,1,1
207,14,12,3,502593,6,502593,502593,0,1,0,1,1,1,1
208,14,13,3,585690,6,585690,585690,0,1,0,1,1,1,1
209,14,14,3,616227,6,616227,616227,0,1,0,1,1,1,1
210,14,15,3,585690,6,585690,585690,0,1,0,1,1,1,1
211,14,16,3,502593,6,502593,502593,0,1,0,1,1,1,1
212,14,17,3,388752,6,388752,388752,0,1,0,1,1,1,1
213,14,18,3,270270,6,270270,270270,0,1,0,1,1,1,1
214,14,19,3,168168,6,168168,168168,0,1,0,1,1,1,1
215,14,20,3,93093,5,93093,93093,0,1,0,1,1,1,1
216,14,21,3,45474,5,45474,45474,0,1,0,1,1,1,1
217,14,22,3,19383,5,19383,19383,0,1,0,1,1,1,1
218,14,23,3,7098,4,7098,7098,0,1,0,1,1,1,1
219,14,24,3,2184,4,2184,2184,0,1,0,1,1,1,1
220,14,25,3,546,3,546,546,0,1,0,1,1,1,1
221,14,26,3,105,3,105,105,0,1,0,1,1,1,1
222,14,27,3,14,2,14,14,0,1,0,1,1,1,1
223,14,28,3,1,1,1,1,0,1,0,1,1,1,1
224,15,0,3,1,1,1,1,0,1,0,1,1,1,1
225,15,1,3,15,2,15,15,0,1,0,1,1,1,1
226,15,2,3,120,3,120,120,0,1,0,1,1,1,1
227,15,3,3,665,3,665,665,0,1,0,1,1,1,1
228,15,4,3,2835,4,2835,2835,0,1,0,1,1,1,1
229,15,5,3,9828,4,9828,9828,0,1,0,1,1,1,1
230,15,6,3,28665,5,28665,28665,0,1,0,1,1,1,1
231,15,7,3,71955,5,71955,71955,0,1,0,1,1,1,1
232,15,8,3,157950,6,157950,157950,0,1,0,1,1,1,1
233,15,9,3,306735,6,306735,306735,0,1,0,1,1,1,1
234,15,10,3,531531,6,531531,531531,0,1,0,1,1,1,1
235,15,11,3,827190,6,827190,827190,0,1,0,1,1,1,1
236,15,12,3,1161615,7,1161615,1161615,0,1,0,1,1,1,1
237,15,13,3,1477035,7,1477035,1477035,0,1,0,1,1,1,1
238,15,14,3,1704510,7,1704510,1704510,0,1,0,1,1,1,1
239,15,15,3,1787607,7,1787607,1787607,0,1,0,1,1,1,1
240,15,16,3,1704510,7,1704510,1704510,0,1,0,1,1,1,1
241,15,17,3,1477035,7,1477035,1477035,0,1,0,1,1,1,1
242,15,18,3,1161615,7,1161615,1161615,0,1,0,1,1,1,1
243,15,19,3,827190,6,827190,827190,0,1,0,1,1,1,1
244,15,20,3,531531,6,531531,531531,0,1,0,1,1,1,1
245,15,21,3,306735,6,306735,306735,0,1,0,1,1,1,1
246,15,22,3,157950,6,157950,157950,0,1,0,1,1,1,1
247,15,23,3,71955,5,71955,71955,0,1,0,1,1,1,1
248,15,24,3,28665,5,28665,28665,0,1,0,1,1,1,1
249,15,25,3,9828,4,9828,9828,0,1,0,1,1,1,1
250,15,26,3,2835,4,2835,2835,0,1,0,1,1,1,1
251,15,27,3,665,3,665,665,0,1,0,1,1,1,1
252,15,28,3,120,3,120,120,0,1,0,1,1,1,1
253,15,29,3,15,2,15,15,0,1,0,1,1,1,1
254,15,30,3,1,1,1,1,0,1,0,1,1,1,1
255,16,0,3,1,1,1,1,0,1,0,1,1,1,1
256,16,1,3,16,2,16,16,0,1,0,1,1,1,1
257,16,2,3,136,3,136,136,0,1,0,1,1,1,1
258,16,3,3,800,3,800,800,0,1,0,1,1,1,1
259,16,4,3,3620,4,3620,3620,0,1,0,1,1,1,1
260,16,5,3,13328,5,13328,13328,0,1,0,1,1,1,1
261,16,6,3,41328,5,41328,41328,0,1,0,1,1,1,1
262,16,7,3,110448,6,110448,110448,0,1,0,1,1,1,1
263,16,8,3,258570,6,258570,258570,0,1,0,1,1,1,1
264,16,9,3,536640,6,536640,536640,0,1,0,1,1,1,1
265,16,10,3,996216,6,996216,996216,0,1,0,1,1,1,1
266,16,11,3,1665456,7,1665456,1665456,0,1,0,1,1,1,1
267,16,12,3,2520336,7,2520336,2520336,0,1,0,1,1,1,1
268,16,13,3,3465840,7,3465840,3465840,0,1,0,1,1,1,1
269,16,14,3,4343160,7,4343160,4343160,0,1,0,1,1,1,1
270,16,15,3,4969152,7,4969152,4969152,0,1,0,1,1,1,1
271,16,16,3,5196627,7,5196627,5196627,0,1,0,1,1,1,1
272,16,17,3,4969152,7,4969152,4969152,0,1,0,1,1,1,1
273,16,18,3,4343160,7,4343160,4343160,0,1,0,1,1,1,1
274,16,19,3,3465840,7,3465840,3465840,0,1,0,1,1,1,1
275,16,20,3,2520336,7,2520336,2520336,0,1,0,1,1,1,1
276,16,21,3,1665456,7,1665456,1665456,0,1,0,1,1,1,1
277,16,22,3,996216,6,996216,996216,0,1,0,1,1,1,1
278,16,23,3,536640,6,536640,536640,0,1,0,1,1,1,1
279,16,24,3,258570,6,258570,258570,0,1,0,1,1,1,1
280,16,25,3,110448,6,110448,110448,0,1,0,1,1,1,1
281,16,26,3,41328,5,41328,41328,0,1,0,1,1,1,1
282,16,27,3,13328,5,13328,13328,0,1,0,1,1,1,1
283,16,28,3,3620,4,3620,3620,0,1,0,1,1,1,1
284,16,29,3,800,3,800,800,0,1,0,1,1,1,1
285,16,30,3,136,3,136,136,0,1,0,1,1,1,1
286,16,31,3,16,2,16,16,0,1,0,1,1,1,1
287,16,32,3,1,1,1,1,0,1,0,1,1,1,1
