rank,p36_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
11,49995,1,1890,1890,2,16,77,85,86,129,1,8,38,42,43,64,0,0,1,1,1,2,12,12,22,22,22,26,30,30,45,45,45,51,0,0,0,1191239680,1190673024,1192012032,1190901760,1193643040,1190673024,1193643040,2970016,1,1,1,1,0,1,0,0,1,1,0,6171918336
12,268911,1,1891,1891,34,38,64,77,85,111,17,19,32,38,42,55,0,0,1,1,1,2,12,12,22,22,22,26,30,30,45,45,45,51,0,0,0,1190673024,1191239680,1190901760,1192012032,1193643040,1190673024,1193643040,2970016,1,1,1,1,0,1,0,0,1,1,0,6069288960
13,42874,1,1730,1730,2,12,14,20,34,140,1,6,7,10,17,70,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,151446784,152964000,151015936,154002432,153060416,151015936,154002432,2986496,1,1,1,1,0,1,0,0,1,1,0,2963275776
14,54379,1,1731,1731,2,26,32,34,44,108,1,13,16,17,22,54,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,152964000,151446784,154002432,151015936,153060416,151015936,154002432,2986496,1,1,1,1,0,1,0,0,1,1,0,2610561024
15,114256,1,1880,1880,8,12,28,32,44,122,4,6,14,16,22,61,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,161938368,160574944,163365760,160507264,163737408,160507264,163737408,3230144,1,1,1,1,0,1,0,0,1,1,0,2572812288
16,154577,1,1881,1881,12,14,30,36,44,116,6,7,15,18,22,58,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,160574944,161938368,160507264,163365760,163737408,160507264,163737408,3230144,1,1,1,1,0,1,0,0,1,1,0,2805202944
17,152975,1,1124,1124,12,13,32,62,94,126,6,6,16,31,47,63,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,298549888,297102336,299232000,300344832,298957952,297102336,300344832,3242496,1,1,1,1,0,1,0,0,1,1,0,3694657536
18,187148,1,1125,1125,14,44,45,48,80,104,7,22,22,24,40,52,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,297102336,298549888,300344832,299232000,298957952,297102336,300344832,3242496,1,1,1,1,0,1,0,0,1,1,0,3509452800
19,76468,1,1988,1988,4,12,28,54,110,112,2,6,14,27,55,56,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,236847984,237595680,237383168,235267968,238527936,235267968,238527936,3259968,1,1,1,1,0,1,0,0,1,1,0,3274702848
20,273084,1,1989,1989,36,42,44,70,128,134,18,21,22,35,64,67,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,237595680,236847984,235267968,237383168,238527936,235267968,238527936,3259968,1,1,1,1,0,1,0,0,1,1,0,3320709120
21,44377,1,1521,1521,2,12,22,29,104,110,1,6,11,14,52,55,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,230199616,231025600,231050176,227777536,230088704,227777536,231050176,3272640,1,1,1,1,0,1,0,0,1,1,0,3529506816
22,107442,1,1520,1520,6,34,37,44,126,128,3,17,18,22,63,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,231025600,230199616,227777536,231050176,230088704,227777536,231050176,3272640,1,1,1,1,0,1,0,0,1,1,0,2933784576
23,84175,1,1576,1576,4,45,78,104,122,128,2,22,39,52,61,64,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,315991552,315679712,316716928,318937856,318995968,315679712,318995968,3316256,1,1,1,1,0,1,0,0,1,1,0,3229876224
24,176195,1,1577,1577,13,42,56,110,116,126,6,21,28,55,58,63,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,315679712,315991552,318937856,316716928,318995968,315679712,318995968,3316256,1,1,1,1,0,1,0,0,1,1,0,4035575808
25,39461,2,1956,1957,2,8,14,30,32,34,1,4,7,15,16,17,0,0,0,0,0,0,12,12,12,12,12,12,30,30,30,30,30,30,1,1,1,138522624,138522624,141939456,141939456,139163904,138522624,141939456,3416832,1,1,1,1,0,1,0,0,1,1,0,2491416576
