mask,basis_cycle_ids,basis_active_count,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256
1917,0 2 3 4 5 6 8 9 10,9,297,1141344,1141344,ad4a600d2a1e953c47dce92d3f9b2b68b4e2c68db846110950252ecc6807771d
1918,1 2 3 4 5 6 8 9 10,9,297,1175744,1175744,6217aefd17ff26422d9ea7660e95ed334164644dd6c2debfbd9f0fa0da1c1f63
1919,0 1 2 3 4 5 6 8 9 10,10,297,1368480,1368480,fdeb84e8e94058b8295d80f3abee953e8f800726615eec9e92cf8b767df0a29a
1920,7 8 9 10,4,297,434912,434912,4c5520f2d6463bfb498571e675aa42d40548123cd3af092b078112b4d587bf92
1921,0 7 8 9 10,5,297,627648,627648,eb801d0ea0450307d4c60a4782c709e0f3e719174729f295061e4faf27878c33
1922,1 7 8 9 10,5,297,662048,662048,edccc12a0a941e9e45941469c28b4c541033222d2222c27c20a785465f72107c
1923,0 1 7 8 9 10,6,297,854784,854784,353df7ff0697e2dfd5798291bcd863c2734215a01c5f56431d8348a5eead9b74
1924,2 7 8 9 10,5,297,536864,536864,1da7421d5d380bff59e982097c9bc9d7e20c645eb90e4f909e53fa9f5158f96e
1925,0 2 7 8 9 10,6,297,729600,729600,7e80e834138cd98f39c1934df8a7e35972660a0e987192b6ee26ecb876ab01a5
1926,1 2 7 8 9 10,6,297,764000,764000,d9c3f0380bd83a1b1b9778500e20876057a9d102d0071b87d9f4a7a4ac587caa
1927,0 1 2 7 8 9 10,7,297,956736,956736,0429a475bc117eb9de55467e8a2e69b967eec9f22a11ba858b9c6a70b1c057d5
1928,3 7 8 9 10,5,297,686336,686336,1353a5cc9c5808fbbba1c78be1724113b4c8b4e60256873af1755e882ef76478
1929,0 3 7 8 9 10,6,297,879072,879072,8a4ad994db55ca996c5a2becd26ef45c35cf6a358079092276c2a2c079fc7c95
1930,1 3 7 8 9 10,6,297,913472,913472,8fe5370b76d10f03ea9567a4c75d36931d8a060fc19037b1a0f536c5e23a5144
1931,0 1 3 7 8 9 10,7,297,1106208,1106208,e7de65085562d2276c2d61f3971146119aa7d800137c8d82fc91236df30a00a7
1932,2 3 7 8 9 10,6,297,788288,788288,3021e4f4394200dcb147ec036c1e6bf7434b5e453f7c98a333aeec6442f7a70d
1933,0 2 3 7 8 9 10,7,297,981024,981024,4658b81d606001e7d332f0745c960d8a962670ed04d066fac75b098c73b0bc1c
1934,1 2 3 7 8 9 10,7,297,1015424,1015424,ff4d2626d2e194440ad874abb30eea6556aa8cb48aaf2a75e90b8c1f4367b1f0
1935,0 1 2 3 7 8 9 10,8,297,1208160,1208160,b184637463905e6ebe204c2776c9085e85f7d3358d033bf17551b16347f81d59
1936,4 7 8 9 10,5,297,615744,615744,a0eaf6954aa96b3692f94cfd560e927cd7f68a904fba204c2301618b8c09c095
1937,0 4 7 8 9 10,6,297,808480,808480,aaf14b3034a01d543e6d37f8ed3b79e3aee5476ddde817a43487dcdf207abd77
1938,1 4 7 8 9 10,6,297,842880,842880,98ff6962bd4e87c5628e38e299c0347d92200fa907576bbd3cf895a568017d44
1939,0 1 4 7 8 9 10,7,297,1035616,1035616,f8c5ddaa97fc065cd01a689d63f18cb2bdeec55d9d49f3434a356a430902ebce
1940,2 4 7 8 9 10,6,297,717696,717696,4480f8a1fecdbff51853144349256ec450185ddf19d0ef569293e0ba8186d1b7
1941,0 2 4 7 8 9 10,7,297,910432,910432,cd1a912981f8e51e51a3e1d38ac4326ae87cfe2294ba9757126732f21a0b7965
1942,1 2 4 7 8 9 10,7,297,944832,944832,cffae8fea8433a70c33ef141b8899077da81851846b025f265ecafa8a1ce34c6
1943,0 1 2 4 7 8 9 10,8,297,1137568,1137568,2dc4a687a03d0410e73eaefc968e216c6f306588dadd1fe2fec2a3e0037d130e
1944,3 4 7 8 9 10,6,297,867168,867168,4bba6aa3ca6e98e7ac811852e9c25658146831f4519f01edc70535b1ce414473
1945,0 3 4 7 8 9 10,7,297,1059904,1059904,7a21bb0d2bbeda9e6c704f6638f9be782439a244928196290bb8c439252013b4
1946,1 3 4 7 8 9 10,7,297,1094304,1094304,1a6b60fab6ea75d6e12cdf52b5760ffaa24de70875166f3e187ab3f5ba48bc48
1947,0 1 3 4 7 8 9 10,8,297,1287040,1287040,7372e3cf6e7c35383c53d47971dee50faba9082e8190ae8adc02707dd80e222f
1948,2 3 4 7 8 9 10,7,297,969120,969120,fde68e1021f2fa5bd030195dbc136618728d7b37b2673545d8aa5b074f4eaa44
1949,0 2 3 4 7 8 9 10,8,297,1161856,1161856,d067ea077f6fe6c8d7f2d127021df30847dc1132d647afbdaa49fd94968cca53
1950,1 2 3 4 7 8 9 10,8,297,1196256,1196256,fe0b0c501114c8e5dec2f4780987734db32d3e88300f91bdd4fa96f9346bd808
1951,0 1 2 3 4 7 8 9 10,9,297,1388992,1388992,dcadaf645186b7e522fed24564638065050a9ecef4e989d39a1e18d532ee3077
1952,5 7 8 9 10,5,297,487232,487232,1f81a9d048435c0ccc2af6bee2763e8e3cfaa84b67f7e48a4134665fec45777b
1953,0 5 7 8 9 10,6,297,679968,679968,9e990ec4de70e248582abc85649ea7835b66854dc465481e55c6a5e9c9f7f017
1954,1 5 7 8 9 10,6,297,714368,714368,1a4006097b5114f0f6c4ac680c70db6f1916656b391457b4a45950c0bd218c7b
1955,0 1 5 7 8 9 10,7,297,907104,907104,82ea27c5e4df393926bc062379e2efda5d0f80977fe804cbd8e20b1a98495570
1956,2 5 7 8 9 10,6,297,589184,589184,f96e4ef3b6ff5780ddd89eb4803b1a79264f807c53036b58894d610d252e1dca
1957,0 2 5 7 8 9 10,7,297,781920,781920,09842cb2f340be06c376527106c94da52541b416823637aacc803b2948827faf
1958,1 2 5 7 8 9 10,7,297,816320,816320,e42a5a07a73655aef770da1e33245745738608f02b0f1823ec6824324a856255
1959,0 1 2 5 7 8 9 10,8,297,1009056,1009056,cee09989592f1f4a33d51e50e0f836a4b9c10069d6a99f5fc3f340cd44550311
1960,3 5 7 8 9 10,6,297,738656,738656,ee6da6afdd61e75e032c084365532bc611c0c35ab68818faa669ccf61d4729ad
1961,0 3 5 7 8 9 10,7,297,931392,931392,c1a39db89f46f06ff48a2357badd2db50a2f97a69a2d4f7504befcbc2e7648e5
1962,1 3 5 7 8 9 10,7,297,965792,965792,85546ab79ebb260188294cb7cb11338648f2eed4303deddb363832ca3891fd90
1963,0 1 3 5 7 8 9 10,8,297,1158528,1158528,b16ef7ad7336e95455710fdc74a78befdd89899e253741cdc72a830c7ecbfd2e
