inactive_basis_id,shell_id,weak_class_code,active_boundary_count,inactive_boundary_count,weighted_degree,dominant_component_id,prob0_num_mod_1000000007,prob0_den_mod_1000000007,prob0_num_mod_1000000009,prob0_den_mod_1000000009,prob1_num_mod_1000000007,prob1_den_mod_1000000007,prob1_num_mod_1000000009,prob1_den_mod_1000000009,prob2_num_mod_1000000007,prob2_den_mod_1000000007,prob2_num_mod_1000000009,prob2_den_mod_1000000009
77,1,11,20,160,180,0,76663061,518756281,216619820,203521315,537266570,253126048,713042324,867253560,218493821,518756281,708647596,203521315
78,2,11,0,8,8,0,272806497,518756281,60180953,203521315,550211499,253126048,184944842,867253560,944680818,518756281,33671319,203521315
79,1,11,74,208,282,0,795037684,506252096,68727223,734507111,404908034,253126048,65513606,867253560,901398358,506252096,534752676,734507111
80,2,11,0,48,48,0,450521359,518756281,574624262,203521315,845868109,253126048,334093272,867253560,993026310,518756281,624337448,203521315
81,2,11,0,6,6,0,695890608,506252096,423405828,734507111,104092295,253126048,80870742,867253560,602176905,506252096,149359799,734507111
82,2,11,0,11,11,0,977929583,12504185,595470069,469014213,197328057,253126048,218612479,867253560,245262388,12504185,999094246,469014213
84,1,11,76,116,192,2,744628303,506252096,206155031,734507111,926989597,253126048,655281390,867253560,907644620,506252096,217789309,734507111
85,2,11,0,22,22,0,330758046,518756281,907060550,203521315,291494214,253126048,495196405,867253560,439032965,518756281,325282371,203521315
86,3,11,0,18,18,0,195198707,759378144,876097641,601760662,718846860,253126048,45901265,867253560,407638871,759378144,587959235,601760662
87,2,11,0,6,6,0,574479638,518756281,564717002,203521315,234120205,253126048,176515833,867253560,539555427,518756281,579709333,203521315
88,1,11,76,204,280,0,629617007,506252096,807859736,734507111,74242931,253126048,227788621,867253560,728149234,506252096,471070142,734507111
90,1,11,2,192,194,0,429896499,12504185,365054690,469014213,339994310,253126048,497640637,867253560,222630460,12504185,113396993,469014213
91,2,11,0,12,12,0,534299763,506252096,219060702,734507111,312281388,253126048,300412674,867253560,347389564,506252096,914621070,734507111
92,2,11,0,6,6,0,228094274,12504185,352663135,469014213,308614365,253126048,667207483,867253560,549952465,12504185,447521173,469014213
93,2,11,0,6,6,0,822784499,506252096,486109523,734507111,673841949,253126048,534709034,867253560,335783713,506252096,178979529,734507111
94,2,11,0,3,3,0,990922524,12504185,775012745,469014213,868874462,253126048,372923540,867253560,546083848,12504185,202307326,469014213
95,1,11,200,208,408,0,837317253,253126048,189337280,867253560,735453373,253126048,365449107,867253560,680355436,253126048,312467173,867253560
96,1,11,2,208,210,0,222788563,506252096,5648200,734507111,529387353,253126048,667188927,867253560,224688834,506252096,394481066,734507111
97,1,11,1,205,206,0,55908148,253126048,235057426,867253560,979926778,253126048,236106780,867253560,217291129,253126048,396089354,867253560
98,2,11,0,14,14,0,313413118,253126048,793652337,867253560,155705270,253126048,128508129,867253560,784007667,253126048,945093103,867253560
99,3,11,0,7,7,0,764237775,506252096,109148240,734507111,736302827,253126048,285061711,867253560,269408681,506252096,55235449,734507111
100,3,11,0,8,8,0,464185311,506252096,972615452,734507111,54665370,253126048,937614210,867253560,932736052,506252096,886663266,734507111
101,3,11,0,4,4,0,462728242,506252096,599123698,734507111,434369484,253126048,908626268,867253560,174784893,506252096,318130895,734507111
102,1,11,220,260,480,2,583714793,518756281,558472741,203521315,706235612,253126048,7843573,867253560,697627851,518756281,597987145,203521315
104,3,11,0,9,9,0,832090278,506252096,104573420,734507111,885843204,253126048,537914207,867253560,902475431,506252096,554105286,734507111
105,2,11,0,28,28,0,722547108,506252096,214732491,734507111,911126165,253126048,621062439,867253560,961452679,506252096,277649751,734507111
106,3,11,0,12,12,0,104491127,506252096,955684002,734507111,702339912,253126048,301055685,867253560,997081159,506252096,176711748,734507111
107,2,11,0,506,506,2,629436224,37512555,367685803,407042630,330835521,253126048,185220549,867253560,438050114,37512555,816710266,407042630
108,1,11,235,363,598,0,889960790,253126048,569416363,867253560,286961830,253126048,790058329,867253560,76203435,253126048,507778877,867253560
109,2,11,0,30,30,0,468886899,506252096,455389902,734507111,315225240,253126048,895643189,867253560,406914724,506252096,487830849,734507111
110,3,11,0,12,12,0,292478801,506252096,428299658,734507111,269344835,253126048,823137549,867253560,675083632,506252096,659932373,734507111
111,2,11,0,124,124,0,45918165,25008370,448064162,938028426,735984077,253126048,185373526,867253560,91217631,25008370,6976065,938028426
112,2,11,0,6,6,0,83117165,506252096,689594154,734507111,508353385,253126048,26524580,867253560,406428168,506252096,991863806,734507111
113,2,11,0,14,14,2,387232029,75025110,986273215,814085260,116395307,253126048,701108604,867253560,894305741,75025110,1205702,814085260
114,2,11,0,4,4,0,986453616,506252096,997068162,734507111,804216953,253126048,543131210,867253560,911364595,506252096,651176547,734507111
115,3,11,0,6,6,0,967718957,506252096,675452221,734507111,56264069,253126048,989756153,867253560,426005008,506252096,79542602,734507111
116,1,11,19,57,76,2,889793547,759378144,925559677,601760662,38076768,253126048,477684053,867253560,755354300,759378144,243148844,601760662
117,2,11,0,40,40,2,409210354,253126048,680151030,867253560,946026886,253126048,834769993,867253560,897888822,253126048,352332546,867253560
118,2,11,0,6,6,2,101010627,75025110,486818259,814085260,877699706,253126048,408859472,867253560,909221693,75025110,514639763,814085260
119,2,11,0,106,106,2,293197976,75025110,172053842,814085260,971089954,253126048,902610787,867253560,475668406,75025110,979372728,814085260
120,2,11,0,10,10,0,49296895,25008370,985538874,938028426,511902566,253126048,585557805,867253560,880490982,25008370,268027157,938028426
123,1,11,36,238,274,0,695791188,253126048,145338743,867253560,302534603,253126048,953739712,867253560,254800264,253126048,768175114,867253560
124,2,11,0,6,6,0,751697983,253126048,666274389,867253560,349715741,253126048,202504395,867253560,151712331,253126048,998474785,867253560
125,3,11,0,3,3,0,824194693,253126048,88451458,867253560,136608679,253126048,520101608,867253560,292322683,253126048,258700494,867253560
127,1,11,16,16,32,2,101554200,75025110,365032711,814085260,479065534,253126048,165597599,867253560,475898178,75025110,474710209,814085260
128,1,11,1,3,4,2,59313686,759378144,576735806,601760662,758945470,253126048,133862391,867253560,423228062,759378144,623437692,601760662
129,1,11,3,5,8,2,559378475,25008370,228678525,938028426,518639564,253126048,892167921,867253560,316513418,25008370,572006596,938028426
130,1,11,1,3,4,2,949441112,759378144,332620765,601760662,275940717,253126048,570428773,867253560,982114895,759378144,557853596,601760662
131,1,11,18,32,50,2,882931537,75025110,634204248,814085260,639096425,253126048,554777178,867253560,853779492,75025110,865228866,814085260
132,1,11,1,3,4,2,731970623,518756281,613156382,203521315,588003472,253126048,911437669,867253560,258764854,518756281,121738973,203521315
133,1,11,1,3,4,2,454597958,12504185,614913260,469014213,835217757,253126048,682114008,867253560,217035227,12504185,125644948,469014213
134,2,11,0,88,88,2,960485946,25008370,606158121,938028426,875167843,253126048,408158882,867253560,63179736,25008370,66599276,938028426
135,1,11,5,47,52,2,636787549,929646940,849955012,69940838,623025204,205401957,317096089,419580872,340254600,929646940,609679771,69940838
139,1,11,1,149,150,0,492851745,253126048,809098511,867253560,879077462,253126048,368466156,867253560,881196855,253126048,689688902,867253560
140,2,11,0,10,10,0,684201120,253126048,227591849,867253560,64236992,253126048,283698494,867253560,504687943,253126048,355963217,867253560
141,2,11,0,44,44,0,944271089,253126048,803580505,867253560,71542115,253126048,226020147,867253560,237312851,253126048,837652917,867253560
142,2,11,0,6,6,0,976125581,506252096,295885698,734507111,951926741,253126048,138070150,867253560,626273054,506252096,162481113,734507111
143,3,11,0,4,4,0,281661478,253126048,752456861,867253560,294143121,253126048,981151448,867253560,677321456,253126048,133645260,867253560
144,3,11,0,4,4,0,231454242,253126048,675139067,867253560,504527021,253126048,227146266,867253560,517144792,253126048,964968236,867253560
145,3,11,0,3,3,0,474053221,506252096,522707767,734507111,3846227,253126048,368044276,867253560,24506421,506252096,475710801,734507111
147,1,11,164,292,456,2,122032305,253126048,537112458,867253560,554160596,253126048,444761786,867253560,576933154,253126048,885379325,867253560
150,2,11,0,8,8,2,472857878,506252096,344792120,734507111,186683971,253126048,535286619,867253560,660026283,506252096,319141762,734507111
151,2,11,0,375,375,2,310861800,506252096,40942251,734507111,370402988,253126048,356884954,867253560,454584327,506252096,979794961,734507111
154,2,11,0,4,4,2,286287275,253126048,385505787,867253560,457110748,253126048,81140398,867253560,509728032,253126048,400607375,867253560
155,1,11,44,380,424,2,206834949,506252096,809413592,734507111,602785162,253126048,807088815,867253560,93846830,506252096,310915907,734507111
156,2,11,0,208,208,2,213433862,506252096,547462403,734507111,877075537,253126048,118593187,867253560,538667174,506252096,949858343,734507111
159,1,11,5,129,134,2,738303317,506252096,27641925,734507111,424638639,253126048,768417066,867253560,918671515,506252096,170031063,734507111
160,2,11,0,12,12,2,781906339,506252096,161619904,734507111,224614984,253126048,445041441,867253560,275115796,506252096,682804334,734507111
161,3,11,0,4,4,2,828699034,506252096,768220671,734507111,814358875,253126048,537144735,867253560,48835326,506252096,891996988,734507111
162,2,11,0,82,82,2,318600610,506252096,580193102,734507111,608355231,253126048,756924469,867253560,970941038,506252096,640465089,734507111
163,2,11,0,6,6,2,573279669,506252096,791293181,734507111,383478412,253126048,765089547,867253560,166015610,506252096,413034854,734507111
164,2,11,0,4,4,2,259100446,506252096,6666559,734507111,112999647,253126048,946091219,867253560,21152356,506252096,835658132,734507111
165,3,11,0,182,182,2,119543458,253126048,320459511,867253560,382520923,253126048,373826755,867253560,751061674,253126048,172967294,867253560
166,3,11,0,20,20,2,228663433,253126048,71973085,867253560,729516554,253126048,179642956,867253560,294946068,253126048,615637519,867253560
167,3,11,0,6,6,2,302384176,506252096,763294680,734507111,896069207,253126048,657097384,867253560,411729520,506252096,657017681,734507111
168,3,11,0,4,4,2,944592856,253126048,165165416,867253560,133178466,253126048,860289109,867253560,175354733,253126048,841799044,867253560
175,1,11,1,107,108,2,237254550,253126048,287272171,867253560,422063022,253126048,996176926,867253560,593808483,253126048,583804472,867253560
176,2,11,0,4,4,2,182718953,506252096,602881654,734507111,774348087,253126048,512391551,867253560,774836983,506252096,106842364,734507111
177,2,11,0,14,14,2,217418344,506252096,488908550,734507111,150641422,253126048,33111618,867253560,987550915,506252096,179375325,734507111
178,2,11,0,8,8,2,627447641,506252096,153395720,734507111,186504495,253126048,829505204,867253560,505795472,506252096,922101001,734507111
179,3,11,0,4,4,2,320857315,253126048,780029052,867253560,967354530,253126048,865472632,867253560,964914217,253126048,221751885,867253560
180,3,11,0,74,74,2,905033397,253126048,999092104,867253560,768505485,253126048,843379986,867253560,579587180,253126048,24781479,867253560
181,3,11,0,8,8,2,843885938,253126048,822351634,867253560,240905036,253126048,827889381,867253560,168335081,253126048,217012554,867253560
182,3,11,0,8,8,2,612076765,253126048,385518058,867253560,186972635,253126048,636671982,867253560,454076655,253126048,845063529,867253560
183,2,11,0,8,8,2,564071795,253126048,856489877,867253560,732867514,253126048,106093248,867253560,956186753,253126048,904670444,867253560
184,3,11,0,176,176,2,495437197,506252096,703918463,734507111,700197751,253126048,224116257,867253560,610419411,506252096,582356143,734507111
185,4,11,0,8,8,2,538754897,506252096,425937834,734507111,767473923,253126048,193077228,867253560,432549367,506252096,922414830,734507111
186,3,11,0,31,31,2,260231192,253126048,752641568,867253560,379784567,253126048,832732928,867253560,613110296,253126048,281879073,867253560
187,2,12,0,644,644,2,150322529,253126048,160215895,867253560,100049251,253126048,251860594,867253560,2754268,253126048,455177071,867253560
188,3,12,0,626,626,2,170717597,506252096,882608820,734507111,382232163,253126048,957429891,867253560,571070180,506252096,937038536,734507111
189,4,11,0,477,477,2,525626280,506252096,758514678,734507111,304082092,253126048,455429464,867253560,372461639,506252096,65133514,734507111
191,4,12,0,4,4,2,725127786,253126048,948647711,867253560,370252877,253126048,46486586,867253560,157745392,253126048,872119272,867253560
192,3,12,0,28,28,2,640192793,253126048,5668745,867253560,368460639,253126048,127842463,867253560,244472623,253126048,733742352,867253560
193,1,12,290,294,584,2,897962091,253126048,195751878,867253560,467944543,253126048,705169534,867253560,887219428,253126048,966332157,867253560
194,3,12,0,4,4,2,188444978,506252096,750832779,734507111,329304818,253126048,874919470,867253560,659197489,506252096,233835410,734507111
195,4,12,0,90,90,2,53197881,506252096,234429730,734507111,981353644,253126048,807826556,867253560,490346941,506252096,884424287,734507111
196,5,11,0,210,210,2,480146148,253126048,329375909,867253560,505637011,253126048,378996276,867253560,267342896,253126048,158881375,867253560
197,3,12,0,6,6,2,468087467,506252096,521515509,734507111,604306323,253126048,232822142,867253560,829551997,506252096,747347327,734507111
198,2,12,0,164,164,2,476054496,253126048,618024189,867253560,363098673,253126048,331186701,867253560,413972886,253126048,918042679,867253560
199,1,12,20,576,596,2,544858058,253126048,660378271,867253560,430223795,253126048,326846053,867253560,278044202,253126048,880029245,867253560
200,2,12,0,120,120,2,351406223,253126048,726483131,867253560,279136120,253126048,189667979,867253560,622583712,253126048,951102459,867253560
201,1,12,1,19,20,2,755310292,253126048,54182038,867253560,883631432,253126048,647371146,867253560,614184338,253126048,165700376,867253560
202,2,12,0,50,50,2,826100126,253126048,659539662,867253560,783809518,253126048,713360268,867253560,643216418,253126048,494353639,867253560
203,2,12,0,32,32,2,150873786,253126048,455069346,867253560,317407892,253126048,769867261,867253560,784844377,253126048,642316962,867253560
204,2,12,0,12,12,2,968553510,253126048,520500158,867253560,779521408,253126048,896890720,867253560,505051144,253126048,449862691,867253560
205,3,12,0,14,14,2,901279068,506252096,312730887,734507111,740683907,253126048,38326301,867253560,123605228,506252096,345123622,734507111
206,3,12,0,8,8,2,523206268,506252096,50421932,734507111,61248007,253126048,966599157,867253560,860549821,506252096,750886883,734507111
207,4,12,0,30,30,2,986046885,506252096,325403959,734507111,610805692,253126048,511530517,867253560,298593841,506252096,386042127,734507111
208,6,11,0,62,62,2,957171185,253126048,976852790,867253560,976984716,253126048,407742904,867253560,318970161,253126048,482657875,867253560
209,2,12,0,6,6,2,639591583,253126048,504127513,867253560,420294353,253126048,273830720,867253560,193240119,253126048,89295327,867253560
210,4,12,0,8,8,2,908682996,253126048,5366528,867253560,337148311,253126048,981504330,867253560,7294748,253126048,880382711,867253560
211,4,12,0,94,94,2,144291132,253126048,223391712,867253560,340163442,253126048,757395174,867253560,768671481,253126048,886466683,867253560
212,1,12,732,744,1476,2,320887685,253126048,730136884,867253560,758864283,253126048,474414582,867253560,173374087,253126048,662702103,867253560
213,3,12,0,32,32,2,794335302,253126048,515086238,867253560,842556188,253126048,543261015,867253560,616234572,253126048,808906316,867253560
214,2,12,0,32,32,2,794013141,253126048,864837819,867253560,969068637,253126048,698414212,867253560,490044284,253126048,304001538,867253560
215,2,12,0,22,22,2,34030862,253126048,851291940,867253560,413837074,253126048,83237340,867253560,805258119,253126048,932724289,867253560
216,3,12,0,34,34,2,257588044,253126048,592705711,867253560,981858313,253126048,519075388,867253560,13679698,253126048,755472470,867253560
217,3,12,0,120,120,2,459537775,253126048,525512649,867253560,976438457,253126048,763214129,867253560,817149830,253126048,578526791,867253560
218,4,12,0,16,16,2,50369850,253126048,820155905,867253560,251200579,253126048,152033949,867253560,951555626,253126048,895063715,867253560
219,3,12,0,18,18,2,138697312,506252096,12596680,734507111,890008883,253126048,344849650,867253560,587537032,506252096,32211131,734507111
220,5,12,0,26,26,2,54823928,253126048,839356712,867253560,560845926,253126048,268875832,867253560,637456201,253126048,759021025,867253560
221,6,12,0,178,178,2,578682093,253126048,384718274,867253560,21381542,253126048,709973152,867253560,653062420,253126048,772562143,867253560
222,6,12,0,46,46,2,812333913,253126048,114313362,867253560,247463877,253126048,780639202,867253560,193328265,253126048,972301005,867253560
223,2,12,0,34,34,2,458999026,253126048,580107442,867253560,78678694,253126048,788618112,867253560,715448335,253126048,498528015,867253560
224,2,12,0,8,8,2,851793232,253126048,480136796,867253560,435293758,253126048,960261998,867253560,966039072,253126048,426854775,867253560
225,3,12,0,18,18,2,128108440,253126048,253282615,867253560,987481052,253126048,463926781,867253560,137536563,253126048,150044164,867253560
226,4,12,0,10,10,2,941428184,506252096,384550758,734507111,309141455,253126048,746412389,867253560,946541016,506252096,857131593,734507111
227,4,12,0,6,6,2,817160526,506252096,340373831,734507111,287484858,253126048,394478301,867253560,114121861,506252096,605176687,734507111
228,5,12,0,6,6,2,298771809,253126048,88653197,867253560,688058876,253126048,383035891,867253560,266295370,253126048,395564472,867253560
229,2,12,0,717,717,2,927979969,253126048,682439370,867253560,548476865,253126048,740312596,867253560,776669228,253126048,444501603,867253560
230,3,12,0,14,14,2,467940927,253126048,681049094,867253560,591272216,253126048,809085380,867253560,193912912,253126048,377119095,867253560
231,3,12,0,5,5,2,115204697,253126048,890958633,867253560,785189789,253126048,123465371,867253560,352731569,253126048,852829565,867253560
232,3,12,0,3,3,2,731085494,253126048,33421727,867253560,98640626,253126048,442387166,867253560,423399935,253126048,391444667,867253560
233,3,12,0,4,4,2,619052752,253126048,629199124,867253560,432053402,253126048,415078015,867253560,202019901,253126048,822976430,867253560
234,3,12,0,14,14,2,41539050,253126048,523101168,867253560,758985466,253126048,297400907,867253560,452601539,253126048,46751485,867253560
235,4,12,0,7,7,2,583673883,253126048,531609026,867253560,666443742,253126048,177831281,867253560,3008430,253126048,157813253,867253560
236,3,12,0,7,7,2,309816584,253126048,564901066,867253560,309733349,253126048,510117063,867253560,633576122,253126048,792235440,867253560
237,3,12,0,6,6,2,809664460,253126048,648287981,867253560,964020038,253126048,59957117,867253560,479441564,253126048,159008462,867253560
238,3,12,0,5,5,2,325163648,253126048,515125058,867253560,613258121,253126048,971340094,867253560,314704286,253126048,380788417,867253560
239,3,5,0,5,5,2,106238093,253126048,707105759,867253560,84590946,253126048,19185994,867253560,62297009,253126048,140961807,867253560
240,4,12,0,6,6,2,718723874,253126048,400704115,867253560,795120383,253126048,606085688,867253560,739281805,253126048,860463766,867253560
241,3,12,0,12,12,2,693671370,253126048,683988471,867253560,736207144,253126048,761621001,867253560,823247548,253126048,421644097,867253560
242,4,12,0,16,16,2,41152406,506252096,307557947,734507111,919488634,253126048,943319488,867253560,626122436,506252096,540310206,734507111
243,4,12,0,6,6,2,925410011,253126048,990009087,867253560,728552050,253126048,670482548,867253560,599164001,253126048,206761934,867253560
244,4,12,0,56,56,2,996131544,506252096,447085117,734507111,284309203,253126048,549052768,867253560,941502160,506252096,189316467,734507111
245,4,12,0,12,12,2,348369615,506252096,38864256,734507111,380270308,253126048,972442923,867253560,397341872,506252096,750757027,734507111
246,5,12,0,8,8,2,955653938,253126048,595932252,867253560,415645780,253126048,754971799,867253560,881826344,253126048,516349518,867253560
247,5,12,0,3,3,2,373604361,506252096,555566431,734507111,272338443,253126048,92274422,867253560,587970856,506252096,994391845,734507111
248,5,12,0,3,3,2,696172351,253126048,67230479,867253560,113884691,253126048,127373175,867253560,443069013,253126048,672649906,867253560
249,4,12,0,35,35,2,993134606,253126048,753721315,867253560,781830779,253126048,895366811,867253560,478160677,253126048,218165443,867253560
250,5,12,0,14,14,2,803623298,253126048,980864082,867253560,831841165,253126048,740605368,867253560,617661599,253126048,145784119,867253560
251,6,12,0,5,5,2,583316270,253126048,123429493,867253560,720107212,253126048,643577013,867253560,949702580,253126048,100247054,867253560
252,5,12,0,12,12,2,627255413,253126048,408031308,867253560,688003902,253126048,233899244,867253560,937866747,253126048,225323008,867253560
253,5,12,0,30,30,2,841982748,253126048,361208523,867253560,982336649,253126048,337989678,867253560,428806665,253126048,168055359,867253560
254,6,12,0,48,48,2,860364941,253126048,857248543,867253560,663340301,253126048,975339173,867253560,729420820,253126048,34665853,867253560
255,7,12,0,6,6,2,75769741,253126048,748954382,867253560,467436553,253126048,450741067,867253560,709919761,253126048,667558120,867253560
256,7,12,0,26,26,2,788262203,253126048,4896320,867253560,717587816,253126048,666910885,867253560,747276043,253126048,195446355,867253560
257,6,12,0,14,14,2,806135854,253126048,82796809,867253560,626008037,253126048,409395766,867253560,820982171,253126048,375060985,867253560
258,5,2,0,41,41,2,961278303,253126048,651089991,867253560,557560712,253126048,648993735,867253560,734287047,253126048,567169843,867253560
