circuit_id,v0,v1,v2,v3
647,1,15,21,24
648,1,15,21,36
649,1,15,21,37
650,1,15,24,36
651,1,15,24,37
652,1,15,36,37
653,1,16,17,31
654,1,16,17,32
655,1,16,18,44
656,1,16,20,36
657,1,16,31,32
658,1,17,21,24
659,1,17,21,36
660,1,17,21,37
661,1,17,23,25
662,1,17,24,36
663,1,17,24,37
664,1,17,27,46
665,1,17,30,47
666,1,17,31,32
667,1,17,36,37
668,1,17,38,39
669,1,17,41,42
670,1,17,43,45
671,1,18,19,24
672,1,18,23,36
673,1,19,22,36
674,1,19,26,46
675,1,20,23,44
676,1,20,24,46
677,1,21,24,36
678,1,21,24,37
679,1,21,34,45
680,1,21,36,37
681,1,22,24,32
682,1,22,24,33
683,1,22,24,44
684,1,22,24,45
685,1,22,26,47
686,1,22,32,33
687,1,22,32,44
688,1,22,32,45
689,1,22,33,44
690,1,22,33,45
691,1,22,44,45
692,1,23,32,40
693,1,23,32,47
694,1,23,40,47
695,1,24,25,47
696,1,24,30,42
697,1,24,31,41
698,1,24,32,33
699,1,24,32,44
700,1,24,32,45
701,1,24,33,44
702,1,24,33,45
703,1,24,34,43
704,1,24,36,37
705,1,24,44,45
706,1,25,36,42
707,1,25,37,44
708,1,26,35,44
709,1,26,36,43
710,1,26,37,45
711,1,26,38,41
712,1,26,39,42
713,1,27,36,41
714,1,27,38,44
715,1,28,36,40
716,1,28,36,44
717,1,28,40,44
718,1,29,36,45
719,1,29,39,44
720,1,30,31,36
721,1,32,33,44
722,1,32,33,45
723,1,32,34,36
724,1,32,34,38
725,1,32,35,37
726,1,32,36,38
727,1,32,40,47
728,1,32,41,43
729,1,32,44,45
730,1,33,44,45
731,1,34,36,38
732,1,36,40,44
733,1,36,46,47
734,2,3,5,47
735,2,3,7,8
736,2,3,7,37
737,2,3,7,38
738,2,3,8,37
739,2,3,8,38
740,2,3,11,14
741,2,3,12,13
742,2,3,15,19
743,2,3,15,41
744,2,3,15,42
745,2,3,16,45
746,2,3,17,44
747,2,3,18,43
748,2,3,19,41
749,2,3,19,42
750,2,3,21,23
751,2,3,21,40
752,2,3,23,40
753,2,3,25,28
754,2,3,27,29
755,2,3,30,34
756,2,3,31,33
757,2,3,37,38
758,2,3,39,46
759,2,3,41,42
760,2,4,5,10
761,2,4,6,11
762,2,4,7,9
763,2,4,7,12
764,2,4,7,14
765,2,4,8,13
766,2,4,9,12
767,2,4,9,14
768,2,4,12,14
769,2,4,15,18
770,2,4,15,30
771,2,4,15,33
772,2,4,15,40
773,2,4,15,47
774,2,4,18,30
775,2,4,18,33
776,2,4,18,40
777,2,4,18,47
778,2,4,21,22
779,2,4,24,46
780,2,4,25,29
781,2,4,26,28
782,2,4,30,33
783,2,4,30,40
784,2,4,30,47
785,2,4,33,40
786,2,4,33,47
787,2,4,35,36
788,2,4,37,39
789,2,4,40,47
790,2,4,42,45
791,2,4,43,44
792,2,5,6,12
793,2,5,7,15
794,2,5,7,16
795,2,5,8,21
796,2,5,9,37
797,2,5,15,16
798,2,5,23,30
799,2,5,28,40
800,2,5,33,43
801,2,5,34,42
802,2,5,36,46
803,2,5,39,41
804,2,6,8,15
805,2,6,9,21
806,2,6,22,30
807,2,6,29,40
808,2,6,33,42
809,2,7,8,37
810,2,7,8,38
811,2,7,9,12
812,2,7,9,14
813,2,7,10,11
