support_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,positive_flag
132,3,7,5,5,1392581931561,1
133,3,8,5,5,1777482111020,1
134,3,9,5,5,1392581931561,1
135,3,11,5,5,384900179460,1
136,3,12,5,5,622781572642,1
137,3,13,5,5,384900179461,1
138,3,15,5,5,1245563145283,1
139,3,16,5,5,1630463324742,1
140,3,17,5,5,2253244897385,1
141,3,18,5,5,2253244897385,1
142,3,19,5,5,1630463324743,1
143,3,20,5,5,2400263683663,1
144,3,21,5,5,2638145076844,1
145,3,22,5,5,3023045256305,1
146,3,23,5,5,3023045256304,1
147,3,24,5,5,2638145076845,1
148,3,25,5,5,3023045256305,1
149,3,26,5,5,3023045256306,1
150,3,27,5,5,2638145076846,1
151,3,28,5,5,2638145076846,1
152,3,29,5,5,2400263683664,1
153,3,30,5,5,2638145076845,1
154,3,31,5,5,3023045256305,1
155,3,32,5,5,3023045256305,1
156,3,33,5,5,2638145076845,1
157,3,34,5,5,2400263683663,1
158,3,35,5,5,1630463324743,1
159,3,36,5,5,1245563145284,1
160,3,37,5,5,2253244897385,1
161,3,38,5,5,2253244897386,1
162,3,39,5,5,1630463324744,1
163,3,40,5,5,2253244897386,1
164,3,41,5,5,769800358919,1
165,3,42,5,5,1392581931561,1
166,3,43,5,5,1777482111021,1
167,3,44,5,5,1392581931562,1
168,3,45,5,5,769800358920,1
169,3,46,5,5,1392581931562,1
170,4,0,6,6,384900179460,1
171,4,1,6,6,622781572642,1
172,4,4,6,6,384900179460,1
173,4,5,6,6,769800358919,1
174,4,6,6,6,1392581931562,1
175,4,7,6,6,769800358919,1
176,4,8,6,6,1392581931562,1
177,4,9,6,6,1777482111021,1
178,4,10,6,6,1245563145284,1
179,4,11,6,6,1630463324743,1
180,4,12,6,6,2253244897385,1
181,4,13,6,6,2253244897385,1
182,4,14,6,6,1630463324743,1
183,4,16,6,6,384900179460,1
184,4,17,6,6,622781572642,1
185,4,18,6,6,384900179460,1
186,4,20,6,6,1630463324743,1
187,4,21,6,6,1245563145284,1
188,4,22,6,6,2253244897385,1
189,4,23,6,6,1630463324743,1
190,4,24,6,6,2253244897385,1
191,4,25,6,6,2638145076845,1
192,4,26,6,6,2400263683663,1
193,4,27,6,6,3023045256304,1
194,4,28,6,6,2638145076845,1
195,4,29,6,6,3023045256305,1
196,4,30,6,6,769800358919,1
197,4,31,6,6,1392581931562,1
198,4,32,6,6,1777482111021,1
199,4,33,6,6,1392581931562,1
200,4,34,6,6,769800358919,1
201,4,35,6,6,2400263683663,1
202,4,36,6,6,2638145076845,1
203,4,37,6,6,2638145076845,1
204,4,38,6,6,3023045256305,1
205,4,39,6,6,3023045256304,1
206,4,40,6,6,1630463324743,1
207,4,43,6,6,384900179460,1
208,4,44,6,6,622781572642,1
209,4,45,6,6,384900179460,1
210,4,46,6,6,3023045256305,1
211,4,47,6,6,769800358919,1
212,5,0,5,5,622781572641,1
213,5,1,5,5,384900179459,1
214,5,2,5,5,384900179459,1
215,5,5,5,5,1245563145282,1
216,5,6,5,5,1630463324743,1
217,5,7,5,5,1630463324743,1
218,5,8,5,5,2253244897384,1
219,5,9,5,5,2253244897384,1
220,5,10,5,5,769800358919,1
221,5,11,5,5,1392581931560,1
222,5,12,5,5,1777482111021,1
223,5,13,5,5,1392581931561,1
224,5,14,5,5,769800358919,1
225,5,15,5,5,769800358919,1
226,5,16,5,5,1392581931560,1
227,5,17,5,5,1777482111021,1
228,5,18,5,5,1392581931561,1
229,5,19,5,5,769800358919,1
230,5,20,5,5,2638145076845,1
231,5,21,5,5,2400263683662,1
232,5,22,5,5,3023045256305,1
233,5,23,5,5,2638145076845,1
234,5,24,5,5,3023045256305,1
235,5,25,5,5,3023045256305,1
236,5,26,5,5,2638145076846,1
237,5,27,5,5,3023045256305,1
238,5,28,5,5,2400263683664,1
239,5,29,5,5,2638145076846,1
240,5,30,5,5,1630463324744,1
241,5,31,5,5,2253244897386,1
242,5,32,5,5,2253244897386,1
243,5,33,5,5,1630463324745,1
244,5,34,5,5,1245563145284,1
245,5,35,5,5,2638145076845,1
246,5,36,5,5,2400263683662,1
247,5,37,5,5,3023045256305,1
248,5,38,5,5,3023045256305,1
249,5,39,5,5,2638145076845,1
250,5,40,5,5,1392581931562,1
251,5,42,5,5,384900179460,1
252,5,43,5,5,622781572643,1
253,5,44,5,5,384900179460,1
254,5,46,5,5,2253244897386,1
255,6,0,5,5,350487408080,1
256,6,1,5,5,700974816160,1
257,6,2,5,5,700974816160,1
258,6,3,5,5,1268075355061,1
259,6,4,5,5,1268075355061,1
260,6,10,5,5,700974816160,1
261,6,11,5,5,350487408080,1
262,6,12,5,5,700974816158,1
263,6,13,5,5,1268075355061,1
264,6,14,5,5,1268075355061,1
265,6,15,5,5,700974816160,1
266,6,16,5,5,350487408080,1
267,6,17,5,5,700974816158,1
268,6,18,5,5,1268075355061,1
269,6,19,5,5,1268075355061,1
270,6,20,5,5,350487408078,1
271,6,21,5,5,700974816159,1
272,6,22,5,5,1268075355059,1
273,6,23,5,5,1268075355059,1
274,6,24,5,5,700974816158,1
275,6,25,5,5,1835175893961,1
276,6,26,5,5,2402276432862,1
277,6,27,5,5,1835175893961,1
278,6,28,5,5,2752763840942,1
279,6,29,5,5,2402276432862,1
280,6,30,5,5,1835175893961,1
281,6,31,5,5,1835175893961,1
282,6,32,5,5,2402276432862,1
283,6,33,5,5,2752763840942,1
284,6,34,5,5,2402276432864,1
285,6,35,5,5,350487408078,1
286,6,36,5,5,700974816159,1
287,6,37,5,5,700974816158,1
288,6,38,5,5,1268075355059,1
289,6,39,5,5,1268075355059,1
290,6,40,5,5,3103251249022,1
291,6,41,5,5,1835175893962,1
292,6,42,5,5,1835175893962,1
293,6,43,5,5,2402276432863,1
294,6,44,5,5,2752763840943,1
295,6,45,5,5,2402276432864,1
296,6,46,5,5,1835175893961,1
297,6,47,5,5,1835175893962,1
298,7,0,6,6,769800358919,1
299,7,1,6,6,769800358919,1
300,7,2,6,6,1392581931562,1
301,7,3,6,6,1777482111021,1
302,7,4,6,6,1392581931562,1
303,7,5,6,6,384900179460,1
304,7,7,6,6,622781572642,1
305,7,8,6,6,384900179460,1
306,7,10,6,6,384900179460,1
307,7,13,6,6,384900179460,1
308,7,14,6,6,622781572642,1
309,7,15,6,6,1630463324743,1
310,7,16,6,6,1245563145284,1
311,7,17,6,6,1630463324743,1
312,7,18,6,6,2253244897385,1
313,7,19,6,6,2253244897385,1
314,7,20,6,6,769800358919,1
315,7,21,6,6,1392581931562,1
316,7,22,6,6,1392581931562,1
317,7,23,6,6,1777482111021,1
318,7,24,6,6,769800358919,1
319,7,25,6,6,1630463324743,1
320,7,26,6,6,2253244897385,1
321,7,27,6,6,1245563145284,1
322,7,28,6,6,2253244897385,1
323,7,29,6,6,1630463324743,1
324,7,30,6,6,2638145076845,1
325,7,31,6,6,2400263683663,1
326,7,32,6,6,2638145076845,1
327,7,33,6,6,3023045256304,1
328,7,34,6,6,3023045256305,1
329,7,37,6,6,384900179460,1
330,7,38,6,6,622781572642,1
331,7,39,6,6,384900179460,1
332,7,40,6,6,3023045256305,1
333,7,41,6,6,2400263683663,1
334,7,42,6,6,2638145076845,1
335,7,43,6,6,3023045256304,1
336,7,44,6,6,3023045256305,1
337,7,45,6,6,2638145076845,1
338,7,46,6,6,769800358919,1
339,7,47,6,6,1630463324743,1
340,8,0,6,6,769800358919,1
341,8,1,6,6,1392581931562,1
342,8,2,6,6,769800358919,1
343,8,3,6,6,1392581931562,1
344,8,4,6,6,1777482111021,1
345,8,5,6,6,384900179460,1
346,8,6,6,6,622781572642,1
347,8,9,6,6,384900179460,1
348,8,10,6,6,1630463324743,1
349,8,11,6,6,1245563145284,1
350,8,12,6,6,1630463324743,1
351,8,13,6,6,2253244897385,1
352,8,14,6,6,2253244897385,1
353,8,15,6,6,384900179460,1
354,8,18,6,6,384900179460,1
355,8,19,6,6,622781572642,1
356,8,22,6,6,622781572642,1
357,8,23,6,6,384900179460,1
358,8,24,6,6,384900179460,1
359,8,25,6,6,1245563145284,1
360,8,26,6,6,1630463324743,1
361,8,27,6,6,1630463324743,1
362,8,28,6,6,2253244897385,1
363,8,29,6,6,2253244897385,1
364,8,30,6,6,769800358919,1
365,8,31,6,6,769800358919,1
366,8,32,6,6,1392581931562,1
367,8,33,6,6,1777482111021,1
368,8,34,6,6,1392581931562,1
369,8,35,6,6,769800358919,1
370,8,36,6,6,1392581931562,1
371,8,37,6,6,769800358919,1
372,8,38,6,6,1392581931562,1
373,8,39,6,6,1777482111021,1
374,8,40,6,6,2400263683663,1
375,8,41,6,6,1630463324743,1
376,8,42,6,6,1245563145284,1
377,8,43,6,6,1630463324743,1
378,8,44,6,6,2253244897385,1
379,8,45,6,6,2253244897385,1
380,8,46,6,6,2400263683663,1
381,8,47,6,6,2400263683663,1
382,9,0,6,6,1245563145283,1
383,9,1,6,6,1630463324743,1
384,9,2,6,6,1630463324743,1
385,9,3,6,6,2253244897384,1
386,9,4,6,6,2253244897384,1
387,9,5,6,6,622781572642,1
388,9,6,6,6,384900179459,1
389,9,7,6,6,384900179459,1
390,9,10,6,6,1392581931561,1
391,9,11,6,6,769800358920,1
392,9,12,6,6,769800358919,1
393,9,13,6,6,1392581931561,1
394,9,14,6,6,1777482111021,1
395,9,15,6,6,1392581931561,1
396,9,16,6,6,769800358920,1
397,9,17,6,6,769800358919,1
398,9,18,6,6,1392581931561,1
399,9,19,6,6,1777482111021,1
400,9,21,6,6,384900179460,1
401,9,22,6,6,384900179460,1
402,9,23,6,6,622781572642,1
403,9,25,6,6,769800358920,1
404,9,26,6,6,1392581931562,1
405,9,27,6,6,769800358920,1
406,9,28,6,6,1777482111022,1
407,9,29,6,6,1392581931562,1
408,9,30,6,6,1630463324743,1
409,9,31,6,6,1245563145284,1
410,9,32,6,6,1630463324744,1
411,9,33,6,6,2253244897385,1
412,9,34,6,6,2253244897386,1
413,9,36,6,6,384900179460,1
414,9,38,6,6,384900179460,1
415,9,39,6,6,622781572642,1
416,9,40,6,6,2638145076846,1
417,9,41,6,6,2638145076845,1
418,9,42,6,6,2400263683663,1
419,9,43,6,6,2638145076845,1
420,9,44,6,6,3023045256305,1
421,9,45,6,6,3023045256305,1
422,9,46,6,6,1245563145284,1
423,9,47,6,6,2638145076845,1
424,10,0,5,5,700974816158,1
425,10,1,5,5,350487408078,1
426,10,2,5,5,1268075355059,1
427,10,3,5,5,1268075355059,1
428,10,4,5,5,700974816159,1
429,10,5,5,5,700974816158,1
430,10,6,5,5,350487408078,1
431,10,7,5,5,1268075355059,1
432,10,8,5,5,1268075355059,1
433,10,9,5,5,700974816159,1
434,10,15,5,5,1835175893961,1
435,10,16,5,5,1835175893961,1
436,10,17,5,5,2402276432862,1
437,10,18,5,5,2752763840942,1
438,10,19,5,5,2402276432862,1
439,10,20,5,5,1835175893961,1
440,10,21,5,5,2402276432862,1
441,10,22,5,5,2402276432864,1
442,10,23,5,5,2752763840942,1
443,10,24,5,5,1835175893961,1
444,10,25,5,5,2402276432863,1
445,10,26,5,5,2752763840943,1
446,10,27,5,5,1835175893962,1
447,10,28,5,5,2402276432864,1
448,10,29,5,5,1835175893962,1
449,10,30,5,5,3103251249021,1
450,10,31,5,5,3103251249022,1
451,10,32,5,5,3103251249022,1
452,10,33,5,5,3103251249022,1
453,10,34,5,5,3103251249022,1
454,10,35,5,5,700974816158,1
455,10,36,5,5,350487408080,1
456,10,37,5,5,1268075355061,1
457,10,38,5,5,1268075355061,1
458,10,39,5,5,700974816160,1
459,10,40,5,5,2752763840943,1
460,10,41,5,5,1835175893961,1
461,10,42,5,5,2402276432862,1
462,10,43,5,5,2752763840942,1
463,10,44,5,5,2402276432864,1
464,10,45,5,5,1835175893961,1
465,10,46,5,5,700974816160,1
466,10,47,5,5,700974816158,1
467,11,0,5,5,1630463324744,1
468,11,1,5,5,1245563145284,1
469,11,2,5,5,2253244897386,1
470,11,3,5,5,2253244897386,1
471,11,4,5,5,1630463324745,1
472,11,5,5,5,1392581931561,1
473,11,6,5,5,769800358919,1
474,11,7,5,5,1777482111021,1
475,11,8,5,5,1392581931560,1
476,11,9,5,5,769800358919,1
477,11,10,5,5,622781572643,1
478,11,11,5,5,384900179460,1
479,11,14,5,5,384900179460,1
480,11,15,5,5,2638145076845,1
481,11,16,5,5,2400263683662,1
482,11,17,5,5,2638145076845,1
