shell,sample_kind,sample_index,modulus,identity_holds,contact_identity_lhs_minus_rhs,B,DB,Q,P_factor_check
12,modular,3,1000033,True,0,588364,240614,625055,True
12,modular,4,1000033,True,0,595083,360781,508599,True
12,modular,5,1000033,True,0,360452,724678,957700,True
12,modular,6,1000033,True,0,806162,186846,10310,True
12,modular,7,1000033,True,0,105714,474101,182370,True
12,modular,8,1000033,True,0,965557,322468,815035,True
12,modular,9,1000033,True,0,197023,506263,810792,True
12,modular,10,1000033,True,0,451985,29,417886,True
12,modular,11,1000033,True,0,687086,264360,876149,True
12,modular,12,1000033,True,0,967229,4871,785675,True
12,modular,13,1000033,True,0,379232,200180,995634,True
12,modular,14,1000033,True,0,241638,620911,334707,True
12,modular,15,1000033,True,0,747130,806662,807221,True
12,modular,16,1000033,True,0,758523,35736,16985,True
12,modular,17,1000033,True,0,767670,195011,850595,True
12,modular,18,1000033,True,0,761235,979977,257444,True
12,modular,19,1000033,True,0,39189,276163,199525,True
12,modular,20,1000033,True,0,697455,37727,668457,True
12,modular,21,1000033,True,0,894959,562880,105240,True
12,modular,22,1000033,True,0,55508,314502,575676,True
12,modular,23,1000033,True,0,514856,891670,856987,True
12,modular,24,1000033,True,0,501702,202575,548797,True
12,modular,25,1000033,True,0,271494,857500,728538,True
12,modular,26,1000033,True,0,627801,291584,269778,True
12,modular,27,1000033,True,0,818831,191146,935438,True
12,modular,28,1000033,True,0,942664,508572,802359,True
12,modular,29,1000033,True,0,295143,259752,809516,True
12,modular,30,1000033,True,0,235859,3282,25376,True
12,modular,31,1000033,True,0,517304,339485,467933,True
12,modular,0,1000037,True,0,135362,155871,468577,True
12,modular,1,1000037,True,0,26099,539703,174275,True
12,modular,2,1000037,True,0,990175,286319,15049,True
12,modular,3,1000037,True,0,694603,594739,770933,True
12,modular,4,1000037,True,0,658810,931033,113677,True
12,modular,5,1000037,True,0,990206,218661,614705,True
12,modular,6,1000037,True,0,563103,470184,568482,True
12,modular,7,1000037,True,0,89927,481836,46749,True
12,modular,8,1000037,True,0,847611,852997,799206,True
12,modular,9,1000037,True,0,647632,242512,353708,True
12,modular,10,1000037,True,0,580076,321553,300188,True
12,modular,11,1000037,True,0,249910,579266,201950,True
12,modular,12,1000037,True,0,765609,529846,830009,True
12,modular,13,1000037,True,0,156125,595521,802052,True
12,modular,14,1000037,True,0,16561,677177,155823,True
12,modular,15,1000037,True,0,826205,150260,152720,True
12,modular,16,1000037,True,0,49537,688368,702437,True
12,modular,17,1000037,True,0,845417,775577,436836,True
12,modular,18,1000037,True,0,188289,382727,222668,True
12,modular,19,1000037,True,0,949317,652985,275081,True
12,modular,20,1000037,True,0,554121,314904,459556,True
12,modular,21,1000037,True,0,921526,456782,262605,True
12,modular,22,1000037,True,0,704339,194912,49362,True
12,modular,23,1000037,True,0,482102,276208,169994,True
12,modular,24,1000037,True,0,894479,296880,12497,True
12,modular,25,1000037,True,0,374012,720604,49495,True
12,modular,26,1000037,True,0,171214,775300,785151,True
12,modular,27,1000037,True,0,977397,149380,803000,True
12,modular,28,1000037,True,0,118949,12543,920275,True
12,modular,29,1000037,True,0,144655,96813,904129,True
12,modular,30,1000037,True,0,402649,991242,90235,True
12,modular,31,1000037,True,0,354655,735593,932721,True
16,integer,0,,True,0,-13680831847297277027415,-13682450669766053874480,2365244942220,True
16,integer,1,,True,0,-35646911300487648016128,-43543435504364785539072,5907174593772,True
16,integer,2,,True,0,-101415219453000342015159,-29376561393896714805840,17832726770400,True
16,integer,3,,True,0,-5926013322175765807104,9142320837130343940096,-1179900860928,True
16,integer,4,,True,0,-448747149523886374071,565709045084851980096,-85808302992,True
16,integer,5,,True,0,-10822286649954591968823,-17154998929289720039040,1052340033528,True
16,integer,6,,True,0,-10167343092722112135168,1978564218365096755200,-24087668736,True
16,integer,7,,True,0,-5945585723527642742784,-10389755528163895541760,1156647752064,True
16,integer,8,,True,0,-82376202716905835945559,103762265141782357805952,-17104196445840,True
16,integer,9,,True,0,-48525538654057817795799,43242776450413029790464,-5392106491620,True
16,integer,10,,True,0,-22552671713143223596800,26138709538476392448,-65064601152,True
16,integer,11,,True,0,-6405483086698434303744,111054544170909696,-236081664,True
16,integer,12,,True,0,-7853614853868649368183,-1581874307659098476208,9942706528,True
16,integer,13,,True,0,-4489856618848709399031,6966136364984591319504,-407508130176,True
16,integer,14,,True,0,-11294500071887528263680,-5960000986088787148800,2369071088640,True
16,integer,15,,True,0,-3892542714592282214400,-282180269396459520,563974400,True
16,modular,0,1000003,True,0,373276,841072,480880,True
16,modular,1,1000003,True,0,443631,923888,230617,True
16,modular,2,1000003,True,0,419657,503258,68968,True
16,modular,3,1000003,True,0,174418,761951,104905,True
16,modular,4,1000003,True,0,47977,54672,752594,True
16,modular,5,1000003,True,0,853935,633964,685563,True
16,modular,6,1000003,True,0,280629,679290,861906,True
16,modular,7,1000003,True,0,140583,906010,656157,True
16,modular,8,1000003,True,0,227968,818721,982830,True
16,modular,9,1000003,True,0,685786,250956,42987,True
16,modular,10,1000003,True,0,727238,963269,737946,True
16,modular,11,1000003,True,0,78661,155956,638547,True
16,modular,12,1000003,True,0,164488,79795,730246,True
16,modular,13,1000003,True,0,999109,960601,80771,True
16,modular,14,1000003,True,0,784069,53525,134961,True
16,modular,15,1000003,True,0,118146,417356,692497,True
16,modular,16,1000003,True,0,924181,214913,895834,True
16,modular,17,1000003,True,0,442055,968343,710744,True
16,modular,18,1000003,True,0,670868,587331,322069,True
16,modular,19,1000003,True,0,307578,686865,520761,True
16,modular,20,1000003,True,0,900818,155792,255944,True
16,modular,21,1000003,True,0,81494,635597,638716,True
16,modular,22,1000003,True,0,338757,558307,195355,True
16,modular,23,1000003,True,0,180865,464856,178970,True
16,modular,24,1000003,True,0,873430,750345,199812,True
16,modular,25,1000003,True,0,419386,573931,739153,True
16,modular,26,1000003,True,0,672072,224859,786137,True
16,modular,27,1000003,True,0,950872,345429,569889,True
16,modular,28,1000003,True,0,602743,43918,6859,True
16,modular,29,1000003,True,0,223157,98597,109200,True
16,modular,30,1000003,True,0,22574,79592,979507,True
16,modular,31,1000003,True,0,953368,140376,230949,True
16,modular,0,1000033,True,0,280559,668172,896838,True
16,modular,1,1000033,True,0,952149,133974,267866,True
16,modular,2,1000033,True,0,276498,315164,576953,True
16,modular,3,1000033,True,0,190765,152111,871613,True
16,modular,4,1000033,True,0,715282,797146,195042,True
16,modular,5,1000033,True,0,742877,45859,678141,True
16,modular,6,1000033,True,0,156053,325355,617058,True
16,modular,7,1000033,True,0,244405,856914,383559,True
16,modular,8,1000033,True,0,665157,541646,94246,True
16,modular,9,1000033,True,0,315350,312914,879509,True
16,modular,10,1000033,True,0,367891,20147,959221,True
16,modular,11,1000033,True,0,66147,772019,116495,True
16,modular,12,1000033,True,0,94391,877652,486266,True
16,modular,13,1000033,True,0,602028,464769,54118,True
16,modular,14,1000033,True,0,352639,385897,394480,True
16,modular,15,1000033,True,0,526091,874362,567435,True
16,modular,16,1000033,True,0,571550,950413,256544,True
16,modular,17,1000033,True,0,178307,958679,307492,True
16,modular,18,1000033,True,0,666751,989789,808018,True
16,modular,19,1000033,True,0,169436,896724,126267,True
16,modular,20,1000033,True,0,350760,247396,796357,True
16,modular,21,1000033,True,0,70031,728590,415385,True
16,modular,22,1000033,True,0,539955,105518,954614,True
16,modular,23,1000033,True,0,458502,632008,145441,True
16,modular,24,1000033,True,0,990709,480343,587721,True
16,modular,25,1000033,True,0,554147,94172,764630,True
16,modular,26,1000033,True,0,895967,619203,538063,True
16,modular,27,1000033,True,0,775323,425065,447716,True
16,modular,28,1000033,True,0,317330,244832,691686,True
16,modular,29,1000033,True,0,120056,228902,481795,True
16,modular,30,1000033,True,0,871887,761396,712151,True
16,modular,31,1000033,True,0,214006,496227,281701,True
16,modular,0,1000037,True,0,564085,179652,132637,True
16,modular,1,1000037,True,0,648163,54471,196234,True
16,modular,2,1000037,True,0,496191,715214,709375,True
16,modular,3,1000037,True,0,463031,367604,349745,True
16,modular,4,1000037,True,0,351870,612174,433389,True
16,modular,5,1000037,True,0,281066,355706,346026,True
16,modular,6,1000037,True,0,597003,787308,342763,True
16,modular,7,1000037,True,0,22856,33949,274183,True
16,modular,8,1000037,True,0,599663,844998,319169,True
16,modular,9,1000037,True,0,940329,771224,149812,True
16,modular,10,1000037,True,0,82183,901037,636945,True
16,modular,11,1000037,True,0,624136,543702,416210,True
16,modular,12,1000037,True,0,367959,82975,741458,True
16,modular,13,1000037,True,0,164172,589077,664177,True
16,modular,14,1000037,True,0,40007,659392,443293,True
16,modular,15,1000037,True,0,476241,393322,272951,True
16,modular,16,1000037,True,0,777111,851030,52023,True
16,modular,17,1000037,True,0,528844,845353,917144,True
16,modular,18,1000037,True,0,558801,51961,332050,True
16,modular,19,1000037,True,0,121995,755048,989234,True
16,modular,20,1000037,True,0,908806,454678,437447,True
16,modular,21,1000037,True,0,126966,599994,410463,True
16,modular,22,1000037,True,0,109148,698155,380609,True
16,modular,23,1000037,True,0,368253,372055,22923,True
16,modular,24,1000037,True,0,778768,726473,899702,True
16,modular,25,1000037,True,0,241211,305953,322436,True
16,modular,26,1000037,True,0,376455,936899,439247,True
16,modular,27,1000037,True,0,867590,339945,776942,True
16,modular,28,1000037,True,0,173337,566459,228188,True
16,modular,29,1000037,True,0,348306,748679,769340,True
16,modular,30,1000037,True,0,746444,367293,36294,True
16,modular,31,1000037,True,0,107936,120135,158989,True
