grammar_cell_id,component_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,left_edit_radius,right_edit_radius,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,native_repair_flag,derived_repair_flag,derived_only_flag,first_derived_span_rank,first_derived_block_symbol_0_id,first_derived_block_symbol_1_id,first_derived_block_symbol_2_id,first_derived_block_symbol_3_id,first_return_closed_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,left_boundary_flag,right_boundary_flag,gate_word_flag
18,0,16,2,1,1,3,4,5,2,1,2,5,5,2,1,4,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,744,9,72,88,0,0,528,216,0,0,0,0
19,0,15,2,1,1,3,4,5,2,1,2,5,5,2,1,4,5,-1,2,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,248,9,8,32,0,96,8,48,96,0,0,0
20,0,16,2,1,1,3,4,5,2,1,2,5,5,2,1,4,5,2,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,496,6,72,88,0,0,352,144,0,0,0,0
21,0,16,2,1,1,3,4,5,2,1,2,5,5,2,1,4,5,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,744,9,72,88,0,0,528,216,0,0,0,0
22,0,14,2,1,1,3,4,5,2,1,2,5,5,2,1,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,160,10,8,24,0,0,120,40,0,0,0,0
23,0,15,2,1,1,3,4,5,2,1,2,5,5,2,1,5,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,480,18,8,32,0,192,24,72,192,0,0,0
24,0,16,2,1,1,3,4,5,2,1,2,5,5,2,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,712,9,72,88,0,0,352,360,0,0,0,0
25,0,16,2,1,1,3,4,5,2,1,2,5,5,2,5,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,72,1,72,72,0,0,0,72,0,0,0,0
26,0,15,2,1,1,3,4,5,2,1,2,5,5,5,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,216,9,8,32,0,64,16,72,64,0,0,0
27,0,16,2,1,1,3,4,5,2,1,2,5,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,616,9,64,88,0,192,88,144,192,0,0,0
28,0,15,2,1,1,3,4,5,2,1,4,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,144,6,24,24,0,72,24,48,0,0,0,0
29,0,13,2,1,1,3,4,5,2,1,5,2,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,32,2,16,16,0,0,0,32,0,0,0,0
30,0,16,2,1,1,3,4,5,2,1,5,2,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,112,7,16,16,0,48,16,0,48,0,0,0
31,0,14,2,1,1,3,4,5,2,1,5,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,112,7,16,16,0,48,16,0,48,0,0,0
32,0,15,2,1,1,3,4,5,2,1,5,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,320,9,32,48,0,96,32,96,96,0,0,0
33,0,16,2,1,1,3,4,5,2,2,1,2,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,856,9,40,112,0,336,40,144,336,0,0,0
34,0,14,2,1,1,3,4,5,2,2,1,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,64,2,32,32,0,0,0,64,0,0,0,0
35,0,15,2,1,1,3,4,5,2,2,1,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,224,7,32,32,0,96,32,0,96,0,0,0
36,0,14,2,1,1,3,4,5,2,2,2,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,312,3,104,104,0,0,104,208,0,0,0,0
37,0,15,2,1,1,3,4,5,2,2,2,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1560,9,104,208,0,624,104,208,624,0,0,0
38,0,14,2,1,1,3,4,5,2,2,5,1,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,1,40,40,0,0,0,40,0,0,0,0
39,0,13,2,1,1,3,4,5,2,2,5,2,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,120,3,40,40,0,0,40,80,0,0,0,0
40,0,14,2,1,1,3,4,5,2,2,5,2,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,360,9,40,40,0,0,160,200,0,0,0,0
41,0,15,2,1,1,3,4,5,2,2,5,2,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,120,3,40,40,0,0,40,80,0,0,0,0
42,0,14,2,1,1,3,4,5,2,2,5,5,1,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,400,6,40,80,0,160,80,0,160,0,0,0
43,0,15,2,1,1,3,4,5,2,2,5,5,1,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,200,1,200,200,0,0,0,200,0,0,0,0
44,0,13,2,1,1,3,4,5,2,2,5,5,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,200,5,40,40,0,0,80,120,0,0,0,0
45,0,15,2,1,1,3,4,5,2,2,5,5,2,1,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1200,6,200,200,0,0,800,400,0,0,0,0
46,0,14,2,1,1,3,4,5,2,2,5,5,2,1,1,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1400,21,40,80,0,560,80,200,560,0,0,0
47,0,14,2,1,1,3,4,5,2,2,5,5,2,1,2,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,800,12,40,80,0,320,40,120,320,0,0,0
48,0,15,2,1,1,3,4,5,2,2,5,5,2,1,3,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1200,6,200,200,0,0,800,400,0,0,0,0
49,0,14,2,1,1,3,4,5,2,2,5,5,2,1,4,3,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1200,18,40,80,0,480,80,160,480,0,0,0
50,0,15,2,1,1,3,4,5,2,2,5,5,2,1,4,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1800,9,200,200,0,0,1200,600,0,0,0,0
51,0,14,2,1,1,3,4,5,2,2,5,5,2,1,4,5,-1,-1,2,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,600,9,40,80,0,240,40,80,240,0,0,0
52,0,15,2,1,1,3,4,5,2,2,5,5,2,1,4,5,2,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1200,6,200,200,0,0,800,400,0,0,0,0
53,0,15,2,1,1,3,4,5,2,2,5,5,2,1,4,5,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1800,9,200,200,0,0,1200,600,0,0,0,0
54,0,13,2,1,1,3,4,5,2,2,5,5,2,1,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,400,10,40,40,0,0,200,200,0,0,0,0
55,0,14,2,1,1,3,4,5,2,2,5,5,2,1,5,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1200,18,40,80,0,480,120,120,480,0,0,0
56,0,15,2,1,1,3,4,5,2,2,5,5,2,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1800,9,200,200,0,0,800,1000,0,0,0,0
57,0,15,2,1,1,3,4,5,2,2,5,5,2,5,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,200,1,200,200,0,0,0,200,0,0,0,0
58,0,14,2,1,1,3,4,5,2,2,5,5,5,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,520,9,40,80,0,160,80,120,160,0,0,0
59,0,15,2,1,1,3,4,5,2,2,5,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,1560,9,160,200,0,480,200,400,480,0,0,0
60,0,13,2,1,1,3,4,5,2,5,1,2,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,8,1,8,8,0,0,0,8,0,0,0,0
61,0,16,2,1,1,3,4,5,2,5,1,2,5,5,2,1,4,5,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,120,9,8,16,0,48,8,16,48,0,0,0
62,0,12,2,1,1,3,4,5,2,5,2,1,4,5,-1,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,24,3,8,8,0,0,8,16,0,0,0,0
63,0,13,2,1,1,3,4,5,2,5,2,2,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,72,9,8,8,0,0,32,40,0,0,0,0
64,0,14,2,1,1,3,4,5,2,5,2,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,24,3,8,8,0,0,8,16,0,0,0,0
65,0,15,2,1,1,3,4,5,2,5,2,5,5,2,1,4,5,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,120,9,8,16,0,48,8,16,48,0,0,0
66,0,13,2,1,1,3,4,5,2,5,5,1,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,80,6,8,16,0,32,16,0,32,0,0,0
67,0,14,2,1,1,3,4,5,2,5,5,1,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,1,40,40,0,0,0,40,0,0,0,0
68,0,12,2,1,1,3,4,5,2,5,5,1,4,5,-1,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,5,8,8,0,0,16,24,0,0,0,0
69,0,14,2,1,1,3,4,5,2,5,5,2,1,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,240,6,40,40,0,0,160,80,0,0,0,0
70,0,13,2,1,1,3,4,5,2,5,5,2,1,1,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,280,21,8,16,0,112,16,40,112,0,0,0
71,0,13,2,1,1,3,4,5,2,5,5,2,1,2,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,160,12,8,16,0,64,8,24,64,0,0,0
72,0,14,2,1,1,3,4,5,2,5,5,2,1,3,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,240,6,40,40,0,0,160,80,0,0,0,0
73,0,13,2,1,1,3,4,5,2,5,5,2,1,4,3,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,240,18,8,16,0,96,16,32,96,0,0,0
74,0,14,2,1,1,3,4,5,2,5,5,2,1,4,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,360,9,40,40,0,0,240,120,0,0,0,0
75,0,13,2,1,1,3,4,5,2,5,5,2,1,4,5,-1,-1,-1,2,3,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,120,9,8,16,0,48,8,16,48,0,0,0
76,0,14,2,1,1,3,4,5,2,5,5,2,1,4,5,2,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,240,6,40,40,0,0,160,80,0,0,0,0
77,0,14,2,1,1,3,4,5,2,5,5,2,1,4,5,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,360,9,40,40,0,0,240,120,0,0,0,0
78,0,12,2,1,1,3,4,5,2,5,5,2,1,5,-1,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,80,10,8,8,0,0,40,40,0,0,0,0
79,0,13,2,1,1,3,4,5,2,5,5,2,1,5,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,240,18,8,16,0,96,24,24,96,0,0,0
80,0,14,2,1,1,3,4,5,2,5,5,2,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,360,9,40,40,0,0,160,200,0,0,0,0
81,0,14,2,1,1,3,4,5,2,5,5,2,5,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,40,1,40,40,0,0,0,40,0,0,0,0
82,0,13,2,1,1,3,4,5,2,5,5,5,1,4,5,-1,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,104,9,8,16,0,32,16,24,32,0,0,0
83,0,14,2,1,1,3,4,5,2,5,5,5,2,1,4,5,-1,-1,3,99,8,48,42,27,22,23,31,50,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,0,1,1,4,1,3,4,5,312,9,32,40,0,96,40,80,96,0,0,0
84,5,14,2,1,1,4,3,1,2,5,1,2,5,1,4,5,-1,-1,99,3,10,48,42,27,22,24,31,27,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,16,1,16,16,0,0,0,0,0,0,0,0
85,6,11,2,1,1,4,3,1,2,5,1,4,5,-1,-1,-1,-1,-1,99,3,10,48,42,27,22,24,31,27,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,16,2,8,8,0,0,0,8,0,0,0,0
86,0,15,2,1,1,4,3,1,2,5,1,4,5,2,1,4,5,-1,99,3,10,48,42,27,22,24,31,27,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,48,3,16,16,0,0,0,0,48,0,0,0
87,0,13,2,1,1,4,3,1,2,5,4,1,1,4,5,-1,-1,-1,99,3,9,48,42,27,22,24,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,72,3,24,24,0,0,0,0,72,0,0,0
88,0,14,2,1,1,4,3,1,2,5,4,1,2,1,4,5,-1,-1,99,3,9,48,42,27,22,24,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,48,2,24,24,0,0,0,0,0,0,0,0
89,0,15,2,1,1,4,3,1,2,5,4,1,5,2,1,4,5,-1,99,3,9,48,42,27,22,24,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,193,0,1,1,5,4,3,1,2,48,2,24,24,0,0,0,48,0,0,0,0
