operator_id,null_point,operator_kind,cycle_name,cycle_type,edges,curl_value
R_full,100,normalized,face_234,tetra_face,"B+,V+,S+",0.0
R_full,101,raw,star,fano_star,"B-,V-,S-",9.094947017729282e-11
R_full,101,raw,star,fano_star,"B-,V+,S+",-6.184563972055912e-11
R_full,101,raw,star,fano_star,"B+,V-,S+",-8.276401786133647e-11
R_full,101,raw,star,fano_star,"B+,V+,S-",-2.9103830456733704e-11
R_full,101,raw,face_123,tetra_face,"B-,V-,S+",-7.112248567864299e-10
R_full,101,raw,face_124,tetra_face,"B-,V+,S-",0.0
R_full,101,raw,face_134,tetra_face,"B+,V-,S-",-13060.667024771265
R_full,101,raw,face_234,tetra_face,"B+,V+,S+",13060.667024771894
R_full,101,normalized,star,fano_star,"B-,V-,S-",-2.7284841053187847e-10
R_full,101,normalized,star,fano_star,"B-,V+,S+",1.8735590856522322e-10
R_full,101,normalized,star,fano_star,"B+,V-,S+",-3.2514435588382185e-11
R_full,101,normalized,star,fano_star,"B+,V+,S-",8.697043085703626e-11
R_full,101,normalized,face_123,tetra_face,"B-,V-,S+",-2.764863893389702e-10
R_full,101,normalized,face_124,tetra_face,"B-,V+,S-",0.0
R_full,101,normalized,face_134,tetra_face,"B+,V-,S-",-13188.172356130304
R_full,101,normalized,face_234,tetra_face,"B+,V+,S+",13188.17235613055
R_full,110,raw,star,fano_star,"B-,V-,S-",2.944489096989855e-11
R_full,110,raw,star,fano_star,"B-,V+,S+",-9.458744898438454e-11
R_full,110,raw,star,fano_star,"B+,V-,S+",1.2405507732182741e-09
R_full,110,raw,star,fano_star,"B+,V+,S-",9.276845958083868e-11
R_full,110,raw,face_123,tetra_face,"B-,V-,S+",-13060.667024778593
R_full,110,raw,face_124,tetra_face,"B-,V+,S-",2.9103830456733704e-11
R_full,110,raw,face_134,tetra_face,"B+,V-,S-",13060.667024764634
R_full,110,raw,face_234,tetra_face,"B+,V+,S+",1.5197997527138796e-08
R_full,110,normalized,star,fano_star,"B-,V-,S-",2.913793650805019e-10
R_full,110,normalized,star,fano_star,"B-,V+,S+",-3.019522409886122e-10
R_full,110,normalized,star,fano_star,"B+,V-,S+",6.662617124675307e-10
R_full,110,normalized,star,fano_star,"B+,V+,S-",0.0
R_full,110,normalized,face_123,tetra_face,"B-,V-,S+",-13188.172356140749
R_full,110,normalized,face_124,tetra_face,"B-,V+,S-",0.0
R_full,110,normalized,face_134,tetra_face,"B+,V-,S-",13188.172356120112
R_full,110,normalized,face_234,tetra_face,"B+,V+,S+",2.1293146801326657e-08
R_full,111,raw,star,fano_star,"B-,V-,S-",7.09405867382884e-11
R_full,111,raw,star,fano_star,"B-,V+,S+",-5.877609510207549e-11
R_full,111,raw,star,fano_star,"B+,V-,S+",-9.174527804134414e-10
R_full,111,raw,star,fano_star,"B+,V+,S-",1.8189894035458565e-12
R_full,111,raw,face_123,tetra_face,"B-,V-,S+",13060.667024775163
R_full,111,raw,face_124,tetra_face,"B-,V+,S-",0.0
R_full,111,raw,face_134,tetra_face,"B+,V-,S-",-8.127244655042887e-09
R_full,111,raw,face_234,tetra_face,"B+,V+,S+",-13060.667024767938
R_full,111,normalized,star,fano_star,"B-,V-,S-",8.549250196665525e-11
R_full,111,normalized,star,fano_star,"B-,V+,S+",-1.163016349892132e-10
R_full,111,normalized,star,fano_star,"B+,V-,S+",-1.1747260941774584e-09
R_full,111,normalized,star,fano_star,"B+,V+,S-",2.9103830456733704e-11
R_full,111,normalized,face_123,tetra_face,"B-,V-,S+",13188.172356142102
R_full,111,normalized,face_124,tetra_face,"B-,V+,S-",0.0
R_full,111,normalized,face_134,tetra_face,"B+,V-,S-",-2.4563632905483246e-08
R_full,111,normalized,face_234,tetra_face,"B+,V+,S+",-13188.172356118715
