shell,support_size,subset_count,profile,gap_coefficients,positive_quotient_coefficients,min_positive_quotient_coefficient,quotient_zero_coefficient_count,positive_quotient_nonnegative,first_division_remainder,second_division_remainder
12,8,759,"0,0,448,0,1680,0,448,0,0,0,0,0,0","43218108416,0,44040192000,0,-158985093120,0,22431137792,0,40516976640,0,8103395328,0,675282944","43218108416,86436216832,173694517248,260952817664,189226024960,117499232256,68203577344,18907922432,10129244160,1350565888,675282944",675282944,0,True,0,0
12,8,97152,"0,42,196,630,840,630,196,42,0,0,0,0,0","43218108416,-8026324992,92198141952,-120394874880,1541406720,-120394874880,70589087744,-8026324992,40516976640,0,8103395328,0,675282944","43218108416,78409891840,205799817216,212794867712,221331324928,109472907264,68203577344,18907922432,10129244160,1350565888,675282944",675282944,0,True,0,0
12,8,637560,"2,32,216,608,860,608,216,32,2,0,0,0,0","42835902464,-6115295232,88376082432,-116190609408,-2280652800,-116190609408,66767028224,-6115295232,40134770688,0,8103395328,0,675282944","42835902464,79556509696,204653199360,213559279616,220184707072,110619525120,67821371392,18907922432,10129244160,1350565888,675282944",675282944,0,True,0,0
12,9,12144,"0,0,168,280,840,840,280,168,0,0,0,0,0","29342250000,0,73526800032,-53508833280,-2078349840,-160526499840,73249686720,-32105299968,57041334000,0,13689920160,0,1368992016","29342250000,58684500000,161553550032,210913766784,258195633696,144951000768,104956054560,32855808384,17796896208,2737984032,1368992016",1368992016,0,True,0,0
12,9,728640,"0,14,98,406,770,770,406,98,14,0,0,0,0","29342250000,-2675441664,86904008352,-77587808256,11298858480,-147149291520,49170711744,-18728091648,54365892336,0,13689920160,0,1368992016","29342250000,56009058336,169579875024,205562883456,252844750368,152977325760,102280612896,32855808384,17796896208,2737984032,1368992016",1368992016,0,True,0,0
12,9,566720,"1,9,108,396,774,774,396,108,9,1,0,0,0","29151147024,-1719926784,84992978592,-75676778496,10534446576,-147913703424,51081741504,-20639121408,55321407216,-191102976,13689920160,0,1368992016","29151147024,56582367264,169006566096,205753986432,253035853344,152404016832,102853921824,32664705408,17796896208,2737984032,1368992016",1368992016,0,True,0,0
12,10,91080,"0,0,56,224,560,896,560,224,56,0,0,0,0","19396084736,0,72424310784,-42807066624,41421757440,-171228266496,34353213440,-42807066624,65032633344,0,21638400000,0,2576000000","19396084736,38792169472,130612564992,179625893888,270060980224,189267800064,142827833344,53580800000,29366400000,5152000000,2576000000",2576000000,0,True,0,0
12,10,1700160,"0,4,42,228,606,816,606,228,42,4,0,0,0","19396084736,-764411904,75099752448,-43571478528,32631020544,-155940028416,25562476544,-43571478528,67708075008,-764411904,21638400000,0,2576000000","19396084736,38027757568,131759182848,181919129600,264710096896,191561035776,143974451200,52816388096,29366400000,5152000000,2576000000",2576000000,0,True,0,0
12,10,170016,"1,0,45,240,570,864,570,240,45,0,1,0,0","19204981760,0,74526443520,-45864714240,39510727680,-165112971264,32442183680,-45864714240,67134766080,0,21447297024,0,2576000000","19204981760,38409963520,132141388800,180008099840,267385538560,189650006016,144356657152,53198594048,29175297024,5152000000,2576000000",2576000000,0,True,0,0
12,11,425040,"0,0,16,120,384,768,768,384,120,16,0,0,0","12433859984,0,60068103072,-22932357120,60151699056,-146767085568,3888059072,-73383542784,72675715440,-3057647616,32359655328,0,4563541136","12433859984,24867719968,97369683024,146939288960,256660593952,219614813376,186457091872,79915827584,46050278736,9127082272,4563541136",4563541136,0,True,0,0
12,11,2040192,"0,1,15,110,410,752,752,410,110,15,1,0,0","12433859984,-191102976,60259206048,-21021327360,55183021680,-143709437952,6945706688,-78352220160,74586745200,-2866544640,32168552352,0,4563541136","12433859984,24676616992,97178580048,148659215744,255322873120,218277092544,188177018656,79724724608,45859175760,9127082272,4563541136",4563541136,0,True,0,0
12,11,30912,"1,0,0,165,330,792,792,330,165,0,0,1,0","12242757008,0,63125750688,-31531991040,70471259760,-151353556992,-698412352,-63063982080,64076081520,0,32359655328,-191102976,4563541136","12242757008,24485514016,99854021712,143690538368,257998314784,220952534208,183208341280,82400166272,45668072784,8935979296,4563541136",4563541136,0,True,0,0
12,12,35420,"0,0,0,64,216,576,864,576,216,64,0,0,0","7691894784,0,46151368704,-12230590464,74100178944,-110075314176,-11275075584,-110075314176,74100178944,-12230590464,46151368704,0,7691894784","7691894784,15383789568,69227053056,110839726080,226552578048,232190115840,226552578048,110839726080,69227053056,15383789568,7691894784",7691894784,0,True,0,0
12,12,1275120,"0,0,4,48,232,592,824,592,232,48,4,0,0","7691894784,0,45386956800,-9172942848,71042531328,-113132961792,-3630956544,-113132961792,71042531328,-9172942848,45386956800,0,7691894784","7691894784,15383789568,68462641152,112368549888,227316989952,229132468224,227316989952,112368549888,68462641152,15383789568,7691894784",7691894784,0,True,0,0
12,12,1020096,"0,0,6,40,240,600,804,600,240,40,6,0,0","7691894784,0,45004750848,-7644119040,69513707520,-114661785600,191102976,-114661785600,69513707520,-7644119040,45004750848,0,7691894784","7691894784,15383789568,68080435200,113132961792,227699195904,227603644416,227699195904,113132961792,68080435200,15383789568,7691894784",7691894784,0,True,0,0
12,12,370944,"0,1,0,55,220,616,792,616,220,55,0,1,0","7691894784,-191102976,46151368704,-10510663680,73335767040,-117719433216,2484338688,-117719433216,73335767040,-10510663680,46151368704,-191102976,7691894784","7691894784,15192686592,68844847104,111986343936,228463607808,227221438464,228463607808,111986343936,68844847104,15192686592,7691894784",7691894784,0,True,0,0
12,12,2576,"1,0,0,0,495,0,1584,0,495,0,0,0,1","7500791808,0,46151368704,0,20782448640,0,-148869218304,0,20782448640,0,46151368704,0,7500791808","7500791808,15001583616,68653744128,122305904640,196740513792,271175122944,196740513792,122305904640,68653744128,15001583616,7500791808",7500791808,0,True,0,0
12,13,425040,"0,0,0,16,120,384,768,768,384,120,16,0,0","4563541136,0,32359655328,-3057647616,72675715440,-73383542784,3888059072,-146767085568,60151699056,-22932357120,60068103072,0,12433859984","4563541136,9127082272,46050278736,79915827584,186457091872,219614813376,256660593952,146939288960,97369683024,24867719968,12433859984",4563541136,0,True,0,0
12,13,2040192,"0,0,1,15,110,410,752,752,410,110,15,1,0","4563541136,0,32168552352,-2866544640,74586745200,-78352220160,6945706688,-143709437952,55183021680,-21021327360,60259206048,-191102976,12433859984","4563541136,9127082272,45859175760,79724724608,188177018656,218277092544,255322873120,148659215744,97178580048,24676616992,12433859984",4563541136,0,True,0,0
12,13,30912,"0,1,0,0,165,330,792,792,330,165,0,0,1","4563541136,-191102976,32359655328,0,64076081520,-63063982080,-698412352,-151353556992,70471259760,-31531991040,63125750688,0,12242757008","4563541136,8935979296,45668072784,82400166272,183208341280,220952534208,257998314784,143690538368,99854021712,24485514016,12242757008",4563541136,0,True,0,0
12,14,91080,"0,0,0,0,56,224,560,896,560,224,56,0,0","2576000000,0,21638400000,0,65032633344,-42807066624,34353213440,-171228266496,41421757440,-42807066624,72424310784,0,19396084736","2576000000,5152000000,29366400000,53580800000,142827833344,189267800064,270060980224,179625893888,130612564992,38792169472,19396084736",2576000000,0,True,0,0
12,14,1700160,"0,0,0,4,42,228,606,816,606,228,42,4,0","2576000000,0,21638400000,-764411904,67708075008,-43571478528,25562476544,-155940028416,32631020544,-43571478528,75099752448,-764411904,19396084736","2576000000,5152000000,29366400000,52816388096,143974451200,191561035776,264710096896,181919129600,131759182848,38027757568,19396084736",2576000000,0,True,0,0
12,14,170016,"0,0,1,0,45,240,570,864,570,240,45,0,1","2576000000,0,21447297024,0,67134766080,-45864714240,32442183680,-165112971264,39510727680,-45864714240,74526443520,0,19204981760","2576000000,5152000000,29175297024,53198594048,144356657152,189650006016,267385538560,180008099840,132141388800,38409963520,19204981760",2576000000,0,True,0,0
12,15,12144,"0,0,0,0,0,168,280,840,840,280,168,0,0","1368992016,0,13689920160,0,57041334000,-32105299968,73249686720,-160526499840,-2078349840,-53508833280,73526800032,0,29342250000","1368992016,2737984032,17796896208,32855808384,104956054560,144951000768,258195633696,210913766784,161553550032,58684500000,29342250000",1368992016,0,True,0,0
12,15,728640,"0,0,0,0,14,98,406,770,770,406,98,14,0","1368992016,0,13689920160,0,54365892336,-18728091648,49170711744,-147149291520,11298858480,-77587808256,86904008352,-2675441664,29342250000","1368992016,2737984032,17796896208,32855808384,102280612896,152977325760,252844750368,205562883456,169579875024,56009058336,29342250000",1368992016,0,True,0,0
12,15,566720,"0,0,0,1,9,108,396,774,774,396,108,9,1","1368992016,0,13689920160,-191102976,55321407216,-20639121408,51081741504,-147913703424,10534446576,-75676778496,84992978592,-1719926784,29151147024","1368992016,2737984032,17796896208,32664705408,102853921824,152404016832,253035853344,205753986432,169006566096,56582367264,29151147024",1368992016,0,True,0,0
12,16,759,"0,0,0,0,0,0,448,0,1680,0,448,0,0","675282944,0,8103395328,0,40516976640,0,22431137792,0,-158985093120,0,44040192000,0,43218108416","675282944,1350565888,10129244160,18907922432,68203577344,117499232256,189226024960,260952817664,173694517248,86436216832,43218108416",675282944,0,True,0,0
12,16,97152,"0,0,0,0,0,42,196,630,840,630,196,42,0","675282944,0,8103395328,0,40516976640,-8026324992,70589087744,-120394874880,1541406720,-120394874880,92198141952,-8026324992,43218108416","675282944,1350565888,10129244160,18907922432,68203577344,109472907264,221331324928,212794867712,205799817216,78409891840,43218108416",675282944,0,True,0,0
12,16,637560,"0,0,0,0,2,32,216,608,860,608,216,32,2","675282944,0,8103395328,0,40134770688,-6115295232,66767028224,-116190609408,-2280652800,-116190609408,88376082432,-6115295232,42835902464","675282944,1350565888,10129244160,18907922432,67821371392,110619525120,220184707072,213559279616,204653199360,79556509696,42835902464",675282944,0,True,0,0
12,17,6072,"0,0,0,0,0,0,112,336,840,840,336,112,0","303063824,0,4416072864,0,26811870960,0,65415858368,-64210599936,-2391179280,-160526499840,89406568608,-21403533312,62178377744","303063824,606127648,5325264336,10044401024,41575408672,73106416320,170053282336,202789548416,233134635216,102953222176,62178377744",303063824,0,True,0,0
12,17,340032,"0,0,0,0,0,6,82,390,810,810,390,82,6","303063824,0,4416072864,0,26811870960,-1146617856,71148947648,-74530160640,3341910000,-154793410560,79087007904,-15670444032,61031759888","303063824,606127648,5325264336,10044401024,41575408672,71959798464,173493135904,200496312704,230841399504,106393075744,61031759888",303063824,0,True,0,0
12,18,21252,"0,0,0,0,0,0,16,192,600,960,600,192,16","120185856,0,2163345408,0,16225090560,0,61842714624,-36691771392,31364029440,-183458856960,60569192448,-36691771392,84557841408","120185856,240371712,2523902976,4807434240,23316056064,41824677888,122176014336,165835579392,240859173888,132423911424,84557841408",120185856,0,True,0,0
12,18,113344,"0,0,0,0,0,0,18,180,630,920,630,180,18","120185856,0,2163345408,0,16225090560,0,61460508672,-34398535680,25630940160,-175814737920,54836103168,-34398535680,84175635456","120185856,240371712,2523902976,4807434240,23316056064,41824677888,121793808384,167364403200,238565938176,133952735232,84175635456",120185856,0,True,0,0
12,19,42504,"0,0,0,0,0,0,0,48,360,880,880,360,48","40250000,0,917700000,0,8718150000,0,44171960000,-9172942848,57093014640,-168170618880,23182311840,-68797071360,112017246608","40250000,80500000,1038450000,1996400000,11672500000,21348600000,75196660000,119871777152,221639908944,155237421856,112017246608",40250000,0,True,0,0
12,20,10626,"0,0,0,0,0,0,0,0,120,640,1056,640,120","10551296,0,316538880,0,3956736000,0,26378240000,0,75986042880,-122305904640,-3967942656,-122305904640,141931642880","10551296,21102592,348192768,675282944,4959109120,9242935296,39905001472,70567067648,177215176704,161557381120,141931642880",10551296,0,True,0,0
12,21,2024,"0,0,0,0,0,0,0,0,0,280,1008,1008,280","1877904,0,78871968,0,1380259440,0,12882421440,0,67632712560,-53508833280,-3260204640,-192631799808,167424694416","1877904,3755808,84505680,165255552,1626264864,3087274176,17430704928,31774135680,113750278992,142217589024,167424694416",1877904,0,True,0,0
12,22,276,"0,0,0,0,0,0,0,0,0,0,616,1344,616","164864,0,10881024,0,299228160,0,4388679680,0,36206607360,0,41589639168,-256842399744,174347199488","164864,329728,11375616,22421504,332695552,642969600,5341923328,10040877056,50946438144,91851999232,174347199488",164864,0,True,0,0
12,23,24,"0,0,0,0,0,0,0,0,0,0,0,1288,1288","2576,0,355488,0,20440560,0,626843840,0,10813056240,0,99480117408,-246140633088,135199816976","2576,5152,363216,721280,21519904,42318528,689960992,1337603456,12798302160,24259000864,135199816976",2576,0,True,0,0
12,24,1,"0,0,0,0,0,0,0,0,0,0,0,0,2576","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0",0,11,True,0,0
16,0,1,"759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,15,True,0,0
16,1,24,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","31588983341751,-55698108973056,20674100114184,0,3146058713028,0,273570322872,0,14867952330,0,517146168,0,11242308,0,139656,0,759","31588983341751,7479857710446,4044832193325,609806676204,320839872111,31873068018,16476586797,1080105576,551576685,23047794,11665071,282348,141933,1518,759",759,0,True,0,0
16,2,276,"77,352,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0","33174988822272,-38746510589952,-6033371486208,0,9638198879232,0,1752399796224,0,199136340480,0,14482642944,0,658301952,0,17098752,0,194304","33174988822272,27603467054592,15998573800704,4393680546816,2426986172160,460291797504,245997219072,31702640640,16544402688,1386164736,710569728,34974720,17681664,388608,194304",194304,0,True,0,0
16,3,2024,"21,168,360,210,0,0,0,0,0,0,0,0,0,0,0,0,0","26395968657303,-18492652781568,-6818484240504,-23115815976960,16404314431428,0,4686946980408,0,836954817930,0,95651979192,0,6832284228,0,278868744,0,4979799","26395968657303,34299284533038,35384116168269,13353131826540,7726461916239,2099792005938,1160069076045,220346146152,117578034189,14809922226,7693789455,577656684,293808141,9959598,4979799",4979799,0,True,0,0
16,4,10626,"5,64,240,320,130,0,0,0,0,0,0,0,0,0,0,0,0","18880023429120,-7044820107264,4670564597760,-35224100536320,7452257157120,0,8704819200000,0,2176204800000,0,348192768000,0,34819276800,0,1989672960,0,49741824","18880023429120,30715226750976,47220994670592,28502662053888,17236586594304,5970511134720,3409254875136,847998615552,462947155968,77895696384,41037004800,4178313216,2138898432,99483648,49741824",49741824,0,True,0,0
16,5,42504,"1,20,120,280,260,78,0,0,0,0,0,0,0,0,0,0,0","12780449033943,-2201506283520,13928908294920,-30821087969280,-3624105110460,-8585874505728,13155513987000,0,4327471706250,0,911046675000,0,119874562500,0,9013125000,0,296484375","12780449033943,23359391784366,47867242829709,41554005905772,31616663871375,13093447331250,7725744778125,2358042225000,1317811378125,277580531250,148396359375,19212187500,9902578125,592968750,296484375",296484375,0,True,0,0
16,6,113344,"0,6,45,180,285,198,45,0,0,0,0,0,0,0,0,0,0","8364150077184,-660451885056,17351011067904,-19813556551680,-5349664300032,-21794912206848,12394477688832,0,7228277844480,0,1927540758528,0,321256793088,0,30595885056,0,1274828544","8364150077184,16067848269312,41122557529344,46363710237696,46255198646016,24351774847488,14842828737792,5333882628096,3053214362880,772546097664,419418590976,66291084288,34420370688,2549657088,1274828544",1274828544,0,True,0,0
16,6,21252,"1,0,60,160,300,192,46,0,0,0,0,0,0,0,0,0,0","8254074763008,0,15699881355264,-17612050268160,-7000794012672,-21134460321792,12284402374656,0,7228277844480,0,1927540758528,0,321256793088,0,30595885056,0,1274828544","8254074763008,16508149526016,40462105644288,46804011494400,46145123331840,24351774847488,14842828737792,5333882628096,3053214362880,772546097664,419418590976,66291084288,34420370688,2549657088,1274828544",1274828544,0,True,0,0
16,7,340032,"0,1,15,85,225,267,141,25,0,0,0,0,0,0,0,0,0","5294599897719,-110075314176,15789905244552,-9356401704960,368663513412,-29390108884992,5179294162488,-2751882854400,10654367222730,0,3509673908664,0,722579922372,0,85009402632,0,4375483959","5294599897719,10479124481262,31453554309357,43071582432492,55058274069039,37654856820594,25430733734637,10454727794280,6133089076653,1811450359026,999485550063,187520741100,98135854509,8750967918,4375483959",4375483959,0,True,0,0
16,7,6072,"1,0,0,140,140,336,112,30,0,0,0,0,0,0,0,0,0","5184524583543,0,17441034957192,-15410543984640,9725065218372,-36985305563136,8371478273592,-3302259425280,10654367222730,0,3509673908664,0,722579922372,0,85009402632,0,4375483959","5184524583543,10369049167086,32994608707821,40209624263916,57149705038383,37104480249714,25430733734637,10454727794280,6133089076653,1811450359026,999485550063,187520741100,98135854509,8750967918,4375483959",4375483959,0,True,0,0
16,8,637560,"0,0,4,32,130,256,228,96,13,0,0,0,0,0,0,0,0","3259880177664,0,12599219453952,-3522410053632,8509370400768,-28179280429056,-2278010388480,-10567230160896,12830996692992,0,5704790310912,0,1426197577728,0,203742511104,0,12733906944","3259880177664,6519760355328,22378859986944,34715549564928,55561609543680,48228389093376,38617158254592,18438697254912,11091232948224,3743768641536,2101094645760,458420649984,241944231936,25467813888,12733906944",12733906944,0,True,0,0
16,8,97152,"0,1,0,35,140,231,252,85,15,0,0,0,0,0,0,0,0","3259880177664,-110075314176,13039520710656,-3852635996160,7408617259008,-25427397574656,-4919817928704,-9356401704960,12610846064640,0,5704790310912,0,1426197577728,0,203742511104,0,12733906944","3259880177664,6409685041152,22599010615296,34935700193280,54681007030272,48998916292608,38397007626240,18438697254912,11091232948224,3743768641536,2101094645760,458420649984,241944231936,25467813888,12733906944",12733906944,0,True,0,0
16,8,759,"1,0,0,0,280,0,448,0,30,0,0,0,0,0,0,0,0","3149804863488,0,13039520710656,0,-8001926725632,0,-26494579507200,0,10959716352000,0,5704790310912,0,1426197577728,0,203742511104,0,12733906944","3149804863488,6299609726976,22488935301120,38678260875264,46865659723776,55053058572288,36745877913600,18438697254912,11091232948224,3743768641536,2101094645760,458420649984,241944231936,25467813888,12733906944",12733906944,0,True,0,0
16,9,566720,"0,0,0,12,54,180,264,180,63,6,0,0,0,0,0,0,0","1945233984375,0,9337123125000,-1320903770112,13663891596996,-19813556551680,-5530332667464,-19813556551680,10712417913162,-660451885056,8470638099000,0,2541191429700,0,435632816520,0,32672461239","1945233984375,3890467968750,15172825078125,25134278417388,48759623353647,52571411738226,50852867455341,29320766620776,18501083699373,7020948892914,4011452185455,1001955477996,533650200237,65344922478,32672461239",32672461239,0,True,0,0
16,9,728640,"0,0,1,7,63,175,259,189,58,7,0,0,0,0,0,0,0","1945233984375,0,9227047810824,-770527199232,12673213769412,-19263179980800,-4979956096584,-20804234379264,11262794484042,-770527199232,8470638099000,0,2541191429700,0,435632816520,0,32672461239","1945233984375,3890467968750,15062749763949,25464504359916,48539472725295,52351261109874,51183093397869,29210691306600,18501083699373,7020948892914,4011452185455,1001955477996,533650200237,65344922478,32672461239",32672461239,0,True,0,0
16,9,12144,"0,1,0,0,70,210,168,280,15,15,0,0,0,0,0,0,0","1945233984375,-110075314176,9337123125000,0,11902686570180,-23115815976960,5036897493432,-30821087969280,15996032993610,-1651129712640,8470638099000,0,2541191429700,0,435632816520,0,32672461239","1945233984375,3780392654574,14952674449773,26124956244972,49199924610351,49159076998770,54155126880621,28330088793192,18501083699373,7020948892914,4011452185455,1001955477996,533650200237,65344922478,32672461239",32672461239,0,True,0,0
16,10,170016,"0,0,0,0,30,72,240,240,135,40,2,0,0,0,0,0,0","1120123893504,0,6400707962880,0,12699510481920,-7925422620672,-3558404106240,-26418075402240,5550253386240,-4403012567040,11442946971648,0,4165392000000,0,850080000000,0,75900000000","1120123893504,2240247787008,9761079643392,17281911499776,37502253838080,49797173555712,58533689167104,40852129376256,28720822971648,12186504000000,7095132000000,2003760000000,1077780000000,151800000000,75900000000",75900000000,0,True,0,0
16,10,1700160,"0,0,0,2,19,96,215,250,138,36,3,0,0,0,0,0,0","1120123893504,0,6400707962880,-220150628352,13910338937856,-10567230160896,-806521251840,-27518828544000,5220027443712,-3962711310336,11332871657472,0,4165392000000,0,850080000000,0,75900000000","1120123893504,2240247787008,9761079643392,17061760871424,38272781037312,48916571042304,58753839795456,41072280004608,28610747657472,12186504000000,7095132000000,2003760000000,1077780000000,151800000000,75900000000",75900000000,0,True,0,0
16,10,91080,"0,0,1,0,14,112,210,224,175,16,7,0,0,0,0,0,0","1120123893504,0,6290632648704,0,14460715508736,-12328435187712,-256144680960,-24656870375424,1147240819200,-1761205026816,10892570400768,0,4165392000000,0,850080000000,0,75900000000","1120123893504,2240247787008,9651004329216,17061760871424,38933232922368,48476269785600,57763161967872,42393183774720,28170446400768,12186504000000,7095132000000,2003760000000,1077780000000,151800000000,75900000000",75900000000,0,True,0,0
16,11,30912,"0,0,0,0,0,66,66,330,165,110,22,0,0,0,0,0,0","619139617239,0,4191098947464,0,12412100729028,-7264970735616,13740122805816,-36324853678080,4054499022090,-12108284559360,12617492901816,0,6362717228868,0,1538239330056,0,162698390679","619139617239,1238279234478,6048517799181,10858756363884,28081095657615,38038464215730,61735955579661,49108593265512,40535729973453,19854582122034,11790927172431,3727272222828,2026334502093,325396781358,162698390679",162698390679,0,True,0,0
16,11,2040192,"0,0,0,0,5,37,135,245,220,95,21,1,0,0,0,0,0","619139617239,0,4191098947464,0,11861724158148,-4072786624512,6144926127672,-26968451973120,-1999643257590,-10457154846720,12727568215992,-110075314176,6362717228868,0,1538239330056,0,162698390679","619139617239,1238279234478,6048517799181,10858756363884,27530719086735,40129895185074,58873997411085,50649647663976,40425654659277,19744506807858,11790927172431,3727272222828,2026334502093,325396781358,162698390679",162698390679,0,True,0,0
16,11,425040,"0,0,0,1,2,36,148,230,219,108,12,3,0,0,0,0,0","619139617239,0,4191098947464,-110075314176,12191950100676,-3962711310336,4713947043384,-25317322260480,-1889567943414,-11888133931008,13718246043576,-330225942528,6362717228868,0,1538239330056,0,162698390679","619139617239,1238279234478,6048517799181,10748681049708,27640794400911,40570196441778,58213545526029,50539572349800,40976031230157,19524356179506,11790927172431,3727272222828,2026334502093,325396781358,162698390679",162698390679,0,True,0,0
16,12,2576,"0,0,0,0,0,0,132,0,495,0,132,0,0,0,0,0,0","326356107264,0,2610848858112,0,9137971003392,0,3746000535552,0,-31642353008640,0,3746000535552,0,9137971003392,0,2610848858112,0,326356107264","326356107264,652712214528,3589917179904,6527122145280,18602298114048,30677474082816,46498650587136,62319827091456,46498650587136,30677474082816,18602298114048,6527122145280,3589917179904,652712214528,326356107264",326356107264,0,True,0,0
16,12,370944,"0,0,0,0,0,11,66,165,275,165,66,11,0,0,0,0,0","326356107264,0,2610848858112,0,9137971003392,-1210828455936,11010971271168,-18162426839040,-7425783889920,-18162426839040,11010971271168,-1210828455936,9137971003392,0,2610848858112,0,326356107264","326356107264,652712214528,3589917179904,6527122145280,18602298114048,29466645626880,51341964410880,55054856355840,51341964410880,29466645626880,18602298114048,6527122145280,3589917179904,652712214528,326356107264",326356107264,0,True,0,0
16,12,1020096,"0,0,0,0,0,12,60,180,255,180,60,12,0,0,0,0,0","326356107264,0,2610848858112,0,9137971003392,-1320903770112,11671423156224,-19813556551680,-5224277606400,-19813556551680,11671423156224,-1320903770112,9137971003392,0,2610848858112,0,326356107264","326356107264,652712214528,3589917179904,6527122145280,18602298114048,29356570312704,51782265667584,54394404470784,51782265667584,29356570312704,18602298114048,6527122145280,3589917179904,652712214528,326356107264",326356107264,0,True,0,0
16,12,1275120,"0,0,0,0,1,8,64,184,245,184,64,8,1,0,0,0,0","326356107264,0,2610848858112,0,9027895689216,-880602513408,11231121899520,-20253857808384,-4123524464640,-20253857808384,11231121899520,-880602513408,9027895689216,0,2610848858112,0,326356107264","326356107264,652712214528,3589917179904,6527122145280,18492222799872,29576720941056,51892340981760,53954103214080,51892340981760,29576720941056,18492222799872,6527122145280,3589917179904,652712214528,326356107264",326356107264,0,True,0,0
16,12,35420,"0,0,0,0,3,0,72,192,225,192,72,0,3,0,0,0,0","326356107264,0,2610848858112,0,8807745060864,0,10350519386112,-21134460321792,-1922018181120,-21134460321792,10350519386112,0,8807745060864,0,2610848858112,0,326356107264","326356107264,652712214528,3589917179904,6527122145280,18272072171520,30017022197760,52112491610112,53073500700672,52112491610112,30017022197760,18272072171520,6527122145280,3589917179904,652712214528,326356107264",326356107264,0,True,0,0
16,13,30912,"0,0,0,0,0,0,22,110,165,330,66,66,0,0,0,0,0","162698390679,0,1538239330056,0,6362717228868,0,12617492901816,-12108284559360,4054499022090,-36324853678080,13740122805816,-7264970735616,12412100729028,0,4191098947464,0,619139617239","162698390679,325396781358,2026334502093,3727272222828,11790927172431,19854582122034,40535729973453,49108593265512,61735955579661,38038464215730,28081095657615,10858756363884,6048517799181,1238279234478,619139617239",162698390679,0,True,0,0
