source_sector,raw_sector,block_dimension,target_i,target_j,max_residual_mod_1000003,nonzero_residual_count,perennial_id,coordinate_fingerprint_id
3,12,5,0,4,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,1,0,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,1,1,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,1,2,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,1,3,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,1,4,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,2,0,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,2,1,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,2,2,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,2,3,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,2,4,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,3,0,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,3,1,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,3,2,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,3,3,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,3,4,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,4,0,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,4,1,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,4,2,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,4,3,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
3,12,5,4,4,0,0,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,0,0,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,0,1,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,0,2,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,0,3,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,1,0,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,1,1,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,1,2,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,1,3,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,2,0,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,2,1,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,2,2,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,2,3,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,3,0,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,3,1,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,3,2,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
4,28,4,3,3,0,0,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,0,0,0,0,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
5,21,2,0,1,0,0,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
5,21,2,1,0,0,0,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
5,21,2,1,1,0,0,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
8,18,3,0,0,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,0,1,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,0,2,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,1,0,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,1,1,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,1,2,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,2,0,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,2,1,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
8,18,3,2,2,0,0,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,0,0,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,0,1,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,0,2,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,1,0,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,1,1,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,1,2,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,2,0,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,2,1,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
9,22,3,2,2,0,0,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
11,6,5,0,0,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,0,1,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,0,2,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,0,3,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,0,4,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,1,0,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,1,1,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,1,2,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,1,3,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,1,4,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,2,0,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,2,1,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,2,2,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,2,3,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,2,4,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,3,0,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,3,1,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,3,2,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,3,3,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,3,4,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,4,0,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,4,1,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,4,2,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,4,3,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
11,6,5,4,4,0,0,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
12,14,4,0,0,0,0,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
