interval_id,source_node_id,target_node_id,graph_distance,interval_node_count,shortest_path_count,min_sector_coverage_count,max_sector_coverage_count,full_sector_preserved,min_signature_union_count,max_signature_union_count,high_signature_threshold,high_signature_preserved,full_high_preserved,min_tensor_path_coefficient_mass_sum,max_tensor_path_coefficient_mass_sum,endpoint_poincare_distance_x1e10,interval_poincare_diameter_x1e10
19,0,19,2,4,2,3,6,0,69,173,155,0,0,84096,229888,4246047161,4246047161
20,0,20,2,3,1,3,5,0,69,146,155,0,0,96768,363008,4958992213,4958992213
21,0,21,3,4,1,3,4,0,69,90,155,0,0,96768,99072,888963192,888963192
22,0,22,3,6,3,3,5,0,69,138,155,0,0,96768,149760,2395296427,2395296427
23,0,23,3,6,3,3,5,0,69,126,155,0,0,75136,98304,1077468267,1077468267
24,0,24,3,6,3,3,5,0,69,131,155,0,0,84096,98304,2008479982,2138934877
25,0,25,3,6,3,3,6,0,69,167,155,0,0,96768,231424,2831634571,2831634571
26,0,26,3,6,3,3,5,0,69,138,155,0,0,96768,200448,4214137307,4214137307
27,0,27,3,8,6,3,5,0,69,146,155,0,0,75136,148992,2820276066,2820276066
28,0,28,3,8,6,3,6,0,69,169,155,0,0,84096,148992,3876579741,3876579741
29,0,29,3,8,6,3,6,0,69,169,155,0,0,96768,282112,4657795226,4657795226
30,0,30,3,6,3,3,5,0,69,126,155,0,0,53504,97536,1432803953,1432803953
31,0,31,3,8,6,3,6,0,69,151,155,0,0,62464,97536,2510790331,2510790331
32,0,32,3,8,6,3,6,0,69,175,155,0,0,75136,230656,3263463256,3263463256
33,0,33,3,6,3,3,5,0,69,131,155,0,0,71424,97536,3930377716,3997848979
34,0,34,3,8,6,3,6,0,69,177,155,0,0,84096,230656,4317076796,4317076796
35,0,35,3,6,3,3,6,0,69,167,155,0,0,96768,363776,5102140842,5102140842
36,0,36,3,4,1,3,4,0,69,117,155,0,0,96768,251136,6067723415,6067723415
37,0,37,3,6,3,3,5,0,69,142,155,0,0,75136,199680,4664842447,4664842447
38,0,38,3,6,3,3,6,0,69,165,155,0,0,84096,199680,5748062777,5748062777
39,0,39,3,6,3,3,5,0,69,168,155,0,0,96768,332800,6517240110,6517240110
40,0,40,3,6,3,3,5,0,69,142,155,0,0,53504,148224,3265310148,3265310148
41,0,41,3,8,6,3,6,0,69,167,155,0,0,62464,148224,4368726328,4368726328
42,0,42,3,8,6,3,6,0,69,183,155,0,0,75136,281344,5110507833,5110507833
43,0,43,3,6,3,3,6,0,69,165,155,0,0,71424,148224,5697237365,5697237365
44,0,44,3,8,6,3,6,0,69,185,155,0,0,84096,281344,6192999548,6192999548
45,0,45,3,6,3,3,5,0,69,168,155,0,0,96768,414464,6968926951,6968926951
46,0,46,3,4,1,3,5,0,53,112,155,0,0,31872,96768,1858620527,1858620527
47,0,47,3,6,3,3,6,0,69,147,155,0,0,40832,96768,3011203693,3011203693
48,0,48,3,6,3,3,6,0,69,171,155,0,0,53504,229888,3711103986,3711103986
49,0,49,3,6,3,3,6,0,69,147,155,0,0,49792,96768,4423915047,4423915047
50,0,50,3,8,6,3,6,0,69,173,155,0,0,62464,229888,4807703597,4807703597
51,0,51,3,6,3,3,6,0,69,171,155,0,0,75136,363008,5556983625,5556983625
52,0,52,3,4,1,3,5,0,58,117,155,0,0,58752,96768,5927782091,5927782091
53,0,53,3,6,3,3,6,0,69,173,155,0,0,71424,229888,6119567083,6119567083
54,0,54,3,6,3,3,6,0,69,173,155,0,0,84096,363008,6640233453,6640233453
55,0,55,3,4,1,3,5,0,69,146,155,0,0,96768,496128,7423247109,7423247109
56,1,1,0,1,1,4,4,0,90,90,155,0,0,97536,97536,0,0
57,1,2,1,2,1,4,4,0,90,117,155,0,0,97536,148224,1929455294,1929455294
58,1,3,1,2,1,4,5,0,90,112,155,0,0,75136,97536,516347616,516347616
59,1,4,1,2,1,4,5,0,90,117,155,0,0,84096,97536,2048218797,2048218797
60,1,5,1,2,1,4,5,0,90,146,155,0,0,97536,229888,2380300612,2380300612
61,1,6,1,2,1,4,4,0,90,90,155,0,0,97536,98304,296281663,296281663
62,1,7,1,2,1,4,5,0,90,138,155,0,0,97536,148992,2054027346,2054027346
63,1,8,1,2,1,4,5,0,90,126,155,0,0,75904,97536,624773394,624773394
64,1,9,1,2,1,4,5,0,90,131,155,0,0,84864,97536,1990542377,1990542377
65,1,10,1,2,1,4,6,0,90,167,155,0,0,97536,230656,2504664688,2504664688
66,1,11,2,4,2,4,5,0,90,138,155,0,0,97536,199680,3929591321,3929591321
67,1,12,2,6,4,4,5,0,90,142,155,0,0,75136,148992,2524140998,2524140998
68,1,13,2,6,4,4,6,0,90,165,155,0,0,84096,148992,3758873846,3758873846
69,1,14,2,6,4,4,6,0,90,168,155,0,0,97536,281344,4376148186,4376148186
70,1,15,2,4,2,4,5,0,90,126,155,0,0,53504,97536,1102104979,1102104979
71,1,16,2,6,4,4,6,0,90,147,155,0,0,62464,97536,2481764954,2481764954
72,1,17,2,6,4,4,6,0,90,171,155,0,0,75136,230656,2973411246,2973411246
73,1,18,2,4,2,4,5,0,90,131,155,0,0,71424,97536,3997848979,3997848979
74,1,19,2,6,4,4,6,0,90,173,155,0,0,84096,230656,4184299592,4184299592
75,1,20,2,4,2,4,6,0,90,167,155,0,0,97536,363008,4822748835,4822748835
76,1,21,2,3,1,3,4,0,70,90,155,0,0,97536,99072,591894298,591894298
77,1,22,2,4,2,4,5,0,90,138,155,0,0,97536,149760,2209994960,2209994960
78,1,23,2,4,2,4,5,0,90,126,155,0,0,75904,98304,828882146,828882146
79,1,24,2,4,2,4,5,0,90,131,155,0,0,84864,98304,1975360006,2042506413
80,1,25,2,4,2,4,6,0,90,167,155,0,0,97536,231424,2655002770,2655002770
81,1,26,2,3,1,4,5,0,90,138,155,0,0,97536,200448,4061343720,4061343720
82,1,27,2,4,2,4,5,0,90,146,155,0,0,75904,148992,2658061921,2658061921
83,1,28,2,4,2,4,6,0,90,169,155,0,0,84864,148992,3803051071,3803051071
84,1,29,2,4,2,4,6,0,90,169,155,0,0,97536,282112,4507209812,4507209812
85,1,30,2,3,1,4,5,0,90,126,155,0,0,54272,97536,1242590185,1242590185
86,1,31,2,4,2,4,6,0,90,151,155,0,0,63232,97536,2475954646,2475954646
87,1,32,2,4,2,4,6,0,90,175,155,0,0,75904,230656,3105713480,3105713480
88,1,33,2,3,1,4,5,0,90,131,155,0,0,72192,97536,3947578690,3947578690
89,1,34,2,4,2,4,6,0,90,177,155,0,0,84864,230656,4237057944,4237057944
90,1,35,2,3,1,4,6,0,90,167,155,0,0,97536,363776,4953373449,4953373449
91,1,36,3,6,3,3,5,0,90,138,155,0,0,97536,251136,5927658992,5927658992
92,1,37,3,10,9,4,5,0,90,146,155,0,0,75136,200448,4523098701,4523098701
93,1,38,3,10,9,4,6,0,90,169,155,0,0,84096,200448,5660734839,5660734839
94,1,39,3,10,9,4,6,0,90,169,155,0,0,97536,332800,6377844918,6377844918
95,1,40,3,10,9,4,5,0,90,146,155,0,0,53504,148992,3120427119,3120427119
96,1,41,3,14,18,4,6,0,90,169,155,0,0,62464,148992,4298613391,4298613391
97,1,42,3,14,18,4,6,0,90,183,155,0,0,75136,282112,4969771074,4969771074
98,1,43,3,10,9,4,6,0,90,169,155,0,0,71424,148992,5669572530,5669572530
99,1,44,3,14,18,4,6,0,90,185,155,0,0,84096,282112,6102191670,6102191670
100,1,45,3,10,9,4,6,0,90,169,155,0,0,97536,414464,6830112425,6830112425
101,1,46,3,6,3,3,5,0,53,126,155,0,0,31872,97536,1705734283,1705734283
102,1,47,3,10,9,4,6,0,88,151,155,0,0,40832,97536,2975063188,2975063188
103,1,48,3,10,9,4,6,0,90,175,155,0,0,53504,230656,3568004335,3568004335
104,1,49,3,10,9,4,6,0,88,151,155,0,0,49792,97536,4433759632,4433759632
105,1,50,3,14,18,4,6,0,90,177,155,0,0,62464,230656,4731399762,4731399762
106,1,51,3,10,9,4,6,0,90,175,155,0,0,75136,363776,5417087742,5417087742
107,1,52,3,6,3,3,5,0,58,131,155,0,0,58752,97536,5958911737,5958911737
108,1,53,3,10,9,4,6,0,90,177,155,0,0,71424,230656,6083663790,6083663790
109,1,54,3,10,9,4,6,0,90,177,155,0,0,84096,363776,6546428324,6546428324
110,1,55,3,6,3,3,6,0,90,167,155,0,0,97536,496128,7284940851,7284940851
111,2,2,0,1,1,4,4,0,117,117,155,0,0,148224,148224,0,0
112,2,3,1,2,1,4,5,0,112,117,155,0,0,75136,148224,1436236149,1436236149
113,2,4,1,2,1,4,5,0,117,117,155,0,0,84096,148224,1240326571,1240326571
114,2,5,1,2,1,4,5,0,117,146,155,0,0,148224,229888,451867243,451867243
115,2,6,2,4,2,4,5,0,90,138,155,0,0,97536,148992,1838887895,2054027346
116,2,7,1,2,1,4,5,0,117,138,155,0,0,148224,148992,287073342,287073342
117,2,8,2,6,4,4,5,0,90,142,155,0,0,75136,148992,1328264398,2524140998
118,2,9,2,6,4,4,6,0,90,165,155,0,0,84096,148992,954662776,3758873846
119,2,10,2,6,4,4,6,0,90,168,155,0,0,97536,281344,632179112,4376148186
120,2,11,1,2,1,4,4,0,117,117,155,0,0,148224,199680,2008686982,2008686982
121,2,12,1,2,1,4,5,0,117,142,155,0,0,126592,148224,606817808,606817808
122,2,13,1,2,1,4,6,0,117,165,155,0,0,135552,148224,1943899784,1943899784
123,2,14,1,2,1,4,5,0,117,168,155,0,0,148224,281344,2454619206,2454619206
124,2,15,2,4,2,4,5,0,112,142,155,0,0,53504,148224,827450273,2038974921
125,2,16,2,6,4,4,6,0,112,165,155,0,0,62464,148224,1105139204,3242600651
126,2,17,2,6,4,4,6,0,112,171,155,0,0,75136,281344,1053007700,3890433298
127,2,18,2,4,2,4,6,0,117,165,155,0,0,71424,148224,2565285574,2565285574
128,2,19,2,6,4,4,6,0,117,173,155,0,0,84096,281344,2332076264,3111569949
129,2,20,2,4,2,4,5,0,117,168,155,0,0,148224,363008,2900788547,2900788547
130,2,21,3,6,3,3,5,0,70,138,155,0,0,97536,149760,1792142181,2209994960
131,2,22,2,3,1,4,5,0,117,138,155,0,0,148224,149760,573806821,573806821
132,2,23,3,10,9,4,5,0,90,146,155,0,0,75136,149760,1278781010,2658061921
133,2,24,3,10,9,4,6,0,90,169,155,0,0,84096,149760,673174509,3803051071
134,2,25,3,10,9,4,6,0,90,169,155,0,0,97536,282112,870998714,4507209812
135,2,26,2,4,2,4,5,0,117,138,155,0,0,148224,200448,2162314978,2162314978
136,2,27,2,4,2,4,5,0,117,146,155,0,0,126592,148992,805486717,805486717
137,2,28,2,4,2,4,6,0,117,169,155,0,0,135552,148992,1930063749,1995726585
138,2,29,2,4,2,4,5,0,117,169,155,0,0,148224,282112,2603272465,2603272465
139,2,30,3,10,9,4,5,0,90,146,155,0,0,53504,148992,771054067,3120427119
140,2,31,3,14,18,4,6,0,90,169,155,0,0,62464,148992,894579274,4298613391
141,2,32,3,14,18,4,6,0,90,183,155,0,0,75136,282112,1225061738,4969771074
142,2,33,3,10,9,4,6,0,90,169,155,0,0,71424,148992,2411742771,5669572530
143,2,34,3,14,18,4,6,0,90,185,155,0,0,84096,282112,2344329018,6102191670
144,2,35,3,10,9,4,6,0,90,169,155,0,0,97536,414464,3046042477,6830112425
145,2,36,2,3,1,3,4,0,97,117,155,0,0,148224,251136,4009314205,4009314205
146,2,37,2,4,2,4,5,0,117,142,155,0,0,126592,199680,2606685814,2606685814
147,2,38,2,4,2,4,6,0,117,165,155,0,0,135552,199680,3749279115,3749279115
148,2,39,2,4,2,4,5,0,117,168,155,0,0,148224,332800,4458863484,4458863484
149,2,40,2,3,1,4,5,0,117,142,155,0,0,104960,148224,1210379166,1210379166
150,2,41,2,4,2,4,6,0,117,167,155,0,0,113920,148224,2424774126,2424774126
151,2,42,2,4,2,4,6,0,117,183,155,0,0,126592,281344,3052150833,3052150833
152,2,43,2,3,1,4,6,0,117,165,155,0,0,122880,148224,3886661357,3886661357
153,2,44,2,4,2,4,6,0,117,185,155,0,0,135552,281344,4185973488,4185973488
154,2,45,2,3,1,4,5,0,117,168,155,0,0,148224,414464,4910613378,4910613378
155,2,46,3,6,3,3,5,0,53,142,155,0,0,31872,148224,274111313,2640393921
156,2,47,3,10,9,4,6,0,88,167,155,0,0,40832,148224,1283150231,3784174183
157,2,48,3,10,9,4,6,0,112,183,155,0,0,53504,281344,1654009774,4487110244
158,2,49,3,10,9,4,6,0,88,167,155,0,0,49792,148224,2830376467,5154186115
159,2,50,3,14,18,4,6,0,112,185,155,0,0,62464,281344,2840671203,5593333481
160,2,51,3,10,9,4,6,0,112,183,155,0,0,75136,414464,3498573704,6346348577
161,2,52,3,6,3,3,6,0,58,165,155,0,0,58752,148224,4392837668,4392837668
162,2,53,3,10,9,4,6,0,117,185,155,0,0,71424,281344,4271595641,4475508249
163,2,54,3,10,9,4,6,0,117,185,155,0,0,84096,414464,4626790606,5471669843
164,2,55,3,6,3,3,5,0,97,168,155,0,0,148224,496128,5365012873,5365012873
165,3,3,0,1,1,5,5,0,112,112,155,0,0,75136,75136,0,0
166,3,4,1,2,1,5,5,0,112,117,155,0,0,75136,84096,1578089478,1578089478
167,3,5,1,2,1,5,5,0,112,146,155,0,0,75136,229888,1888056304,1888056304
168,3,6,2,4,2,4,5,0,90,126,155,0,0,75136,98304,561592990,624773394
169,3,7,2,6,4,4,5,0,90,142,155,0,0,75136,148992,1587947039,2524140998
170,3,8,1,2,1,5,5,0,112,126,155,0,0,75136,75904,293396504,293396504
171,3,9,2,6,4,4,6,0,90,147,155,0,0,62464,97536,1492591987,2481764954
172,3,10,2,6,4,4,6,0,90,171,155,0,0,75136,230656,2033410710,2973411246
173,3,11,2,4,2,4,5,0,112,142,155,0,0,75136,199680,3444216114,3444216114
174,3,12,1,2,1,5,5,0,112,142,155,0,0,75136,126592,2038974921,2038974921
175,3,13,2,6,4,4,6,0,112,165,155,0,0,62464,148224,3242600651,3242600651
176,3,14,2,6,4,4,6,0,112,171,155,0,0,75136,281344,3890433298,3890433298
177,3,15,1,2,1,5,5,0,112,112,155,0,0,53504,75136,619109183,619109183
178,3,16,1,2,1,5,6,0,112,147,155,0,0,62464,75136,1975983177,1975983177
179,3,17,1,2,1,5,6,0,112,171,155,0,0,75136,208256,2487667556,2487667556
180,3,18,2,4,2,5,6,0,112,147,155,0,0,62464,84096,3506204038,3506204038
181,3,19,2,6,4,5,6,0,112,173,155,0,0,62464,229888,3668704984,3668704984
182,3,20,2,4,2,5,6,0,112,171,155,0,0,75136,363008,4336765236,4336765236
183,3,21,3,6,3,3,5,0,70,126,155,0,0,75136,99072,733103816,828882146
184,3,22,3,10,9,4,5,0,90,146,155,0,0,75136,149760,1774116504,2658061921
185,3,23,2,3,1,5,5,0,112,126,155,0,0,75136,76672,586163671,586163671
186,3,24,3,10,9,4,6,0,90,151,155,0,0,62464,98304,1461608839,2514998136
187,3,25,3,10,9,4,6,0,90,175,155,0,0,75136,231424,2207076494,3105713480
188,3,26,3,10,9,4,5,0,90,146,155,0,0,75136,200448,3588332340,4523098701
189,3,27,2,4,2,5,5,0,112,146,155,0,0,75136,127360,2193908734,2193908734
190,3,28,3,14,18,4,6,0,90,169,155,0,0,62464,148992,3289042733,4298613391
191,3,29,3,14,18,4,6,0,90,183,155,0,0,75136,282112,4032359490,4969771074
192,3,30,2,4,2,5,5,0,112,126,155,0,0,53504,75904,821412257,821412257
193,3,31,2,4,2,5,6,0,112,151,155,0,0,62464,75904,1961009611,2027684427
194,3,32,2,4,2,5,6,0,112,175,155,0,0,75136,209024,2637114077,2637114077
195,3,33,3,10,9,4,6,0,88,151,155,0,0,49792,97536,3445593677,4433759632
196,3,34,3,14,18,4,6,0,90,177,155,0,0,62464,230656,3724602194,4731399762
197,3,35,3,10,9,4,6,0,90,175,155,0,0,75136,363776,4477067643,5417087742
198,3,36,3,6,3,3,5,0,97,142,155,0,0,75136,251136,5444682711,5444682711
199,3,37,2,3,1,5,5,0,112,142,155,0,0,75136,178048,4041090271,4041090271
200,3,38,3,10,9,4,6,0,112,167,155,0,0,62464,199680,5150685394,5150685394
201,3,39,3,10,9,4,6,0,112,183,155,0,0,75136,332800,5894444348,5894444348
202,3,40,2,4,2,5,5,0,112,142,155,0,0,53504,126592,2640393921,2640393921
203,3,41,2,4,2,5,6,0,112,167,155,0,0,62464,126592,3784174183,3784174183
204,3,42,2,4,2,5,6,0,112,183,155,0,0,75136,259712,4487110244,4487110244
205,3,43,3,10,9,4,6,0,88,167,155,0,0,49792,148224,5154186115,5154186115
206,3,44,3,14,18,4,6,0,112,185,155,0,0,62464,281344,5593333481,5593333481
207,3,45,3,10,9,4,6,0,112,183,155,0,0,75136,414464,6346348577,6346348577
208,3,46,2,3,1,3,5,0,53,112,155,0,0,31872,75136,1232208829,1232208829
209,3,47,2,4,2,4,6,0,88,147,155,0,0,40832,75136,2459541468,2459541468
210,3,48,2,4,2,5,6,0,112,171,155,0,0,53504,208256,3086733409,3086733409
211,3,49,2,3,1,4,6,0,88,147,155,0,0,49792,75136,3928124748,3928124748
212,3,50,2,4,2,5,6,0,112,171,155,0,0,62464,208256,4218264083,4218264083
213,3,51,2,3,1,5,6,0,112,171,155,0,0,75136,341376,4933894780,4933894780
214,3,52,3,6,3,3,6,0,58,147,155,0,0,49792,84096,5460999596,5460999596
215,3,53,3,10,9,4,6,0,88,173,155,0,0,49792,229888,5567545129,5567545129
216,3,54,3,10,9,5,6,0,112,173,155,0,0,62464,363008,6038673873,6038673873
217,3,55,3,6,3,3,6,0,97,171,155,0,0,75136,496128,6800862511,6800862511
218,4,4,0,1,1,5,5,0,117,117,155,0,0,84096,84096,0,0
219,4,5,1,2,1,5,5,0,117,146,155,0,0,84096,229888,1441647413,1441647413
220,4,6,2,4,2,4,5,0,90,131,155,0,0,84096,98304,2138934877,2138934877
221,4,7,2,6,4,4,6,0,90,165,155,0,0,84096,148992,1524659523,3758873846
222,4,8,2,6,4,4,6,0,90,147,155,0,0,62464,97536,1705408548,2481764954
223,4,9,1,2,1,5,5,0,117,131,155,0,0,84096,84864,289319385,289319385
224,4,10,2,6,4,4,6,0,90,173,155,0,0,84096,230656,1724592889,4184299592
225,4,11,2,4,2,4,6,0,117,165,155,0,0,84096,199680,2711461498,2711461498
226,4,12,2,6,4,4,6,0,112,165,155,0,0,62464,148224,1604459368,3242600651
227,4,13,1,2,1,5,6,0,117,165,155,0,0,84096,135552,2021549197,2021549197
228,4,14,2,6,4,4,6,0,117,173,155,0,0,84096,281344,3111569949,3111569949
229,4,15,2,4,2,5,6,0,112,147,155,0,0,53504,84096,1336029438,1975983177
230,4,16,1,2,1,5,6,0,117,147,155,0,0,62464,84096,611574009,611574009
231,4,17,2,6,4,5,6,0,112,173,155,0,0,62464,229888,1910565237,3668704984
232,4,18,1,2,1,5,5,0,117,117,155,0,0,71424,84096,1963703449,1963703449
233,4,19,1,2,1,5,6,0,117,173,155,0,0,84096,217216,2469284838,2469284838
234,4,20,2,4,2,5,6,0,117,173,155,0,0,84096,363008,3523189727,3523189727
235,4,21,3,6,3,3,5,0,70,131,155,0,0,84096,99072,2263752403,2263752403
236,4,22,3,10,9,4,6,0,90,169,155,0,0,84096,149760,1809433406,3803051071
237,4,23,3,10,9,4,6,0,90,151,155,0,0,62464,98304,1869266683,2514998136
238,4,24,2,3,1,5,5,0,117,131,155,0,0,84096,85632,577791301,577791301
239,4,25,3,10,9,4,6,0,90,177,155,0,0,84096,231424,2008148255,4237057944
240,4,26,3,10,9,4,6,0,90,169,155,0,0,84096,200448,2946878842,5660734839
241,4,27,3,14,18,4,6,0,90,169,155,0,0,62464,148992,1885257935,4298613391
242,4,28,2,4,2,5,6,0,117,169,155,0,0,84096,136320,2174298213,2174298213
243,4,29,3,14,18,4,6,0,90,185,155,0,0,84096,282112,3335131357,6102191670
244,4,30,3,10,9,4,6,0,88,151,155,0,0,40832,97536,1550929546,2975063188
245,4,31,2,4,2,5,6,0,117,151,155,0,0,62464,84864,811094863,811094863
246,4,32,3,14,18,4,6,0,90,177,155,0,0,62464,230656,2176841337,4731399762
247,4,33,2,4,2,5,5,0,117,131,155,0,0,71424,84864,1948027898,2014293034
248,4,34,2,4,2,5,6,0,117,177,155,0,0,84096,217984,2616591050,2616591050
249,4,35,3,10,9,4,6,0,90,177,155,0,0,84096,363776,3736897373,6546428324
250,4,36,3,6,3,3,6,0,97,165,155,0,0,84096,251136,4603787052,4603787052
251,4,37,3,10,9,4,6,0,112,167,155,0,0,62464,199680,3283359496,5150685394
252,4,38,2,3,1,5,6,0,117,165,155,0,0,84096,187008,4025994604,4025994604
253,4,39,3,10,9,4,6,0,117,185,155,0,0,84096,332800,5035104482,5035104482
254,4,40,3,10,9,4,6,0,88,167,155,0,0,40832,148224,2082517270,3784174183
255,4,41,2,4,2,5,6,0,117,167,155,0,0,62464,135552,2621189661,2621189661
256,4,42,3,14,18,4,6,0,112,185,155,0,0,62464,281344,3693611143,5593333481
257,4,43,2,4,2,5,6,0,117,165,155,0,0,71424,135552,3778863012,3778863012
258,4,44,2,4,2,5,6,0,117,185,155,0,0,84096,268672,4475508249,4475508249
259,4,45,3,10,9,4,6,0,117,185,155,0,0,84096,414464,5471669843,5471669843
260,4,46,3,6,3,3,6,0,53,147,155,0,0,31872,84096,1357831362,2459541468
261,4,47,2,3,1,4,6,0,88,147,155,0,0,40832,84096,1218828901,1218828901
262,4,48,3,10,9,4,6,0,88,173,155,0,0,40832,229888,2437904887,4218264083
263,4,49,2,4,2,4,6,0,88,147,155,0,0,49792,84096,2447378909,2447378909
264,4,50,2,4,2,5,6,0,117,173,155,0,0,62464,217216,3067833426,3067833426
265,4,51,3,10,9,5,6,0,112,173,155,0,0,62464,363008,4112326699,6038673873
266,4,52,2,3,1,3,5,0,58,117,155,0,0,58752,84096,3932132454,3932132454
267,4,53,2,4,2,5,6,0,117,173,155,0,0,71424,217216,4217203944,4217203944
268,4,54,2,3,1,5,6,0,117,173,155,0,0,84096,350336,4926834152,4926834152
269,4,55,3,6,3,3,6,0,97,173,155,0,0,84096,496128,5913264035,5913264035
270,5,5,0,1,1,5,5,0,146,146,155,0,0,229888,229888,0,0
271,5,6,2,4,2,4,6,0,90,167,155,0,0,97536,230656,2281711096,2504664688
272,5,7,2,6,4,4,6,0,90,168,155,0,0,97536,281344,414974617,4376148186
273,5,8,2,6,4,4,6,0,90,171,155,0,0,75136,230656,1774647780,2973411246
274,5,9,2,6,4,4,6,0,90,173,155,0,0,84096,230656,1157148551,4184299592
275,5,10,1,2,1,5,6,0,146,167,155,0,0,229888,230656,285707557,285707557
276,5,11,2,4,2,4,5,0,117,168,155,0,0,148224,281344,1557797995,2454619206
277,5,12,2,6,4,4,6,0,112,171,155,0,0,75136,281344,174925089,3890433298
278,5,13,2,6,4,4,6,0,117,173,155,0,0,84096,281344,1581177292,3111569949
279,5,14,1,2,1,5,5,0,146,168,155,0,0,229888,281344,2003372811,2003372811
280,5,15,2,4,2,5,6,0,112,171,155,0,0,53504,229888,1278224452,2487667556
281,5,16,2,6,4,5,6,0,112,173,155,0,0,62464,229888,1103378908,3668704984
282,5,17,1,2,1,5,6,0,146,171,155,0,0,208256,229888,604255326,604255326
283,5,18,2,4,2,5,6,0,117,173,155,0,0,71424,229888,2370067557,2469284838
284,5,19,1,2,1,5,6,0,146,173,155,0,0,217216,229888,1937949230,1937949230
285,5,20,1,2,1,5,5,0,146,146,155,0,0,229888,363008,2449350685,2449350685
286,5,21,3,6,3,3,6,0,70,167,155,0,0,97536,231424,2217648489,2655002770
287,5,22,3,10,9,4,6,0,90,169,155,0,0,97536,282112,551518052,4507209812
288,5,23,3,10,9,4,6,0,90,175,155,0,0,75136,231424,1703888366,3105713480
289,5,24,3,10,9,4,6,0,90,177,155,0,0,84096,231424,876430511,4237057944
290,5,25,2,3,1,5,6,0,146,167,155,0,0,229888,231424,571158663,571158663
291,5,26,3,10,9,4,6,0,90,169,155,0,0,97536,332800,1718814120,6377844918
292,5,27,3,14,18,4,6,0,90,183,155,0,0,75136,282112,444123534,4969771074
293,5,28,3,14,18,4,6,0,90,185,155,0,0,84096,282112,1528622597,6102191670
294,5,29,2,4,2,5,6,0,146,169,155,0,0,229888,282112,2156895990,2156895990
295,5,30,3,10,9,4,6,0,90,175,155,0,0,53504,230656,1194926236,3568004335
296,5,31,3,14,18,4,6,0,90,177,155,0,0,62464,230656,827603840,4731399762
297,5,32,2,4,2,5,6,0,146,175,155,0,0,208256,230656,802199183,802199183
298,5,33,3,10,9,4,6,0,90,177,155,0,0,71424,230656,2178529036,6083663790
299,5,34,2,4,2,5,6,0,146,177,155,0,0,217216,230656,1924424349,1989903044
300,5,35,2,4,2,5,6,0,146,167,155,0,0,229888,363776,2598047944,2598047944
301,5,36,3,6,3,3,5,0,97,168,155,0,0,148224,332800,3558292521,4458863484
302,5,37,3,10,9,4,6,0,112,183,155,0,0,75136,332800,2156566859,5894444348
303,5,38,3,10,9,4,6,0,117,185,155,0,0,84096,332800,3312803387,5035104482
304,5,39,2,3,1,4,5,0,146,168,155,0,0,229888,332800,4007671716,4007671716
305,5,40,3,10,9,4,6,0,112,183,155,0,0,53504,281344,767082366,4487110244
306,5,41,3,14,18,4,6,0,112,185,155,0,0,62464,281344,2016291919,5593333481
307,5,42,2,4,2,5,6,0,146,183,155,0,0,208256,281344,2601517418,2601517418
308,5,43,3,10,9,4,6,0,117,185,155,0,0,71424,281344,3512120321,4475508249
309,5,44,2,4,2,5,6,0,146,185,155,0,0,217216,281344,3746186124,3746186124
310,5,45,2,4,2,4,5,0,146,168,155,0,0,229888,414464,4459298379,4459298379
311,5,46,3,6,3,3,6,0,53,171,155,0,0,31872,229888,690532950,3086733409
