source_sector,raw_sector,perennial_id,perennial_payload_sha256,coordinate_fingerprint_id,coordinate_payload_sha256,block_dimension,matrix_unit_count,six_identity_trace_fingerprint_signed,canonical_character_row_sha256,matrix_unit_block_sha256,convention_status,burning_ship_trace_signature,public_zero_support_projector_sha256_memberships,public_zero_support_name_aliases
20,11,a985pf.605336b16161cbfacb8c7451,605336b16161cbfacb8c74513513d8521992ad33ee212b520d78a1716149a48e,a985coord.2710d2e520d3bd0dd8f76051,2710d2e520d3bd0dd8f7605119a86dec2e5524b993f0c511f334a150fc4fc184,2,4,"[-15625, 0, 0, 0, 238282, 0]",f2e2267771763c10bb90c113a5028e8cd1e8c6a6c9144707b2367ceb900befcb,294b6a97c6f2a4d6209b9681fc71dc820385defcc90dae917a854205f5159bba,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":8,""z4_a12_frame_clock"":0,""z4_a42_clock"":16}",,
21,33,a985pf.5e5bfcc366256ec7df15b71c,5e5bfcc366256ec7df15b71c146eb197aa431a5f3e17465d00d7e033c28d7665,a985coord.c40efde730c8f02557d7b8a1,c40efde730c8f02557d7b8a1efe13e1fd70b280923844b367bf8a8f2133f8773,2,4,"[492189, 0, 0, 0, 119141, 0]",4bcc02cc19e514b633a7ba8eea485858b562e93bb842d86dad2fe40f83c0b2da,3638946e82fc5cd3a74d304af8ea2a87b52c7e1a884c52f7db282d2ed3bca27f,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-8,""z4_a12_frame_clock"":-16,""z4_a42_clock"":-16}",,
22,36,a985pf.d12a943a54a67bb5ae120747,d12a943a54a67bb5ae120747a3c10d7d9d0e8f2b4024140d68b01a79da1930a7,a985coord.c9a14e2cdc62a74eda2c9824,c9a14e2cdc62a74eda2c98247bc1cb02215e80b4c0540c2c672e430ceedbbcb5,2,4,"[0, -31250, 0, -343751, 0, 0]",74aaed4ce0b6064d7255936e2d4ba66a45896dd128aa9bf7a8103bbfa18c6652,791ee191030cb6fa41da52790cc89683e945b951742c8d456e25d6108d49c0a1,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":1,""z4_a42_clock"":2}",,
23,0,a985pf.c4677130926379bf1a8493b8,c4677130926379bf1a8493b8b68ff5f91af5fa3e2755e9b6b4ff07c43bed2b21,a985coord.de3d5c5b143c8513fa5ac63c,de3d5c5b143c8513fa5ac63cf02db98e0cf92897ca8323bef4057ba95c7f5eaf,3,9,"[-223959, 0, 402779, -149306, 0, 0]",c0ea928178ba704165edb1ffd46ad28de2daa87af4516ab29783bba34779b213,37b6bc11a61ccbdac32a00cf282cec5448b328277d8d348743227ee7ff4831b2,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-4,""z4_a12_frame_clock"":-16,""z4_a42_clock"":-8}",,
24,1,a985pf.b0f0ffa7a70b464fb1c6be3b,b0f0ffa7a70b464fb1c6be3bb2220373202fccad7de4a7ed320890ed102d22ea,a985coord.110286a1a8b1f401969b938e,110286a1a8b1f401969b938ecd1ba2ce5219932b71d8fe01c2dc5ff6b95e30d9,1,1,"[0, 0, 0, -149306, 0, 0]",14fba00c2201dc7d2d2f35fecb6d35396bdc9c704aa167dabe5288eae12e6e9d,54a0c94d1936092a36dfb7aea72c78d69967e56068a9082f7b21713290be5286,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":1,""z4_a42_clock"":2}",,
25,30,a985pf.f5c4748a515dca877336eb56,f5c4748a515dca877336eb56599878d0f0e6c3ea1b9e3c2cbb9dec15c211e622,a985coord.679dfe35a3ec900ef94e3fee,679dfe35a3ec900ef94e3feea667ac8fe7b6e360067e00b7927efc35676f9e8e,1,1,"[0, 0, 0, 0, -208985, 0]",1976da2acd137a7e56920baed637a24c33880362bfc525c95244f8931fbae0b9,5f8093720537697cec4b1c1842978c6c747d25dee28f1376e6241c9fe3bc72b0,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":18,""z4_a12_frame_clock"":-18,""z4_a42_clock"":36}",4347b77e241ae25eecc970c7ccb5e394905153c85f970873ec9ab67375bc2741|c05138b75b4da1924b84fef9c3c15b34cfbba2410a2cefcd0697c8d17e5acdc6,Pi33_plus_pure_Sminus_doublet|pure_Sminus_doublet_25_26
26,29,a985pf.1c291d5534c311edc48123b2,1c291d5534c311edc48123b2aa16ef29f32b06bd0ca4055280cce369350546f6,a985coord.90b3dfdbbd10982f7e31ff7f,90b3dfdbbd10982f7e31ff7f709743860faed0e875380a6c5a3b28103934ca1d,1,1,"[0, 0, 0, 0, 373048, 0]",5fb757118d5c6f50b55228e3dd834983e2abe761fc59cfca2ec642ed7b8c4f00,a557afc9bc2ce0083ac178defdfba7b7290d64f8f8bd408a52b165b8c315d7cc,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":-6,""z4_a12_frame_clock"":6,""z4_a42_clock"":-12}",294a21eb1d82617df4c6b644ba51f94abeb4f0a83e8c4357f5247396c572cb4e|4347b77e241ae25eecc970c7ccb5e394905153c85f970873ec9ab67375bc2741|c05138b75b4da1924b84fef9c3c15b34cfbba2410a2cefcd0697c8d17e5acdc6|e24270e26e098e252a4ca1004d2bdee82c815c9dab25ab60227b8d23ad91e771,Pi33_plus_mixed_S_channel|Pi33_plus_pure_Sminus_doublet|mixed_S_channel_6_26|pure_Sminus_doublet_25_26
27,26,a985pf.4d384f591c3ef6e2b4c37add,4d384f591c3ef6e2b4c37add863c5741d984e90f413db7e1f4c2aeff530f3f74,a985coord.1f3040b2d4517d1b8d063314,1f3040b2d4517d1b8d06331406e213d02cda5708cc0f30c8d74d0f6de9c57622,4,16,"[164063, 328126, 0, 0, 373048, -417970]",4d7a02a11fd0945817875c5f68cb39a4738a15dcd7529fdeeae3b00b0e962fe2,b35ebb46f211285729225e8d6d81c5d9e0898a32940050e7204687f335b6e66e,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":20,""z4_a12_frame_clock"":-28,""z4_a42_clock"":40}",,
28,13,a985pf.e6c98083c5e5e5d4a1268f82,e6c98083c5e5e5d4a1268f82af2eca335693c0b7ba8db4599531b2a8718e7a0f,a985coord.39fc8e1c08d8e3cc19491039,39fc8e1c08d8e3cc19491039969c8cc6477a14eae1b70b53d19c8a636aef57cd,5,25,"[328126, 0, 208334, -343751, 0, 0]",27ae470430e12a671a78d911a4c6cfa750c1f829021f81d347f04e55217025ff,bfa02b03a1ab0ca74e15c95e49ee29274e95b959ed7c0934bb33ac416cfb5416,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-2,""z4_a12_frame_clock"":-14,""z4_a42_clock"":-4}",,
29,2,a985pf.40d225d7c9eb3b2b13df3c6f,40d225d7c9eb3b2b13df3c6ff264254cbccc5e54918de7b47acffb472b9150ed,a985coord.94156edfa9ed65e2bb412905,94156edfa9ed65e2bb412905ae02f176e4aa1b0509e454566b86b6f10da4366c,4,16,"[0, 0, 0, -343751, 238282, -15625]",d03890ab06a8a99331155037d67265cc89d09f8affb12a86ffd300da201cffbb,0eb7f82b50de58e3e3ef384140a8aa1105a4741b9078b7c856e70ffdbdc3874e,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-5,""z4_a12_frame_clock"":7,""z4_a42_clock"":-10}",,
30,8,a985pf.8b88ad6bf8b651568aa49e4c,8b88ad6bf8b651568aa49e4c35d798f6e93734e956353c72b03615420f494def,a985coord.b07fab0257d656caae29ff29,b07fab0257d656caae29ff29af8087b561004b2a215680c364bd4e54926e91d3,4,16,"[0, -343751, 208334, 0, 0, 328126]",1c608ccb864cb4129a2c506be0c7eaa8481a007fabb9f3621c2e25539ea47b58,c08afa758e3f4c93b5b27599cbce1dcb2f5d302c401172c136bb2195c08270e2,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-11,""z4_a12_frame_clock"":-3,""z4_a42_clock"":-22}",,
31,16,a985pf.8b1b2d04f1055c9f34ae3c5e,8b1b2d04f1055c9f34ae3c5ea9437b4cad4da2b07e823f119ca709dc3c206443,a985coord.7e6668dc8bd54a40c6c407dd,7e6668dc8bd54a40c6c407ddd8894226b54e6ce9c38f715af9a509b33a2a0ebf,10,100,"[-46875, -31250, 0, -343751, 476564, 476564]",eeec846d825b9b3ae84cd6c5bafc3883f4b20e08fdb5993120583c7d22432c0f,efb12b458281fcf521023608e5bd0ed5c9740e30492539f8e1ede9db192fbb4b,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-1,""z4_a12_frame_clock"":11,""z4_a42_clock"":-2}",,
32,4,a985pf.8cf60f8da9783cf93a08b3c3,8cf60f8da9783cf93a08b3c3213dcb7ba389e9658eadfe8dd5dcba696f720b95,a985coord.3b43e81d41920f044a201f66,3b43e81d41920f044a201f663d0495fd779575ff0750de4eb9ef5338e074a1e4,2,4,"[0, 0, 104167, 0, 0, -417970]",94c1b55edd522cda5c4620a5d07b7c8b5a967fb5941f06ccc77b84a47d0e0c84,e382022752a8c0db9fb91242e1255ace76b60d52dfe5383c1509ef865be3e261,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":5,""z4_a12_frame_clock"":13,""z4_a42_clock"":10}",,
33,19,a985pf.0f1476a5434aef02bb516590,0f1476a5434aef02bb5165909c127bbeef1beaac8e5ce142f771b46ae7002d31,a985coord.468ec3c4d550c16c63fa2f3d,468ec3c4d550c16c63fa2f3d6880d8653e139032dc3b8a7059275c8baa3c75e6,2,4,"[0, -31250, 0, 0, 0, 492189]",51194f3d10809fcc943affe2a6bea9b465d6eb0f7924b540ac81c87eaf2b65df,6d5a095e223b393cc8de9ec9b94e8876e02343f26cd8a084eb2c3d68c880be5b,EXTERNAL_REGISTERED_SUPPORT_CONVENTION,"{""z2_a12_parity"":0,""z4_a12_frame_clock"":0,""z4_a42_clock"":0}",294a21eb1d82617df4c6b644ba51f94abeb4f0a83e8c4357f5247396c572cb4e|4347b77e241ae25eecc970c7ccb5e394905153c85f970873ec9ab67375bc2741|a5f6a3e9b79171c175b2228b0a1fe3c117e8dac723001dbe1d669da3a165f80f,Pi33|Pi33_plus_mixed_S_channel|Pi33_plus_pure_Sminus_doublet
34,35,a985pf.dee5a3615e2ca5e9f7b6d662,dee5a3615e2ca5e9f7b6d66241e6351810b9e5577a659ec2789d3f46668656c6,a985coord.111958fabfcf6eb85501a38d,111958fabfcf6eb85501a38d24e1a63b005c14d0710539f127226aaab31df2ff,1,1,"[0, 0, 0, -223959, 0, 0]",eda9fb1493e25bc34d368bfea75a8d110a1129c4328df1441826a24f802eb8e9,a38167f3692c93aa42d89c0e44a06b6fbfbdae0784aee5d06c8750289956eaff,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":1,""z4_a42_clock"":2}",,
35,38,a985pf.59330ff9790063b5c0df1269,59330ff9790063b5c0df126991a20d82e0bb58a3184ff024bc92f32effd0c2bb,a985coord.096f8eab0a6fa737cbafb7ef,096f8eab0a6fa737cbafb7ef596492042dce456c1a1d82c036a6dc00c7c92298,9,81,"[-375001, 250001, 0, 208334, -31250, 312501]",5e0431d3774e4130edaa4b1759e7e65e09a55107105bd4bbad635be6175cf1c9,d99789898bf2f0d9fa4d522b024e2247a4fbd0f7758d5b12fa46606efff69c1d,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":9,""z4_a12_frame_clock"":9,""z4_a42_clock"":18}",,
36,10,a985pf.50182ed2eabe67fd6092e6f3,50182ed2eabe67fd6092e6f34f25a20845fba2ee114051e3ff99c065d18807a3,a985coord.f1b667b37ea59ec990928346,f1b667b37ea59ec9909283460ced7c78b5c49d6a8b059052bdb12401f9485657,12,144,"[-15625, -31250, -375001, -31250, 476564, -31250]",7e04fd78580263a30f6523d2f7024178776baf3978df8fba1961ea8c5a581635,1486384c4f59c76116422093cbe6839674e582195f86b3e79ff38b5efd17aeae,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-6,""z4_a12_frame_clock"":6,""z4_a42_clock"":-12}",,
37,15,a985pf.bad63dd92c0d7963a1477d0a,bad63dd92c0d7963a1477d0a6fa9547450eff9845c51d64c7243f299e8f45b3b,a985coord.0f1fc60c89c320f2adcd2858,0f1fc60c89c320f2adcd28581e7dc06e8e57bc71b4fc25613022c03744a8eb20,11,121,"[250001, 250001, 0, -166667, -62500, 250001]",1d8a656f0f7c2563b59f6d01c6cec1174ed39507b668a410a4f311bd202d8597,d40aad8afdddc1e2afac52e5bf0a1a176017649d6cf01f7177354b7a052f8fdb,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":6,""z4_a12_frame_clock"":14,""z4_a42_clock"":12}",,
38,34,a985pf.e8b35eb8f197f0e85e7f9a28,e8b35eb8f197f0e85e7f9a28572daef42885c066377936e973eb63655666f341,a985coord.5f77625dee5f3a1d4924aec2,5f77625dee5f3a1d4924aec241fd63f19ddf74127590e38d84d9e49db40d8e49,8,64,"[0, 0, -375001, -31250, 0, -31250]",45b67d07078a28a9e13092fce35da72fe2e4b5ea4123ef59289ed17850f076f5,2575413ab1e8a363cc8a543980cc08dd463ff6691aca052d5cf7ee6873c21b3e,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":4,""z4_a12_frame_clock"":4,""z4_a42_clock"":8}",,
