basis_id,component_id,active_owner_flag,owner_cell_count,raw_source_cell_count,raw_support_count,raw_coeff_sum,owner_target_addr,raw_target_min,raw_target_max,raw_target_min_minus_owner_target,raw_target_max_minus_owner_target,raw_support_mod_1000000007,raw_support_mod_1000000009,raw_coeff_mod_1000000007,raw_coeff_mod_1000000009
132,-1,0,1,1,3,6,335,335,346,0,11,3,3,6,6
133,-1,0,1,1,3,6,336,336,346,0,10,3,3,6,6
134,-1,0,43,43,188,465,349,349,433,0,84,188,188,465,465
135,-1,0,49,49,232,519,351,351,434,0,83,232,232,519,519
136,0,1,36,36,189,212,435,435,466,0,31,189,189,212,212
137,0,1,7,7,37,42,437,437,466,0,29,37,37,42,42
138,0,1,1,1,2,2,460,460,461,0,1,2,2,2,2
139,-1,0,74,74,275,396,467,467,530,0,63,275,275,396,396
140,-1,0,4,4,14,21,469,469,530,0,61,14,14,21,21
141,-1,0,21,21,64,85,472,472,528,0,56,64,64,85,85
142,-1,0,2,2,5,5,474,474,501,0,27,5,5,5,5
143,-1,0,1,1,2,3,516,516,519,0,3,2,2,3,3
144,-1,0,1,1,1,1,519,519,519,0,0,1,1,1,1
145,-1,0,1,1,1,1,523,523,523,0,0,1,1,1,1
146,2,1,3260,740,4088,7848,561,561,572,0,11,4088,4088,7848,7848
147,-1,0,10496,2432,18384,21504,581,581,612,0,31,18384,18384,21504,21504
148,2,1,121678,22130,201820,328600,531,531,700,0,169,201820,201820,328600,328600
149,2,1,3,3,7,18,562,562,571,0,9,7,7,18,18
150,-1,0,3,3,16,18,583,583,610,0,27,16,16,18,18
151,-1,0,17368,4264,29072,31944,657,657,700,0,43,29072,29072,31944,31944
152,2,1,1456,54,536,908,531,531,560,0,29,536,536,908,908
153,2,1,2,2,10,12,563,563,571,0,8,10,10,12,12
154,-1,0,1,1,4,6,584,584,609,0,25,4,4,6,6
155,-1,0,7392,1848,17672,32736,613,613,656,0,43,17672,17672,32736,32736
156,-1,0,103,103,706,790,657,657,700,0,43,706,706,790,790
157,2,1,1,1,1,6,566,566,566,0,0,1,1,6,6
158,2,1,3380,860,3984,6096,573,573,580,0,7,3984,3984,6096,6096
159,-1,0,310,310,2338,2790,581,581,612,0,31,2338,2338,2790,2790
160,-1,0,5,5,52,60,582,582,612,0,30,52,52,60,60
161,-1,0,1,1,6,6,592,592,612,0,20,6,6,6,6
162,-1,0,40,40,399,730,613,613,656,0,43,399,399,730,730
163,-1,0,2,2,18,32,614,614,654,0,40,18,18,32,32
164,-1,0,1,1,12,18,616,616,650,0,34,12,12,18,18
165,-1,0,90,90,703,747,657,657,700,0,43,703,703,747,747
166,-1,0,9,9,30,30,658,658,699,0,41,30,30,30,30
167,-1,0,2,2,9,9,661,661,690,0,29,9,9,9,9
168,-1,0,1,1,3,3,668,668,696,0,28,3,3,3,3
169,2,1,1454,52,295,600,531,531,560,0,29,295,295,600,600
170,2,1,22,22,177,292,532,532,559,0,27,177,177,292,292
171,2,1,133,133,745,1326,561,561,572,0,11,745,745,1326,1326
172,2,1,1,1,1,6,572,572,572,0,0,1,1,6,6
173,2,1,19,19,46,46,573,573,580,0,7,46,46,46,46
174,2,1,1,1,2,2,575,575,580,0,5,2,2,2,2
175,-1,0,53,53,156,156,581,581,612,0,31,156,156,156,156
176,-1,0,1,1,4,4,582,582,609,0,27,4,4,4,4
177,-1,0,6,6,20,20,583,583,611,0,28,20,20,20,20
178,-1,0,3,3,10,10,588,588,612,0,24,10,10,10,10
179,-1,0,1,1,2,2,605,605,607,0,2,2,2,2,2
180,-1,0,36,36,131,206,613,613,656,0,43,131,131,206,206
181,-1,0,3,3,11,24,614,614,646,0,32,11,11,24,24
182,-1,0,3,3,11,16,616,616,650,0,34,11,11,16,16
183,-1,0,3,3,10,30,618,618,655,0,37,10,10,30,30
184,-1,0,87,87,235,235,657,657,700,0,43,235,235,235,235
185,-1,0,3,3,8,8,661,661,698,0,37,8,8,8,8
186,-1,0,17,17,26,26,672,672,700,0,28,26,26,26,26
187,-1,0,16512,4992,22588,39360,773,773,836,0,63,22588,22588,39360,39360
188,-1,0,11836,3916,28404,31284,837,837,880,0,43,28404,28404,31284,31284
189,-1,0,27976,9256,42364,73944,881,881,984,0,103,42364,42364,73944,73944
190,2,1,197910,33208,332056,536608,701,701,984,0,283,332056,332056,536608,536608
191,-1,0,1,1,4,4,840,840,877,0,37,4,4,4,4
192,-1,0,13,13,46,68,775,775,835,0,60,46,46,68,68
193,-1,0,5440,1840,9924,14700,733,733,752,0,19,9924,9924,14700,14700
194,-1,0,1,1,4,5,777,777,822,0,45,4,4,5,5
195,-1,0,126,126,952,1024,837,837,880,0,43,952,952,1024,1024
196,-1,0,306,306,1405,2485,881,881,984,0,103,1405,1405,2485,2485
197,-1,0,2,2,4,4,793,793,822,0,29,4,4,4,4
198,-1,0,1197,1197,4691,8176,773,773,836,0,63,4691,4691,8176,8176
199,-1,0,5560,1960,6116,14940,753,753,772,0,19,6116,6116,14940,14940
200,-1,0,59,59,140,180,773,773,836,0,63,140,140,180,180
201,-1,0,9,9,27,30,702,702,732,0,30,27,27,30,30
202,-1,0,126,126,254,324,733,733,752,0,19,254,254,324,324
203,-1,0,15,15,38,105,753,753,772,0,19,38,38,105,105
204,-1,0,5,5,10,15,754,754,767,0,13,10,10,15,15
205,-1,0,7,7,24,36,774,774,828,0,54,24,24,36,36
206,-1,0,4,4,16,24,775,775,830,0,55,16,16,24,24
207,-1,0,38,38,114,114,838,838,878,0,40,114,114,114,114
208,-1,0,184,184,339,526,882,882,984,0,102,339,339,526,526
209,-1,0,2,2,9,9,704,704,732,0,28,9,9,9,9
210,-1,0,4,4,16,24,774,774,835,0,61,16,16,24,24
211,-1,0,342,342,1001,1034,837,837,880,0,43,1001,1001,1034,1034
212,-1,0,8784,372,1161,1302,701,701,732,0,31,1161,1161,1302,1302
213,-1,0,39,39,117,156,733,733,752,0,19,117,117,156,156
214,-1,0,25,25,63,90,735,735,752,0,17,63,63,90,90
215,-1,0,10,10,22,30,738,738,752,0,14,22,22,30,30
216,-1,0,42,42,80,168,759,759,772,0,13,80,80,168,168
217,-1,0,224,224,705,992,773,773,836,0,63,705,705,992,992
218,-1,0,15,15,48,66,780,780,836,0,56,48,48,66,66
219,-1,0,8,8,16,19,794,794,835,0,41,16,16,19,19
220,-1,0,14,14,46,52,839,839,880,0,41,46,46,52,52
221,-1,0,790,790,1753,2423,881,881,984,0,103,1753,1753,2423,2423
222,-1,0,42,42,90,129,882,882,984,0,102,90,90,129,129
223,-1,0,16,16,16,16,703,703,729,0,26,16,16,16,16
224,-1,0,3,3,5,5,707,707,732,0,25,5,5,5,5
225,-1,0,20,20,39,68,753,753,758,0,5,39,39,68,68
226,-1,0,4,4,4,4,774,774,817,0,43,4,4,4,4
227,-1,0,2,2,2,2,810,810,835,0,25,2,2,2,2
228,-1,0,2,2,4,4,838,838,879,0,41,4,4,4,4
229,-1,0,1430,28,38,42,701,701,732,0,31,38,38,42,42
230,-1,0,12,12,20,24,703,703,732,0,29,20,20,24,24
231,-1,0,3,3,6,6,707,707,732,0,25,6,6,6,6
232,-1,0,1,1,2,2,708,708,726,0,18,2,2,2,2
233,-1,0,2,2,4,4,715,715,729,0,14,4,4,4,4
234,-1,0,20,20,28,30,733,733,751,0,18,28,28,30,30
235,-1,0,6,6,8,9,734,734,745,0,11,8,8,9,9
236,-1,0,6,6,7,9,735,735,748,0,13,7,7,9,9
237,-1,0,4,4,5,6,737,737,750,0,13,5,5,6,6
238,-1,0,2,2,2,3,738,738,751,0,13,2,2,3,3
239,-1,0,2,2,2,3,752,752,752,0,0,2,2,3,3
240,-1,0,4,4,6,10,753,753,758,0,5,6,6,10,10
241,-1,0,6,6,9,12,754,754,758,0,4,9,9,12,12
242,-1,0,24,24,32,36,759,759,772,0,13,32,32,36,36
243,-1,0,4,4,6,6,761,761,772,0,11,6,6,6,6
244,-1,0,104,104,141,151,773,773,836,0,63,141,141,151,151
245,-1,0,10,10,19,21,776,776,836,0,60,19,19,21,21
246,-1,0,8,8,12,14,809,809,833,0,24,12,12,14,14
247,-1,0,1,1,2,4,813,813,821,0,8,2,2,4,4
248,-1,0,1,1,2,2,817,817,827,0,10,2,2,2,2
249,-1,0,87,87,172,172,837,837,880,0,43,172,172,172,172
250,-1,0,19,19,29,29,839,839,878,0,39,29,29,29,29
251,-1,0,2,2,3,3,840,840,862,0,22,3,3,3,3
252,-1,0,10,10,30,30,842,842,878,0,36,30,30,30,30
253,-1,0,19,19,33,42,845,845,880,0,35,33,33,42,42
254,-1,0,88,88,115,134,881,881,984,0,103,115,115,134,134
255,-1,0,4,4,5,6,883,883,925,0,42,5,5,6,6
256,-1,0,44,44,56,59,886,886,970,0,84,56,56,59,59
257,-1,0,20,20,24,29,888,888,982,0,94,24,24,29,29
258,-1,0,82,82,105,137,893,893,984,0,91,105,105,137,137
