fiber_row_id,sample_count,sum_value,component_fiber_path_count,raw_support_fiber_lift_digits,raw_support_fiber_lift_mod_1000000007,raw_support_fiber_lift_mod_1000000009,raw_coeff_fiber_lift_digits,raw_coeff_fiber_lift_mod_1000000007,raw_coeff_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,raw_support_lift_positive_flag,raw_coeff_lift_positive_flag,compressed_raw_quotient_flag
149,12,6,8074,65,928626150,499384124,67,823962969,788471546,1,0,1,1,1
150,12,7,16236,66,71947846,368688441,68,349381227,52074737,1,0,1,1,1
151,12,8,28314,67,615367941,22895716,69,717643619,373594068,1,0,1,1,1
152,12,9,43252,67,914422176,247811445,70,341970132,83098320,1,0,1,1,1
153,12,10,58278,68,6713130,36715190,70,999593824,182756703,1,0,1,1,1
154,12,11,69576,69,300009682,918228576,71,351968613,105937703,1,0,1,1,1
155,12,12,73789,69,51081634,790132796,72,800435581,437932139,1,0,1,1,1
156,12,13,69576,70,372339532,190445268,72,876504987,812607576,1,0,1,1,1
157,12,14,58278,70,29485618,178843188,73,936930897,782771219,1,0,1,1,1
158,12,15,43252,71,908330709,127581306,73,127505220,851142633,1,0,1,1,1
159,12,16,28314,71,680768661,724294672,74,690798613,896274373,1,0,1,1,1
160,12,17,16236,71,752842085,933776110,74,885054326,300364976,1,0,1,1,1
161,12,18,8074,72,457102430,750403496,75,761211006,237945154,1,0,1,1,1
162,12,19,3432,72,491774166,919297727,75,430661581,514594085,1,0,1,1,1
163,12,20,1221,72,52516561,545555012,75,103178627,168424067,1,0,1,1,1
164,12,21,352,72,35753229,949377561,75,253797696,544763805,1,0,1,1,1
165,12,22,78,72,223786809,764839087,75,244305551,527244146,1,0,1,1,1
166,12,23,12,72,714615889,101260340,75,477451899,334302077,1,0,1,1,1
167,12,24,1,72,441995098,820083905,75,604301596,114246728,1,0,1,1,1
168,13,0,1,63,50719913,271389469,65,74443666,548613521,1,0,1,1,1
169,13,1,13,64,331924165,747879526,67,893438295,944161308,1,0,1,1,1
170,13,2,91,66,65544402,986899892,68,711944023,103205512,1,0,1,1,1
171,13,3,442,67,177132270,639600925,69,519580237,853069188,1,0,1,1,1
172,13,4,1651,68,784054267,923658179,70,161438961,327744141,1,0,1,1,1
173,13,5,5005,69,161137626,856393373,71,399854352,668534239,1,0,1,1,1
174,13,6,12727,70,832216367,783903140,72,953166321,235155604,1,0,1,1,1
175,13,7,27742,71,44649265,510873859,73,900700879,783534892,1,0,1,1,1
176,13,8,52624,72,438041178,292535618,74,590598782,680971435,1,0,1,1,1
