strongification_witness_id,prefix_class_id,edit_cost,substitution_count,insertion_count,substitution_0_position,substitution_0_from_symbol_id,substitution_0_to_symbol_id,substitution_1_position,substitution_1_from_symbol_id,substitution_1_to_symbol_id,substitution_2_position,substitution_2_from_symbol_id,substitution_2_to_symbol_id,insertion_0_slot,insertion_0_symbol_id,insertion_1_slot,insertion_1_symbol_id,insertion_2_slot,insertion_2_symbol_id,strong_word_length,strong_word_symbol_0_id,strong_word_symbol_1_id,strong_word_symbol_2_id,strong_word_symbol_3_id,strong_word_symbol_4_id,strong_word_symbol_5_id,strong_word_symbol_6_id,strong_word_symbol_7_id,strong_word_symbol_8_id,strong_word_symbol_9_id,target_last_symbol_rank,first_node44_consumed_symbol_count,closed_path_count,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,best_score_flag
10,1,3,1,2,4,5,0,-1,-1,-1,-1,-1,-1,6,0,6,4,-1,-1,9,2,1,3,4,0,2,0,4,5,-1,8,9,4,10,48,42,27,31,16,13,2,13,19,44,-1,-1,7,66,2,231,0
11,1,3,1,2,4,5,0,-1,-1,-1,-1,-1,-1,6,1,6,4,-1,-1,9,2,1,3,4,0,2,1,4,5,-1,8,9,4,10,48,42,27,31,16,13,7,28,34,44,-1,-1,7,45,3,189,0
12,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,6,0,6,4,10,2,1,3,4,0,5,2,0,4,5,9,10,4,10,48,42,27,31,16,19,14,13,19,44,-1,-1,7,37,2,151,0
13,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,6,1,6,4,10,2,1,3,4,0,5,2,1,4,5,9,10,4,11,48,42,27,31,16,19,14,29,28,34,44,-1,8,37,4,145,0
14,1,3,1,2,4,5,1,-1,-1,-1,-1,-1,-1,6,0,6,4,-1,-1,9,2,1,3,4,1,2,0,4,5,-1,8,9,8,9,48,42,27,31,28,7,13,19,44,-1,-1,-1,6,45,4,189,0
15,1,3,1,2,4,5,1,-1,-1,-1,-1,-1,-1,6,1,6,4,-1,-1,9,2,1,3,4,1,2,1,4,5,-1,8,9,8,9,48,42,27,31,28,22,28,34,44,-1,-1,-1,6,65,2,229,0
16,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,6,0,6,4,10,2,1,3,4,1,5,2,0,4,5,9,10,8,10,48,42,27,31,34,29,14,13,19,44,-1,-1,7,37,3,151,0
17,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,6,1,6,4,10,2,1,3,4,1,5,2,1,4,5,9,10,8,9,48,42,27,31,34,29,28,34,44,-1,-1,-1,6,37,1,143,1
18,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,6,0,6,4,10,2,1,3,4,5,0,2,0,4,5,9,10,4,11,48,42,27,31,50,19,14,2,13,19,44,-1,8,66,2,249,0
19,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,6,1,6,4,10,2,1,3,4,5,0,2,1,4,5,9,10,4,11,48,42,27,31,50,19,14,7,28,34,44,-1,8,45,4,207,0
20,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,6,0,6,4,10,2,1,3,4,5,1,2,0,4,5,9,10,4,11,48,42,27,31,50,34,29,7,13,19,44,-1,8,45,4,215,0
21,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,6,1,6,4,10,2,1,3,4,5,1,2,1,4,5,9,10,4,11,48,42,27,31,50,34,29,22,28,34,44,-1,8,65,2,255,0
22,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,0,6,4,10,2,1,3,4,5,5,2,0,4,5,9,10,24,11,48,42,27,31,50,54,45,14,13,19,44,-1,8,49,4,167,0
23,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,1,6,4,10,2,1,3,4,5,5,2,1,4,5,9,10,24,11,48,42,27,31,50,54,45,29,28,34,44,-1,8,49,4,161,0
