signature_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask
763,5,119,3,146,524434
764,5,120,3,146,524434
765,5,121,3,146,524434
766,5,122,3,146,524434
767,5,123,3,146,524434
768,5,124,3,146,524434
769,5,125,3,146,524434
770,5,126,1,146,524416
771,5,127,1,146,524416
772,5,128,1,146,524416
773,5,129,1,146,524416
774,5,134,1,146,128
775,5,135,1,146,128
776,5,136,1,146,128
777,5,137,1,146,128
778,5,138,1,146,128
779,5,139,1,146,128
780,5,140,1,146,128
781,5,141,1,146,128
782,5,142,1,146,128
783,5,143,1,146,128
784,5,144,1,146,128
785,5,151,1,146,524416
786,5,152,1,146,524416
787,5,153,1,146,524416
788,5,154,1,146,524416
789,5,155,1,146,526464
790,5,156,1,146,526464
791,5,157,1,146,526464
792,5,158,1,146,526464
793,5,159,1,146,526464
794,5,160,1,146,526464
795,5,161,1,146,526464
796,5,162,1,146,526464
797,5,163,1,146,526464
798,5,164,1,146,526464
799,5,165,1,146,526464
800,5,166,1,146,526464
801,5,167,1,146,526464
802,5,168,1,146,526464
803,5,169,1,146,526464
804,5,170,1,146,526464
805,5,171,1,146,526464
806,5,172,1,146,526464
807,6,7,3,146,146
808,6,8,3,146,146
809,6,9,3,146,146
810,6,10,3,146,146
811,6,11,3,146,146
812,6,12,3,146,146
813,6,13,3,146,146
814,6,14,3,146,146
815,6,15,1,146,2
816,6,16,1,146,2
817,6,17,1,146,2
818,6,18,1,146,16
819,6,19,1,146,16
820,6,20,1,146,16
821,6,21,3,146,146
822,6,22,3,146,146
823,6,23,3,146,146
824,6,24,3,146,146
825,6,25,3,146,146
826,6,26,3,146,146
827,6,27,3,146,146
828,6,28,1,146,128
829,6,29,1,146,128
830,6,30,1,146,128
831,6,31,1,146,128
832,6,32,1,146,128
833,6,33,1,146,128
834,6,34,1,146,128
835,6,35,1,146,128
836,6,36,1,146,128
837,6,37,1,146,128
838,6,38,1,146,128
839,6,45,1,146,2
840,6,46,1,146,2
841,6,47,1,146,2
842,6,48,1,146,6146
843,6,49,1,146,6146
844,6,50,1,146,6146
845,6,51,1,146,6146
846,6,52,1,146,6146
847,6,53,1,146,6146
848,6,54,1,146,6146
849,6,55,1,146,6146
850,6,56,1,146,6146
851,6,57,1,146,6146
852,6,61,1,146,2
853,6,62,1,146,2
854,6,72,1,146,16
855,6,73,1,146,16
856,6,74,1,146,16
857,6,78,1,146,6160
858,6,79,1,146,6160
859,6,80,1,146,6160
860,6,81,1,146,6160
861,6,82,1,146,6160
862,6,83,1,146,6160
863,6,84,1,146,6160
864,6,85,1,146,16
865,6,86,1,146,16
866,6,87,1,146,16
867,6,88,1,146,16
868,6,93,3,146,146
869,6,94,3,146,146
870,6,95,3,146,146
871,6,96,3,146,146
872,6,97,3,146,146
873,6,98,3,146,146
874,6,99,3,146,146
875,6,100,1,146,2
876,6,101,1,146,2
877,6,102,1,146,16
878,6,103,1,146,16
879,6,104,1,146,16
880,6,105,1,146,16
881,6,106,3,146,524434
882,6,107,3,146,524434
883,6,108,3,146,524434
884,6,109,3,146,524434
885,6,110,3,146,524434
886,6,111,3,146,524434
887,6,112,3,146,524434
888,6,113,3,146,524434
889,6,114,3,146,524434
890,6,115,3,146,524434
891,6,116,3,146,524434
