source_sector,raw_sector,perennial_id,coordinate_fingerprint_id,block_dimension,matrix_unit_count,match_status,canonical_source_alias,canonical_address_alias,canonical_matrix_unit_family,native_source_domain
16,7,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a,3,9,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.16,a985.raw_sector.7,a985.raw_sector.7.matrix_units,"d20_atom:C(H6,3)"
17,31,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.17,a985.raw_sector.31,a985.raw_sector.31.matrix_units,"d20_atom:C(H6,3)"
18,20,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1,6,36,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.18,a985.raw_sector.20,a985.raw_sector.20.matrix_units,"d20_atom:C(H6,3)"
19,5,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.19,a985.raw_sector.5,a985.raw_sector.5.matrix_units,"d20_atom:C(H6,3)"
20,11,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.20,a985.raw_sector.11,a985.raw_sector.11.matrix_units,"d20_atom:C(H6,3)"
21,33,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.21,a985.raw_sector.33,a985.raw_sector.33.matrix_units,"d20_atom:C(H6,3)"
22,36,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.22,a985.raw_sector.36,a985.raw_sector.36.matrix_units,"d20_atom:C(H6,3)"
23,0,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c,3,9,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.23,a985.raw_sector.0,a985.raw_sector.0.matrix_units,"d20_atom:C(H6,3)"
24,1,a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.24,a985.raw_sector.1,a985.raw_sector.1.matrix_units,"d20_atom:C(H6,3)"
25,30,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.25,a985.raw_sector.30,a985.raw_sector.30.matrix_units,"d20_atom:C(H6,3)"
26,29,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.26,a985.raw_sector.29,a985.raw_sector.29.matrix_units,"d20_atom:C(H6,3)"
27,26,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.27,a985.raw_sector.26,a985.raw_sector.26.matrix_units,"d20_atom:C(H6,3)"
28,13,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039,5,25,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.28,a985.raw_sector.13,a985.raw_sector.13.matrix_units,"d20_atom:C(H6,3)"
29,2,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.29,a985.raw_sector.2,a985.raw_sector.2.matrix_units,"d20_atom:C(H6,3)"
30,8,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.30,a985.raw_sector.8,a985.raw_sector.8.matrix_units,"d20_atom:C(H6,3)"
31,16,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd,10,100,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.31,a985.raw_sector.16,a985.raw_sector.16.matrix_units,"d20_atom:C(H6,3)"
32,4,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.32,a985.raw_sector.4,a985.raw_sector.4.matrix_units,"d20_atom:C(H6,3)"
33,19,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.33,a985.raw_sector.19,a985.raw_sector.19.matrix_units,"d20_atom:C(H6,3)"
34,35,a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.34,a985.raw_sector.35,a985.raw_sector.35.matrix_units,"d20_atom:C(H6,3)"
35,38,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef,9,81,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.35,a985.raw_sector.38,a985.raw_sector.38.matrix_units,"d20_atom:C(H6,3)"
36,10,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346,12,144,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.36,a985.raw_sector.10,a985.raw_sector.10.matrix_units,"d20_atom:C(H6,3)"
37,15,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858,11,121,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.37,a985.raw_sector.15,a985.raw_sector.15.matrix_units,"d20_atom:C(H6,3)"
38,34,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2,8,64,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.38,a985.raw_sector.34,a985.raw_sector.34.matrix_units,"d20_atom:C(H6,3)"
