signature_vertex_id,signature_class_id,nodal_sign,stationary_mass_x1e12,second_eigenfunction_x1e12,carrier_mask_class_id,carrier_atom_mask,axis_coordinate_x1e12,signed_residual_coordinate_x1e12,low_axis_margin_x1e12,residual_gate_margin_x1e12,high_axis_margin_x1e12,elbow_region_code,elbow_prediction,elbow_matches_nodal,chart_order_rank
20,20,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,3
21,21,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,52
22,22,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,53
23,23,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,54
24,24,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,55
25,25,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,56
26,26,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,57
27,27,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,58
28,28,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,121
29,29,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,122
30,30,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,123
31,31,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,124
32,32,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,125
33,33,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,126
34,34,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,127
35,35,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,128
36,36,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,129
37,37,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,130
38,38,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,131
39,45,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,18
40,46,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,19
41,47,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,20
42,48,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,93
43,49,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,94
44,50,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,95
45,51,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,96
46,52,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,97
47,53,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,98
48,54,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,99
49,55,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,100
50,56,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,101
51,57,-1,8479604523,-894848865438,7,6146,25649971417,-184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,102
52,58,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,151
53,59,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,152
54,60,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,153
55,61,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,21
56,62,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,22
57,63,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,25
58,64,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,26
59,65,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,27
60,66,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,28
61,67,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,29
62,68,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,208
63,69,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,209
64,70,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,210
65,71,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,211
66,72,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,4
67,73,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,5
68,74,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,6
69,75,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,154
70,76,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,155
71,77,-1,4752767464,-1842927151914,6,6144,-63952303291,-102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,156
72,78,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,86
73,79,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,87
74,80,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,88
75,81,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,89
76,82,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,90
77,83,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,91
78,84,-1,8439115234,-860433468893,8,6160,43554955090,-162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,92
79,85,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,7
80,86,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,8
81,87,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,9
82,88,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,10
83,89,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,30
84,90,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,212
85,91,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,213
86,92,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,214
87,93,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,59
88,94,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,60
89,95,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,61
90,96,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,62
91,97,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,63
92,98,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,64
93,99,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,65
94,100,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,23
95,101,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,24
96,102,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,11
97,103,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,12
98,104,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,13
99,105,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,14
100,106,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,66
101,107,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,67
102,108,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,68
103,109,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,69
104,110,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,70
105,111,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,71
106,112,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,72
107,113,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,73
108,114,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,74
109,115,1,11783387736,687273682618,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,75
110,116,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,76
111,117,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,77
112,118,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,78
113,119,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,79
114,120,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,80
115,121,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,81
116,122,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,82
117,123,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,83
118,124,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,84
119,125,1,11783387734,687273682619,11,524434,95149700746,-18830038433,146693484425,131098646124,-83475497697,1,1,1,85
120,126,1,4476829990,484039536207,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,143
121,127,1,4476829989,484039536207,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,144
122,128,1,4476829989,484039536207,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,145
123,129,1,4476829989,484039536207,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,146
124,130,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,157
125,131,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,158
126,132,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,159
127,133,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,160
128,134,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,132
129,135,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,133
130,136,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,134
131,137,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,135
132,138,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,136
133,139,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,137
134,140,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,138
135,141,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,139
136,142,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,140
137,143,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,141
138,144,1,1393339061,1257836559845,2,128,-12365330579,213895608257,39178453100,363824292814,-190990529022,1,1,1,142
139,145,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,31
140,146,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,32
141,147,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,33
142,148,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,34
143,149,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,35
144,150,-1,333457905,-1156260779930,4,2048,155571000967,-172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,36
145,151,1,4476829989,484039536207,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,147
146,152,1,4476829988,484039536208,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,148
147,153,1,4476829988,484039536208,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,149
148,154,1,4476829988,484039536208,10,524416,-39135264067,275628482174,12408519612,425557166731,-217760462510,1,1,1,150
149,155,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,103
150,156,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,104
151,157,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,105
152,158,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,106
153,159,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,107
154,160,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,108
155,161,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,109
156,162,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,110
157,163,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,111
158,164,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,112
159,165,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,113
160,166,1,7226586087,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,114
161,167,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,115
162,168,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,116
163,169,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,117
164,170,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,118
165,171,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,119
166,172,1,7226586086,106312269429,12,526464,24534534025,125725908658,76078317704,275654593215,-154090664418,1,1,1,120
167,173,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,161
168,174,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,162
169,175,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,163
170,176,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,164
171,177,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,165
172,178,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,166
173,179,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,167
174,180,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,168
175,181,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,169
176,182,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,170
177,183,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,171
178,190,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,215
179,191,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,216
180,192,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,217
181,193,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,218
182,194,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,219
183,195,-1,2329219455,-2348940614478,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,220
184,196,-1,2329219455,-2348940614482,5,4096,-286337600727,-32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,221
185,197,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,172
186,198,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,173
187,199,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,174
188,200,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,175
189,201,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,176
190,202,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,177
191,203,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,178
192,204,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,179
193,205,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,180
194,206,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,181
195,207,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,182
196,208,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,183
197,209,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,184
198,210,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,185
199,211,-1,856982068,-293244641042,9,524288,-65261173255,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,186
200,212,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,187
201,213,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,188
202,214,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,189
203,215,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,190
204,216,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,191
205,217,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,192
206,218,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,193
207,219,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,194
208,220,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,195
209,221,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,196
210,222,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,197
211,223,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,198
212,224,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,199
213,225,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,200
214,226,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,201
215,227,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,202
216,228,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,203
217,229,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,204
218,230,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,205
219,231,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,206
220,232,-1,6627924089,-1232297671650,13,528384,-174786314178,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,207
