transcript_id,class_id,source_fingerprint,target_fingerprint,residual_class_code,product_preserved_flag,member_word_count,public_digest_sha256
43,43,7baf2cc47df761e5469d803a8488281d32ce82dea251113d34a2bff8ed4d8bd9,ad501ac10c5ccb687b9921e6f759dbb713dbbb74c9e73c609ed35d2957e1a658,46,0,1,a5dfeefb52406448c13863b2d5aa4b38db212e2f0386cd56e465e212353aeafa
44,44,0281192fc5742b244a703902165eecc7ad4095a35006cea399355e573aad38d1,0725dbefea35389b4c39a78a7e18e4057a6728f92e52402a280be4005468a682,53,0,2,a24be93135bd3db6968876b12858f77e5bacad67a60aa044d221b20db0965a25
45,45,1f5b23267fadec5f5caf726f5484b0e66e23806585c3b32c071dd8239ca36877,4b976ff6d949cca1d13a1b102c0922f72838df5ddd4e5ecd77d4bcdd8873c8e6,4,0,2,37c11a26d6d34f65a015e48ab9a5505d3cd251a37f905c8bbf1211b2971a1b0e
46,46,af4a3ee2e39afe57222bcdf71c6dc4f3c4aa1ddbca408637aabe5e8763d1eb8c,728056ef450ffb0fa0fa8abe39769e6a9dc1e5b8f723796ba30d9b207db98263,16,0,2,342274f59e73169cf4a710fca18b8242ff0efe9a1853398bdf43c919381d4c0a
47,47,3d0d38ded54eca7dc81254da703a44e129d5771df3787bdcdaef8a8bfe78afe4,0856f5f14c9680e67c9ebb0fd799ae82db28b6ffedb698473470fdc5ab2ccc75,14,0,1,18a5cb5a9339afb967d04749fe44c0801fc5de0db601716a9eff8543119417cd
48,48,e3f5a9845f0be01ee6f9ef3f40e7d266d51ba30267e49ddb923a65f199ab6b1d,0a355d00f50458dc1a719a1c46765319170916b54465043642e33bc01b00afc0,35,0,1,2bb4f7be8a59358e3673018091cd20b2b53a675c2195a92b62c6930159509de1
49,49,a59bee0a4f11f3a068fac0d4c2757475ee58be8a3381071a703a859694b06c7c,2373bb2b3e50d21335b68efee8c33e262b25788fe5c6a83c22fec3337fd75eb9,0,0,2,0b77ef74872053b995c12e0511b88c736485653a2c8d9ee0267878104e658ca6
50,50,4933b9a52c99bc182364712f7a823b71bbdc370ee198dc5b3dc95b561966b2a1,27c075b1a94508bf8aa64968d199a3a8e41d0986b3c56b13a77a83f56146bbbc,5,0,2,87f24cf5b38fe0d057fa896a94597c5f39fab3cdfb406adaec474b7b97f3f4b3
51,51,127c640b13ef05d0d5d201d991ca285dc1f6ed70383d19947a6a0e3853ba0f5e,e66d578dc818b359771d79dad4bd3a22a8f153127ffc35a56f3e1f48e59a7614,19,0,1,d130212a790177a2bff574f70de31b48eb6b8f9a51c22067b1df3e3901cd264a
52,52,95693bc423d13f216b4d422cc677258458b6e3dc845240f5848f19fc0d42e2f2,035f5c023eb453bc3b2221139a7bb7fd692ff6253f6a8924eccdff80f893844a,49,0,1,99fbb4697bb72534c288b42f891116635365bbd526c43a174c79b2a07242da02
53,53,d7d6c4a2bd67896b16264e11c03e0b582fd7465595c2bbed4eaf98b7ce2f9d21,91575f354515d62299b9ad39446a15b86562f9752975a5b6e97db2d410acaa9e,20,0,2,99b390b9144e91ff83e3083a369e775cebc3dc7ce488b733ac96112c2facb5f8
54,54,72e3a88dcda6dfb2fc3ebec3eb8313d66dd30ae29f5890e192e84d4e569373a4,8e9623b11472519b989f78b4c0a0f1aa67823c2a1c07017863891f749f59ab94,28,0,1,d57ba953f71412a408e2162cea7adc20c7c8b5fda4108e24aba795c9697e2f38
55,55,78713227542fabe640703d34bde9ce7babb50fb2481a9c729e72f1d0e6af7ed9,165d79ccddf8c4a9f42fc38a7acd34c64e86f398686ad9281776d49cad026667,39,0,1,440f64f2926670ba4ceb556abad804e0b67892561c756f5e361a86cc1714ca1c
