p25_id,p24_row_id,lift_id,face_id,label_mask,order_id,a,b,c,d,e,omitted_label,p24_delta,p0_support,p1_support,p2_support,p3_support,p4_support,p0_mult,p1_mult,p2_mult,p3_mult,p4_mult,support_min,support_max,support_spread,support_unique_count,support_equal_flag,mult_value,mult_spread,mult_unique_count,mult_equal_flag,eta6_preserved_flag
29,14,0,12,30,14,3,2,1,4,5,0,65088,122178560,79433728,111894208,48975872,72543744,905969664,905969664,905969664,905969664,905969664,48975872,122178560,73202688,5,0,905969664,0,1,1,1
30,15,0,12,30,15,3,2,4,1,0,5,223552,59316608,12358656,60710144,7202816,26552704,339738624,339738624,339738624,339738624,339738624,7202816,60710144,53507328,5,0,339738624,0,1,1,1
31,15,0,12,30,15,3,2,4,1,5,0,223552,177338880,37785600,202623488,27199488,124933632,905969664,905969664,905969664,905969664,905969664,27199488,202623488,175424000,5,0,905969664,0,1,1,1
32,16,0,12,30,16,3,4,1,2,0,5,65088,16758784,10621952,20485120,21835264,20896512,339738624,339738624,339738624,339738624,339738624,10621952,21835264,11213312,5,0,339738624,0,1,1,1
33,16,0,12,30,16,3,4,1,2,5,0,65088,47609856,31449088,117946368,86496256,134261760,905969664,905969664,905969664,905969664,905969664,31449088,134261760,102812672,5,0,905969664,0,1,1,1
34,17,0,12,30,17,3,4,2,1,0,5,-7744,18814464,20652160,10749952,20956160,22132736,339738624,339738624,339738624,339738624,339738624,10749952,22132736,11382784,5,0,339738624,0,1,1,1
35,17,0,12,30,17,3,4,2,1,5,0,-7744,57210880,61678080,41109504,70343168,113253888,905969664,905969664,905969664,905969664,905969664,41109504,113253888,72144384,5,0,905969664,0,1,1,1
36,18,0,12,30,18,4,1,2,3,0,5,-65088,35014144,53913536,15769600,25994368,14736064,477757440,477757440,477757440,477757440,477757440,14736064,53913536,39177472,5,0,477757440,0,1,1,1
37,18,0,12,30,18,4,1,2,3,5,0,-65088,79433728,122178560,48975872,111894208,72543744,700710912,700710912,700710912,700710912,700710912,48975872,122178560,73202688,5,0,700710912,0,1,1,1
38,19,0,12,30,19,4,1,3,2,0,5,223552,54423552,11501568,72930240,10876544,35334080,477757440,477757440,477757440,477757440,477757440,10876544,72930240,62053696,5,0,477757440,0,1,1,1
39,19,0,12,30,19,4,1,3,2,5,0,223552,142861824,30191616,184699392,46068736,164215040,700710912,700710912,700710912,700710912,700710912,30191616,184699392,154507776,5,0,700710912,0,1,1,1
40,20,0,12,30,20,4,2,1,3,0,5,7744,28551808,26273280,13787904,12013568,14462976,477757440,477757440,477757440,477757440,477757440,12013568,28551808,16538240,5,0,477757440,0,1,1,1
41,20,0,12,30,20,4,2,1,3,5,0,7744,64719616,59617280,58537728,36878336,86688768,700710912,700710912,700710912,700710912,700710912,36878336,86688768,49810432,5,0,700710912,0,1,1,1
42,21,0,12,30,21,4,2,3,1,0,5,223552,53185792,10895360,83452416,11673600,37431808,477757440,477757440,477757440,477757440,477757440,10895360,83452416,72557056,5,0,477757440,0,1,1,1
43,21,0,12,30,21,4,2,3,1,5,0,223552,120371456,24669184,225465856,38900736,133566464,700710912,700710912,700710912,700710912,700710912,24669184,225465856,200796672,5,0,700710912,0,1,1,1
44,22,0,12,30,22,4,3,1,2,0,5,7744,18935808,17448960,18329472,23690496,28798976,477757440,477757440,477757440,477757440,477757440,17448960,28798976,11350016,5,0,477757440,0,1,1,1
45,22,0,12,30,22,4,3,1,2,5,0,7744,49706496,45803520,79767552,59303936,149941248,700710912,700710912,700710912,700710912,700710912,45803520,149941248,104137728,5,0,700710912,0,1,1,1
46,23,0,12,30,23,4,3,2,1,0,5,-65088,22027008,34963840,23601152,54303744,31479808,477757440,477757440,477757440,477757440,477757440,22027008,54303744,32276736,5,0,477757440,0,1,1,1
47,23,0,12,30,23,4,3,2,1,5,0,-65088,49877248,79053568,79918080,149721600,103191552,700710912,700710912,700710912,700710912,700710912,49877248,149721600,99844352,5,0,700710912,0,1,1,1
48,24,1,22,45,0,0,2,3,5,1,4,284672,140534080,109178880,118609280,27199488,37785600,764411904,764411904,764411904,764411904,764411904,27199488,140534080,113334592,5,0,764411904,0,1,1,1
49,24,1,22,45,0,0,2,3,5,4,1,284672,507774400,394928640,463689216,213712896,346619904,1911029760,1911029760,1911029760,1911029760,1911029760,213712896,507774400,294061504,5,0,1911029760,0,1,1,1
50,25,1,22,45,1,0,2,5,3,1,4,1533440,209044480,47960576,166206208,15290368,38647808,764411904,764411904,764411904,764411904,764411904,15290368,209044480,193754112,5,0,764411904,0,1,1,1
51,25,1,22,45,1,0,2,5,3,4,1,1533440,770347008,178118656,722143232,137232384,377438208,1911029760,1911029760,1911029760,1911029760,1911029760,137232384,770347008,633114624,5,0,1911029760,0,1,1,1
52,26,1,22,45,2,0,3,2,5,1,4,-532224,97547136,155945216,23860224,130653184,39834880,764411904,764411904,764411904,764411904,764411904,23860224,155945216,132084992,5,0,764411904,0,1,1,1
53,26,1,22,45,2,0,3,2,5,4,1,-532224,352802944,563432192,180633600,518106624,401071104,1911029760,1911029760,1911029760,1911029760,1911029760,180633600,563432192,382798592,5,0,1911029760,0,1,1,1
54,27,1,22,45,3,0,3,5,2,1,4,1533440,89993216,20475904,105051264,35886592,89219328,764411904,764411904,764411904,764411904,764411904,20475904,105051264,84575360,5,0,764411904,0,1,1,1
55,27,1,22,45,3,0,3,5,2,4,1,1533440,401031168,90243072,620639744,206635008,568156672,1911029760,1911029760,1911029760,1911029760,1911029760,90243072,620639744,530396672,5,0,1911029760,0,1,1,1
56,28,1,22,45,4,0,5,2,3,1,4,-532224,93502976,149784576,29005824,118272256,33103872,764411904,764411904,764411904,764411904,764411904,29005824,149784576,120778752,5,0,764411904,0,1,1,1
57,28,1,22,45,4,0,5,2,3,4,1,-532224,346335232,551981056,261373952,522930176,404059648,1911029760,1911029760,1911029760,1911029760,1911029760,261373952,551981056,290607104,5,0,1911029760,0,1,1,1
58,29,1,22,45,5,0,5,3,2,1,4,284672,57331712,45182976,99177472,52164096,80592832,764411904,764411904,764411904,764411904,764411904,45182976,99177472,53994496,5,0,764411904,0,1,1,1
59,29,1,22,45,5,0,5,3,2,4,1,284672,252788736,201146368,561942528,324271616,526633472,1911029760,1911029760,1911029760,1911029760,1911029760,201146368,561942528,360796160,5,0,1911029760,0,1,1,1
60,30,1,22,45,6,2,0,3,5,1,4,-1533440,26451456,115344384,38574080,54817408,46310400,679477248,679477248,679477248,679477248,679477248,26451456,115344384,88892928,5,0,679477248,0,1,1,1
61,30,1,22,45,6,2,0,3,5,4,1,-1533440,97605632,409022464,158363648,357192448,325585920,1358954496,1358954496,1358954496,1358954496,1358954496,97605632,409022464,311416832,5,0,1358954496,0,1,1,1
62,31,1,22,45,7,2,0,5,3,1,4,-284672,33122304,43091968,81662976,52611072,41880960,679477248,679477248,679477248,679477248,679477248,33122304,81662976,48540672,5,0,679477248,0,1,1,1
63,31,1,22,45,7,2,0,5,3,4,1,-284672,136126464,170172416,377628672,350433280,327963648,1358954496,1358954496,1358954496,1358954496,1358954496,136126464,377628672,241502208,5,0,1358954496,0,1,1,1
64,32,1,22,45,8,2,3,0,5,1,4,-532224,51792384,82169856,23906496,120336384,42339936,679477248,679477248,679477248,679477248,679477248,23906496,120336384,96429888,5,0,679477248,0,1,1,1
65,32,1,22,45,8,2,3,0,5,4,1,-532224,183121920,302383104,157358720,514998272,367051008,1358954496,1358954496,1358954496,1358954496,1358954496,157358720,514998272,357639552,5,0,1358954496,0,1,1,1
66,33,1,22,45,9,2,3,5,0,1,4,-284672,45182976,57331712,52164096,99177472,80592832,679477248,679477248,679477248,679477248,679477248,45182976,99177472,53994496,5,0,679477248,0,1,1,1
67,33,1,22,45,9,2,3,5,0,4,1,-284672,201146368,252788736,324271616,561942528,526633472,1358954496,1358954496,1358954496,1358954496,1358954496,201146368,561942528,360796160,5,0,1358954496,0,1,1,1
68,34,1,22,45,10,2,5,0,3,1,4,-532224,30012416,47325184,35885056,120569856,43060032,679477248,679477248,679477248,679477248,679477248,30012416,120569856,90557440,5,0,679477248,0,1,1,1
69,34,1,22,45,10,2,5,0,3,4,1,-532224,118312960,194183168,244326400,560996352,396861440,1358954496,1358954496,1358954496,1358954496,1358954496,118312960,560996352,442683392,5,0,1358954496,0,1,1,1
70,35,1,22,45,11,2,5,3,0,1,4,-1533440,20475904,89993216,35886592,105051264,89219328,679477248,679477248,679477248,679477248,679477248,20475904,105051264,84575360,5,0,679477248,0,1,1,1
71,35,1,22,45,11,2,5,3,0,4,1,-1533440,90243072,401031168,206635008,620639744,568156672,1358954496,1358954496,1358954496,1358954496,1358954496,90243072,620639744,530396672,5,0,1358954496,0,1,1,1
72,36,1,22,45,12,3,0,2,5,1,4,-1533440,55330816,248600576,17347584,89165312,21832704,509607936,509607936,509607936,509607936,509607936,17347584,248600576,231252992,5,0,509607936,0,1,1,1
73,36,1,22,45,12,3,0,2,5,4,1,-1533440,157073408,706392064,121669632,502946816,250113024,1358954496,1358954496,1358954496,1358954496,1358954496,121669632,706392064,584722432,5,0,1358954496,0,1,1,1
74,37,1,22,45,13,3,0,5,2,1,4,532224,47325184,30012416,120569856,35885056,43060032,509607936,509607936,509607936,509607936,509607936,30012416,120569856,90557440,5,0,509607936,0,1,1,1
75,37,1,22,45,13,3,0,5,2,4,1,532224,194183168,118312960,560996352,244326400,396861440,1358954496,1358954496,1358954496,1358954496,1358954496,118312960,560996352,442683392,5,0,1358954496,0,1,1,1
76,38,1,22,45,14,3,2,0,5,1,4,284672,160523264,120266752,57557472,36586496,17649792,509607936,509607936,509607936,509607936,509607936,17649792,160523264,142873472,5,0,509607936,0,1,1,1
77,38,1,22,45,14,3,2,0,5,4,1,284672,456224768,342028288,326016128,266481664,232544000,1358954496,1358954496,1358954496,1358954496,1358954496,232544000,456224768,223680768,5,0,1358954496,0,1,1,1
78,39,1,22,45,15,3,2,5,0,1,4,532224,149784576,93502976,118272256,29005824,33103872,509607936,509607936,509607936,509607936,509607936,29005824,149784576,120778752,5,0,509607936,0,1,1,1
79,39,1,22,45,15,3,2,5,0,4,1,532224,551981056,346335232,522930176,261373952,404059648,1358954496,1358954496,1358954496,1358954496,1358954496,261373952,551981056,290607104,5,0,1358954496,0,1,1,1
80,40,1,22,45,16,3,5,0,2,1,4,284672,43091968,33122304,52611072,81662976,41880960,509607936,509607936,509607936,509607936,509607936,33122304,81662976,48540672,5,0,509607936,0,1,1,1
81,40,1,22,45,16,3,5,0,2,4,1,284672,170172416,136126464,350433280,377628672,327963648,1358954496,1358954496,1358954496,1358954496,1358954496,136126464,377628672,241502208,5,0,1358954496,0,1,1,1
82,41,1,22,45,17,3,5,2,0,1,4,-1533440,47960576,209044480,15290368,166206208,38647808,509607936,509607936,509607936,509607936,509607936,15290368,209044480,193754112,5,0,509607936,0,1,1,1
83,41,1,22,45,17,3,5,2,0,4,1,-1533440,178118656,770347008,137232384,722143232,377438208,1358954496,1358954496,1358954496,1358954496,1358954496,137232384,770347008,633114624,5,0,1358954496,0,1,1,1
84,42,1,22,45,18,5,0,2,3,1,4,-284672,120266752,160523264,36586496,57557472,17649792,637009920,637009920,637009920,637009920,637009920,17649792,160523264,142873472,5,0,637009920,0,1,1,1
85,42,1,22,45,18,5,0,2,3,4,1,-284672,342028288,456224768,266481664,326016128,232544000,1401421824,1401421824,1401421824,1401421824,1401421824,232544000,456224768,223680768,5,0,1401421824,0,1,1,1
86,43,1,22,45,19,5,0,3,2,1,4,532224,82169856,51792384,120336384,23906496,42339936,637009920,637009920,637009920,637009920,637009920,23906496,120336384,96429888,5,0,637009920,0,1,1,1
87,43,1,22,45,19,5,0,3,2,4,1,532224,302383104,183121920,514998272,157358720,367051008,1401421824,1401421824,1401421824,1401421824,1401421824,157358720,514998272,357639552,5,0,1401421824,0,1,1,1
88,44,1,22,45,20,5,2,0,3,1,4,1533440,248600576,55330816,89165312,17347584,21832704,637009920,637009920,637009920,637009920,637009920,17347584,248600576,231252992,5,0,637009920,0,1,1,1
89,44,1,22,45,20,5,2,0,3,4,1,1533440,706392064,157073408,502946816,121669632,250113024,1401421824,1401421824,1401421824,1401421824,1401421824,121669632,706392064,584722432,5,0,1401421824,0,1,1,1
90,45,1,22,45,21,5,2,3,0,1,4,532224,155945216,97547136,130653184,23860224,39834880,637009920,637009920,637009920,637009920,637009920,23860224,155945216,132084992,5,0,637009920,0,1,1,1
91,45,1,22,45,21,5,2,3,0,4,1,532224,563432192,352802944,518106624,180633600,401071104,1401421824,1401421824,1401421824,1401421824,1401421824,180633600,563432192,382798592,5,0,1401421824,0,1,1,1
92,46,1,22,45,22,5,3,0,2,1,4,1533440,115344384,26451456,54817408,38574080,46310400,637009920,637009920,637009920,637009920,637009920,26451456,115344384,88892928,5,0,637009920,0,1,1,1
93,46,1,22,45,22,5,3,0,2,4,1,1533440,409022464,97605632,357192448,158363648,325585920,1401421824,1401421824,1401421824,1401421824,1401421824,97605632,409022464,311416832,5,0,1401421824,0,1,1,1
94,47,1,22,45,23,5,3,2,0,1,4,-284672,109178880,140534080,27199488,118609280,37785600,637009920,637009920,637009920,637009920,637009920,27199488,140534080,113334592,5,0,637009920,0,1,1,1
95,47,1,22,45,23,5,3,2,0,4,1,-284672,394928640,507774400,213712896,463689216,346619904,1401421824,1401421824,1401421824,1401421824,1401421824,213712896,507774400,294061504,5,0,1401421824,0,1,1,1
96,48,2,26,51,0,0,1,4,5,2,3,44896,114610880,109244608,57431808,24839424,15740928,603979776,603979776,603979776,603979776,603979776,15740928,114610880,98869952,5,0,603979776,0,1,1,1
97,48,2,26,51,0,0,1,4,5,3,2,44896,513541440,489654336,462847232,405699008,452610048,1811939328,1811939328,1811939328,1811939328,1811939328,405699008,513541440,107842432,5,0,1811939328,0,1,1,1
98,49,2,26,51,1,0,1,5,4,2,3,451128,73897792,49068992,84405760,12841472,20908032,603979776,603979776,603979776,603979776,603979776,12841472,84405760,71564288,5,0,603979776,0,1,1,1
99,49,2,26,51,1,0,1,5,4,3,2,451128,466281408,303840320,654252288,292926208,543252992,1811939328,1811939328,1811939328,1811939328,1811939328,292926208,654252288,361326080,5,0,1811939328,0,1,1,1
100,50,2,26,51,2,0,4,1,5,2,3,-775140,76374240,167832768,18774144,86839296,19906560,603979776,603979776,603979776,603979776,603979776,18774144,167832768,149058624,5,0,603979776,0,1,1,1
101,50,2,26,51,2,0,4,1,5,3,2,-775140,342448480,751957056,289200640,680952064,597085440,1811939328,1811939328,1811939328,1811939328,1811939328,289200640,751957056,462756416,5,0,1811939328,0,1,1,1
102,51,2,26,51,3,0,4,5,1,2,3,451128,40974816,27518368,86120064,27838464,44605440,603979776,603979776,603979776,603979776,603979776,27518368,86120064,58601696,5,0,603979776,0,1,1,1
103,51,2,26,51,3,0,4,5,1,3,2,451128,298821360,199883744,831683456,405088384,757837568,1811939328,1811939328,1811939328,1811939328,1811939328,199883744,831683456,631799712,5,0,1811939328,0,1,1,1
104,52,2,26,51,4,0,5,1,4,2,3,-775140,34212032,76237440,9192192,86889984,19654656,603979776,603979776,603979776,603979776,603979776,9192192,86889984,77697792,5,0,603979776,0,1,1,1
105,52,2,26,51,4,0,5,1,4,3,2,-775140,211459872,481143040,208398720,672354304,577781760,1811939328,1811939328,1811939328,1811939328,1811939328,208398720,672354304,463955584,5,0,1811939328,0,1,1,1
106,53,2,26,51,5,0,5,4,1,2,3,44896,28785184,27528896,29744000,52508928,34084864,603979776,603979776,603979776,603979776,603979776,27528896,52508928,24980032,5,0,603979776,0,1,1,1
107,53,2,26,51,5,0,5,4,1,3,2,44896,208727840,200663760,440108224,547321856,617193472,1811939328,1811939328,1811939328,1811939328,1811939328,200663760,617193472,416529712,5,0,1811939328,0,1,1,1
108,54,2,26,51,6,1,0,4,5,2,3,-451128,52937760,78523008,32272128,67193600,34578432,603979776,603979776,603979776,603979776,603979776,32272128,78523008,46250880,5,0,603979776,0,1,1,1
109,54,2,26,51,6,1,0,4,5,3,2,-451128,373870784,556883840,405769728,699313984,636222976,1811939328,1811939328,1811939328,1811939328,1811939328,373870784,699313984,325443200,5,0,1811939328,0,1,1,1
110,55,2,26,51,7,1,0,5,4,2,3,-44896,27712512,28870464,40113408,30147840,34910208,603979776,603979776,603979776,603979776,603979776,27712512,40113408,12400896,5,0,603979776,0,1,1,1
111,55,2,26,51,7,1,0,5,4,3,2,-44896,267389568,278663040,490817280,447345152,628748288,1811939328,1811939328,1811939328,1811939328,1811939328,267389568,628748288,361358720,5,0,1811939328,0,1,1,1
112,56,2,26,51,8,1,4,0,5,2,3,-775140,36884400,81113568,30860032,51682048,33431552,603979776,603979776,603979776,603979776,603979776,30860032,81113568,50253536,5,0,603979776,0,1,1,1
113,56,2,26,51,8,1,4,0,5,3,2,-775140,261517344,573644992,328399616,630937088,673885184,1811939328,1811939328,1811939328,1811939328,1811939328,261517344,673885184,412367840,5,0,1811939328,0,1,1,1
114,57,2,26,51,9,1,4,5,0,2,3,-44896,27528896,28785184,52508928,29744000,34084864,603979776,603979776,603979776,603979776,603979776,27528896,52508928,24980032,5,0,603979776,0,1,1,1
115,57,2,26,51,9,1,4,5,0,3,2,-44896,200663760,208727840,547321856,440108224,617193472,1811939328,1811939328,1811939328,1811939328,1811939328,200663760,617193472,416529712,5,0,1811939328,0,1,1,1
116,58,2,26,51,10,1,5,0,4,2,3,-775140,19237472,42522624,20172288,67663488,43954176,603979776,603979776,603979776,603979776,603979776,19237472,67663488,48426016,5,0,603979776,0,1,1,1
117,58,2,26,51,10,1,5,0,4,3,2,-775140,185709952,410459264,292928256,765022720,814667776,1811939328,1811939328,1811939328,1811939328,1811939328,185709952,814667776,628957824,5,0,1811939328,0,1,1,1
118,59,2,26,51,11,1,5,4,0,2,3,-451128,27518368,40974816,27838464,86120064,44605440,603979776,603979776,603979776,603979776,603979776,27518368,86120064,58601696,5,0,603979776,0,1,1,1
119,59,2,26,51,11,1,5,4,0,3,2,-451128,199883744,298821360,405088384,831683456,757837568,1811939328,1811939328,1811939328,1811939328,1811939328,199883744,831683456,631799712,5,0,1811939328,0,1,1,1
120,60,2,26,51,12,4,0,1,5,2,3,-451128,86453888,128400768,18798336,82791424,20127744,452984832,452984832,452984832,452984832,452984832,18798336,128400768,109602432,5,0,452984832,0,1,1,1
121,60,2,26,51,12,4,0,1,5,3,2,-451128,450446080,669432832,387089920,713246720,603996160,1811939328,1811939328,1811939328,1811939328,1811939328,387089920,713246720,326156800,5,0,1811939328,0,1,1,1
122,61,2,26,51,13,4,0,5,1,2,3,775140,42522624,19237472,67663488,20172288,43954176,452984832,452984832,452984832,452984832,452984832,19237472,67663488,48426016,5,0,452984832,0,1,1,1
123,61,2,26,51,13,4,0,5,1,3,2,775140,410459264,185709952,765022720,292928256,814667776,1811939328,1811939328,1811939328,1811939328,1811939328,185709952,814667776,628957824,5,0,1811939328,0,1,1,1
124,62,2,26,51,14,4,1,0,5,2,3,44896,90446080,86449664,56224256,17853696,15089664,452984832,452984832,452984832,452984832,452984832,15089664,90446080,75356416,5,0,452984832,0,1,1,1
125,62,2,26,51,14,4,1,0,5,3,2,44896,471526912,450388992,498214912,386602240,488132608,1811939328,1811939328,1811939328,1811939328,1811939328,386602240,498214912,111612672,5,0,1811939328,0,1,1,1
126,63,2,26,51,15,4,1,5,0,2,3,775140,76237440,34212032,86889984,9192192,19654656,452984832,452984832,452984832,452984832,452984832,9192192,86889984,77697792,5,0,452984832,0,1,1,1
127,63,2,26,51,15,4,1,5,0,3,2,775140,481143040,211459872,672354304,208398720,577781760,1811939328,1811939328,1811939328,1811939328,1811939328,208398720,672354304,463955584,5,0,1811939328,0,1,1,1
128,64,2,26,51,16,4,5,0,1,2,3,44896,28870464,27712512,30147840,40113408,34910208,452984832,452984832,452984832,452984832,452984832,27712512,40113408,12400896,5,0,452984832,0,1,1,1
129,64,2,26,51,16,4,5,0,1,3,2,44896,278663040,267389568,447345152,490817280,628748288,1811939328,1811939328,1811939328,1811939328,1811939328,267389568,628748288,361358720,5,0,1811939328,0,1,1,1
130,65,2,26,51,17,4,5,1,0,2,3,-451128,49068992,73897792,12841472,84405760,20908032,452984832,452984832,452984832,452984832,452984832,12841472,84405760,71564288,5,0,452984832,0,1,1,1
131,65,2,26,51,17,4,5,1,0,3,2,-451128,303840320,466281408,292926208,654252288,543252992,1811939328,1811939328,1811939328,1811939328,1811939328,292926208,654252288,361326080,5,0,1811939328,0,1,1,1
132,66,2,26,51,18,5,0,1,4,2,3,-44896,86449664,90446080,17853696,56224256,15089664,754974720,754974720,754974720,754974720,754974720,15089664,90446080,75356416,5,0,754974720,0,1,1,1
133,66,2,26,51,18,5,0,1,4,3,2,-44896,450388992,471526912,386602240,498214912,488132608,2415919104,2415919104,2415919104,2415919104,2415919104,386602240,498214912,111612672,5,0,2415919104,0,1,1,1
134,67,2,26,51,19,5,0,4,1,2,3,775140,81113568,36884400,51682048,30860032,33431552,754974720,754974720,754974720,754974720,754974720,30860032,81113568,50253536,5,0,754974720,0,1,1,1
135,67,2,26,51,19,5,0,4,1,3,2,775140,573644992,261517344,630937088,328399616,673885184,2415919104,2415919104,2415919104,2415919104,2415919104,261517344,673885184,412367840,5,0,2415919104,0,1,1,1
136,68,2,26,51,20,5,1,0,4,2,3,451128,128400768,86453888,82791424,18798336,20127744,754974720,754974720,754974720,754974720,754974720,18798336,128400768,109602432,5,0,754974720,0,1,1,1
137,68,2,26,51,20,5,1,0,4,3,2,451128,669432832,450446080,713246720,387089920,603996160,2415919104,2415919104,2415919104,2415919104,2415919104,387089920,713246720,326156800,5,0,2415919104,0,1,1,1
138,69,2,26,51,21,5,1,4,0,2,3,775140,167832768,76374240,86839296,18774144,19906560,754974720,754974720,754974720,754974720,754974720,18774144,167832768,149058624,5,0,754974720,0,1,1,1
