shell,start_id,success,ratio,F,grad_norm,max_hessian_eigenvalue,min_hessian_eigenvalue,cv_exp_z,message
12,39,True,1.0,0.0,2.9520112792242877e-09,4.884981308350689e-15,-0.7391304382284786,8.152510191901294e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,40,True,0.02484472049688704,-3.695110003864869,2.505735410236707e-07,5.744397955763171e-16,-2.0000003049438178,0.9999997632559376,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,41,True,0.024844720496866562,-3.695110003865693,6.646672913668542e-07,9.796140386841393e-17,-2.0000005142260258,0.9999993859548124,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,42,True,0.024844720496886335,-3.6951100038648974,2.050694126932002e-07,2.61556262052237e-16,-2.00000019238889,0.999999865734085,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,43,True,0.024844720496802305,-3.6951100038682796,8.633760330893553e-07,1.357608780663203e-16,-2.000000813252937,0.9999990110731406,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,44,True,0.024844720496856678,-3.695110003866091,6.859102610714197e-07,2.14720165826519e-16,-2.000000600186754,0.9999994042100965,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,45,True,0.02484472049688704,-3.695110003864869,7.06058244468745e-07,2.298707972774704e-16,-2.0000006772791377,0.999999777496763,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,46,True,0.024844720496884923,-3.6951100038649543,1.3889395448014483e-07,3.979231046875487e-16,-2.000000184461137,0.9999998411744933,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,47,True,0.024844720496887747,-3.6951100038648406,2.151852431032411e-07,2.364857694674246e-16,-2.000000174364407,0.9999997501375003,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,48,True,0.9999999999999989,-1.1102230246251565e-15,3.6149389364245036e-11,1.0700424921128437e-14,-0.739130434874212,9.98451355994047e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,49,True,0.9999999999999998,-2.220446049250313e-16,3.614928325635394e-11,1.8207657603852567e-14,-0.7391304348742115,9.984410696613016e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,50,True,0.9999999999999991,-8.881784197001252e-16,3.615144249915032e-11,-7.438494264988549e-15,-0.7391304348742155,9.984776496117895e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,51,True,1.0000000000000004,4.440892098500626e-16,3.6154228154195226e-11,-9.103828801926284e-15,-0.7391304348742125,9.984510303568856e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,52,True,1.000000000000001,1.1102230246251565e-15,3.6152638386942744e-11,-1.3766765505351941e-14,-0.7391304348742059,9.983623581369474e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,53,True,1.0000000000000007,6.661338147750939e-16,3.614865953130326e-11,2.0095036745715333e-14,-0.7391304348742108,9.984353527960634e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,54,True,1.0000000000000004,4.440892098500626e-16,3.614920525928087e-11,1.9259184392928373e-14,-0.7391304348742145,9.984680117175405e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,55,True,1.0,0.0,3.614898090228083e-11,2.653433028854124e-14,-0.7391304348742147,9.984711143169393e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,56,True,0.9999999999999996,-4.440892098500626e-16,3.615058489392548e-11,1.7319479184152442e-14,-0.7391304348742136,9.98468829445106e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,57,True,1.0000000000000009,8.881784197001252e-16,3.614857008118941e-11,2.731148640577885e-14,-0.7391304348742125,9.984446614152775e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,58,True,1.0000000000000009,8.881784197001252e-16,3.615144495644289e-11,1.3211653993039363e-14,-0.7391304348742137,9.984573985649915e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,59,True,1.0000000000000002,2.220446049250313e-16,3.614921702302178e-11,2.1538326677728037e-14,-0.7391304348742146,9.984738907462883e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,60,True,1.0000000000000009,8.881784197001252e-16,3.6151322079761375e-11,1.021405182655144e-14,-0.7391304348742127,9.984489077641821e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,61,True,0.9999999999999991,-8.881784197001252e-16,3.615169996664742e-11,-3.6637359812630166e-15,-0.7391304348742129,9.984541317559358e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,62,True,0.9999999999999996,-4.440892098500626e-16,3.615090641613531e-11,-1.3877787807814457e-14,-0.7391304348742039,9.983532149097064e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,63,True,0.9999999999999993,-6.661338147750939e-16,3.6150920799884583e-11,-1.7208456881689926e-14,-0.7391304348742035,9.98361051741377e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,64,True,1.0,0.0,3.615244483938076e-11,-1.63202784619898e-14,-0.7391304348742049,9.983657874227003e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,65,True,1.0000000000000009,8.881784197001252e-16,3.615359549047192e-11,-2.2648549702353193e-14,-0.7391304348742058,9.983648071835466e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,66,True,1.0000000000000004,4.440892098500626e-16,3.6154122572238275e-11,-2.5424107263916085e-14,-0.7391304348742058,9.983646451396761e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,67,True,0.9999999999999996,-4.440892098500626e-16,3.6154011625966694e-11,-2.786659791809143e-14,-0.7391304348742064,9.983690531643901e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,68,True,1.0000000000000013,1.3322676295501878e-15,3.615413659869413e-11,-2.3647750424515834e-14,-0.739130434874206,9.983618673891798e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,69,True,1.0000000000000013,1.3322676295501878e-15,3.615415305029108e-11,-2.3425705819590803e-14,-0.7391304348742077,9.98379994567795e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,70,True,0.9999999999999991,-8.881784197001252e-16,3.615250697271099e-11,-6.361577931102147e-14,-0.7391304348742016,9.983213881138202e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,71,True,1.0000000000000009,8.881784197001252e-16,3.614944185600257e-11,2.731148640577885e-14,-0.7391304348742138,9.984560919399599e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,72,True,1.0000000000000007,7.437954599122029e-16,2.6393435991893895e-09,8.326672684688674e-15,-0.7391304414700217,7.289023600407134e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,73,True,1.0000000000000016,1.4986048057084676e-15,2.7359708247951934e-12,7.18956686719674e-14,-0.7391304347876175,7.551889585334872e-13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,74,True,1.0000000000000007,5.696973253657075e-16,2.688887418534148e-08,5.986877660291157e-14,-0.7391304403960259,7.425845991557087e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,75,True,1.0000000000000007,6.619315484593939e-16,1.6786410591167913e-14,6.694644838489694e-14,-0.7391304347826124,2.4085059668795468e-15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,76,True,1.0000000000000007,5.614251768908178e-16,1.8597312713320045e-14,8.959499808725013e-14,-0.7391304347826124,8.018751840318327e-16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,77,True,1.0000000000000007,6.912598447449748e-16,2.682278409107707e-10,2.6447318206994723e-15,-0.7391304349920493,7.407568609033445e-11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,78,True,1.0000000000000004,5.51926880197545e-16,9.205821101814799e-14,-2.55351295663786e-15,-0.7391304347826617,2.5636046928676675e-14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,79,True,0.9999999999999992,-7.606681508739215e-16,4.831599609776598e-10,-3.1086244689504383e-15,-0.7391304350559701,1.3343342232059194e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,80,True,1.000000000000001,1.1013743625927665e-15,1.0094938889324848e-12,4.773959005888173e-15,-0.7391304347828614,2.7890314101169335e-13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,81,True,0.6454616420751885,-0.43778949404716627,1.9136457962370377e-14,9.470202400052585e-14,-0.7826086956521741,0.20851441405707483,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,0,True,0.9999999999999999,-1.6653345369377348e-16,3.9360918804881805e-10,-8.881784197001252e-16,-1.1014492759355485,7.294498644085068e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,1,True,1.0000000000000002,2.220446049250313e-16,7.2645559059569874e-09,-1.9984014443252818e-15,-1.1014492847555102,1.3462910703881796e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,2,True,0.9999999999999998,-2.498001805406602e-16,4.775738402333794e-10,3.2726841821305366e-290,-1.1014492756477245,8.850551726498491e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,3,True,1.0000000000000002,2.498001805406602e-16,4.317558914621807e-12,-2.4424906541753444e-15,-1.1014492753654375,8.001718165017118e-13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,4,True,0.9999999999999998,-1.942890293094024e-16,2.432005661859936e-09,3.1449962787255298e-214,-1.1014492759782553,4.5070721043884725e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,5,True,0.9999999999999997,-3.3306690738754696e-16,5.392676418968054e-11,-4.6629367034256575e-15,-1.101449275385004,9.993924189909564e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,6,True,1.0,-5.551115123125783e-17,4.779868610697598e-10,-4.884981308350689e-15,-1.1014492758082564,8.858203421885177e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,7,True,1.0000000000000002,1.3877787807814457e-16,1.9449613115703997e-08,6.439293542825908e-15,-1.1014493066395732,3.604465220970876e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,8,True,0.9999999999999993,-7.216449660063518e-16,3.774447598448073e-09,-6.217248937900877e-15,-1.1014492794104804,6.994928498543203e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,9,True,1.0000000000000009,8.881784197001252e-16,2.0039606514817223e-11,2.220446049250313e-16,-1.1014492753914882,3.713808637156712e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,10,True,0.9999999999999991,-8.881784197001252e-16,9.889655039894154e-09,-3.3306690738754696e-15,-1.101449280782923,1.8327829648974493e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,11,True,0.9999999999999989,-1.1102230246251565e-15,3.39736618934543e-10,-1.021405182655144e-14,-1.1014492757571068,6.296108183838943e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,12,True,1.0000000000000007,6.38378239159465e-16,5.554872303327105e-09,1.1546319456101628e-14,-1.1014492820868471,1.0294469617984448e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,13,True,1.0000000000000002,2.1510571102112408e-16,6.095029294494505e-10,-3.1086244689504383e-15,-1.1014492763220014,1.129550084341716e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,14,True,0.9999999999999998,-2.220446049250313e-16,4.408994928014984e-10,-7.993605777301127e-15,-1.1014492759992545,8.17088243573125e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,15,True,0.9999999999999992,-7.771561172376096e-16,5.809438549968158e-10,-1.176836406102666e-14,-1.1014492764876807,1.0766240721008815e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,16,True,0.9999999999999999,-1.1102230246251565e-16,5.181976760676021e-09,5.10702591327572e-15,-1.1014492818564818,9.603407303391945e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,17,True,1.0000000000000004,4.440892098500626e-16,3.453984683247557e-08,3.774758283725532e-15,-1.1014493082632735,6.401036174978619e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,18,True,1.0000000000000004,4.440892098500626e-16,3.106509666960793e-09,1.1102230246251565e-15,-1.101449278036685,5.75708444268186e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,19,True,1.0000000000000004,4.440892098500626e-16,8.867802315160858e-09,1.5543122344752192e-15,-1.1014492807016456,1.6434098327152864e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,20,True,1.0,0.0,1.0594735097196964e-08,2.4424906541753444e-15,-1.1014492977974049,1.963450618144799e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
