concat_id,left_word_id,right_word_id,left_symbol_id,right_symbol_id,rule_id,canonical_pair_id,canonical_left_symbol_id,canonical_right_symbol_id,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum
58,1,22,1,4,10,9,1,4,5,121,17856,52608
59,1,23,1,5,11,10,1,5,5,147,136896,198400
60,1,24,1,0,6,1,0,1,4,90,25968,65280
61,1,25,1,1,7,6,1,1,3,70,21888,66048
62,1,26,1,2,8,7,1,2,4,118,66432,116736
63,1,27,1,3,9,8,1,3,5,116,13056,43648
64,1,28,1,4,10,9,1,4,5,121,17856,52608
65,1,29,1,5,11,10,1,5,5,147,136896,198400
66,1,30,1,0,6,1,0,1,4,90,25968,65280
67,1,31,1,1,7,6,1,1,3,70,21888,66048
68,1,32,1,2,8,7,1,2,4,118,66432,116736
69,1,33,1,3,9,8,1,3,5,116,13056,43648
70,1,34,1,4,10,9,1,4,5,121,17856,52608
71,1,35,1,5,11,10,1,5,5,147,136896,198400
72,2,0,2,0,12,2,0,2,4,117,70512,115968
73,2,1,2,1,13,7,1,2,4,118,66432,116736
74,2,2,2,2,14,11,2,2,3,97,110976,167424
75,2,3,2,3,15,12,2,3,5,132,57600,94336
76,2,4,2,4,16,13,2,4,6,155,62400,103296
77,2,5,2,5,17,14,2,5,4,148,181440,249088
78,2,6,2,0,12,2,0,2,4,117,70512,115968
79,2,7,2,1,13,7,1,2,4,118,66432,116736
80,2,8,2,2,14,11,2,2,3,97,110976,167424
81,2,9,2,3,15,12,2,3,5,132,57600,94336
82,2,10,2,4,16,13,2,4,6,155,62400,103296
83,2,11,2,5,17,14,2,5,4,148,181440,249088
84,2,12,2,0,12,2,0,2,4,117,70512,115968
85,2,13,2,1,13,7,1,2,4,118,66432,116736
86,2,14,2,2,14,11,2,2,3,97,110976,167424
87,2,15,2,3,15,12,2,3,5,132,57600,94336
88,2,16,2,4,16,13,2,4,6,155,62400,103296
89,2,17,2,5,17,14,2,5,4,148,181440,249088
90,2,18,2,0,12,2,0,2,4,117,70512,115968
91,2,19,2,1,13,7,1,2,4,118,66432,116736
92,2,20,2,2,14,11,2,2,3,97,110976,167424
93,2,21,2,3,15,12,2,3,5,132,57600,94336
94,2,22,2,4,16,13,2,4,6,155,62400,103296
95,2,23,2,5,17,14,2,5,4,148,181440,249088
96,2,24,2,0,12,2,0,2,4,117,70512,115968
97,2,25,2,1,13,7,1,2,4,118,66432,116736
98,2,26,2,2,14,11,2,2,3,97,110976,167424
99,2,27,2,3,15,12,2,3,5,132,57600,94336
100,2,28,2,4,16,13,2,4,6,155,62400,103296
101,2,29,2,5,17,14,2,5,4,148,181440,249088
102,2,30,2,0,12,2,0,2,4,117,70512,115968
103,2,31,2,1,13,7,1,2,4,118,66432,116736
104,2,32,2,2,14,11,2,2,3,97,110976,167424
105,2,33,2,3,15,12,2,3,5,132,57600,94336
106,2,34,2,4,16,13,2,4,6,155,62400,103296
107,2,35,2,5,17,14,2,5,4,148,181440,249088
108,3,0,3,0,18,3,0,3,5,112,17136,42880
109,3,1,3,1,19,8,1,3,5,116,13056,43648
110,3,2,3,2,20,12,2,3,5,132,57600,94336
111,3,3,3,3,21,15,3,3,3,53,4224,21248
112,3,4,3,4,22,16,3,4,4,88,9024,30208
113,3,5,3,5,23,17,3,5,5,132,128064,176000
114,3,6,3,0,18,3,0,3,5,112,17136,42880
115,3,7,3,1,19,8,1,3,5,116,13056,43648
116,3,8,3,2,20,12,2,3,5,132,57600,94336
117,3,9,3,3,21,15,3,3,3,53,4224,21248
118,3,10,3,4,22,16,3,4,4,88,9024,30208
119,3,11,3,5,23,17,3,5,5,132,128064,176000
120,3,12,3,0,18,3,0,3,5,112,17136,42880
121,3,13,3,1,19,8,1,3,5,116,13056,43648
122,3,14,3,2,20,12,2,3,5,132,57600,94336
123,3,15,3,3,21,15,3,3,3,53,4224,21248
124,3,16,3,4,22,16,3,4,4,88,9024,30208
125,3,17,3,5,23,17,3,5,5,132,128064,176000
126,3,18,3,0,18,3,0,3,5,112,17136,42880
127,3,19,3,1,19,8,1,3,5,116,13056,43648
128,3,20,3,2,20,12,2,3,5,132,57600,94336
129,3,21,3,3,21,15,3,3,3,53,4224,21248
130,3,22,3,4,22,16,3,4,4,88,9024,30208
131,3,23,3,5,23,17,3,5,5,132,128064,176000
132,3,24,3,0,18,3,0,3,5,112,17136,42880
133,3,25,3,1,19,8,1,3,5,116,13056,43648
134,3,26,3,2,20,12,2,3,5,132,57600,94336
135,3,27,3,3,21,15,3,3,3,53,4224,21248
136,3,28,3,4,22,16,3,4,4,88,9024,30208
137,3,29,3,5,23,17,3,5,5,132,128064,176000
138,3,30,3,0,18,3,0,3,5,112,17136,42880
139,3,31,3,1,19,8,1,3,5,116,13056,43648
140,3,32,3,2,20,12,2,3,5,132,57600,94336
141,3,33,3,3,21,15,3,3,3,53,4224,21248
142,3,34,3,4,22,16,3,4,4,88,9024,30208
143,3,35,3,5,23,17,3,5,5,132,128064,176000
144,4,0,4,0,24,4,0,4,5,117,21936,51840
145,4,1,4,1,25,9,1,4,5,121,17856,52608
146,4,2,4,2,26,13,2,4,6,155,62400,103296
147,4,3,4,3,27,16,3,4,4,88,9024,30208
148,4,4,4,4,28,18,4,4,3,58,13824,39168
149,4,5,4,5,29,19,4,5,5,134,132864,184960
150,4,6,4,0,24,4,0,4,5,117,21936,51840
151,4,7,4,1,25,9,1,4,5,121,17856,52608
152,4,8,4,2,26,13,2,4,6,155,62400,103296
153,4,9,4,3,27,16,3,4,4,88,9024,30208
154,4,10,4,4,28,18,4,4,3,58,13824,39168
155,4,11,4,5,29,19,4,5,5,134,132864,184960
156,4,12,4,0,24,4,0,4,5,117,21936,51840
157,4,13,4,1,25,9,1,4,5,121,17856,52608
158,4,14,4,2,26,13,2,4,6,155,62400,103296
159,4,15,4,3,27,16,3,4,4,88,9024,30208
160,4,16,4,4,28,18,4,4,3,58,13824,39168
161,4,17,4,5,29,19,4,5,5,134,132864,184960
162,4,18,4,0,24,4,0,4,5,117,21936,51840
163,4,19,4,1,25,9,1,4,5,121,17856,52608
164,4,20,4,2,26,13,2,4,6,155,62400,103296
165,4,21,4,3,27,16,3,4,4,88,9024,30208
166,4,22,4,4,28,18,4,4,3,58,13824,39168
167,4,23,4,5,29,19,4,5,5,134,132864,184960
168,4,24,4,0,24,4,0,4,5,117,21936,51840
169,4,25,4,1,25,9,1,4,5,121,17856,52608
170,4,26,4,2,26,13,2,4,6,155,62400,103296
171,4,27,4,3,27,16,3,4,4,88,9024,30208
172,4,28,4,4,28,18,4,4,3,58,13824,39168
173,4,29,4,5,29,19,4,5,5,134,132864,184960
174,4,30,4,0,24,4,0,4,5,117,21936,51840
175,4,31,4,1,25,9,1,4,5,121,17856,52608
176,4,32,4,2,26,13,2,4,6,155,62400,103296
177,4,33,4,3,27,16,3,4,4,88,9024,30208
178,4,34,4,4,28,18,4,4,3,58,13824,39168
179,4,35,4,5,29,19,4,5,5,134,132864,184960
180,5,0,5,0,30,5,0,5,5,146,140976,197632
181,5,1,5,1,31,10,1,5,5,147,136896,198400
182,5,2,5,2,32,14,2,5,4,148,181440,249088
183,5,3,5,3,33,17,3,5,5,132,128064,176000
184,5,4,5,4,34,19,4,5,5,134,132864,184960
185,5,5,5,5,35,20,5,5,3,97,251904,330752
186,5,6,5,0,30,5,0,5,5,146,140976,197632
187,5,7,5,1,31,10,1,5,5,147,136896,198400
188,5,8,5,2,32,14,2,5,4,148,181440,249088
189,5,9,5,3,33,17,3,5,5,132,128064,176000
190,5,10,5,4,34,19,4,5,5,134,132864,184960
191,5,11,5,5,35,20,5,5,3,97,251904,330752
192,5,12,5,0,30,5,0,5,5,146,140976,197632
193,5,13,5,1,31,10,1,5,5,147,136896,198400
194,5,14,5,2,32,14,2,5,4,148,181440,249088
195,5,15,5,3,33,17,3,5,5,132,128064,176000
196,5,16,5,4,34,19,4,5,5,134,132864,184960
197,5,17,5,5,35,20,5,5,3,97,251904,330752
198,5,18,5,0,30,5,0,5,5,146,140976,197632
199,5,19,5,1,31,10,1,5,5,147,136896,198400
200,5,20,5,2,32,14,2,5,4,148,181440,249088
201,5,21,5,3,33,17,3,5,5,132,128064,176000
202,5,22,5,4,34,19,4,5,5,134,132864,184960
203,5,23,5,5,35,20,5,5,3,97,251904,330752
204,5,24,5,0,30,5,0,5,5,146,140976,197632
205,5,25,5,1,31,10,1,5,5,147,136896,198400
206,5,26,5,2,32,14,2,5,4,148,181440,249088
207,5,27,5,3,33,17,3,5,5,132,128064,176000
208,5,28,5,4,34,19,4,5,5,134,132864,184960
209,5,29,5,5,35,20,5,5,3,97,251904,330752
210,5,30,5,0,30,5,0,5,5,146,140976,197632
211,5,31,5,1,31,10,1,5,5,147,136896,198400
212,5,32,5,2,32,14,2,5,4,148,181440,249088
213,5,33,5,3,33,17,3,5,5,132,128064,176000
214,5,34,5,4,34,19,4,5,5,134,132864,184960
215,5,35,5,5,35,20,5,5,3,97,251904,330752
216,6,0,0,0,0,0,0,0,3,69,30048,64512
217,6,1,0,1,1,1,0,1,4,90,25968,65280
218,6,2,0,2,2,2,0,2,4,117,70512,115968
219,6,3,0,3,3,3,0,3,5,112,17136,42880
220,6,4,0,4,4,4,0,4,5,117,21936,51840
221,6,5,0,5,5,5,0,5,5,146,140976,197632
222,6,6,0,0,0,0,0,0,3,69,30048,64512
223,6,7,0,1,1,1,0,1,4,90,25968,65280
224,6,8,0,2,2,2,0,2,4,117,70512,115968
225,6,9,0,3,3,3,0,3,5,112,17136,42880
226,6,10,0,4,4,4,0,4,5,117,21936,51840
227,6,11,0,5,5,5,0,5,5,146,140976,197632
228,6,12,0,0,0,0,0,0,3,69,30048,64512
229,6,13,0,1,1,1,0,1,4,90,25968,65280
230,6,14,0,2,2,2,0,2,4,117,70512,115968
231,6,15,0,3,3,3,0,3,5,112,17136,42880
232,6,16,0,4,4,4,0,4,5,117,21936,51840
233,6,17,0,5,5,5,0,5,5,146,140976,197632
234,6,18,0,0,0,0,0,0,3,69,30048,64512
235,6,19,0,1,1,1,0,1,4,90,25968,65280
236,6,20,0,2,2,2,0,2,4,117,70512,115968
237,6,21,0,3,3,3,0,3,5,112,17136,42880
238,6,22,0,4,4,4,0,4,5,117,21936,51840
239,6,23,0,5,5,5,0,5,5,146,140976,197632
240,6,24,0,0,0,0,0,0,3,69,30048,64512
241,6,25,0,1,1,1,0,1,4,90,25968,65280
242,6,26,0,2,2,2,0,2,4,117,70512,115968
243,6,27,0,3,3,3,0,3,5,112,17136,42880
244,6,28,0,4,4,4,0,4,5,117,21936,51840
245,6,29,0,5,5,5,0,5,5,146,140976,197632
246,6,30,0,0,0,0,0,0,3,69,30048,64512
247,6,31,0,1,1,1,0,1,4,90,25968,65280
248,6,32,0,2,2,2,0,2,4,117,70512,115968
249,6,33,0,3,3,3,0,3,5,112,17136,42880
250,6,34,0,4,4,4,0,4,5,117,21936,51840
251,6,35,0,5,5,5,0,5,5,146,140976,197632
252,7,0,1,0,6,1,0,1,4,90,25968,65280
253,7,1,1,1,7,6,1,1,3,70,21888,66048
254,7,2,1,2,8,7,1,2,4,118,66432,116736
255,7,3,1,3,9,8,1,3,5,116,13056,43648
256,7,4,1,4,10,9,1,4,5,121,17856,52608
257,7,5,1,5,11,10,1,5,5,147,136896,198400
258,7,6,1,0,6,1,0,1,4,90,25968,65280
259,7,7,1,1,7,6,1,1,3,70,21888,66048
260,7,8,1,2,8,7,1,2,4,118,66432,116736
261,7,9,1,3,9,8,1,3,5,116,13056,43648
262,7,10,1,4,10,9,1,4,5,121,17856,52608
263,7,11,1,5,11,10,1,5,5,147,136896,198400
264,7,12,1,0,6,1,0,1,4,90,25968,65280
265,7,13,1,1,7,6,1,1,3,70,21888,66048
266,7,14,1,2,8,7,1,2,4,118,66432,116736
267,7,15,1,3,9,8,1,3,5,116,13056,43648
268,7,16,1,4,10,9,1,4,5,121,17856,52608
269,7,17,1,5,11,10,1,5,5,147,136896,198400
270,7,18,1,0,6,1,0,1,4,90,25968,65280
271,7,19,1,1,7,6,1,1,3,70,21888,66048
272,7,20,1,2,8,7,1,2,4,118,66432,116736
273,7,21,1,3,9,8,1,3,5,116,13056,43648
274,7,22,1,4,10,9,1,4,5,121,17856,52608
275,7,23,1,5,11,10,1,5,5,147,136896,198400
276,7,24,1,0,6,1,0,1,4,90,25968,65280
277,7,25,1,1,7,6,1,1,3,70,21888,66048
278,7,26,1,2,8,7,1,2,4,118,66432,116736
279,7,27,1,3,9,8,1,3,5,116,13056,43648
280,7,28,1,4,10,9,1,4,5,121,17856,52608
281,7,29,1,5,11,10,1,5,5,147,136896,198400
282,7,30,1,0,6,1,0,1,4,90,25968,65280
283,7,31,1,1,7,6,1,1,3,70,21888,66048
284,7,32,1,2,8,7,1,2,4,118,66432,116736
285,7,33,1,3,9,8,1,3,5,116,13056,43648
286,7,34,1,4,10,9,1,4,5,121,17856,52608
287,7,35,1,5,11,10,1,5,5,147,136896,198400
288,8,0,2,0,12,2,0,2,4,117,70512,115968
289,8,1,2,1,13,7,1,2,4,118,66432,116736
290,8,2,2,2,14,11,2,2,3,97,110976,167424
291,8,3,2,3,15,12,2,3,5,132,57600,94336
292,8,4,2,4,16,13,2,4,6,155,62400,103296
293,8,5,2,5,17,14,2,5,4,148,181440,249088
294,8,6,2,0,12,2,0,2,4,117,70512,115968
295,8,7,2,1,13,7,1,2,4,118,66432,116736
296,8,8,2,2,14,11,2,2,3,97,110976,167424
297,8,9,2,3,15,12,2,3,5,132,57600,94336
298,8,10,2,4,16,13,2,4,6,155,62400,103296
299,8,11,2,5,17,14,2,5,4,148,181440,249088
300,8,12,2,0,12,2,0,2,4,117,70512,115968
301,8,13,2,1,13,7,1,2,4,118,66432,116736
302,8,14,2,2,14,11,2,2,3,97,110976,167424
303,8,15,2,3,15,12,2,3,5,132,57600,94336
304,8,16,2,4,16,13,2,4,6,155,62400,103296
305,8,17,2,5,17,14,2,5,4,148,181440,249088
306,8,18,2,0,12,2,0,2,4,117,70512,115968
307,8,19,2,1,13,7,1,2,4,118,66432,116736
308,8,20,2,2,14,11,2,2,3,97,110976,167424
309,8,21,2,3,15,12,2,3,5,132,57600,94336
310,8,22,2,4,16,13,2,4,6,155,62400,103296
311,8,23,2,5,17,14,2,5,4,148,181440,249088
312,8,24,2,0,12,2,0,2,4,117,70512,115968
313,8,25,2,1,13,7,1,2,4,118,66432,116736
314,8,26,2,2,14,11,2,2,3,97,110976,167424
315,8,27,2,3,15,12,2,3,5,132,57600,94336
316,8,28,2,4,16,13,2,4,6,155,62400,103296
317,8,29,2,5,17,14,2,5,4,148,181440,249088
318,8,30,2,0,12,2,0,2,4,117,70512,115968
319,8,31,2,1,13,7,1,2,4,118,66432,116736
320,8,32,2,2,14,11,2,2,3,97,110976,167424
321,8,33,2,3,15,12,2,3,5,132,57600,94336
322,8,34,2,4,16,13,2,4,6,155,62400,103296
323,8,35,2,5,17,14,2,5,4,148,181440,249088
324,9,0,3,0,18,3,0,3,5,112,17136,42880
325,9,1,3,1,19,8,1,3,5,116,13056,43648
326,9,2,3,2,20,12,2,3,5,132,57600,94336
327,9,3,3,3,21,15,3,3,3,53,4224,21248
328,9,4,3,4,22,16,3,4,4,88,9024,30208
329,9,5,3,5,23,17,3,5,5,132,128064,176000
330,9,6,3,0,18,3,0,3,5,112,17136,42880
331,9,7,3,1,19,8,1,3,5,116,13056,43648
332,9,8,3,2,20,12,2,3,5,132,57600,94336
333,9,9,3,3,21,15,3,3,3,53,4224,21248
334,9,10,3,4,22,16,3,4,4,88,9024,30208
335,9,11,3,5,23,17,3,5,5,132,128064,176000
336,9,12,3,0,18,3,0,3,5,112,17136,42880
337,9,13,3,1,19,8,1,3,5,116,13056,43648
338,9,14,3,2,20,12,2,3,5,132,57600,94336
339,9,15,3,3,21,15,3,3,3,53,4224,21248
340,9,16,3,4,22,16,3,4,4,88,9024,30208
341,9,17,3,5,23,17,3,5,5,132,128064,176000
342,9,18,3,0,18,3,0,3,5,112,17136,42880
343,9,19,3,1,19,8,1,3,5,116,13056,43648
344,9,20,3,2,20,12,2,3,5,132,57600,94336
345,9,21,3,3,21,15,3,3,3,53,4224,21248
346,9,22,3,4,22,16,3,4,4,88,9024,30208
347,9,23,3,5,23,17,3,5,5,132,128064,176000
348,9,24,3,0,18,3,0,3,5,112,17136,42880
349,9,25,3,1,19,8,1,3,5,116,13056,43648
350,9,26,3,2,20,12,2,3,5,132,57600,94336
351,9,27,3,3,21,15,3,3,3,53,4224,21248
352,9,28,3,4,22,16,3,4,4,88,9024,30208
353,9,29,3,5,23,17,3,5,5,132,128064,176000
354,9,30,3,0,18,3,0,3,5,112,17136,42880
355,9,31,3,1,19,8,1,3,5,116,13056,43648
356,9,32,3,2,20,12,2,3,5,132,57600,94336
357,9,33,3,3,21,15,3,3,3,53,4224,21248
358,9,34,3,4,22,16,3,4,4,88,9024,30208
359,9,35,3,5,23,17,3,5,5,132,128064,176000
360,10,0,4,0,24,4,0,4,5,117,21936,51840
361,10,1,4,1,25,9,1,4,5,121,17856,52608
362,10,2,4,2,26,13,2,4,6,155,62400,103296
363,10,3,4,3,27,16,3,4,4,88,9024,30208
364,10,4,4,4,28,18,4,4,3,58,13824,39168
365,10,5,4,5,29,19,4,5,5,134,132864,184960
366,10,6,4,0,24,4,0,4,5,117,21936,51840
367,10,7,4,1,25,9,1,4,5,121,17856,52608
368,10,8,4,2,26,13,2,4,6,155,62400,103296
369,10,9,4,3,27,16,3,4,4,88,9024,30208
370,10,10,4,4,28,18,4,4,3,58,13824,39168
371,10,11,4,5,29,19,4,5,5,134,132864,184960
372,10,12,4,0,24,4,0,4,5,117,21936,51840
373,10,13,4,1,25,9,1,4,5,121,17856,52608
374,10,14,4,2,26,13,2,4,6,155,62400,103296
375,10,15,4,3,27,16,3,4,4,88,9024,30208
376,10,16,4,4,28,18,4,4,3,58,13824,39168
377,10,17,4,5,29,19,4,5,5,134,132864,184960
378,10,18,4,0,24,4,0,4,5,117,21936,51840
379,10,19,4,1,25,9,1,4,5,121,17856,52608
380,10,20,4,2,26,13,2,4,6,155,62400,103296
381,10,21,4,3,27,16,3,4,4,88,9024,30208
382,10,22,4,4,28,18,4,4,3,58,13824,39168
383,10,23,4,5,29,19,4,5,5,134,132864,184960
384,10,24,4,0,24,4,0,4,5,117,21936,51840
385,10,25,4,1,25,9,1,4,5,121,17856,52608
386,10,26,4,2,26,13,2,4,6,155,62400,103296
387,10,27,4,3,27,16,3,4,4,88,9024,30208
388,10,28,4,4,28,18,4,4,3,58,13824,39168
389,10,29,4,5,29,19,4,5,5,134,132864,184960
390,10,30,4,0,24,4,0,4,5,117,21936,51840
391,10,31,4,1,25,9,1,4,5,121,17856,52608
392,10,32,4,2,26,13,2,4,6,155,62400,103296
393,10,33,4,3,27,16,3,4,4,88,9024,30208
394,10,34,4,4,28,18,4,4,3,58,13824,39168
395,10,35,4,5,29,19,4,5,5,134,132864,184960
396,11,0,5,0,30,5,0,5,5,146,140976,197632
397,11,1,5,1,31,10,1,5,5,147,136896,198400
398,11,2,5,2,32,14,2,5,4,148,181440,249088
399,11,3,5,3,33,17,3,5,5,132,128064,176000
400,11,4,5,4,34,19,4,5,5,134,132864,184960
401,11,5,5,5,35,20,5,5,3,97,251904,330752
402,11,6,5,0,30,5,0,5,5,146,140976,197632
403,11,7,5,1,31,10,1,5,5,147,136896,198400
404,11,8,5,2,32,14,2,5,4,148,181440,249088
405,11,9,5,3,33,17,3,5,5,132,128064,176000
406,11,10,5,4,34,19,4,5,5,134,132864,184960
407,11,11,5,5,35,20,5,5,3,97,251904,330752
408,11,12,5,0,30,5,0,5,5,146,140976,197632
409,11,13,5,1,31,10,1,5,5,147,136896,198400
410,11,14,5,2,32,14,2,5,4,148,181440,249088
411,11,15,5,3,33,17,3,5,5,132,128064,176000
412,11,16,5,4,34,19,4,5,5,134,132864,184960
413,11,17,5,5,35,20,5,5,3,97,251904,330752
414,11,18,5,0,30,5,0,5,5,146,140976,197632
415,11,19,5,1,31,10,1,5,5,147,136896,198400
416,11,20,5,2,32,14,2,5,4,148,181440,249088
417,11,21,5,3,33,17,3,5,5,132,128064,176000
418,11,22,5,4,34,19,4,5,5,134,132864,184960
419,11,23,5,5,35,20,5,5,3,97,251904,330752
420,11,24,5,0,30,5,0,5,5,146,140976,197632
421,11,25,5,1,31,10,1,5,5,147,136896,198400
422,11,26,5,2,32,14,2,5,4,148,181440,249088
423,11,27,5,3,33,17,3,5,5,132,128064,176000
424,11,28,5,4,34,19,4,5,5,134,132864,184960
425,11,29,5,5,35,20,5,5,3,97,251904,330752
426,11,30,5,0,30,5,0,5,5,146,140976,197632
427,11,31,5,1,31,10,1,5,5,147,136896,198400
428,11,32,5,2,32,14,2,5,4,148,181440,249088
429,11,33,5,3,33,17,3,5,5,132,128064,176000
430,11,34,5,4,34,19,4,5,5,134,132864,184960
431,11,35,5,5,35,20,5,5,3,97,251904,330752
432,12,0,0,0,0,0,0,0,3,69,30048,64512
433,12,1,0,1,1,1,0,1,4,90,25968,65280
434,12,2,0,2,2,2,0,2,4,117,70512,115968
435,12,3,0,3,3,3,0,3,5,112,17136,42880
436,12,4,0,4,4,4,0,4,5,117,21936,51840
437,12,5,0,5,5,5,0,5,5,146,140976,197632
438,12,6,0,0,0,0,0,0,3,69,30048,64512
439,12,7,0,1,1,1,0,1,4,90,25968,65280
440,12,8,0,2,2,2,0,2,4,117,70512,115968
441,12,9,0,3,3,3,0,3,5,112,17136,42880
442,12,10,0,4,4,4,0,4,5,117,21936,51840
443,12,11,0,5,5,5,0,5,5,146,140976,197632
444,12,12,0,0,0,0,0,0,3,69,30048,64512
445,12,13,0,1,1,1,0,1,4,90,25968,65280
446,12,14,0,2,2,2,0,2,4,117,70512,115968
447,12,15,0,3,3,3,0,3,5,112,17136,42880
448,12,16,0,4,4,4,0,4,5,117,21936,51840
449,12,17,0,5,5,5,0,5,5,146,140976,197632
450,12,18,0,0,0,0,0,0,3,69,30048,64512
451,12,19,0,1,1,1,0,1,4,90,25968,65280
452,12,20,0,2,2,2,0,2,4,117,70512,115968
453,12,21,0,3,3,3,0,3,5,112,17136,42880
454,12,22,0,4,4,4,0,4,5,117,21936,51840
455,12,23,0,5,5,5,0,5,5,146,140976,197632
456,12,24,0,0,0,0,0,0,3,69,30048,64512
457,12,25,0,1,1,1,0,1,4,90,25968,65280
458,12,26,0,2,2,2,0,2,4,117,70512,115968
459,12,27,0,3,3,3,0,3,5,112,17136,42880
460,12,28,0,4,4,4,0,4,5,117,21936,51840
461,12,29,0,5,5,5,0,5,5,146,140976,197632
462,12,30,0,0,0,0,0,0,3,69,30048,64512
463,12,31,0,1,1,1,0,1,4,90,25968,65280
464,12,32,0,2,2,2,0,2,4,117,70512,115968
465,12,33,0,3,3,3,0,3,5,112,17136,42880
466,12,34,0,4,4,4,0,4,5,117,21936,51840
467,12,35,0,5,5,5,0,5,5,146,140976,197632
468,13,0,1,0,6,1,0,1,4,90,25968,65280
469,13,1,1,1,7,6,1,1,3,70,21888,66048
470,13,2,1,2,8,7,1,2,4,118,66432,116736
471,13,3,1,3,9,8,1,3,5,116,13056,43648
472,13,4,1,4,10,9,1,4,5,121,17856,52608
473,13,5,1,5,11,10,1,5,5,147,136896,198400
474,13,6,1,0,6,1,0,1,4,90,25968,65280
475,13,7,1,1,7,6,1,1,3,70,21888,66048
476,13,8,1,2,8,7,1,2,4,118,66432,116736
477,13,9,1,3,9,8,1,3,5,116,13056,43648
478,13,10,1,4,10,9,1,4,5,121,17856,52608
479,13,11,1,5,11,10,1,5,5,147,136896,198400
480,13,12,1,0,6,1,0,1,4,90,25968,65280
481,13,13,1,1,7,6,1,1,3,70,21888,66048
482,13,14,1,2,8,7,1,2,4,118,66432,116736
483,13,15,1,3,9,8,1,3,5,116,13056,43648
484,13,16,1,4,10,9,1,4,5,121,17856,52608
485,13,17,1,5,11,10,1,5,5,147,136896,198400
486,13,18,1,0,6,1,0,1,4,90,25968,65280
487,13,19,1,1,7,6,1,1,3,70,21888,66048
488,13,20,1,2,8,7,1,2,4,118,66432,116736
489,13,21,1,3,9,8,1,3,5,116,13056,43648
490,13,22,1,4,10,9,1,4,5,121,17856,52608
