edge_id,generator_id,source_basis_id,target_basis_id,sign
132,4,0,0,1
133,4,1,1,1
134,4,2,2,1
135,4,3,3,-1
136,4,4,4,-1
137,4,5,5,-1
138,4,6,6,-1
139,4,7,7,-1
140,4,8,8,-1
141,4,9,9,-1
142,4,10,10,-1
143,4,11,11,1
144,4,12,12,1
145,4,13,13,1
146,4,14,14,1
147,4,15,15,1
148,4,16,16,1
149,4,17,17,1
150,4,18,18,1
151,4,19,19,-1
152,4,20,20,-1
153,4,21,21,-1
154,4,22,22,-1
155,4,23,23,-1
156,4,24,24,-1
157,4,25,25,-1
158,4,26,26,-1
159,4,27,27,1
160,4,28,28,1
161,4,29,29,1
162,4,30,30,1
163,4,31,31,1
164,4,32,32,1
165,5,0,0,1
166,5,1,1,1
167,5,2,2,-1
168,5,3,3,1
169,5,4,4,-1
170,5,5,5,-1
171,5,6,6,-1
172,5,7,7,-1
173,5,8,8,1
174,5,9,9,1
175,5,10,10,1
176,5,11,11,-1
177,5,12,12,-1
178,5,13,13,-1
179,5,14,14,1
180,5,15,15,1
181,5,16,16,1
182,5,17,17,1
183,5,18,18,-1
184,5,19,19,1
185,5,20,20,-1
186,5,21,21,-1
187,5,22,22,-1
188,5,23,23,-1
189,5,24,24,1
190,5,25,25,1
191,5,26,26,1
192,5,27,27,-1
193,5,28,28,-1
194,5,29,29,-1
195,5,30,30,1
196,5,31,31,1
197,5,32,32,1
198,6,0,0,1
199,6,1,1,1
200,6,2,2,-1
201,6,3,3,-1
202,6,4,4,1
203,6,5,5,-1
204,6,6,6,-1
205,6,7,7,1
206,6,8,8,-1
207,6,9,9,1
208,6,10,10,1
209,6,11,11,-1
210,6,12,12,1
211,6,13,13,1
212,6,14,14,-1
213,6,15,15,-1
214,6,16,16,1
215,6,17,17,1
216,6,18,18,-1
217,6,19,19,-1
218,6,20,20,1
219,6,21,21,-1
220,6,22,22,-1
221,6,23,23,1
222,6,24,24,-1
223,6,25,25,1
224,6,26,26,1
225,6,27,27,-1
226,6,28,28,1
227,6,29,29,1
228,6,30,30,-1
229,6,31,31,-1
230,6,32,32,1
231,7,0,0,1
232,7,1,1,1
233,7,2,2,-1
234,7,3,3,-1
235,7,4,4,-1
236,7,5,5,1
237,7,6,6,-1
238,7,7,7,1
239,7,8,8,1
240,7,9,9,-1
241,7,10,10,1
242,7,11,11,1
243,7,12,12,-1
244,7,13,13,1
245,7,14,14,-1
246,7,15,15,1
247,7,16,16,-1
248,7,17,17,1
249,7,18,18,-1
250,7,19,19,-1
251,7,20,20,-1
252,7,21,21,1
253,7,22,22,-1
254,7,23,23,1
255,7,24,24,1
256,7,25,25,-1
257,7,26,26,1
258,7,27,27,1
259,7,28,28,-1
260,7,29,29,1
261,7,30,30,-1
262,7,31,31,1
263,7,32,32,-1
264,8,0,0,1
265,8,1,1,1
266,8,2,2,-1
267,8,3,3,-1
268,8,4,4,-1
269,8,5,5,-1
270,8,6,6,1
271,8,7,7,1
272,8,8,8,1
273,8,9,9,1
274,8,10,10,-1
275,8,11,11,1
276,8,12,12,1
277,8,13,13,-1
278,8,14,14,1
279,8,15,15,-1
280,8,16,16,-1
281,8,17,17,1
282,8,18,18,-1
283,8,19,19,-1
284,8,20,20,-1
285,8,21,21,-1
286,8,22,22,1
287,8,23,23,1
288,8,24,24,1
289,8,25,25,1
290,8,26,26,-1
291,8,27,27,1
292,8,28,28,1
293,8,29,29,-1
294,8,30,30,1
295,8,31,31,-1
296,8,32,32,-1
