cut_id,left_addr,right_addr,closed_section_count,open_section_count,crossing_section_count,closed_coeff_sum,open_coeff_sum,crossing_coeff_sum,closed_coeff_square_sum,open_coeff_square_sum,crossing_coeff_square_sum,count_gluing_total,coeff_gluing_total,coeff_square_gluing_total,count_gluing_flag,coeff_gluing_flag,coeff_square_gluing_flag
19,19,20,3214,1360336,51415,6439,2426354,104567,23731,7725966,370279,1414965,2537360,8119976,1,1,1
20,20,21,3571,1357150,54244,7209,2418978,111173,26973,7703854,389149,1414965,2537360,8119976,1,1,1
21,21,22,3738,1355718,55509,7678,2415478,114204,28764,7689418,401794,1414965,2537360,8119976,1,1,1
22,22,23,3899,1354288,56778,8127,2411982,117251,30467,7674990,414519,1414965,2537360,8119976,1,1,1
23,23,24,4058,1352892,58015,8594,2408510,120256,32196,7660734,427046,1414965,2537360,8119976,1,1,1
24,24,25,4211,1351498,59256,9041,2405042,123277,33837,7646486,439653,1414965,2537360,8119976,1,1,1
25,25,26,4369,1350081,60515,9483,2401576,126301,35533,7632162,452281,1414965,2537360,8119976,1,1,1
26,26,27,4523,1348664,61778,9919,2398110,129331,37219,7617838,464919,1414965,2537360,8119976,1,1,1
27,27,28,4552,1348331,62082,10240,2395632,131488,42856,7567888,509232,1414965,2537360,8119976,1,1,1
28,28,29,4761,1345690,64514,10762,2390818,135780,44692,7556436,518848,1414965,2537360,8119976,1,1,1
29,29,30,5052,1341705,68208,11376,2383472,142512,47720,7536968,535288,1414965,2537360,8119976,1,1,1
30,30,31,5242,1339061,70662,11866,2378724,146770,49692,7525568,544716,1414965,2537360,8119976,1,1,1
31,31,32,5423,1336420,73122,12280,2373986,151094,50912,7514212,554852,1414965,2537360,8119976,1,1,1
32,32,33,5508,1335279,74178,12672,2370944,153744,53112,7499632,567232,1414965,2537360,8119976,1,1,1
33,33,34,5795,1333228,75942,13464,2365956,157940,56092,7481252,582632,1414965,2537360,8119976,1,1,1
34,34,35,6090,1331185,77690,14280,2360992,162088,59152,7462952,597872,1414965,2537360,8119976,1,1,1
35,35,36,6530,1328261,80174,15552,2353280,168528,65540,7428728,625708,1414965,2537360,8119976,1,1,1
36,36,37,6982,1325349,82634,16872,2345616,174872,72216,7394792,652968,1414965,2537360,8119976,1,1,1
37,37,38,7458,1322461,85046,18240,2338000,181120,79020,7360984,679972,1414965,2537360,8119976,1,1,1
38,38,39,7946,1319585,87434,19656,2330432,187272,86112,7327464,706400,1414965,2537360,8119976,1,1,1
39,39,40,8311,1317612,89042,20640,2325636,191084,89780,7309772,720424,1414965,2537360,8119976,1,1,1
40,40,41,8684,1315647,90634,21648,2320864,194848,93528,7292160,734288,1414965,2537360,8119976,1,1,1
41,41,42,9096,1313661,92208,22680,2316116,198564,97120,7275288,747568,1414965,2537360,8119976,1,1,1
42,42,43,9524,1311691,93750,23736,2311392,202232,100752,7258456,760768,1414965,2537360,8119976,1,1,1
43,43,44,9952,1309721,95292,24816,2306692,205852,104504,7241744,773728,1414965,2537360,8119976,1,1,1
44,44,45,10396,1307767,96802,25920,2302016,209424,108296,7225072,786608,1414965,2537360,8119976,1,1,1
45,45,46,10740,1305525,98700,27048,2296724,213588,113122,7202206,804648,1414965,2537360,8119976,1,1,1
46,46,47,11164,1302157,101644,28764,2288176,220420,123672,7147792,848512,1414965,2537360,8119976,1,1,1
47,47,48,11534,1299941,103490,29952,2282944,224464,128698,7125126,866152,1414965,2537360,8119976,1,1,1
48,48,49,11988,1296603,106374,31752,2274480,231128,139608,7071072,909296,1414965,2537360,8119976,1,1,1
49,49,50,12348,1293125,109492,33600,2266064,237696,155226,7009702,955048,1414965,2537360,8119976,1,1,1
50,50,51,12724,1289663,112578,35496,2257696,244168,171064,6948552,1000360,1414965,2537360,8119976,1,1,1
51,51,52,13132,1287485,114348,36816,2252596,247948,177010,6926806,1016160,1414965,2537360,8119976,1,1,1
52,52,53,13552,1285319,116094,38160,2247520,251680,183016,6905120,1031840,1414965,2537360,8119976,1,1,1
53,53,54,14499,1280536,119930,40176,2240168,257016,189986,6887466,1042524,1414965,2537360,8119976,1,1,1
54,54,55,15373,1276260,123332,42240,2232864,262256,197358,6867958,1054660,1414965,2537360,8119976,1,1,1
55,55,56,16271,1272008,126686,44352,2225608,267400,204826,6848546,1066604,1414965,2537360,8119976,1,1,1
56,56,57,17312,1267319,130334,46512,2218400,272448,212040,6831136,1076800,1414965,2537360,8119976,1,1,1
57,57,58,18122,1263307,133536,48720,2211240,277400,221512,6811844,1086620,1414965,2537360,8119976,1,1,1
58,58,59,19080,1258627,137258,50976,2204128,282256,230448,6794224,1095304,1414965,2537360,8119976,1,1,1
59,59,60,20215,1254032,140718,53280,2197064,287016,237906,6777058,1105012,1414965,2537360,8119976,1,1,1
60,60,61,21380,1249467,144118,55632,2190048,291680,245448,6759976,1114552,1414965,2537360,8119976,1,1,1
61,61,62,22575,1244932,147458,58032,2183080,296248,253074,6742978,1123924,1414965,2537360,8119976,1,1,1
62,62,63,23800,1240427,150738,60480,2176160,300720,260784,6726064,1133128,1414965,2537360,8119976,1,1,1
63,63,64,24950,1236427,153588,62976,2169288,305096,268900,6707300,1143776,1414965,2537360,8119976,1,1,1
64,64,65,26124,1232451,156390,65520,2162464,309376,277112,6688632,1154232,1414965,2537360,8119976,1,1,1
65,65,66,27198,1228703,159064,68112,2155688,313560,287208,6669964,1162804,1414965,2537360,8119976,1,1,1
66,66,67,28576,1224067,162322,70752,2148960,317648,295196,6654888,1169892,1414965,2537360,8119976,1,1,1
67,67,68,29942,1219635,165388,73440,2142280,321640,303976,6639356,1176644,1414965,2537360,8119976,1,1,1
68,68,69,31408,1215087,168470,76176,2135648,325536,312076,6624392,1183508,1414965,2537360,8119976,1,1,1
69,69,70,32862,1210743,171360,78960,2129064,329336,320968,6608972,1190036,1414965,2537360,8119976,1,1,1
70,70,71,34212,1206455,174298,81792,2122528,333040,330848,6592296,1196832,1414965,2537360,8119976,1,1,1
71,71,72,35755,1202268,176942,84672,2116040,336648,339218,6576042,1204716,1414965,2537360,8119976,1,1,1
72,72,73,37328,1198111,179526,87600,2109600,340160,347672,6559872,1212432,1414965,2537360,8119976,1,1,1
73,73,74,38892,1194063,182010,90576,2103208,343576,358068,6544048,1217860,1414965,2537360,8119976,1,1,1
74,74,75,40496,1190055,184414,93600,2096864,346896,368528,6528288,1223160,1414965,2537360,8119976,1,1,1
75,75,76,42132,1186079,186754,96672,2090568,350120,379068,6512608,1228300,1414965,2537360,8119976,1,1,1
76,76,77,43808,1182143,189014,99792,2084320,353248,389672,6496992,1233312,1414965,2537360,8119976,1,1,1
77,77,78,44880,1179997,190088,102024,2081048,354288,395864,6490724,1233388,1414965,2537360,8119976,1,1,1
78,78,79,46340,1176501,192124,105228,2075820,356312,406092,6479788,1234096,1414965,2537360,8119976,1,1,1
79,79,80,47440,1174355,193170,107520,2072608,357232,412596,6473712,1233668,1414965,2537360,8119976,1,1,1
80,80,81,49355,1170802,194808,110808,2067464,359088,421338,6463738,1234900,1414965,2537360,8119976,1,1,1
81,81,82,50493,1168722,195750,113160,2064312,359888,427812,6457752,1234412,1414965,2537360,8119976,1,1,1
82,82,83,52380,1165509,197076,116532,2059252,361576,437274,6446950,1235752,1414965,2537360,8119976,1,1,1
83,83,84,53680,1163481,197804,118944,2056160,362256,443178,6440882,1235916,1414965,2537360,8119976,1,1,1
84,84,85,54924,1161503,198538,121380,2053092,362888,449422,6434742,1235812,1414965,2537360,8119976,1,1,1
85,85,86,56985,1158096,199884,124872,2048152,364336,458510,6425114,1236352,1414965,2537360,8119976,1,1,1
86,86,87,58909,1155020,201036,128412,2043260,365688,468630,6414298,1237048,1414965,2537360,8119976,1,1,1
87,87,88,60863,1151926,202176,132000,2038416,366944,478966,6403762,1237248,1414965,2537360,8119976,1,1,1
88,88,89,61395,1151148,202422,133856,2036720,366784,489102,6396766,1234108,1414965,2537360,8119976,1,1,1
89,89,90,63409,1148114,203442,137520,2031952,367888,499614,6386406,1233956,1414965,2537360,8119976,1,1,1
90,90,91,64661,1146412,203892,140140,2029068,368152,506990,6379678,1233308,1414965,2537360,8119976,1,1,1
91,91,92,66810,1143461,204694,143888,2024384,369088,517154,6369578,1233244,1414965,2537360,8119976,1,1,1
92,92,93,68654,1140349,205962,147684,2019748,369928,528586,6359846,1231544,1414965,2537360,8119976,1,1,1
93,93,94,70895,1137490,206580,151528,2015160,370672,538856,6349852,1231268,1414965,2537360,8119976,1,1,1
94,94,95,72257,1135634,207074,154280,2012408,370672,546192,6344728,1229056,1414965,2537360,8119976,1,1,1
95,95,96,74433,1132810,207722,158208,2007904,371248,557116,6334716,1228144,1414965,2537360,8119976,1,1,1
96,96,97,76844,1129753,208368,162184,2003448,371728,567060,6325944,1226972,1414965,2537360,8119976,1,1,1
97,97,98,78260,1127923,208782,165032,2000792,371536,574740,6321044,1224192,1414965,2537360,8119976,1,1,1
98,98,99,79846,1126181,208938,167904,1998160,371296,581508,6315840,1222628,1414965,2537360,8119976,1,1,1
99,99,100,82341,1123208,209416,172000,1993824,371536,591666,6307282,1221028,1414965,2537360,8119976,1,1,1
100,100,101,83961,1121500,209504,174932,1991252,371176,598546,6302190,1219240,1414965,2537360,8119976,1,1,1
101,101,102,86428,1118867,209670,179112,1987000,371248,609424,6292804,1217748,1414965,2537360,8119976,1,1,1
102,102,103,88084,1117195,209686,182104,1984488,370768,616424,6287832,1215720,1414965,2537360,8119976,1,1,1
103,103,104,89676,1115565,209724,185120,1982000,370240,623816,6282840,1213320,1414965,2537360,8119976,1,1,1
104,104,105,91212,1113883,209870,188160,1979536,369664,631728,6278292,1209956,1414965,2537360,8119976,1,1,1
105,105,106,92732,1112449,209784,191224,1977096,369040,640024,6272484,1207468,1414965,2537360,8119976,1,1,1
106,106,107,93400,1111807,209758,193456,1975776,368128,651760,6267088,1201128,1414965,2537360,8119976,1,1,1
107,107,108,96325,1108602,210038,197856,1971240,368264,662186,6258662,1199128,1414965,2537360,8119976,1,1,1
108,108,109,99297,1105372,210296,202304,1966752,368304,672730,6250462,1196784,1414965,2537360,8119976,1,1,1
109,109,110,102308,1102261,210396,206800,1962312,368248,683272,6242120,1194584,1414965,2537360,8119976,1,1,1
110,110,111,105196,1099391,210378,211344,1957920,368096,694352,6233016,1192608,1414965,2537360,8119976,1,1,1
111,111,112,108297,1096362,210306,215936,1953576,367848,705002,6224814,1190160,1414965,2537360,8119976,1,1,1
112,112,113,111440,1093375,210150,220576,1949280,367504,715712,6216672,1187592,1414965,2537360,8119976,1,1,1
113,113,114,114466,1090643,209856,225264,1945032,367064,726948,6207724,1185304,1414965,2537360,8119976,1,1,1
114,114,115,117532,1087951,209482,230000,1940832,366528,738248,6198840,1182888,1414965,2537360,8119976,1,1,1
115,115,116,120880,1085011,209074,234784,1936680,365896,748632,6191120,1180224,1414965,2537360,8119976,1,1,1
116,116,117,124208,1082137,208620,239616,1932576,365168,759616,6183360,1177000,1414965,2537360,8119976,1,1,1
117,117,118,127553,1079360,208052,244496,1928520,364344,770642,6175502,1173832,1414965,2537360,8119976,1,1,1
118,118,119,131045,1076564,207356,249424,1924512,363424,781170,6167926,1170880,1414965,2537360,8119976,1,1,1
119,119,120,134504,1073893,206568,254400,1920552,362408,792256,6160160,1167560,1414965,2537360,8119976,1,1,1
120,120,121,137985,1071252,205728,259424,1916640,361296,803442,6152462,1164072,1414965,2537360,8119976,1,1,1
121,121,122,141181,1068834,204950,264496,1912776,360088,816090,6143726,1160160,1414965,2537360,8119976,1,1,1
122,122,123,144765,1066216,203984,269616,1908960,358784,827426,6136318,1156232,1414965,2537360,8119976,1,1,1
123,123,124,148374,1063703,202888,274784,1905192,357384,838788,6128796,1152392,1414965,2537360,8119976,1,1,1
124,124,125,152025,1061232,201708,280000,1901472,355888,850210,6121334,1148432,1414965,2537360,8119976,1,1,1
125,125,126,155718,1058803,200444,285264,1897800,354296,861692,6113932,1144352,1414965,2537360,8119976,1,1,1
126,126,127,159482,1056365,199118,290576,1894176,352608,873244,6106740,1139992,1414965,2537360,8119976,1,1,1
127,127,128,163269,1054030,197666,295936,1890600,350824,884826,6099438,1135712,1414965,2537360,8119976,1,1,1
128,128,129,167197,1051670,196098,301344,1887072,348944,895922,6092430,1131624,1414965,2537360,8119976,1,1,1
129,129,130,170853,1049568,194544,306800,1883592,346968,908202,6084526,1127248,1414965,2537360,8119976,1,1,1
130,130,131,174505,1047462,192998,312304,1880160,344896,920634,6076774,1122568,1414965,2537360,8119976,1,1,1
131,131,132,178466,1045293,191206,317856,1876776,342728,932444,6069732,1117800,1414965,2537360,8119976,1,1,1
132,132,133,182469,1043166,189330,323456,1873440,340464,944314,6062750,1112912,1414965,2537360,8119976,1,1,1
133,133,134,186514,1041081,187370,329104,1870152,338104,956244,6055828,1107904,1414965,2537360,8119976,1,1,1
134,134,135,190601,1039038,185326,334800,1866912,335648,968234,6048966,1102776,1414965,2537360,8119976,1,1,1
135,135,136,194837,1036986,183142,340544,1863720,333096,979722,6042350,1097904,1414965,2537360,8119976,1,1,1
136,136,137,199012,1035039,180914,346336,1860576,330448,991824,6035568,1092584,1414965,2537360,8119976,1,1,1
137,137,138,202968,1033237,178760,352176,1857480,327704,1004656,6028216,1087104,1414965,2537360,8119976,1,1,1
138,138,139,206848,1031503,176614,358064,1854432,324864,1018384,6020560,1081032,1414965,2537360,8119976,1,1,1
139,139,140,207060,1029539,178366,358472,1849720,329168,1019436,6005480,1095060,1414965,2537360,8119976,1,1,1
140,140,141,207284,1027587,180094,358928,1845056,333376,1020776,5990688,1108512,1414965,2537360,8119976,1,1,1
141,141,142,207532,1025659,181774,359432,1840440,337488,1022244,5976024,1121708,1414965,2537360,8119976,1,1,1
142,142,143,207792,1023743,183430,359984,1835872,341504,1024000,5961648,1134328,1414965,2537360,8119976,1,1,1
143,143,144,207995,1022434,184536,360524,1832564,344272,1025920,5950560,1143496,1414965,2537360,8119976,1,1,1
144,144,145,208206,1021133,185626,361088,1829280,346992,1027920,5939552,1152504,1414965,2537360,8119976,1,1,1
145,145,146,208448,1019825,186692,361676,1826020,349664,1029820,5928764,1161392,1414965,2537360,8119976,1,1,1
146,146,147,208698,1018525,187742,362288,1822784,352288,1031800,5918056,1170120,1414965,2537360,8119976,1,1,1
147,147,148,208947,1017262,188756,362924,1819572,354864,1033968,5907216,1178792,1414965,2537360,8119976,1,1,1
148,148,149,209204,1016007,189754,363584,1816384,357392,1036216,5896456,1187304,1414965,2537360,8119976,1,1,1
149,149,150,209494,1014747,190724,364268,1813220,359872,1038356,5885908,1195712,1414965,2537360,8119976,1,1,1
150,150,151,209792,1013495,191678,364976,1810080,362304,1040576,5875440,1203960,1414965,2537360,8119976,1,1,1
151,151,152,209953,1011622,193390,365440,1802144,369776,1042648,5812400,1264928,1414965,2537360,8119976,1,1,1
152,152,153,209999,1011051,193915,365906,1799552,371902,1048420,5784488,1287068,1414965,2537360,8119976,1,1,1
153,153,154,210092,1009973,194900,366416,1796080,374864,1052544,5764376,1303056,1414965,2537360,8119976,1,1,1
154,154,155,210297,1008155,196513,367176,1788864,381320,1058624,5720496,1340856,1414965,2537360,8119976,1,1,1
155,155,156,210383,1007414,197168,367752,1786188,383420,1065690,5699340,1354946,1414965,2537360,8119976,1,1,1
156,156,157,210520,1006301,198144,368336,1782892,386132,1069104,5681992,1368880,1414965,2537360,8119976,1,1,1
157,157,158,210612,1005574,198779,368926,1780248,388186,1076212,5660928,1382836,1414965,2537360,8119976,1,1,1
158,158,159,210761,1004485,199719,369532,1777032,390796,1079680,5644100,1396196,1414965,2537360,8119976,1,1,1
159,159,160,210896,1003467,200602,370108,1773756,393496,1083632,5621744,1414600,1414965,2537360,8119976,1,1,1
160,160,161,210954,1003076,200935,370680,1771427,395253,1094314,5582693,1442969,1414965,2537360,8119976,1,1,1
161,161,162,211102,1002085,201778,371286,1768251,397823,1098384,5560977,1460615,1414965,2537360,8119976,1,1,1
162,162,163,211159,1001701,202105,371862,1765942,399556,1109122,5522018,1488836,1414965,2537360,8119976,1,1,1
163,163,164,211185,1001548,202232,372431,1763832,401097,1128417,5432662,1558897,1414965,2537360,8119976,1,1,1
164,164,165,211272,1000846,202847,373025,1761248,403087,1135567,5411792,1572617,1414965,2537360,8119976,1,1,1
165,165,166,211358,1000147,203460,373615,1758672,405073,1142715,5390960,1586301,1414965,2537360,8119976,1,1,1
166,166,167,211387,1000003,203575,374192,1756576,406592,1162048,5301648,1656280,1414965,2537360,8119976,1,1,1
167,167,168,211635,998535,204795,375464,1751400,410496,1172032,5269452,1678492,1414965,2537360,8119976,1,1,1
168,168,169,211938,996575,206452,377504,1743120,416736,1200244,5192112,1727620,1414965,2537360,8119976,1,1,1
169,169,170,212214,995135,207616,378896,1738064,420400,1211452,5161140,1747384,1414965,2537360,8119976,1,1,1
170,170,171,212537,993227,209201,381104,1729952,426304,1243328,5077000,1799648,1414965,2537360,8119976,1,1,1
171,171,172,213294,989484,212187,383408,1722768,431184,1259026,5055162,1805788,1414965,2537360,8119976,1,1,1
172,172,173,214109,985799,215057,385808,1715680,435872,1274920,5033520,1811536,1414965,2537360,8119976,1,1,1
173,173,174,214982,982172,217811,388304,1708688,440368,1291010,5012074,1816892,1414965,2537360,8119976,1,1,1
174,174,175,215913,978603,220449,390896,1701792,444672,1307296,4990824,1821856,1414965,2537360,8119976,1,1,1
175,175,176,216902,975092,222971,393584,1694992,448784,1323778,4969770,1826428,1414965,2537360,8119976,1,1,1
176,176,177,217949,971639,225377,396368,1688288,452704,1340456,4948912,1830608,1414965,2537360,8119976,1,1,1
177,177,178,219054,968244,227667,399248,1681680,456432,1357330,4928250,1834396,1414965,2537360,8119976,1,1,1
178,178,179,220206,964554,230205,402224,1675168,459968,1376326,4909770,1833880,1414965,2537360,8119976,1,1,1
179,179,180,221442,960948,232575,405296,1668752,463312,1395442,4891410,1833124,1414965,2537360,8119976,1,1,1
180,180,181,222733,957739,234493,408464,1662432,466464,1412880,4871312,1835784,1414965,2537360,8119976,1,1,1
181,181,182,224121,954285,236559,411728,1656208,469424,1432292,4853248,1834436,1414965,2537360,8119976,1,1,1
182,182,183,225593,950915,238457,415088,1650080,472192,1451824,4835304,1832848,1414965,2537360,8119976,1,1,1
183,183,184,226907,948303,239755,418544,1645008,473808,1470748,4821844,1827384,1414965,2537360,8119976,1,1,1
184,184,185,228268,945802,240895,422096,1640032,475232,1490308,4807868,1821800,1414965,2537360,8119976,1,1,1
185,185,186,229687,943359,241919,425744,1635152,476464,1510076,4794100,1815800,1414965,2537360,8119976,1,1,1
186,186,187,231001,941283,242681,429488,1630368,477504,1534748,4778348,1806880,1414965,2537360,8119976,1,1,1
187,187,188,232497,938965,243503,433328,1625680,478352,1556272,4765256,1798448,1414965,2537360,8119976,1,1,1
188,188,189,233209,937983,243773,435664,1623456,478240,1567616,4757848,1794512,1414965,2537360,8119976,1,1,1
189,189,190,234815,935663,244487,439664,1618928,478768,1587796,4745644,1786536,1414965,2537360,8119976,1,1,1
190,190,191,236464,933450,245051,443760,1614496,479104,1608708,4733020,1778248,1414965,2537360,8119976,1,1,1
191,191,192,238120,931292,245553,447952,1610160,479248,1631296,4720992,1767688,1414965,2537360,8119976,1,1,1
192,192,193,239887,929197,245881,452240,1605920,479200,1652584,4708744,1758648,1414965,2537360,8119976,1,1,1
193,193,194,241477,927397,246091,456624,1601776,478960,1679296,4695032,1745648,1414965,2537360,8119976,1,1,1
194,194,195,242317,926543,246105,459312,1599904,478144,1692080,4689064,1738832,1414965,2537360,8119976,1,1,1
195,195,196,244629,923981,246355,463856,1595440,478064,1710810,4678154,1731012,1414965,2537360,8119976,1,1,1
196,196,197,247013,921491,246461,468496,1591072,477792,1729688,4667392,1722896,1414965,2537360,8119976,1,1,1
197,197,198,249521,918939,246505,473232,1586800,477328,1750364,4657344,1712268,1414965,2537360,8119976,1,1,1
198,198,199,252057,916601,246307,478064,1582624,476672,1769526,4646866,1703584,1414965,2537360,8119976,1,1,1
199,199,200,253615,915167,246183,481528,1580296,475536,1781224,4642308,1696444,1414965,2537360,8119976,1,1,1
200,200,201,255183,913743,246039,485040,1578016,474304,1793112,4637940,1688924,1414965,2537360,8119976,1,1,1
201,201,202,257877,911563,245525,490112,1574080,473168,1812712,4627900,1679364,1414965,2537360,8119976,1,1,1
202,202,203,259545,910239,245181,493744,1571920,471696,1824700,4623632,1671644,1414965,2537360,8119976,1,1,1
203,203,204,262421,908055,244489,498984,1568152,470224,1846216,4614424,1659336,1414965,2537360,8119976,1,1,1
204,204,205,264073,906805,244087,502736,1566112,468512,1859360,4610424,1650192,1414965,2537360,8119976,1,1,1
205,205,206,267053,904725,243187,508144,1562512,466704,1881212,4601552,1637212,1414965,2537360,8119976,1,1,1
206,206,207,270021,902819,242125,513648,1559008,464704,1901678,4592378,1625920,1414965,2537360,8119976,1,1,1
207,207,208,273061,900985,240919,519248,1555600,462512,1922292,4583352,1614332,1414965,2537360,8119976,1,1,1
208,208,209,276173,899223,239569,524944,1552288,460128,1943054,4574474,1602448,1414965,2537360,8119976,1,1,1
209,209,210,279473,897463,238029,530736,1549072,457552,1965442,4566138,1588396,1414965,2537360,8119976,1,1,1
210,210,211,282737,895853,236375,536624,1545952,454784,1986488,4557544,1575944,1414965,2537360,8119976,1,1,1
211,211,212,284753,894877,235335,540856,1544392,452112,1999736,4554536,1565704,1414965,2537360,8119976,1,1,1
212,212,213,286801,893933,234231,545136,1542880,449344,2013064,4551608,1555304,1414965,2537360,8119976,1,1,1
213,213,214,288881,893021,233063,549464,1541416,446480,2026472,4548760,1544744,1414965,2537360,8119976,1,1,1
214,214,215,290917,892155,231893,553840,1540000,443520,2040816,4545960,1533200,1414965,2537360,8119976,1,1,1
215,215,216,291092,890689,233184,554428,1536884,446048,2043414,4536758,1539804,1414965,2537360,8119976,1,1,1
216,216,217,291315,888483,235167,555064,1532688,449608,2046100,4525192,1548684,1414965,2537360,8119976,1,1,1
217,217,218,291516,887043,236406,555712,1529632,452016,2048898,4516190,1554888,1414965,2537360,8119976,1,1,1
218,218,219,291729,885615,237621,556384,1526600,454376,2051756,4507248,1560972,1414965,2537360,8119976,1,1,1
219,219,220,291996,883453,239516,557140,1522524,457696,2054942,4496182,1568852,1414965,2537360,8119976,1,1,1
220,220,221,292235,882051,240679,557872,1519552,459936,2058000,4487440,1574536,1414965,2537360,8119976,1,1,1
221,221,222,292443,879787,242735,558712,1515560,463088,2063642,4478150,1578184,1414965,2537360,8119976,1,1,1
222,222,223,292667,877539,244759,559600,1511616,466144,2069504,4469080,1581392,1414965,2537360,8119976,1,1,1
223,223,224,292815,876246,245904,560224,1507360,469776,2074484,4449468,1596024,1414965,2537360,8119976,1,1,1
224,224,225,292978,874947,247040,560944,1503200,473216,2079864,4430416,1609696,1414965,2537360,8119976,1,1,1
225,225,226,293130,873995,247840,561688,1500216,475456,2085608,4416620,1617748,1414965,2537360,8119976,1,1,1
226,226,227,293298,873059,248608,562480,1497280,477600,2091696,4403168,1625112,1414965,2537360,8119976,1,1,1
227,227,228,293311,872869,248785,563057,1495154,479149,2122417,4313014,1684545,1414965,2537360,8119976,1,1,1
228,228,229,293345,872434,249186,563645,1492668,481047,2139341,4273060,1707575,1414965,2537360,8119976,1,1,1
229,229,230,293367,872098,249500,564231,1490432,482697,2164965,4221238,1733773,1414965,2537360,8119976,1,1,1
230,230,231,293414,871684,249867,564839,1487994,484527,2181929,4181428,1756619,1414965,2537360,8119976,1,1,1
231,231,232,293445,871363,250157,565437,1485782,486141,2207577,4129654,1782745,1414965,2537360,8119976,1,1,1
232,232,233,293464,871189,250312,566028,1483680,487652,2238340,4039552,1842084,1414965,2537360,8119976,1,1,1
233,233,234,293573,869475,251917,567100,1474700,495560,2270444,3967836,1881696,1414965,2537360,8119976,1,1,1
234,234,235,293597,869310,252058,567759,1472670,496931,2305307,3881838,1932831,1414965,2537360,8119976,1,1,1
235,235,236,293695,868697,252573,568663,1469164,499533,2317987,3852716,1949273,1414965,2537360,8119976,1,1,1
236,236,237,293786,867625,253554,569527,1465642,502191,2332475,3836122,1951379,1414965,2537360,8119976,1,1,1
237,237,238,293869,866887,254209,570311,1462966,504083,2346301,3815446,1958229,1414965,2537360,8119976,1,1,1
238,238,239,293948,866155,254862,571063,1460310,505987,2359931,3794902,1965143,1414965,2537360,8119976,1,1,1
239,239,240,294034,865546,255385,571839,1456836,508685,2370643,3766036,1983297,1414965,2537360,8119976,1,1,1
240,240,241,294061,865396,255508,572560,1454880,509920,2406400,3680944,2032632,1414965,2537360,8119976,1,1,1
241,241,242,294475,863544,256946,574144,1450000,513216,2418164,3663852,2037960,1414965,2537360,8119976,1,1,1
242,242,243,294738,862261,257966,575344,1446680,515336,2426770,3650650,2042556,1414965,2537360,8119976,1,1,1
243,243,244,295188,860445,259332,577040,1441912,518408,2439038,3634062,2046876,1414965,2537360,8119976,1,1,1
244,244,245,295518,859119,260328,578320,1438672,520368,2447114,3622554,2050308,1414965,2537360,8119976,1,1,1
245,245,246,295868,857813,261284,579632,1435464,522264,2455246,3611102,2053628,1414965,2537360,8119976,1,1,1
246,246,247,296238,856527,262200,580976,1432288,524096,2463434,3599706,2056836,1414965,2537360,8119976,1,1,1
247,247,248,296788,854811,263366,582880,1427728,526752,2476246,3583662,2060068,1414965,2537360,8119976,1,1,1
248,248,249,297202,853569,264194,584304,1424632,528424,2484610,3572442,2062924,1414965,2537360,8119976,1,1,1
