addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
408,416642,730362,1926428,1
409,417860,731777,1926965,1
410,418847,733180,1929194,1
411,420044,734533,1929521,1
412,421020,736068,1932426,1
413,420759,736254,1947918,1
414,420932,736627,1952843,1
415,422879,740106,1950446,1
416,423824,741208,1946756,1
417,424878,742592,1948080,1
418,425926,744120,1950058,1
419,427114,745651,1951741,1
420,428271,747025,1952709,1
421,428700,747602,1954356,1
422,429365,748194,1952504,1
423,430035,748806,1950732,1
424,430718,749428,1948928,1
425,431400,750060,1947180,1
426,432085,750708,1945492,1
427,433792,753748,1948738,1
428,435144,756436,1950534,1
429,436504,759284,1955146,1
430,436887,759906,1956864,1
431,437595,760638,1955508,1
432,437584,760801,1966459,1
433,439164,762317,1955919,1
434,438913,762481,1970593,1
435,441864,765568,1963026,1
436,442926,766304,1960546,1
437,443936,766976,1957890,1
438,444841,767584,1955020,1
439,445798,768128,1951942,1
440,446670,768608,1949030,1
441,447454,769024,1945910,1
442,448218,769376,1942738,1
443,448881,769664,1939368,1
444,449594,769888,1935782,1
445,450186,770048,1932246,1
446,450738,770144,1928586,1
447,451250,770176,1924810,1
448,451685,770144,1920888,1
449,452151,770048,1916696,1
450,452616,769888,1912534,1
451,452934,769664,1908378,1
452,453184,769376,1904130,1
453,453408,769024,1899922,1
454,453550,768608,1895510,1
455,453670,768128,1891006,1
456,453766,767584,1886322,1
457,453822,766976,1881618,1
458,453814,766304,1876838,1
459,453748,765568,1871842,1
460,453658,764768,1866730,1
461,453497,763904,1861492,1
462,453363,762976,1855956,1
463,453187,761984,1850308,1
464,452969,760928,1844548,1
465,452706,759808,1838754,1
466,452300,758624,1833098,1
467,450828,756176,1825168,1
468,451007,756480,1826774,1
469,449562,753936,1817678,1
470,449681,754144,1819084,1
471,448795,752864,1814252,1
472,447990,751520,1808924,1
473,446178,748768,1801038,1
474,446191,748768,1801954,1
475,444580,745920,1792168,1
476,444687,745824,1792532,1
477,443323,744192,1788688,1
478,441616,741192,1778572,1
479,441493,740944,1778878,1
480,439746,737848,1768482,1
481,439705,737504,1768288,1
482,438329,735584,1763408,1
483,436844,733600,1758556,1
484,434686,730296,1749564,1
485,434373,729744,1749270,1
486,433117,727584,1742178,1
487,430874,724128,1732808,1
488,430475,723424,1732180,1
489,428979,721088,1724996,1
490,427506,718688,1717576,1
491,425755,716224,1711740,1
492,423342,712504,1701786,1
493,422286,710352,1696464,1
494,421754,709344,1695146,1
495,419735,706656,1689160,1
496,418129,703904,1680720,1
497,415566,699936,1670264,1
498,414989,698720,1668226,1
499,412835,695792,1661594,1
500,410949,692800,1653010,1
501,409157,689744,1643922,1
502,406440,685512,1632860,1
503,405134,682928,1626600,1
504,404259,681408,1624178,1
