index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
28,0,96,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,2504,680,4592,3296,7520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,22,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,680,4204,2752,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,448,0,0,0,0,0,11712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9248,3296,2752,16896,20992,0,0,0,0,0
31,0,0,0,0,0,384,0,0,0,0,0,28096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,7520,5248,22208,20992
32,134,0,0,0,0,0,6838,0,0,0,0,0,2156,1536,9248,9768,12620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,128,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,2156,352,3296,3084,4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,8,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,352,2752,1744,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,32,0,0,0,0,0,16864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9248,3296,2752,12160,20992,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,480,0,0,0,0,0,30312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12620,4852,4032,20992,18264
37,192,0,0,0,0,0,8868,0,0,0,0,0,3492,3776,16896,12620,21760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,336,0,0,0,0,0,1732,0,0,0,0,0,0,0,0,0,3492,1152,7520,4852,10432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,20,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,1152,5248,4032,6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,64,0,0,0,0,0,22144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,7520,5248,20992,28480,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,622,0,0,0,0,0,17642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12620,4852,4032,20992,30792,0,0,0,0,0
