rank,p9_id,p5_a,p5_b,p5_c,p5_d,p5_e,face_a,face_b,face_c,face_d,face_e,mask_a,mask_b,mask_c,mask_d,mask_e,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
17,134823,12,36,38,44,116,12,12,12,12,26,30,30,30,30,51,0,0,145059936,144322496,150892096,146554368,151622272,144322496,151622272,7299776,0,0,1,1,0,2490236928
18,11500,2,12,14,116,140,12,12,12,26,26,30,30,30,51,51,0,0,146483552,149969440,153847808,149500160,150360832,146483552,153847808,7364256,0,0,1,1,0,2774532096
19,286746,32,34,44,108,122,12,12,12,26,26,30,30,30,51,51,0,0,149969440,146483552,149500160,153847808,150360832,146483552,153847808,7364256,0,0,1,1,0,2214199296
20,23321,2,44,108,122,128,12,12,26,26,26,30,30,51,51,51,0,0,163918816,161736416,169369088,161919744,164374528,161736416,169369088,7632672,0,0,1,1,0,2497314816
21,134572,12,34,110,116,140,12,12,26,26,26,30,30,51,51,51,0,0,161736416,163918816,161919744,169369088,164374528,161736416,169369088,7632672,0,0,1,1,0,2755657728
22,72947,8,12,38,40,128,12,12,12,12,26,30,30,30,30,51,0,0,141653440,143739776,147759296,142043136,140058944,140058944,147759296,7700352,0,0,1,1,0,2371092480
23,223149,16,24,30,44,110,12,12,12,12,26,30,30,30,30,51,0,0,143739776,141653440,142043136,147759296,140058944,140058944,147759296,7700352,0,0,1,1,0,2214199296
24,158032,14,24,27,94,130,12,12,12,22,26,30,30,30,45,51,0,0,268762560,275032832,276410368,275935872,276658432,268762560,276658432,7895872,0,0,1,1,0,2788687872
25,244530,21,32,40,48,98,12,12,12,22,26,30,30,30,45,51,0,0,275032832,268762560,275935872,276410368,276658432,268762560,276658432,7895872,0,0,1,1,0,3318349824
26,11928,2,12,44,116,140,12,12,12,26,26,30,30,30,51,51,0,0,154797408,150659616,150342016,152705536,158263296,150342016,158263296,7921280,0,0,1,1,0,2799304704
27,134505,12,34,44,108,122,12,12,12,26,26,30,30,30,51,51,0,0,150659616,154797408,152705536,150342016,158263296,150342016,158263296,7921280,0,0,1,1,0,2327445504
28,27541,3,44,62,104,134,12,12,22,26,26,30,30,45,51,51,0,0,229061792,230873648,231209856,235161088,237020032,229061792,237020032,7958240,0,0,1,1,0,3365535744
29,134756,12,35,80,112,126,12,12,22,26,26,30,30,45,51,51,0,0,230873648,229061792,235161088,231209856,237020032,229061792,237020032,7958240,0,0,1,1,0,2925527040
30,12011,2,12,116,128,140,12,12,26,26,26,30,30,51,51,51,0,0,164732064,160923168,162160384,169128448,164374528,160923168,169128448,8205280,0,0,1,1,0,2774532096
31,304378,34,44,108,110,122,12,12,26,26,26,30,30,51,51,51,0,0,160923168,164732064,169128448,162160384,164374528,160923168,169128448,8205280,0,0,1,1,0,2478440448
