candidate_id,target_word_id,edit_distance,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,canonical_insert_0_slot,canonical_insert_0_symbol_id,canonical_insert_1_slot,canonical_insert_1_symbol_id,rooted_carrier_path_count,distinct_end_carrier_count,trace_reaches_node44_flag,first_node44_raw_rank,selected_prefix_consumed_at_node44,target_subsequence_flag,target_consumed_before_node44_flag,weak_repair_flag,strong_repair_flag,trace_edge_count,trace_detour_overhead,trace_min_signature_after_node42,signature_valley_depth,metric_gromov_delta_twice,metric_diameter,metric_radius,trace_signature_total_variation,beats_baseline_overhead_flag,ties_baseline_overhead_flag,baseline_score_match_flag
35,0,2,7,2,1,0,4,2,5,2,2,0,5,2,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
36,0,2,7,2,1,0,4,2,5,3,2,0,5,3,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
37,0,2,7,2,1,0,4,2,5,4,2,0,5,4,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
38,0,2,7,2,1,0,4,2,5,5,2,0,5,5,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
39,0,2,7,2,1,0,4,3,2,5,2,0,3,3,32,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
40,0,2,7,2,1,0,4,4,2,5,2,0,3,4,0,0,1,6,7,1,1,0,0,7,5,117,66,2,4,3,185,0,0,0
41,0,2,7,2,1,0,4,5,2,5,2,0,3,5,48,5,1,5,6,1,0,1,0,6,4,131,52,2,4,3,157,0,0,0
42,0,2,7,2,1,0,5,4,2,5,2,0,2,5,0,0,1,5,6,1,0,0,0,6,4,138,45,2,4,3,143,0,0,0
43,0,2,7,2,1,1,0,4,2,5,2,1,2,0,0,0,1,6,7,1,1,0,0,7,5,90,93,2,4,3,239,0,0,0
44,0,2,7,2,1,1,1,4,2,5,2,1,2,1,0,0,1,6,7,1,1,0,0,7,5,70,113,2,4,3,279,0,0,0
45,0,2,7,2,1,1,2,4,2,5,2,1,2,2,0,0,1,6,7,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
46,0,2,7,2,1,1,3,4,2,5,2,1,2,3,0,0,1,6,7,1,1,0,0,7,5,116,67,2,4,3,187,0,0,0
47,0,2,7,2,1,1,4,0,2,5,2,1,3,0,80,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
48,0,2,7,2,1,1,4,1,2,5,2,1,3,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
49,0,2,7,2,1,1,4,2,0,5,2,1,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
50,0,2,7,2,1,1,4,2,1,5,2,1,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
51,0,2,7,2,1,1,4,2,2,5,2,1,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
52,0,2,7,2,1,1,4,2,3,5,2,1,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
53,0,2,7,2,1,1,4,2,4,5,2,1,4,4,0,0,1,6,7,1,1,0,0,7,5,118,65,2,4,3,211,0,0,0
54,0,2,7,2,1,1,4,2,5,0,2,1,5,0,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
55,0,2,7,2,1,1,4,2,5,1,2,1,5,1,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
56,0,2,7,2,1,1,4,2,5,2,2,1,5,2,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
57,0,2,7,2,1,1,4,2,5,3,2,1,5,3,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
58,0,2,7,2,1,1,4,2,5,4,2,1,5,4,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
59,0,2,7,2,1,1,4,2,5,5,2,1,5,5,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
60,0,2,7,2,1,1,4,3,2,5,2,1,3,3,64,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
61,0,2,7,2,1,1,4,4,2,5,2,1,3,4,0,0,1,6,7,1,1,0,0,7,5,118,65,2,4,3,183,0,0,0
62,0,2,7,2,1,1,4,5,2,5,2,1,3,5,96,5,1,5,6,1,0,1,0,6,4,118,65,2,4,3,183,0,0,0
63,0,2,7,2,1,1,5,4,2,5,2,1,2,5,0,0,1,5,6,1,0,0,0,6,4,118,65,2,4,3,183,0,0,0
64,0,2,7,2,1,2,0,4,2,5,2,2,2,0,0,0,1,6,7,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
65,0,2,7,2,1,2,1,4,2,5,2,2,2,1,0,0,1,6,7,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
66,0,2,7,2,1,2,2,4,2,5,2,2,2,2,0,0,1,6,7,1,1,0,0,5,3,118,65,1,3,2,183,0,0,0
67,0,2,7,2,1,2,3,4,2,5,2,2,2,3,0,0,1,6,7,1,1,0,0,6,4,118,65,2,3,2,183,0,0,0
68,0,2,7,2,1,2,4,0,2,5,2,2,3,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
69,0,2,7,2,1,2,4,1,2,5,2,2,3,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
70,0,2,7,2,1,2,4,2,0,5,2,2,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
71,0,2,7,2,1,2,4,2,1,5,2,2,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
72,0,2,7,2,1,2,4,2,2,5,2,2,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
73,0,2,7,2,1,2,4,2,3,5,2,2,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
74,0,2,7,2,1,2,4,2,4,5,2,2,4,4,0,0,1,6,7,1,1,0,0,7,5,118,65,2,4,3,211,0,0,0
75,0,2,7,2,1,2,4,2,5,0,2,2,5,0,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
76,0,2,7,2,1,2,4,2,5,1,2,2,5,1,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
77,0,2,7,2,1,2,4,2,5,2,2,2,5,2,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
78,0,2,7,2,1,2,4,2,5,3,2,2,5,3,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
79,0,2,7,2,1,2,4,2,5,4,2,2,5,4,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
80,0,2,7,2,1,2,4,2,5,5,2,2,5,5,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
81,0,2,7,2,1,2,4,3,2,5,2,2,3,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
82,0,2,7,2,1,2,4,4,2,5,2,2,3,4,0,0,1,6,7,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
83,0,2,7,2,1,2,4,5,2,5,2,2,3,5,0,0,1,4,5,1,0,0,0,5,3,118,65,1,3,2,183,0,0,0
84,0,2,7,2,1,2,5,4,2,5,2,2,2,5,0,0,1,4,5,1,0,0,0,5,3,118,65,1,3,2,183,0,0,0
85,0,2,7,2,1,3,0,4,2,5,2,3,2,0,0,0,1,6,7,1,1,0,0,6,4,126,57,2,4,3,167,0,0,0
86,0,2,7,2,1,3,1,4,2,5,2,3,2,1,0,0,1,6,7,1,1,0,0,6,4,116,67,2,4,3,187,0,0,0
87,0,2,7,2,1,3,2,4,2,5,2,3,2,2,0,0,1,6,7,1,1,0,0,5,3,146,37,1,3,2,151,0,0,0
88,0,2,7,2,1,3,3,4,2,5,2,3,2,3,0,0,1,6,7,1,1,0,0,6,4,88,95,2,4,3,243,0,0,0
89,0,2,7,2,1,3,4,0,2,5,2,3,3,0,40,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
90,0,2,7,2,1,3,4,1,2,5,2,3,3,1,80,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
91,0,2,7,2,1,3,4,2,0,5,2,3,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
92,0,2,7,2,1,3,4,2,1,5,2,3,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
93,0,2,7,2,1,3,4,2,2,5,2,3,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
94,0,2,7,2,1,3,4,2,3,5,2,3,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
95,0,2,7,2,1,3,4,2,4,5,2,3,4,4,0,0,1,6,7,1,1,0,0,6,4,146,37,2,4,3,151,0,0,0
96,0,2,7,2,1,3,4,2,5,0,2,3,5,0,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
97,0,2,7,2,1,3,4,2,5,1,2,3,5,1,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
98,0,2,7,2,1,3,4,2,5,2,2,3,5,2,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
99,0,2,7,2,1,3,4,2,5,3,2,3,5,3,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
100,0,2,7,2,1,3,4,2,5,4,2,3,5,4,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
101,0,2,7,2,1,3,4,2,5,5,2,3,5,5,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
102,0,2,7,2,1,3,4,3,2,5,2,3,3,3,64,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
103,0,2,7,2,1,3,4,4,2,5,2,3,3,4,0,0,1,6,7,1,1,0,0,6,4,88,95,2,4,3,253,0,0,0
104,0,2,7,2,1,3,4,5,2,5,2,3,3,5,96,5,1,5,6,1,0,1,0,5,3,146,37,1,3,2,137,0,1,0
105,0,2,7,2,1,3,5,4,2,5,2,3,2,5,0,0,1,5,6,1,0,0,0,5,3,146,37,1,3,2,185,0,0,0
106,0,2,7,2,1,4,0,0,2,5,3,0,3,0,80,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
107,0,2,7,2,1,4,0,1,2,5,3,0,3,1,40,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
108,0,2,7,2,1,4,0,2,0,5,3,0,4,0,8,4,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
109,0,2,7,2,1,4,0,2,1,5,3,0,4,1,8,4,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
110,0,2,7,2,1,4,0,2,2,5,3,0,4,2,152,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
111,0,2,7,2,1,4,0,2,3,5,3,0,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
112,0,2,7,2,1,4,0,2,4,5,3,0,4,4,0,0,1,6,7,1,1,0,0,6,4,131,52,2,4,3,203,0,0,0
113,0,2,7,2,1,4,0,2,5,0,3,0,5,0,24,3,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
114,0,2,7,2,1,4,0,2,5,1,3,0,5,1,24,3,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
115,0,2,7,2,1,4,0,2,5,2,3,0,5,2,80,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
116,0,2,7,2,1,4,0,2,5,3,3,0,5,3,24,4,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
117,0,2,7,2,1,4,0,2,5,4,3,0,5,4,40,4,1,6,7,1,1,1,1,7,5,131,52,2,4,3,203,0,0,0
118,0,2,7,2,1,4,0,2,5,5,3,0,5,5,160,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
119,0,2,7,2,1,4,0,3,2,5,3,0,3,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
120,0,2,7,2,1,4,0,4,2,5,3,0,3,4,0,0,1,6,7,1,1,0,0,7,5,117,66,2,4,3,231,0,0,0
121,0,2,7,2,1,4,0,5,2,5,3,0,3,5,32,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
122,0,2,7,2,1,4,1,0,2,5,3,1,3,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
123,0,2,7,2,1,4,1,1,2,5,3,1,3,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
124,0,2,7,2,1,4,1,2,0,5,3,1,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
125,0,2,7,2,1,4,1,2,1,5,3,1,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
126,0,2,7,2,1,4,1,2,2,5,3,1,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
127,0,2,7,2,1,4,1,2,3,5,3,1,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
128,0,2,7,2,1,4,1,2,4,5,3,1,4,4,0,0,1,6,7,1,1,0,0,6,4,121,62,2,4,2,223,0,0,0
129,0,2,7,2,1,4,1,2,5,0,3,1,5,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
130,0,2,7,2,1,4,1,2,5,1,3,1,5,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
131,0,2,7,2,1,4,1,2,5,2,3,1,5,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
132,0,2,7,2,1,4,1,2,5,3,3,1,5,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
133,0,2,7,2,1,4,1,2,5,4,3,1,5,4,0,0,1,6,7,1,1,0,0,7,5,121,62,1,4,2,223,0,0,0
134,0,2,7,2,1,4,1,2,5,5,3,1,5,5,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
135,0,2,7,2,1,4,1,3,2,5,3,1,3,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
136,0,2,7,2,1,4,1,4,2,5,3,1,3,4,0,0,1,6,7,1,1,0,0,7,5,121,62,2,4,2,223,0,0,0
137,0,2,7,2,1,4,1,5,2,5,3,1,3,5,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
138,0,2,7,2,1,4,2,0,0,5,4,0,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
139,0,2,7,2,1,4,2,0,1,5,4,0,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
140,0,2,7,2,1,4,2,0,2,5,4,0,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
141,0,2,7,2,1,4,2,0,3,5,4,0,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
142,0,2,7,2,1,4,2,0,4,5,4,0,4,4,0,0,1,7,7,1,1,0,0,6,4,146,37,2,4,3,135,0,0,0
143,0,2,7,2,1,4,2,0,5,0,4,0,5,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
144,0,2,7,2,1,4,2,0,5,1,4,0,5,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
145,0,2,7,2,1,4,2,0,5,2,4,0,5,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
146,0,2,7,2,1,4,2,0,5,3,4,0,5,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
147,0,2,7,2,1,4,2,0,5,4,4,0,5,4,0,0,1,7,7,1,1,0,0,7,5,146,37,2,4,3,135,0,0,0
148,0,2,7,2,1,4,2,0,5,5,4,0,5,5,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
149,0,2,7,2,1,4,2,1,0,5,4,1,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
150,0,2,7,2,1,4,2,1,1,5,4,1,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
151,0,2,7,2,1,4,2,1,2,5,4,1,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
152,0,2,7,2,1,4,2,1,3,5,4,1,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
153,0,2,7,2,1,4,2,1,4,5,4,1,4,4,0,0,1,7,7,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
154,0,2,7,2,1,4,2,1,5,0,4,1,5,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
155,0,2,7,2,1,4,2,1,5,1,4,1,5,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
156,0,2,7,2,1,4,2,1,5,2,4,1,5,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
157,0,2,7,2,1,4,2,1,5,3,4,1,5,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
158,0,2,7,2,1,4,2,1,5,4,4,1,5,4,0,0,1,7,7,1,1,0,0,6,4,146,37,2,4,3,127,0,0,0
159,0,2,7,2,1,4,2,1,5,5,4,1,5,5,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
160,0,2,7,2,1,4,2,2,0,5,4,2,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
161,0,2,7,2,1,4,2,2,1,5,4,2,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
162,0,2,7,2,1,4,2,2,2,5,4,2,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
163,0,2,7,2,1,4,2,2,3,5,4,2,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
164,0,2,7,2,1,4,2,2,4,5,4,2,4,4,0,0,1,6,7,1,1,0,0,5,3,146,37,1,3,2,155,0,0,0
165,0,2,7,2,1,4,2,2,5,0,4,2,5,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
166,0,2,7,2,1,4,2,2,5,1,4,2,5,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
167,0,2,7,2,1,4,2,2,5,2,4,2,5,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
168,0,2,7,2,1,4,2,2,5,3,4,2,5,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
169,0,2,7,2,1,4,2,2,5,4,4,2,5,4,0,0,1,6,7,1,1,0,0,6,4,146,37,2,4,3,169,0,0,0
170,0,2,7,2,1,4,2,2,5,5,4,2,5,5,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
171,0,2,7,2,1,4,2,3,0,5,4,3,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
172,0,2,7,2,1,4,2,3,1,5,4,3,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
173,0,2,7,2,1,4,2,3,2,5,4,3,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
174,0,2,7,2,1,4,2,3,3,5,4,3,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
