hybrid_candidate_id,rank_order,cycle_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_symbol_0_id,selected_symbol_1_id,selected_symbol_2_id,selected_symbol_3_id,selected_symbol_4_id,selected_symbol_5_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,cycle_window_node_4_id,cycle_window_node_5_id,trace_node_count,trace_edge_count,trace_detour_overhead,trace_signature_total_variation,signature_valley_depth,trace_min_signature_after_node42,metric_gromov_delta_twice,metric_diameter,metric_radius,first_node44_trace_rank,node44_realization_flag,first_selected_x2_flag,immediate_x1_tail_flag,improves_tail_overhead_flag,matches_baseline_tail_score_flag,best_hybrid_flag
11,12,5,12,3,8,6,13,12,-1,14,11,24,26,43,-1,7,4,11,12,19,-1,2,1,3,4,5,-1,27,31,50,44,29,-1,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
12,13,5,12,3,8,7,13,12,-1,14,11,27,30,43,-1,7,4,11,12,19,-1,2,1,3,4,5,-1,27,31,50,44,29,-1,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
13,14,5,12,11,8,6,13,12,-1,41,31,24,26,43,-1,7,4,11,12,19,-1,2,1,3,4,5,-1,27,31,50,44,29,-1,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
14,15,5,12,11,8,7,13,12,-1,41,31,27,30,43,-1,7,4,11,12,19,-1,2,1,3,4,5,-1,27,31,50,44,29,-1,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
15,16,6,12,3,8,6,13,10,12,14,11,24,26,40,39,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
16,17,6,12,3,8,6,13,11,12,14,11,24,26,42,41,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
17,18,6,12,3,8,7,13,10,12,14,11,27,30,40,39,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
18,19,6,12,3,8,7,13,11,12,14,11,27,30,42,41,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
19,20,6,12,11,8,6,13,10,12,41,31,24,26,40,39,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
20,21,6,12,11,8,7,13,10,12,41,31,27,30,40,39,7,4,11,12,19,7,2,1,3,4,5,2,27,31,50,44,39,26,6,5,3,137,37,146,1,3,2,5,1,1,1,0,0,0
21,22,6,12,3,11,10,13,6,12,14,13,38,40,26,25,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
22,23,6,12,3,11,10,13,7,12,14,13,38,40,30,29,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
23,24,6,12,3,11,10,13,8,12,14,13,38,40,33,32,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
24,25,6,12,11,3,10,13,6,12,41,13,12,40,26,25,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
25,26,6,12,11,3,10,13,7,12,41,13,12,40,30,29,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
26,27,6,12,11,3,10,13,8,12,41,13,12,40,33,32,7,4,7,19,12,11,2,1,2,5,4,3,26,29,44,50,41,27,6,5,3,183,65,118,1,3,2,5,1,1,1,0,0,0
27,28,5,12,3,11,7,13,12,-1,14,13,28,30,43,-1,7,4,1,12,19,-1,2,1,0,4,5,-1,7,9,19,44,29,-1,7,6,4,157,52,131,2,4,3,6,1,1,1,0,0,0
28,29,5,12,11,3,7,13,12,-1,41,13,10,30,43,-1,7,4,1,12,19,-1,2,1,0,4,5,-1,7,9,19,44,29,-1,7,6,4,157,52,131,2,4,3,6,1,1,1,0,0,0
29,30,6,12,3,11,7,13,10,12,14,13,28,30,40,39,7,4,1,12,19,7,2,1,0,4,5,2,7,9,19,44,39,26,7,6,4,157,52,131,2,4,3,6,1,1,1,0,0,0
30,31,6,12,11,3,7,13,10,12,41,13,10,30,40,39,7,4,1,12,19,7,2,1,0,4,5,2,7,9,19,44,39,26,7,6,4,157,52,131,2,4,3,6,1,1,1,0,0,0
31,32,5,12,3,8,5,13,12,-1,14,11,21,22,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
32,33,5,12,3,8,6,13,12,-1,14,11,24,26,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
